,schlumberger_male,schlumberger_female,tuple,ltd_male,ltd_female,average_male,average_female,male-female
10,-3.0576246,-3.0159981,"('unsympathetic', 'sympathetic')",-0.50880873,-0.28139475,-1.7832167,-1.6486964,-0.1345203
86,-2.7056704,-2.6246915,"('uninfluential', 'influential')",-0.24610804,-0.31320417,-1.4758892,-1.4689479,-0.0069413
12,-2.2484336,-2.0472283,"('unsupportive', 'supportive')",-1.9511489,-1.7142549,-2.0997913,-1.8807416,-0.2190497
11,-2.18253,-2.5289385,"('unhelpful', 'helpful')",1.517555,1.4029721,-0.3324875,-0.5629832,0.2304957
0,-2.1324434,-1.8959035,"('unsociable', 'sociable')",-0.37673545,-0.3614319,-1.2545894,-1.1286677,-0.1259217
48,-2.0677347,-1.8314055,"('unintelligent', 'intelligent')",0.39093596,0.43399835,-0.8383994,-0.6987036,-0.1396958
57,-2.0338945,-2.0359795,"('unimaginative', 'imaginative')",-1.4736583,-1.7314451,-1.7537764,-1.8837123,0.1299359
60,-1.8526884,-1.6060944,"('inefficient', 'efficient')",-0.16317041,0.070426755,-1.0079294,-0.7678338,-0.2400956
35,1.7303965,1.8322928,"('corrupt', 'incorrupt')",-0.49487445,-0.51100135,0.617761,0.6606457,-0.0428847
28,-1.6993036,-1.645165,"('disloyal', 'loyal')",0.9029616,1.0252903,-0.398171,-0.3099374,-0.0882336
24,-1.6869607,-1.6538467,"('dishonest', 'honest')",-0.0836305,0.27771774,-0.8852956,-0.6880645,-0.1972311
69,1.6494805,1.673343,"('lazy', 'industrious')",-0.36883688,-0.37130094,0.6403218,0.651021,-0.0106992
46,-1.6489542,-1.7527374,"('uncompetitive', 'competitive')",-0.49112302,-0.399311,-1.0700386,-1.0760242,0.0059856
55,-1.6473403,-1.5469137,"('incompetent', 'clever')",0.37859285,0.42455384,-0.6343737,-0.5611799,-0.0731938
1,-1.642137,-1.4037148,"('unfriendly', 'friendly')",1.2756387,1.6639291,-0.1832492,0.1301072,-0.3133564
43,-1.6386873,-1.7251933,"('irresponsible', 'responsible')",1.1386184,1.0309014,-0.2500345,-0.3471459,0.0971114
62,-1.6310543,-1.3058635,"('incompetent', 'brilliant')",0.07741888,0.47597742,-0.7768177,-0.414943,-0.3618747
23,-1.628107,-1.7566469,"('insincere', 'sincere')",5.159133,5.4049444,1.7655129,1.8241488,-0.0586359
13,-1.5165088,-1.7027321,"('impolite', 'polite')",-0.5035165,-0.4507755,-1.0100126,-1.0767539,0.0667413
63,-1.3899913,-1.458751,"('unperceptive', 'insightful')",0.6912363,0.963779,-0.3493775,-0.247486,-0.1018915
7,-1.3864411,-1.2033082,"('insensitive', 'sensitive')",0.20268416,0.44974497,-0.5918785,-0.3767816,-0.2150969
72,-1.3683327,-1.0683784,"('unambitious', 'ambitious')",-0.30957147,0.003293546,-0.8389521,-0.5325425,-0.3064096
53,-1.3536643,-1.0859298,"('uncreative', 'creative')",0.29779664,0.54187,-0.5279338,-0.2720299,-0.2559039
45,-1.3403349,-1.3743724,"('incompetent', 'competent')",0.108371496,0.20475438,-0.6159817,-0.584809,-0.0311727
38,-1.333243,-1.526646,"('untruthful', 'truthful')",0.0779994,0.049689494,-0.6276218,-0.7384782,0.1108564
70,-1.3252412,-1.3425982,"('lethargic', 'energetic')",0.4905955,0.6242454,-0.4173229,-0.3591764,-0.0581465
61,-1.2951596,-1.1840003,"('illogical', 'logical')",-0.10505229,-0.0732192,-0.7001059,-0.6286097,-0.0714962
9,-1.2341416,-1.120522,"('unaffectionate', 'caring')",0.6783464,1.029806,-0.2778976,-0.045358,-0.2325396
85,1.2199798,1.2217728,"('insignificant', 'prestigious')",-0.07366467,0.022803072,0.5731575,0.6222879,-0.0491304
17,-1.2089994,-1.1164256,"('nasty', 'nice')",-0.7776083,-0.72408646,-0.9933038,-0.920256,-0.0730478
21,-1.207628,-1.4226651,"('immoral', 'moral')",-1.0002519,-1.1782719,-1.10394,-1.3004684,0.1965284
75,1.1886833,1.0894996,"('meek', 'impulsive')",-0.38169587,-0.3652426,0.4034937,0.3621285,0.0413652
78,-1.1505275,-0.85016537,"('nonresilient', 'resilient')",0.027255414,0.47064427,-0.561636,-0.1897606,-0.3718754
44,1.1462355,0.7356967,"('prejudiced', 'unprejudiced')",-1.5587578,-1.8129168,-0.2062612,-0.53861,0.3323488
32,-1.1053327,-1.4705243,"('unkind', 'kind')",0.733001,0.48090565,-0.1861659,-0.4948093,0.3086434
49,-1.0760397,-0.9240002,"('unable', 'able')",-0.21215774,-0.014176391,-0.6440987,-0.4690883,-0.1750104
81,-1.0564374,-1.2217093,"('submissive', 'aggressive')",-0.6419521,-0.7985147,-0.8491948,-1.010112,0.1609172
73,1.0472572,1.3328342,"('helpless', 'self-reliant')",-2.9182549,-2.64501,-0.9354988,-0.6560879,-0.2794109
88,-1.0435674,-1.2336677,"('low', 'eminent')",0.01184025,-0.023570096,-0.5158636,-0.6286189,0.1127553
76,-1.0158942,-1.1265044,"('anxious', 'daring')",0.33458036,0.25260594,-0.3406569,-0.4369493,0.0962924
65,-1.0073996,-1.0120981,"('insecure', 'secure')",0.021615122,0.06137551,-0.4928922,-0.4753613,-0.0175309
34,-0.99494386,-1.0229479,"('mean', 'honorable')",5.0435863,5.379204,2.0243211,2.178128,-0.1538069
27,-0.9678733,-0.6199615,"('hardhearted', 'softhearted')",-0.13251954,0.30369377,-0.5501964,-0.1581339,-0.3920625
22,-0.92581075,-0.9618797,"('untrustworthy', 'trustworthy')",-0.86549395,-0.7702585,-0.8956524,-0.8660691,-0.0295833
54,-0.84888715,-0.95375746,"('incapable', 'capable')",0.9564144,0.95347446,0.0537636,-0.0001415,0.0539051
56,-0.8481855,-0.9090468,"('impractical', 'practical')",0.4218115,0.14153707,-0.213187,-0.3837549,0.1705679
41,-0.7581836,-0.8101189,"('unforgiving', 'forgiving')",0.062993385,-0.06567697,-0.3475951,-0.437898,0.0903029
59,0.75795794,0.7496529,"('foolish', 'wise')",0.44469708,0.46958205,0.6013275,0.6096175,-0.00829
14,-0.73361796,-0.6837309,"('antisocial', 'social')",-0.18715493,-0.1951253,-0.4603865,-0.4394281,-0.0209584
30,-0.7067092,-0.8225094,"('intolerant', 'tolerant')",1.0732179,1.0994617,0.1832543,0.1384761,0.0447782
8,-0.7047573,-0.64715457,"('unaffectionate', 'affectionate')",0.6548192,1.0084785,-0.024969,0.180662,-0.205631
3,-0.69195867,-0.87535214,"('repellent', 'pleasant')",0.42207733,0.31819877,-0.1349407,-0.2785767,0.143636
47,-0.6352389,-0.58554995,"('stupid', 'smart')",5.167731,5.3776903,2.2662458,2.3960702,-0.1298244
51,-0.63087744,-0.7675869,"('uneducated', 'educated')",0.7630026,0.55659324,0.0660626,-0.1054968,0.1715594
67,0.6178414,0.48050177,"('doubtful', 'determined')",-0.18421918,-0.51201844,0.2168111,-0.0157583,0.2325694
4,0.56514806,0.6417954,"('disliked', 'liked')",-5.2596855,-5.404252,-2.3472688,-2.3812284,0.0339596
25,0.54277533,0.72467965,"('egoistic', 'altruistic')",0.6125794,0.7684654,0.5776774,0.7465725,-0.1688951
26,-0.5302982,-0.55897605,"('hardhearted', 'benevolent')",1.7980901,1.6606859,0.633896,0.5508549,0.0830411
77,-0.51786435,-0.42653316,"('unmotivated', 'motivated')",-1.0733783,-1.0638338,-0.7956213,-0.7451835,-0.0504378
18,-0.51191056,-0.42512435,"('disagreeable', 'welcoming')",-1.0837562,-0.8447048,-0.7978334,-0.6349146,-0.1629188
37,-0.49763742,-0.5999404,"('fake', 'genuine')",-0.12475243,0.025804222,-0.3111949,-0.2870681,-0.0241268
71,-0.42246443,-0.34762633,"('diffident', 'self-confident')",0.10350853,0.10719198,-0.1594779,-0.1202172,-0.0392607
66,-0.40349644,-0.26568982,"('inactive', 'active')",0.34348384,0.46998018,-0.0300063,0.1021452,-0.1321515
84,0.38701504,0.51223224,"('inferior', 'superior')",0.7030135,0.9031281,0.5450143,0.7076802,-0.1626659
74,-0.38232753,-0.44578636,"('undedicated', 'dedicated')",0.36429766,0.24729699,-0.0090149,-0.0992447,0.0902298
64,-0.38029423,-0.1395155,"('shy', 'confident')",-6.121955,-6.192836,-3.2511246,-3.1661756,-0.084949
2,0.3774523,0.32309312,"('unlikable', 'likable')",0.15130109,0.11512296,0.2643767,0.219108,0.0452687
15,0.3662196,0.12202494,"('boring', 'funny')",0.7025888,0.5222892,0.5344042,0.3221571,0.2122471
82,-0.33027783,-0.46918392,"('poor', 'rich')",5.5018516,5.7907085,2.5857868,2.6607623,-0.0749755
36,0.31380117,0.14067031,"('hostile', 'amicable')",0.11856717,0.075386465,0.2161842,0.1080284,0.1081558
5,0.30722952,0.37486842,"('distant', 'outgoing')",-0.32840335,0.114374965,-0.0105869,0.2446217,-0.2552086
68,-0.30186456,-0.19114572,"('dependent', 'independent')",-0.49489638,-0.26500866,-0.3983805,-0.2280772,-0.1703033
80,0.28543666,0.27676702,"('dominated', 'dominating')",-0.3801153,-0.57164747,-0.0473393,-0.1474402,0.1001009
16,0.28426975,0.3481375,"('unpopular', 'popular')",0.018522985,0.037648596,0.1513964,0.192893,-0.0414966
39,-0.27200568,-0.3062818,"('exploitative', 'cooperative')",0.094772175,0.056026023,-0.0886168,-0.1251279,0.0365111
33,0.26950237,0.26051065,"('wrong', 'right')",-0.560538,-0.51321155,-0.1455178,-0.1263504,-0.0191674
19,-0.24034616,-0.4736003,"('inhospitable', 'hospitable')",-0.29897073,-0.37937227,-0.2696584,-0.4264863,0.1568279
58,-0.22434379,-0.17116477,"('undiscriminating', 'discriminating')",0.31832325,0.32170978,0.0469897,0.0752725,-0.0282828
31,0.2225694,0.286852,"('evil', 'good')",-1.1388354,-1.107324,-0.458133,-0.410236,-0.047897
29,-0.19211026,-0.027639505,"('unfair', 'fair')",-0.33713108,-0.46924606,-0.2646207,-0.2484428,-0.0161779
83,-0.16780843,-0.19566736,"('powerless', 'powerful')",-1.0219897,-1.2071354,-0.5948991,-0.7014014,0.1065023
52,0.13599445,0.12387425,"('irrational', 'rational')",-0.39086226,-0.37165135,-0.1274339,-0.1238886,-0.0035453
20,-0.10921242,0.01568935,"('rough', 'thoughtful')",1.1231576,1.3763041,0.5069726,0.6959968,-0.1890242
42,-0.08610283,-0.0670631,"('unreliable', 'reliable')",-3.1113183,-3.2667716,-1.5987105,-1.6669173,0.0682068
50,0.084474936,-0.014810018,"('clumsy', 'skillful')",-0.45824,-0.5026019,-0.1868825,-0.258706,0.0718235
6,0.075749725,0.09357628,"('distant', 'open')",0.015115321,0.31145144,0.0454325,0.2025139,-0.1570814
87,-0.06827129,-0.011158824,"('unsuccessful', 'successful')",1.0328866,1.1634247,0.4823077,0.576133,-0.0938253
79,0.04575648,-0.17272499,"('wavering', 'unwavering')",-0.11226674,-0.03983369,-0.0332551,-0.1062793,0.0730242
40,0.020202702,0.38006076,"('stingy', 'generous')",-1.8217299,-1.310703,-0.9007636,-0.4653211,-0.4354425
