,cardinal_male,cardinal_female,tuple,health_male,health_female,inc_male,inc_female,average_male,average_female,male-female
31,-3.4125733,-3.4197705,"('evil', 'good')",-1.3541613,-1.1591578,-1.6231098,-1.3677859,-2.1299481,-1.982238,-0.1477101
21,3.0766504,2.7811599,"('immoral', 'moral')",1.7859242,1.5842625,-0.23747791,-0.41982442,1.5416989,1.3151993,0.2264996
76,2.6986551,2.5527241,"('anxious', 'daring')",0.46733308,0.228539,0.75258183,0.33532223,1.30619,1.0388618,0.2673282
60,2.4062536,2.1514835,"('inefficient', 'efficient')",1.1409173,0.65045804,0.5777984,0.15298961,1.3749898,0.9849771,0.3900127
32,1.8790894,1.8751323,"('unkind', 'kind')",1.9971659,1.9507159,1.3977042,1.451282,1.7579865,1.7590434,-0.0010569
56,1.840319,1.6081582,"('impractical', 'practical')",1.678132,1.3353182,0.20694484,-0.11274704,1.2417987,0.9435765,0.2982222
70,1.8009217,1.5551994,"('lethargic', 'energetic')",0.5483223,0.42046207,1.2842855,1.112271,1.2111766,1.0293109,0.1818657
36,-1.7848134,-1.7490708,"('hostile', 'amicable')",-1.1813134,-0.94576955,-0.21266915,-0.014094628,-1.0595987,-0.9029783,-0.1566204
6,-1.7483568,-1.743166,"('distant', 'open')",-0.20970802,-0.023413457,0.122337095,0.19906414,-0.6119092,-0.5225051,-0.0894041
52,-1.7442563,-1.618937,"('irrational', 'rational')",-0.8260435,-0.5360139,-0.6475521,-0.29752213,-1.0726172,-0.817491,-0.2551262
16,-1.7262677,-1.9168606,"('unpopular', 'popular')",-0.3143713,-0.37976816,0.3799696,0.25314596,-0.5535564,-0.6811609,0.1276045
43,1.6974324,1.5537735,"('irresponsible', 'responsible')",1.7422712,1.4802794,0.9582413,0.79599553,1.4659816,1.2766828,0.1892988
23,1.6374928,1.7556442,"('insincere', 'sincere')",0.40165374,0.29020247,6.15846,5.992905,2.7325357,2.6795839,0.0529518
74,1.5909889,1.4594032,"('undedicated', 'dedicated')",0.4095509,0.32479176,0.0060603246,0.019921286,0.6688667,0.6013721,0.0674946
12,1.4972111,1.6910932,"('unsupportive', 'supportive')",2.0926182,2.2394013,-1.7224368,-1.5141634,0.6224642,0.8054438,-0.1829796
62,1.4423083,1.2073326,"('incompetent', 'brilliant')",0.94455284,0.65205735,0.45942032,0.20539491,0.9487605,0.6882617,0.2604988
69,-1.4317557,-1.3791077,"('lazy', 'industrious')",0.3129014,0.4486252,-0.5834163,-0.2696399,-0.5674235,-0.4000408,-0.1673827
65,1.3858749,1.1652343,"('insecure', 'secure')",-0.12435004,-0.48214,-0.033185333,-0.3575266,0.4094465,0.1085226,0.3009239
4,-1.3019345,-1.33785,"('disliked', 'liked')",0.4260869,0.5253702,-6.721154,-6.6207027,-2.532334,-2.4777276,-0.0546064
34,1.2628909,1.1488975,"('mean', 'honorable')",0.957033,0.78052217,6.3278155,6.1124015,2.8492463,2.6806072,0.1686391
5,-1.26042,-1.4133892,"('distant', 'outgoing')",-0.16813448,-0.0764776,-0.5206144,-0.5437723,-0.6497229,-0.6778797,0.0281568
48,1.2043977,1.1175326,"('unintelligent', 'intelligent')",1.0446268,1.0101573,0.63097644,0.6307783,0.9600003,0.9194894,0.0405109
18,1.195212,1.2014736,"('disagreeable', 'welcoming')",-0.36390194,-0.37709075,-0.30845717,-0.38879126,0.1742843,0.1451972,0.0290871
84,1.1871516,1.0787495,"('inferior', 'superior')",0.68161315,0.71702164,0.5106061,0.59388065,0.7931236,0.7965506,-0.003427
10,1.1803488,1.2764862,"('unsympathetic', 'sympathetic')",0.28640884,0.22939698,0.107569955,0.09097803,0.5247758,0.532287,-0.0075112
7,1.1016068,1.2599864,"('insensitive', 'sensitive')",0.20439029,0.10969861,0.86790633,1.0992479,0.7246345,0.8229777,-0.0983432
46,1.0583057,0.74333656,"('uncompetitive', 'competitive')",0.85613376,0.6567589,-0.84592634,-1.0090928,0.3561711,0.1303342,0.2258369
8,-1.0134875,-0.95550174,"('unaffectionate', 'affectionate')",-0.7707843,-0.49697518,0.18721974,0.463822,-0.5323507,-0.3295517,-0.202799
11,1.0005615,0.98431325,"('unhelpful', 'helpful')",0.41433445,0.33540034,1.9552615,1.8602414,1.1233857,1.059985,0.0634007
41,0.99308497,1.0447823,"('unforgiving', 'forgiving')",0.6416337,0.70083106,-0.06820096,-0.027496628,0.5221726,0.5727056,-0.050533
17,-0.97321206,-0.9899081,"('nasty', 'nice')",-0.21319254,-0.33515716,-0.2522473,-0.23274113,-0.4795506,-0.5192688,0.0397182
35,-0.9501837,-0.8568444,"('corrupt', 'incorrupt')",-1.3748933,-1.2003092,-0.3641035,-0.14066802,-0.8963935,-0.7326072,-0.1637863
39,0.90729606,1.236625,"('exploitative', 'cooperative')",0.17182866,0.16921845,0.17221835,0.3471857,0.4171143,0.584343,-0.1672287
2,0.88928515,0.65693283,"('unlikable', 'likable')",1.4880618,1.4380373,0.495238,0.42782962,0.9575284,0.8409333,0.1165951
25,-0.8441679,-0.7850403,"('egoistic', 'altruistic')",-0.21708071,-0.037098765,1.3481393,1.5716248,0.0956302,0.2498286,-0.1541984
26,0.7901071,0.96050835,"('hardhearted', 'benevolent')",1.0713305,1.2968404,1.4542413,1.7956129,1.1052263,1.3509873,-0.245761
24,0.78583795,0.8618992,"('dishonest', 'honest')",0.45876694,0.44684902,0.96459085,0.89400655,0.7363985,0.7342516,0.0021469
22,0.7504007,0.6595931,"('untrustworthy', 'trustworthy')",0.25702047,0.195841,-0.950639,-1.0249307,0.0189274,-0.0564989,0.0754263
13,0.7450021,0.53311676,"('impolite', 'polite')",0.7172543,0.40436935,-0.11950335,-0.45537424,0.4475844,0.160704,0.2868804
80,0.72669667,0.7546361,"('dominated', 'dominating')",0.20245677,0.13635147,-0.9643126,-0.88042045,-0.0117197,0.0035224,-0.0152421
42,0.71522474,0.6654398,"('unreliable', 'reliable')",1.4728696,1.5170145,-2.3898854,-2.284129,-0.0672637,-0.0338915,-0.0333722
86,0.6974025,0.64023304,"('uninfluential', 'influential')",0.14847943,0.15713745,-0.26329926,-0.29119924,0.1941942,0.1687237,0.0254705
77,0.668881,0.46899086,"('unmotivated', 'motivated')",0.38799825,0.41902116,-1.0330243,-1.0514433,0.0079517,-0.0544771,0.0624288
83,0.62445354,0.5518433,"('powerless', 'powerful')",0.530455,0.48767018,-0.82323515,-0.7644456,0.1105578,0.0916893,0.0188685
