,eog_male,eog_female,tuple,resources_male,resources_female,inc_male,inc_female,average_male,average_female,male-female
56,1.6104017,1.4603904,"('impractical', 'practical')",1.3962438,1.2606066,0.09339823,-0.38224855,1.033348,0.7795828,0.2537652
39,1.524686,1.8260691,"('exploitative', 'cooperative')",0.06270888,0.26848894,0.20896615,0.24205145,0.598787,0.7788698,-0.1800828
60,1.46068,1.6481758,"('inefficient', 'efficient')",1.7440424,1.8797991,0.25939965,0.032652088,1.1547074,1.1868757,-0.0321683
66,-1.325273,-1.1411172,"('inactive', 'active')",-1.3415662,-1.195167,0.41929156,0.7081549,-0.7491825,-0.5427097,-0.2064728
53,-1.295873,-0.99032795,"('uncreative', 'creative')",-0.0061714724,0.2787653,0.6024842,0.718077,-0.2331868,0.0021715,-0.2353583
59,1.2121416,1.126667,"('foolish', 'wise')",0.6748212,0.68303204,0.5587034,0.4842173,0.8152221,0.7646387,0.0505834
86,-1.1835128,-0.93335354,"('uninfluential', 'influential')",-0.5562368,-0.3554349,-0.26828647,-0.19514382,-0.6693454,-0.4946441,-0.1747013
81,1.1834431,1.3390336,"('submissive', 'aggressive')",1.2868661,1.3603961,-0.3085606,-0.59127986,0.7205829,0.7027167,0.0178662
1,-1.1680826,-1.1478071,"('unfriendly', 'friendly')",0.13219744,0.28656095,1.6288074,1.7276148,0.1976408,0.2887895,-0.0911487
73,1.1356527,1.2190263,"('helpless', 'self-reliant')",0.650187,0.60237825,-2.6256201,-2.5816176,-0.2799268,-0.2534043,-0.0265225
31,-1.1247969,-1.1919637,"('evil', 'good')",-1.0946369,-1.0533025,-1.0428467,-0.7438412,-1.0874268,-0.9963691,-0.0910577
0,-1.1074567,-0.8687949,"('unsociable', 'sociable')",0.26649764,0.39322305,-0.51035064,-0.5161185,-0.4504366,-0.3305635,-0.1198731
18,-1.0735347,-0.83315754,"('disagreeable', 'welcoming')",-0.75764245,-0.5576065,-0.29249993,-0.010966834,-0.7078924,-0.4672436,-0.2406488
10,-1.0670689,-0.7570415,"('unsympathetic', 'sympathetic')",-0.41236153,-0.08711491,-0.31055945,-0.4365811,-0.5966633,-0.4269125,-0.1697508
