,amerisourcebergen_male,amerisourcebergen_female,tuple,corp_male,corp_female,average_male,average_female,male-female
86,-2.2865107,-2.2209733,"('uninfluential', 'influential')",-1.0768502,-1.0217004,-1.6816804,-1.6213368,-0.0603436
1,-2.0672076,-2.1335754,"('unfriendly', 'friendly')",1.6104434,1.4561156,-0.2283821,-0.3387299,0.1103478
9,-1.8429826,-1.8717797,"('unaffectionate', 'caring')",1.4432319,1.5959717,-0.1998754,-0.137904,-0.0619714
8,-1.8270439,-1.9497527,"('unaffectionate', 'affectionate')",1.142658,1.0887564,-0.3421929,-0.4304981,0.0883052
10,-1.7972691,-1.618013,"('unsympathetic', 'sympathetic')",-0.62213653,-0.4489445,-1.2097028,-1.0334787,-0.1762241
69,1.5767437,1.3917419,"('lazy', 'industrious')",-0.092499256,-0.23944148,0.7421222,0.5761502,0.165972
0,-1.5119642,-1.4648596,"('unsociable', 'sociable')",-0.46545425,-0.5423546,-0.9887092,-1.003607,0.0148978
53,-1.4530704,-1.5265185,"('uncreative', 'creative')",0.65539306,0.539677,-0.3988387,-0.4934207,0.094582
44,1.408493,1.3399498,"('prejudiced', 'unprejudiced')",-1.0502865,-0.99072826,0.1791033,0.1746108,0.0044925
12,-1.403728,-1.3194778,"('unsupportive', 'supportive')",-2.207723,-2.2524874,-1.8057255,-1.7859826,-0.0197429
28,-1.3474153,-1.3479059,"('disloyal', 'loyal')",0.966239,0.97952306,-0.1905882,-0.1841914,-0.0063968
19,-1.2114037,-1.2708372,"('inhospitable', 'hospitable')",-0.6430913,-0.48828363,-0.9272475,-0.8795604,-0.0476871
41,-1.1618822,-1.0406394,"('unforgiving', 'forgiving')",-0.27358004,-0.26540974,-0.7177311,-0.6530246,-0.0647065
38,-1.1285332,-1.0815536,"('untruthful', 'truthful')",-0.27098396,-0.25372583,-0.6997586,-0.6676397,-0.0321189
23,-1.1202381,-1.0829105,"('insincere', 'sincere')",5.6366386,5.9837294,2.2582002,2.4504094,-0.1922092
58,-1.1074772,-1.0314689,"('undiscriminating', 'discriminating')",-0.08997691,-0.24162734,-0.598727,-0.6365481,0.0378211
46,-1.0694149,-0.96710396,"('uncompetitive', 'competitive')",-1.2983989,-1.3731492,-1.1839068,-1.1701266,-0.0137802
24,-0.99893266,-0.93820643,"('dishonest', 'honest')",0.43488905,0.67402136,-0.2820218,-0.1320925,-0.1499293
63,-0.97475934,-0.86040175,"('unperceptive', 'insightful')",0.12643759,0.15121335,-0.4241609,-0.3545942,-0.0695667
57,-0.9739599,-0.91402984,"('unimaginative', 'imaginative')",-3.168431,-3.3915596,-2.0711956,-2.1527948,0.0815992
35,0.97362673,0.79578966,"('corrupt', 'incorrupt')",-0.28827623,-0.4147418,0.3426753,0.1905239,0.1521514
2,0.9607598,0.9211439,"('unlikable', 'likable')",0.87033445,0.857289,0.9155471,0.8892164,0.0263307
42,0.94936734,0.9484103,"('unreliable', 'reliable')",-3.1943088,-3.2387853,-1.1224707,-1.1451875,0.0227168
73,0.9289761,0.92301494,"('helpless', 'self-reliant')",-3.1112912,-3.2433956,-1.0911576,-1.1601903,0.0690327
45,-0.92377424,-0.7959788,"('incompetent', 'competent')",-0.16446781,-0.25460505,-0.544121,-0.5252919,-0.0188291
72,-0.8780698,-0.84574604,"('unambitious', 'ambitious')",-0.49429318,-0.2469281,-0.6861815,-0.5463371,-0.1398444
31,-0.834768,-0.87338424,"('evil', 'good')",-0.6947052,-0.74114114,-0.7647366,-0.8072627,0.0425261
11,-0.80671835,-0.751196,"('unhelpful', 'helpful')",1.7115064,1.7914926,0.452394,0.5201483,-0.0677543
88,-0.7984256,-0.7968998,"('low', 'eminent')",-0.6056786,-0.48357734,-0.7020521,-0.6402386,-0.0618135
32,-0.79484683,-0.7522429,"('unkind', 'kind')",0.5048449,0.6763443,-0.145001,-0.0379493,-0.1070517
74,-0.7491288,-0.6845488,"('undedicated', 'dedicated')",-0.55393094,-0.5816446,-0.6515299,-0.6330967,-0.0184332
36,-0.7179942,-0.93662566,"('hostile', 'amicable')",0.050914608,-0.08624898,-0.3335398,-0.5114373,0.1778975
51,-0.7168484,-0.6947822,"('uneducated', 'educated')",-0.53616023,-0.4315061,-0.6265043,-0.5631441,-0.0633602
43,-0.71623504,-0.6759065,"('irresponsible', 'responsible')",0.3984808,0.43966258,-0.1588771,-0.118122,-0.0407551
48,-0.71002334,-0.5726316,"('unintelligent', 'intelligent')",0.6112319,0.5913389,-0.0493957,0.0093536,-0.0587493
76,0.6460533,0.77737963,"('anxious', 'daring')",-0.433214,-0.31884718,0.1064197,0.2292662,-0.1228465
26,-0.6256136,-0.66746897,"('hardhearted', 'benevolent')",1.6268977,1.4540905,0.5006421,0.3933108,0.1073313
50,0.61589843,0.51164544,"('clumsy', 'skillful')",0.2749306,0.28792483,0.4454145,0.3997851,0.0456294
80,0.6117911,0.6728212,"('dominated', 'dominating')",-1.0863209,-1.1907381,-0.2372649,-0.2589584,0.0216935
67,0.6066756,0.62254983,"('doubtful', 'determined')",-0.40877676,-0.38779643,0.0989494,0.1173767,-0.0184273
39,0.597287,0.57933015,"('exploitative', 'cooperative')",0.40225294,0.33948746,0.49977,0.4594088,0.0403612
77,-0.57776576,-0.54005325,"('unmotivated', 'motivated')",-1.3825625,-1.3192649,-0.9801642,-0.9296591,-0.0505051
18,-0.5707642,-0.57228196,"('disagreeable', 'welcoming')",-0.5662976,-0.50009537,-0.5685309,-0.5361887,-0.0323422
15,0.5494221,0.49185503,"('boring', 'funny')",0.051768035,0.17581093,0.300595,0.333833,-0.033238
78,-0.5425002,-0.5263552,"('nonresilient', 'resilient')",0.03200971,-0.113560915,-0.2552452,-0.3199581,0.0647129
4,-0.54091185,-0.5193714,"('disliked', 'liked')",-7.387035,-7.7460847,-3.9639733,-4.1327281,0.1687548
7,-0.5306887,-0.5257112,"('insensitive', 'sensitive')",0.22136381,0.19751376,-0.1546624,-0.1640987,0.0094363
6,-0.52762914,-0.6112779,"('distant', 'open')",0.03378424,0.057727017,-0.2469224,-0.2767754,0.029853
61,-0.5227405,-0.5268468,"('illogical', 'logical')",0.33846688,0.22435576,-0.0921368,-0.1512455,0.0591087
70,-0.5224379,-0.44550127,"('lethargic', 'energetic')",-0.037727196,0.06295313,-0.2800825,-0.1912741,-0.0888084
71,-0.48920223,-0.6088936,"('diffident', 'self-confident')",0.5199227,0.6005054,0.0153602,-0.0041941,0.0195543
52,-0.4805918,-0.5917361,"('irrational', 'rational')",0.6737871,0.47993627,0.0965977,-0.0558999,0.1524976
79,-0.47999462,-0.60946417,"('wavering', 'unwavering')",-0.34559917,-0.20308863,-0.4127969,-0.4062764,-0.0065205
85,-0.47788352,-0.6326857,"('insignificant', 'prestigious')",0.16087964,-0.06839275,-0.1585019,-0.3505392,0.1920373
20,0.4646074,0.4958734,"('rough', 'thoughtful')",1.1327804,0.868608,0.7986939,0.6822407,0.1164532
5,-0.46121237,-0.5323476,"('distant', 'outgoing')",-0.2332647,-0.20369571,-0.3472385,-0.3680217,0.0207832
64,0.4422917,0.45884567,"('shy', 'confident')",-6.702489,-6.778233,-3.1300986,-3.1596937,0.0295951
55,-0.43720025,-0.33103287,"('incompetent', 'clever')",-0.03099271,-0.13541588,-0.2340965,-0.2332244,-0.0008721
27,-0.41513866,-0.43674406,"('hardhearted', 'softhearted')",1.2016507,1.189378,0.393256,0.376317,0.016939
3,-0.4114269,-0.34989312,"('repellent', 'pleasant')",0.5186409,0.55526996,0.053607,0.1026884,-0.0490814
40,-0.4076306,-0.36523995,"('stingy', 'generous')",-2.0241835,-2.341096,-1.2159071,-1.3531679,0.1372608
82,-0.38236254,-0.3509075,"('poor', 'rich')",6.244898,6.5613194,2.9312677,3.105206,-0.1739383
54,-0.3749257,-0.4114282,"('incapable', 'capable')",0.86405075,1.1641024,0.2445625,0.3763371,-0.1317746
