,hospira_male,hospira_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-2.0844758,-1.9812666,"('unfriendly', 'friendly')",1.8028414,1.982335,-0.1408172,0.0005342,-0.1413514
9,-1.937244,-1.8239466,"('unaffectionate', 'caring')",1.1288389,1.4296944,-0.4042026,-0.1971261,-0.2070765
53,-1.863322,-1.7186635,"('uncreative', 'creative')",0.532713,0.60090226,-0.6653045,-0.5588806,-0.1064239
10,-1.818006,-2.0384157,"('unsympathetic', 'sympathetic')",-0.33640766,-0.3832002,-1.0772069,-1.2108079,0.133601
6,-1.7399718,-1.4816056,"('distant', 'open')",0.03236804,0.22165881,-0.8538018,-0.6299734,-0.2238284
86,-1.700114,-1.9510305,"('uninfluential', 'influential')",-0.18499374,-0.30146268,-0.9425539,-1.1262466,0.1836927
19,-1.4462895,-1.0316361,"('inhospitable', 'hospitable')",-0.010470707,0.26167756,-0.7283801,-0.3849793,-0.3434008
79,-1.3786038,-1.0997024,"('wavering', 'unwavering')",-0.22713226,-0.1371895,-0.802868,-0.6184459,-0.1844221
38,-1.3646266,-1.2899133,"('untruthful', 'truthful')",-0.057188503,0.11464529,-0.7109076,-0.587634,-0.1232736
54,-1.3324325,-1.3592103,"('incapable', 'capable')",1.3983468,1.381343,0.0329571,0.0110664,0.0218907
28,-1.3278205,-1.3199248,"('disloyal', 'loyal')",0.7463948,0.8558189,-0.2907129,-0.232053,-0.0586599
8,-1.3231947,-1.2446785,"('unaffectionate', 'affectionate')",0.8618342,1.1093547,-0.2306803,-0.0676619,-0.1630184
57,-1.2967978,-1.3419503,"('unimaginative', 'imaginative')",-2.767996,-2.9329205,-2.0323968,-2.1374354,0.1050386
5,-1.2129867,-1.0216521,"('distant', 'outgoing')",-0.20246908,-0.03899815,-0.7077279,-0.5303251,-0.1774028
66,-1.2079458,-1.3064823,"('inactive', 'active')",0.32677662,0.07208755,-0.4405846,-0.6171974,0.1766128
45,-1.1832657,-1.1422201,"('incompetent', 'competent')",-0.22512361,-0.21086213,-0.7041947,-0.6765411,-0.0276536
61,-1.1542624,-1.1787007,"('illogical', 'logical')",0.40988433,0.42645207,-0.372189,-0.3761243,0.0039353
43,-1.074863,-1.3255768,"('irresponsible', 'responsible')",0.74963623,0.7232345,-0.1626134,-0.3011712,0.1385578
73,1.0688844,1.192915,"('helpless', 'self-reliant')",-3.00739,-2.8513112,-0.9692528,-0.8291981,-0.1400547
23,-1.0625805,-1.1399872,"('insincere', 'sincere')",6.324737,6.4946423,2.6310782,2.6773276,-0.0462494
71,-1.0247852,-1.0114869,"('diffident', 'self-confident')",0.34677586,0.39838243,-0.3390046,-0.3065522,-0.0324524
24,-1.0205343,-1.116613,"('dishonest', 'honest')",0.845714,1.1293788,-0.0874102,0.0063829,-0.0937931
12,-0.985092,-1.0887089,"('unsupportive', 'supportive')",-1.7007812,-1.642994,-1.3429366,-1.3658514,0.0229148
44,0.96745896,0.92466617,"('prejudiced', 'unprejudiced')",-1.4393518,-1.6602097,-0.2359464,-0.3677717,0.1318253
88,-0.96071655,-1.0429357,"('low', 'eminent')",0.20938475,0.2814778,-0.3756659,-0.380729,0.0050631
36,-0.8884588,-0.6355881,"('hostile', 'amicable')",-0.20794599,-0.14687811,-0.5482024,-0.3912331,-0.1569693
52,-0.8840418,-0.77382314,"('irrational', 'rational')",0.1027523,0.13340014,-0.3906447,-0.3202115,-0.0704332
0,-0.8830123,-1.2003459,"('unsociable', 'sociable')",-0.28351223,-0.39512163,-0.5832623,-0.7977338,0.2144715
16,-0.87750185,-0.78959537,"('unpopular', 'popular')",0.1304962,-0.05300232,-0.3735028,-0.4212988,0.047796
31,-0.86209124,-0.749262,"('evil', 'good')",-1.3086056,-1.2139549,-1.0853484,-0.9816085,-0.1037399
63,-0.82429504,-0.9858745,"('unperceptive', 'insightful')",1.1901643,1.1449964,0.1829346,0.079561,0.1033736
46,-0.8184616,-1.2838271,"('uncompetitive', 'competitive')",-0.46173158,-0.7207638,-0.6400966,-1.0022955,0.3621989
7,-0.8044436,-0.9336951,"('insensitive', 'sensitive')",0.8880228,0.9028617,0.0417896,-0.0154167,0.0572063
11,-0.7999297,-0.9070055,"('unhelpful', 'helpful')",1.9262872,2.0219967,0.5631788,0.5574956,0.0056832
32,-0.7621098,-0.69102633,"('unkind', 'kind')",1.024962,1.179749,0.1314261,0.2443613,-0.1129352
17,-0.7170705,-0.5291894,"('nasty', 'nice')",-0.32882297,-0.2856832,-0.5229467,-0.4074363,-0.1155104
51,-0.65338385,-0.62645155,"('uneducated', 'educated')",0.6608482,0.51882625,0.0037322,-0.0538127,0.0575449
13,-0.63930607,-0.6795073,"('impolite', 'polite')",-0.22082219,-0.18425614,-0.4300641,-0.4318817,0.0018176
74,-0.6387107,-0.70563537,"('undedicated', 'dedicated')",-0.16406041,-0.089737326,-0.4013855,-0.3976864,-0.0036991
78,-0.6062141,-0.74355835,"('nonresilient', 'resilient')",0.37883192,0.0943592,-0.1136911,-0.3245996,0.2109085
77,-0.5956057,-0.9793916,"('unmotivated', 'motivated')",-1.2521892,-1.5186268,-0.9238974,-1.2490091,0.3251117
65,0.572171,0.4893921,"('insecure', 'secure')",0.032441393,-0.069336355,0.3023062,0.2100279,0.0922783
14,0.56172675,0.38486674,"('antisocial', 'social')",-0.3156546,-0.45084274,0.1230361,-0.032988,0.1560241
69,0.53715503,0.45932275,"('lazy', 'industrious')",-0.84668416,-1.0027466,-0.1547646,-0.2717119,0.1169473
82,-0.530813,-0.4706472,"('poor', 'rich')",6.3729897,6.4555693,2.9210882,2.992461,-0.0713728
56,-0.52938735,-0.44879714,"('impractical', 'practical')",-0.21741182,-0.056851603,-0.3733996,-0.2528244,-0.1205752
4,-0.49905804,-0.17562716,"('disliked', 'liked')",-7.137231,-7.187315,-3.8181446,-3.6814711,-0.1366735
58,-0.49462095,-0.45220235,"('undiscriminating', 'discriminating')",0.30735585,0.21836506,-0.0936325,-0.1169186,0.0232861
87,-0.47295374,-0.658777,"('unsuccessful', 'successful')",0.76574194,0.5769425,0.1463941,-0.0409172,0.1873113
84,0.4614325,0.54845905,"('inferior', 'superior')",0.9716225,1.0261767,0.7165275,0.7873179,-0.0707904
83,-0.45628616,-0.4058253,"('powerless', 'powerful')",-0.88009065,-0.84462166,-0.6681884,-0.6252235,-0.0429649
85,-0.4471569,-0.48855045,"('insignificant', 'prestigious')",0.2929548,0.16921088,-0.0771011,-0.1596698,0.0825687
72,-0.42845052,-0.3889387,"('unambitious', 'ambitious')",-0.5845352,-0.41394457,-0.5064929,-0.4014416,-0.1050513
60,0.4197408,0.24212144,"('inefficient', 'efficient')",0.40817666,0.39135796,0.4139587,0.3167397,0.097219
30,0.41830522,0.39898863,"('intolerant', 'tolerant')",1.2930514,1.4148425,0.8556783,0.9069155,-0.0512372
22,0.3678735,0.30988392,"('untrustworthy', 'trustworthy')",-0.4245101,-0.35786656,-0.0283183,-0.0239913,-0.004327
47,-0.361246,-0.42766434,"('stupid', 'smart')",5.860185,5.9399376,2.7494695,2.7561367,-0.0066672
2,0.35034958,0.18826674,"('unlikable', 'likable')",0.4439247,0.4829756,0.3971371,0.3356212,0.0615159
64,0.3443803,0.19114232,"('shy', 'confident')",-6.694555,-6.918013,-3.1750872,-3.3634353,0.1883481
39,0.32371312,0.060838953,"('exploitative', 'cooperative')",0.42335466,0.40300873,0.3735339,0.2319238,0.1416101
75,0.32357645,0.5034156,"('meek', 'impulsive')",-0.8115425,-0.80686295,-0.243983,-0.1517237,-0.0922593
15,-0.31855178,-0.08696267,"('boring', 'funny')",0.4898131,0.4569122,0.0856307,0.1849748,-0.0993441
26,-0.3126115,-0.23883295,"('hardhearted', 'benevolent')",1.4527617,1.5012289,0.5700751,0.631198,-0.0611229
76,0.30155644,0.35919335,"('anxious', 'daring')",0.34953922,0.21125759,0.3255478,0.2852255,0.0403223
55,0.29110155,0.051411614,"('incompetent', 'clever')",0.51406693,0.35379815,0.4025843,0.2026049,0.1999794
3,-0.2893254,-0.57474846,"('repellent', 'pleasant')",0.3440214,0.28195477,0.027348,-0.1463968,0.1737448
41,-0.28598446,-0.1618782,"('unforgiving', 'forgiving')",0.023921167,0.041090377,-0.1310316,-0.0603939,-0.0706377
40,0.27157882,0.2691505,"('stingy', 'generous')",-1.3954985,-1.5389982,-0.5619599,-0.6349239,0.072964
62,-0.26755974,-0.3071698,"('incompetent', 'brilliant')",0.5382301,0.6633043,0.1353352,0.1780673,-0.0427321
35,0.26509246,0.78648245,"('corrupt', 'incorrupt')",-0.60305536,-0.40704417,-0.1689814,0.1897191,-0.3587005
67,0.22918269,0.22975662,"('doubtful', 'determined')",-0.8224817,-0.705508,-0.2966495,-0.2378757,-0.0587738
29,-0.22704212,-0.08658087,"('unfair', 'fair')",-0.2360008,-0.13622801,-0.2315215,-0.1114044,-0.1201171
81,0.20995533,-0.12312679,"('submissive', 'aggressive')",-0.5315285,-0.7182371,-0.1607866,-0.420682,0.2598954
25,-0.18437408,-0.28854156,"('egoistic', 'altruistic')",1.3451245,1.3710303,0.5803752,0.5412444,0.0391308
18,-0.17372172,-0.16251709,"('disagreeable', 'welcoming')",0.013839349,-0.033679944,-0.0799412,-0.0980985,0.0181573
80,0.1655247,-0.09664819,"('dominated', 'dominating')",-1.063413,-1.2898238,-0.4489442,-0.693236,0.2442918
49,-0.15019684,-0.017798632,"('unable', 'able')",0.22685589,0.35152185,0.0383295,0.1668616,-0.1285321
70,-0.14605585,-0.31320283,"('lethargic', 'energetic')",0.6173028,0.5137351,0.2356235,0.1002661,0.1353574
68,-0.11692202,-0.17159398,"('dependent', 'independent')",-0.07411246,-0.17446241,-0.0955172,-0.1730282,0.077511
33,-0.11547015,-0.09191474,"('wrong', 'right')",-0.52749896,-0.46447483,-0.3214846,-0.2781948,-0.0432898
37,-0.10705318,-0.1327947,"('fake', 'genuine')",0.44357622,0.51923054,0.1682615,0.1932179,-0.0249564
34,-0.09816074,-0.3010289,"('mean', 'honorable')",6.4973183,6.436088,3.1995788,3.0675297,0.1320491
48,0.08221551,-0.013331553,"('unintelligent', 'intelligent')",0.9627826,0.99513274,0.5224991,0.4909006,0.0315985
20,0.07541489,0.07913382,"('rough', 'thoughtful')",0.9470966,0.9137665,0.5112557,0.4964502,0.0148055
27,0.049590223,0.042697918,"('hardhearted', 'softhearted')",1.69548,1.7225648,0.8725351,0.8826314,-0.0100963
50,0.04635223,0.31624895,"('clumsy', 'skillful')",0.22193556,0.3025753,0.1341439,0.3094121,-0.1752682
42,-0.030016687,0.12105847,"('unreliable', 'reliable')",-3.4240074,-3.3546476,-1.727012,-1.6167946,-0.1102174
21,-0.009887163,-0.3052776,"('immoral', 'moral')",-0.31936222,-0.48313913,-0.1646247,-0.3942084,0.2295837
59,0.0026739668,0.21697724,"('foolish', 'wise')",0.35839748,0.51077855,0.1805357,0.3638779,-0.1833422
