,avon_male,avon_female,tuple,products_male,products_female,inc_male,inc_female,average_male,average_female,male-female
31,-3.002028,-2.1963694,"('evil', 'good')",-1.305672,-1.08031,-0.5368796,-0.6548862,-1.6148599,-1.3105219,-0.304338
36,-2.762422,-2.0437613,"('hostile', 'amicable')",-1.7584736,-1.5663201,0.528096,0.40462255,-1.3309333,-1.0684862,-0.2624471
46,2.5536041,1.8951598,"('uncompetitive', 'competitive')",1.4841617,1.2223146,-0.51043284,-0.4936382,1.1757778,0.8746121,0.3011657
56,2.4565701,2.08237,"('impractical', 'practical')",1.6457604,1.7106209,-0.8658548,-0.6010364,1.0788253,1.0639849,0.0148404
35,-2.4226396,-1.7817154,"('corrupt', 'incorrupt')",-1.2808267,-1.0296121,-0.05891358,-0.11991614,-1.2541266,-0.9770812,-0.2770454
60,2.316018,1.7762874,"('inefficient', 'efficient')",1.8355254,1.8043385,-0.71800095,-0.3193741,1.1445142,1.087084,0.0574302
81,2.3089042,1.5644974,"('submissive', 'aggressive')",1.2104694,0.89023054,-0.93357253,-0.70417774,0.8619336,0.5835167,0.2784169
10,2.2776191,1.7967103,"('unsympathetic', 'sympathetic')",0.66126984,0.43798044,-0.35938618,-0.28145644,0.8598343,0.6510781,0.2087562
13,2.0273414,1.4151293,"('impolite', 'polite')",0.45107034,0.34868914,-0.7422706,-0.4653026,0.5787137,0.4328386,0.1458751
52,-2.0251513,-1.6179281,"('irrational', 'rational')",-0.6088908,-0.5686878,0.22295362,0.054820027,-0.8036962,-0.7105986,-0.0930976
70,2.0033128,1.5779222,"('lethargic', 'energetic')",0.5534058,0.47457388,0.6118387,0.8635136,1.0561857,0.9720033,0.0841824
6,-2.0028849,-1.4127287,"('distant', 'open')",-1.3378431,-1.0859014,0.45805356,0.4708642,-0.9608914,-0.6759219,-0.2849695
16,-1.9050901,-1.7530969,"('unpopular', 'popular')",-0.33684418,-0.43288165,0.3404967,0.2969582,-0.6338125,-0.6296735,-0.004139
29,-1.8940215,-1.5399028,"('unfair', 'fair')",-0.8544711,-0.6946608,-0.28142774,-0.1666004,-1.0099735,-0.800388,-0.2095855
85,-1.8234931,-1.2353458,"('insignificant', 'prestigious')",-0.5789225,-0.48332107,1.1083399,0.8168814,-0.4313586,-0.3005952,-0.1307634
44,-1.8224447,-1.798165,"('prejudiced', 'unprejudiced')",-1.2435945,-1.1522678,-1.7123679,-1.6371431,-1.5928024,-1.529192,-0.0636104
74,1.8057821,1.8630447,"('undedicated', 'dedicated')",1.1026831,1.2064416,0.28466198,0.28474978,1.0643757,1.1180787,-0.053703
86,1.7575871,1.5086191,"('uninfluential', 'influential')",0.2659522,0.26546583,0.13848981,0.15924327,0.7206763,0.6444427,0.0762336
12,1.6985414,1.6929681,"('unsupportive', 'supportive')",0.7697952,0.9736083,-1.4488204,-1.4209753,0.3398387,0.4152004,-0.0753617
69,-1.6464053,-1.5327958,"('lazy', 'industrious')",0.6288258,0.7050461,-0.31237835,-0.40272394,-0.4433193,-0.4101579,-0.0331614
30,1.6350845,1.4148157,"('intolerant', 'tolerant')",0.7986996,0.7594167,0.60850525,0.74777347,1.0140964,0.974002,0.0400944
79,-1.549468,-1.099307,"('wavering', 'unwavering')",-1.0510614,-0.8825672,0.36763862,0.27894443,-0.7442969,-0.5676432,-0.1766537
71,1.5483228,1.4750621,"('diffident', 'self-confident')",0.45289713,0.52068806,0.44615063,0.32276508,0.8157902,0.7728384,0.0429518
4,-1.5175502,-0.98979455,"('disliked', 'liked')",-0.545727,-0.41239208,-5.941048,-6.1319895,-2.6681086,-2.511392,-0.1567166
5,-1.4924976,-1.047556,"('distant', 'outgoing')",-1.1607579,-0.9221309,-0.08736867,-0.17163798,-0.9135414,-0.713775,-0.1997664
21,1.4562997,1.0204272,"('immoral', 'moral')",1.0016071,0.7741282,-0.78132236,-0.74405205,0.5588615,0.3501678,0.2086937
23,1.4112344,1.0635927,"('insincere', 'sincere')",0.97595763,0.9825678,5.1201143,5.3577127,2.5024354,2.4679578,0.0344776
55,1.385592,0.93431,"('incompetent', 'clever')",0.63370484,0.5309591,-0.19626963,0.04250319,0.6076758,0.5025908,0.105085
62,1.3776889,1.2224107,"('incompetent', 'brilliant')",0.6900947,0.8450085,-0.56399196,-0.046283353,0.5012639,0.6737119,-0.172448
73,1.3581297,1.6141349,"('helpless', 'self-reliant')",0.79904646,0.80248785,-2.7213905,-2.7988803,-0.1880714,-0.1274192,-0.0606522
37,1.3116419,1.2172606,"('fake', 'genuine')",0.65086216,0.66974986,0.5733103,0.63711387,0.8452715,0.8413748,0.0038967
24,1.308093,1.2584207,"('dishonest', 'honest')",-0.85448146,-0.69787914,0.58698136,0.73431027,0.3468643,0.4316173,-0.084753
75,-1.3038058,-0.8289354,"('meek', 'impulsive')",-1.4680732,-1.3025013,-0.18341544,-0.06611317,-0.9850982,-0.7325167,-0.2525815
26,1.2637229,1.4620543,"('hardhearted', 'benevolent')",1.2154913,1.2534682,2.0504477,1.8851342,1.5098874,1.5335522,-0.0236648
57,1.2020187,0.89243126,"('unimaginative', 'imaginative')",-0.3135598,-0.4376142,-2.1172595,-2.2513392,-0.4096002,-0.5988407,0.1892405
25,-1.1988626,-1.1402986,"('egoistic', 'altruistic')",0.7185316,0.7357371,1.8132355,1.854595,0.4443015,0.4833445,-0.039043
65,1.183059,0.5385175,"('insecure', 'secure')",0.44923946,0.1441999,-0.8403476,-0.5308982,0.2639836,0.0506064,0.2133772
47,1.1795336,1.0287313,"('stupid', 'smart')",0.74719906,0.7188072,5.014023,5.2658687,2.3135851,2.3378024,-0.0242173
11,1.1733426,1.0229793,"('unhelpful', 'helpful')",0.8382424,0.87882733,1.6067188,1.7644398,1.2061013,1.2220821,-0.0159808
7,1.103063,0.8607723,"('insensitive', 'sensitive')",0.04115134,0.03686454,1.0649039,1.0922608,0.7363727,0.6632992,0.0730735
19,-1.071442,-0.62550056,"('inhospitable', 'hospitable')",-0.6871322,-0.4273546,0.44904396,0.4761873,-0.4365101,-0.1922226,-0.2442875
72,0.9825477,0.9551595,"('unambitious', 'ambitious')",-0.8341908,-0.7045042,-1.062272,-0.85554725,-0.3046383,-0.2016307,-0.1030076
50,-0.9748728,-1.0935737,"('clumsy', 'skillful')",0.5293385,0.34590667,0.3657004,0.22484446,-0.0266113,-0.1742742,0.1476629
45,0.9468504,0.7674981,"('incompetent', 'competent')",1.0190394,1.046331,-0.14598097,0.0085002035,0.6066363,0.6074431,-0.0008068
39,0.8905025,0.6047822,"('exploitative', 'cooperative')",-0.009321896,-0.03379071,-0.09159072,0.0522536,0.2631966,0.2077484,0.0554482
