,bmc_male,bmc_female,tuple,software_male,software_female,inc_male,inc_female,average_male,average_female,male-female
57,-1.5560529,-1.458439,"('unimaginative', 'imaginative')",-0.59821635,-0.48277164,-2.6375365,-2.448993,-1.5972686,-1.4634012,-0.1338674
53,-1.503873,-1.4540552,"('uncreative', 'creative')",0.89411056,1.0228299,0.9453977,0.96977997,0.1118784,0.1795182,-0.0676398
10,-1.3576713,-1.3541818,"('unsympathetic', 'sympathetic')",-1.4298825,-1.4511199,-0.6313088,-0.7733313,-1.1396209,-1.1928776,0.0532567
73,1.3348228,1.4516673,"('helpless', 'self-reliant')",0.16970715,0.19692965,-2.7742054,-2.755323,-0.4232252,-0.3689086,-0.0543166
1,-1.2302334,-1.4451187,"('unfriendly', 'friendly')",1.0085499,1.2169971,1.9510463,1.9339118,0.5764543,0.5685968,0.0078575
39,1.1943829,1.7986646,"('exploitative', 'cooperative')",0.7872867,1.048842,-0.027519021,0.2880721,0.6513836,1.0451929,-0.3938093
87,1.1452442,1.1681308,"('unsuccessful', 'successful')",0.8659893,0.6751642,0.8783795,0.85975873,0.9632044,0.9010179,0.0621865
0,-1.0819886,-0.94581676,"('unsociable', 'sociable')",-0.5000457,-0.5174795,-0.5868136,-0.63953036,-0.7229493,-0.7009422,-0.0220071
78,-1.0297915,-1.3528038,"('nonresilient', 'resilient')",1.3000125,0.9681276,0.3248231,0.14801648,0.198348,-0.0788866,0.2772346
6,-0.9533423,-1.0367861,"('distant', 'open')",-0.2651091,-0.00920599,0.693908,0.63690275,-0.1748478,-0.1363631,-0.0384847
31,-0.78608763,-0.7602671,"('evil', 'good')",-0.1593973,0.028412553,-0.724094,-0.6118341,-0.5565263,-0.4478962,-0.1086301
86,-0.76168257,-0.9249315,"('uninfluential', 'influential')",-0.18792142,-0.23550649,-0.11918955,-0.23231338,-0.3562645,-0.4642505,0.107986
8,-0.7146919,-0.6748113,"('unaffectionate', 'affectionate')",0.23400202,0.41859603,1.13201,1.0116597,0.2171067,0.2518148,-0.0347081
66,-0.68932045,-0.5940986,"('inactive', 'active')",-1.4577976,-1.3898945,0.8657776,0.94752365,-0.4271135,-0.3454898,-0.0816237
9,-0.6758182,-0.7550949,"('unaffectionate', 'caring')",0.6493177,0.7347041,1.4888988,1.2757148,0.4874661,0.4184413,0.0690248
36,-0.6588039,-0.6275012,"('hostile', 'amicable')",-0.25334272,0.004512772,0.3788108,0.54743177,-0.1777786,-0.0251855,-0.1525931
62,0.65783775,0.5384012,"('incompetent', 'brilliant')",0.47492474,0.15145865,0.32504183,-0.05708274,0.4859347,0.2109257,0.275009
79,-0.65013915,-0.7765816,"('wavering', 'unwavering')",-0.95451623,-0.8812525,0.10306835,-0.023729302,-0.500529,-0.5605211,0.0599921
54,-0.6433666,-0.74082524,"('incapable', 'capable')",0.70439243,0.7305397,1.2085351,1.1777388,0.423187,0.3891511,0.0340359
26,-0.6326163,-0.5921784,"('hardhearted', 'benevolent')",0.2740979,0.5597373,1.5593184,1.9090908,0.4002667,0.6255499,-0.2252832
5,-0.61512595,-0.7224211,"('distant', 'outgoing')",0.10347684,0.20291433,0.22372904,0.10289644,-0.0959734,-0.1388701,0.0428967
33,0.60561186,0.5138635,"('wrong', 'right')",0.4097473,0.38811436,-0.34906137,-0.29640076,0.2220993,0.201859,0.0202403
88,-0.59856033,-0.73520267,"('low', 'eminent')",-0.4228223,-0.34848973,0.20480849,0.1570814,-0.2721914,-0.3088704,0.036679
29,0.59118897,0.4492718,"('unfair', 'fair')",-0.80780375,-0.9110081,-0.5622029,-0.60468835,-0.2596059,-0.3554749,0.095869
18,-0.5728492,-0.34970197,"('disagreeable', 'welcoming')",-0.6877567,-0.3483709,-0.42901772,-0.314019,-0.5632079,-0.337364,-0.2258439
46,-0.5535239,-0.6953125,"('uncompetitive', 'competitive')",-0.7153986,-0.8149774,-0.77006644,-0.76996565,-0.679663,-0.7600852,0.0804222
67,0.5396416,0.5161839,"('doubtful', 'determined')",0.5906803,0.46482605,-0.70071316,-0.7021226,0.1432029,0.0929624,0.0502405
