,pg&e_male,pg&e_female,tuple,corp_male,corp_female,average_male,average_female,male-female
81,-1.6069015,-1.3454496,"('submissive', 'aggressive')",-0.5082776,-0.17434308,-1.0575895,-0.7598963,-0.2976932
70,-1.4365475,-1.2933975,"('lethargic', 'energetic')",-1.1275471,-0.72165996,-1.2820473,-1.0075288,-0.2745185
69,1.407218,1.0650022,"('lazy', 'industrious')",1.6320808,1.526826,1.5196494,1.2959142,0.2237352
29,1.3465005,1.182374,"('unfair', 'fair')",-0.03163346,-0.056744017,0.6574335,0.562815,0.0946185
2,1.3219986,1.3782759,"('unlikable', 'likable')",1.2427276,1.5863911,1.2823632,1.4823334,-0.1999702
18,-1.3211666,-1.5111251,"('disagreeable', 'welcoming')",0.3042553,0.30350417,-0.5084556,-0.6038104,0.0953548
53,1.2862177,1.0559009,"('uncreative', 'creative')",-0.50862837,-0.39529404,0.3887947,0.3303034,0.0584913
10,-1.2747514,-1.0975016,"('unsympathetic', 'sympathetic')",-1.9704304,-1.8723145,-1.6225909,-1.4849081,-0.1376828
15,1.2627993,1.4810498,"('boring', 'funny')",1.077503,1.200067,1.1701511,1.3405584,-0.1704073
85,1.158311,1.3022431,"('insignificant', 'prestigious')",1.1763314,1.2778379,1.1673212,1.2900405,-0.1227193
17,-1.1323421,-0.6229592,"('nasty', 'nice')",-0.82497203,-0.47643167,-0.9786571,-0.5496954,-0.4289617
47,-1.1214025,-0.80984664,"('stupid', 'smart')",-0.9312181,-0.71366936,-1.0263103,-0.761758,-0.2645523
39,1.1051902,1.116606,"('exploitative', 'cooperative')",-0.6447367,-0.42071894,0.2302267,0.3479435,-0.1177168
38,-1.0682557,-1.2007868,"('untruthful', 'truthful')",-1.0604079,-0.97340554,-1.0643318,-1.0870962,0.0227644
33,1.0581177,0.7163368,"('wrong', 'right')",0.88888496,0.6619828,0.9735013,0.6891598,0.2843415
68,-0.9942946,-1.3424748,"('dependent', 'independent')",-0.84489715,-1.0683184,-0.9195958,-1.2053967,0.2858009
56,0.99014795,1.4048244,"('impractical', 'practical')",-1.4508952,-0.98902625,-0.2303736,0.2078991,-0.4382727
28,-0.95402235,-0.8032582,"('disloyal', 'loyal')",-1.4174771,-1.361064,-1.1857498,-1.0821611,-0.1035887
35,-0.950879,-1.0694014,"('corrupt', 'incorrupt')",0.677664,0.6773795,-0.1366075,-0.1960109,0.0594034
62,0.9467291,1.3037612,"('incompetent', 'brilliant')",-1.4304316,-1.0252213,-0.2418512,0.1392699,-0.3811211
88,-0.9418383,-0.42192537,"('low', 'eminent')",-0.23527323,0.59832865,-0.5885558,0.0882016,-0.6767574
77,0.86695755,0.96268255,"('unmotivated', 'motivated')",-0.6647209,-0.43813133,0.1011183,0.2622756,-0.1611573
46,-0.8623137,-0.90748185,"('uncompetitive', 'competitive')",-1.0598333,-1.0599419,-0.9610735,-0.9837118,0.0226383
41,-0.8254356,-0.54936314,"('unforgiving', 'forgiving')",-1.4136202,-1.1214391,-1.1195279,-0.8354011,-0.2841268
49,-0.82506484,-0.6801728,"('unable', 'able')",-0.9442291,-0.83998156,-0.884647,-0.7600772,-0.1245698
40,-0.8163953,-0.8938154,"('stingy', 'generous')",-0.99858516,-1.1049068,-0.9074903,-0.9993611,0.0918708
