,site_male,site_female,tuple,centers_male,centers_female,corp_male,corp_female,average_male,average_female,male-female
60,2.6126876,2.6344976,"('inefficient', 'efficient')",3.0932858,3.1722965,-0.13212752,0.11913331,1.8579486,1.9753092,-0.1173606
5,-2.3868484,-2.173277,"('distant', 'outgoing')",-1.0655893,-0.859071,-0.70255727,-0.7729047,-1.3849983,-1.2684175,-0.1165808
31,-2.3261979,-2.1059082,"('evil', 'good')",-1.1967628,-1.1477675,-0.5042305,-0.6458959,-1.3423971,-1.2998572,-0.0425399
36,-2.3045204,-2.239406,"('hostile', 'amicable')",-2.1776555,-2.1890657,-0.049194805,-0.12623236,-1.5104569,-1.5182346,0.0077777
19,-2.2990904,-2.1614268,"('inhospitable', 'hospitable')",-1.3272306,-1.1933211,-0.529387,-0.6318553,-1.3852359,-1.3288677,-0.0563682
14,2.2651596,2.1562781,"('antisocial', 'social')",1.983837,1.9381783,-0.3178633,-0.23759231,1.3103778,1.2856215,0.0247563
4,-2.0346005,-1.8059263,"('disliked', 'liked')",-0.9982596,-0.9471886,-7.4805818,-7.542075,-3.5044807,-3.43173,-0.0727507
6,-2.0147378,-1.8259869,"('distant', 'open')",-0.95400715,-0.7443251,-0.03959121,-0.118897066,-1.0027788,-0.896403,-0.1063758
49,-1.9564202,-1.779427,"('unable', 'able')",-1.1682714,-0.93004733,0.012023957,0.07960545,-1.0375559,-0.876623,-0.1609329
56,1.8567665,1.923045,"('impractical', 'practical')",1.6010103,1.7082387,-0.28092793,-0.07194016,1.0589496,1.1864479,-0.1274983
7,1.803768,1.737324,"('insensitive', 'sensitive')",1.8212197,1.7946477,0.5546641,0.63028175,1.3932172,1.3874178,0.0057994
10,1.7644335,1.6793125,"('unsympathetic', 'sympathetic')",1.5313963,1.5048177,0.10963946,0.35915834,1.1351564,1.1810962,-0.0459398
81,1.7557145,1.6141742,"('submissive', 'aggressive')",1.7731893,1.6520808,-0.5278215,-0.31424063,1.0003608,0.9840047,0.0163561
12,1.6990485,1.6431825,"('unsupportive', 'supportive')",2.0759916,1.9481908,-1.849051,-1.9007245,0.6419964,0.5635496,0.0784468
79,-1.6612659,-1.5878911,"('wavering', 'unwavering')",-1.9639374,-1.8267856,-0.27763778,-0.2799956,-1.300947,-1.2315574,-0.0693896
11,1.6475704,1.5692418,"('unhelpful', 'helpful')",2.321407,2.324655,1.8010173,1.9032027,1.9233316,1.9323665,-0.0090349
21,1.61495,1.5420883,"('immoral', 'moral')",1.6834497,1.6642213,-0.5425325,-0.38509017,0.9186224,0.9404065,-0.0217841
66,-1.6075073,-1.7364669,"('inactive', 'active')",-1.2847358,-1.396688,0.5032064,0.38277858,-0.7963456,-0.9167921,0.1204465
43,1.5942755,1.532897,"('irresponsible', 'responsible')",1.8247502,1.7795033,0.3169511,0.37905347,1.2453256,1.2304846,0.014841
30,1.5846195,1.5955575,"('intolerant', 'tolerant')",1.8972259,1.8637134,0.3867653,0.50095737,1.2895369,1.3200761,-0.0305392
23,1.5435412,1.5183654,"('insincere', 'sincere')",1.2811986,1.2678457,6.280292,6.3517427,3.0350107,3.0459846,-0.0109739
16,-1.4634917,-1.3707819,"('unpopular', 'popular')",-0.73223597,-0.7324544,-0.108991936,-0.07676329,-0.7682398,-0.7266665,-0.0415733
35,-1.4427737,-1.2329354,"('corrupt', 'incorrupt')",-1.6402395,-1.5594907,-0.35501584,-0.4923853,-1.1460096,-1.0949372,-0.0510724
62,1.4049028,1.5569686,"('incompetent', 'brilliant')",1.6894559,1.8363932,0.022772813,0.21862844,1.0390438,1.2039967,-0.1649529
67,1.3996388,1.4469848,"('doubtful', 'determined')",1.1094948,1.0236696,-0.57176787,-0.6196888,0.6457886,0.6169886,0.0288
72,1.3770491,1.2258797,"('unambitious', 'ambitious')",0.4316559,0.28258562,0.16630521,0.2677015,0.6583367,0.5920556,0.0662811
71,1.3256236,1.4407775,"('diffident', 'self-confident')",1.0405926,1.1464595,0.4205588,0.31884518,0.928925,0.9686941,-0.0397691
52,-1.3252285,-1.1607592,"('irrational', 'rational')",-1.1598046,-1.1633062,-0.029423352,-0.102942765,-0.8381521,-0.8090027,-0.0291494
13,1.2979686,1.3208841,"('impolite', 'polite')",0.80132025,0.8616409,-0.9464124,-0.79071116,0.3842922,0.4639379,-0.0796457
55,1.2620095,1.2366344,"('incompetent', 'clever')",1.5083268,1.5760345,0.526706,0.56442606,1.099014,1.1256982,-0.0266842
68,-1.1993134,-1.1036465,"('dependent', 'independent')",-0.048239186,-0.08482593,-0.92761123,-1.0971782,-0.7250546,-0.7618836,0.036829
50,-1.1790131,-1.0744047,"('clumsy', 'skillful')",-0.6775638,-0.7067372,0.18359251,0.21694908,-0.5576615,-0.5213976,-0.0362639
75,-1.1693212,-1.1125481,"('meek', 'impulsive')",-1.5652301,-1.5072373,-0.6264226,-0.68769926,-1.1203247,-1.1024949,-0.0178298
24,1.1613756,1.1668091,"('dishonest', 'honest')",0.58068645,0.6265255,0.8743483,1.006028,0.8721368,0.9331209,-0.0609841
70,1.1521127,1.1868052,"('lethargic', 'energetic')",1.6342986,1.6382744,0.5349927,0.6011106,1.1071347,1.1420635,-0.0349288
63,1.1358954,1.111806,"('unperceptive', 'insightful')",2.064704,2.048453,0.35308,0.34803864,1.1845597,1.1694326,0.0151271
48,1.1160711,1.0873151,"('unintelligent', 'intelligent')",0.35726604,0.4110378,0.3671261,0.49853677,0.6134878,0.6656299,-0.0521421
39,1.029352,1.0800922,"('exploitative', 'cooperative')",2.319488,2.2490947,0.6211163,0.6420292,1.3233188,1.3237387,-0.0004199
53,-0.99344486,-1.0012758,"('uncreative', 'creative')",-0.06746719,0.081556164,0.5226133,0.63431627,-0.1794329,-0.0951345,-0.0842984
76,0.99105287,1.0000217,"('anxious', 'daring')",0.34843212,0.39734352,-0.16327988,-0.07914559,0.3920683,0.4394066,-0.0473383
46,0.9867981,0.9382192,"('uncompetitive', 'competitive')",1.466875,1.5313411,-1.3519529,-1.2068685,0.3672401,0.4208972,-0.0536571
54,-0.9457375,-0.9047887,"('incapable', 'capable')",-0.86608166,-0.9272228,1.1787869,1.1846621,-0.2110107,-0.2157831,0.0047724
59,-0.94324464,-0.85264415,"('foolish', 'wise')",-0.04066973,-0.2318202,0.044501387,0.09919427,-0.3131377,-0.3284233,0.0152856
