,zimmer_male,zimmer_female,tuple,biomet_male,biomet_female,holdings_male,holdings_female,inc_male,inc_female,average_male,average_female,male-female
57,-2.0680065,-2.3998928,"('unimaginative', 'imaginative')",-1.3494325,-1.3060198,-0.40996903,-0.44847608,-2.261067,-2.185374,-1.5221188,-1.5849407,0.0628219
48,-1.9245906,-2.0155501,"('unintelligent', 'intelligent')",-0.0051036254,-0.026744347,-0.5047725,-0.4807999,0.20618552,0.19682446,-0.5570703,-0.5815675,0.0244972
1,-1.912652,-1.9887145,"('unfriendly', 'friendly')",-0.49389273,-0.43065283,-0.25202742,-0.16995047,1.590519,1.7912158,-0.2670133,-0.1995255,-0.0674878
73,1.8464445,1.717906,"('helpless', 'self-reliant')",0.76513946,0.7090074,-0.25426185,-0.3358254,-3.4595249,-3.404385,-0.2755507,-0.3283243,0.0527736
10,-1.8456959,-1.9684349,"('unsympathetic', 'sympathetic')",-1.553585,-1.5233103,-0.43547964,-0.36857063,-0.0383486,-0.0069809156,-0.9682773,-0.9668242,-0.0014531
11,-1.7826198,-1.9275794,"('unhelpful', 'helpful')",-1.0635958,-1.0592458,-1.0933912,-1.1192375,1.6929965,1.5403796,-0.5616526,-0.6414208,0.0797682
28,-1.7426586,-1.6857461,"('disloyal', 'loyal')",-0.113910764,-0.042528637,-0.27963662,-0.21996291,1.2029035,1.2238483,-0.2333257,-0.1810973,-0.0522284
86,-1.6946918,-1.7785689,"('uninfluential', 'influential')",-0.7885105,-0.67465055,-0.3709915,-0.3338386,-0.28793293,-0.17126691,-0.7855316,-0.7395812,-0.0459504
35,1.6874008,1.7061354,"('corrupt', 'incorrupt')",0.3597953,0.3391865,-1.0359621,-1.0138383,0.027888242,0.10920709,0.2597806,0.2851727,-0.0253921
69,1.6689221,1.8520685,"('lazy', 'industrious')",1.8229729,1.8567821,0.6955813,0.5611204,-0.48814768,-0.2980203,0.9248321,0.9929876,-0.0681555
0,-1.6552256,-1.7663672,"('unsociable', 'sociable')",-0.39851427,-0.34924465,0.12863041,0.07720843,-0.3980862,-0.3354769,-0.580799,-0.59347,0.012671
41,-1.5594573,-1.6850544,"('unforgiving', 'forgiving')",0.0063659344,0.043489523,0.038108587,0.2560517,0.12863408,0.3014168,-0.3465872,-0.2710241,-0.0755631
