,assurant_male,assurant_female,tuple,inc_male,inc_female,average_male,average_female,male-female
86,-2.20099,-2.4755788,"('uninfluential', 'influential')",-0.3025533,-0.37882128,-1.2517717,-1.4272001,0.1754284
1,-1.979439,-2.4080272,"('unfriendly', 'friendly')",1.9352078,2.167692,-0.0221156,-0.1201676,0.098052
69,1.8579812,1.519408,"('lazy', 'industrious')",-0.21313073,-0.060256295,0.8224252,0.7295759,0.0928493
9,-1.7228382,-1.7986914,"('unaffectionate', 'caring')",1.048019,1.2649137,-0.3374096,-0.2668889,-0.0705207
0,-1.6006331,-1.7659116,"('unsociable', 'sociable')",-0.52128816,-0.4927005,-1.0609607,-1.1293061,0.0683454
53,-1.524991,-1.8960364,"('uncreative', 'creative')",0.5795553,0.8107784,-0.4727179,-0.542629,0.0699111
12,-1.4857512,-1.3532554,"('unsupportive', 'supportive')",-2.02119,-1.8142757,-1.7534705,-1.5837655,-0.169705
57,-1.4706521,-1.645876,"('unimaginative', 'imaginative')",-2.6653128,-2.504745,-2.0679824,-2.0753105,0.0073281
23,-1.4132869,-1.2513827,"('insincere', 'sincere')",5.4426913,5.2840466,2.0147023,2.0163319,-0.0016296
35,1.3942473,1.1725326,"('corrupt', 'incorrupt')",0.46159506,0.44421756,0.9279212,0.8083751,0.1195461
46,-1.3910861,-1.3728861,"('uncompetitive', 'competitive')",-1.0039366,-1.0076886,-1.1975114,-1.1902874,-0.007224
77,-1.3312603,-1.1276463,"('unmotivated', 'motivated')",-1.4645144,-1.3207144,-1.3978873,-1.2241803,-0.173707
11,-1.2652322,-1.1595294,"('unhelpful', 'helpful')",1.324539,1.4255886,0.0296534,0.1330296,-0.1033762
19,-1.2504064,-1.334656,"('inhospitable', 'hospitable')",0.04421033,0.34644154,-0.603098,-0.4941072,-0.1089908
3,-1.153553,-1.0069588,"('repellent', 'pleasant')",-0.01098517,-0.033071402,-0.5822691,-0.5200151,-0.062254
71,-1.1415805,-1.0042125,"('diffident', 'self-confident')",0.46695244,0.5019905,-0.337314,-0.251111,-0.086203
13,-1.1103399,-0.75508475,"('impolite', 'polite')",-1.076474,-1.0188032,-1.0934069,-0.886944,-0.2064629
43,-1.1028508,-0.96621454,"('irresponsible', 'responsible')",0.28849858,0.3741463,-0.4071761,-0.2960341,-0.111142
73,1.0827663,1.1246364,"('helpless', 'self-reliant')",-2.8240142,-2.566783,-0.8706239,-0.7210733,-0.1495506
55,-1.0702285,-0.87215394,"('incompetent', 'clever')",-0.010551907,-0.107871726,-0.5403902,-0.4900128,-0.0503774
8,-1.0618534,-1.4241734,"('unaffectionate', 'affectionate')",1.1729934,1.2878073,0.05557,-0.068183,0.123753
45,-1.0049508,-1.2267575,"('incompetent', 'competent')",-0.3928307,-0.44283015,-0.6988907,-0.8347938,0.1359031
7,-0.9846115,-0.60615087,"('insensitive', 'sensitive')",0.47400418,0.4482938,-0.2553037,-0.0789285,-0.1763752
24,-0.9768846,-0.6278249,"('dishonest', 'honest')",0.46670997,0.50943935,-0.2550873,-0.0591928,-0.1958945
10,-0.9711634,-1.0324938,"('unsympathetic', 'sympathetic')",-0.5699242,-0.5853929,-0.7705438,-0.8089434,0.0383996
38,-0.94101375,-1.062105,"('untruthful', 'truthful')",-0.44396707,-0.28434673,-0.6924904,-0.6732258,-0.0192646
28,-0.9399085,-1.3296907,"('disloyal', 'loyal')",0.94612455,0.872102,0.003108,-0.2287943,0.2319023
