,honeywell_male,honeywell_female,tuple,international_male,international_female,inc_male,inc_female,average_male,average_female,male-female
10,-1.7276646,-1.583989,"('unsympathetic', 'sympathetic')",-0.7523308,-0.61285144,-0.74317884,-0.82091707,-1.0743914,-1.0059192,-0.0684722
69,1.4657111,1.4464626,"('lazy', 'industrious')",1.4823282,1.3932004,-0.2961895,-0.13460734,0.8839499,0.9016852,-0.0177353
77,-1.3986758,-1.3604816,"('unmotivated', 'motivated')",-0.4475275,-0.48020265,-1.582999,-1.6124842,-1.1430674,-1.1510561,0.0079887
3,-1.3938259,-1.3547268,"('repellent', 'pleasant')",-0.117949784,-0.14634451,0.25202435,0.18064232,-0.4199171,-0.440143,0.0202259
70,-1.3654376,-1.1085718,"('lethargic', 'energetic')",0.4609164,0.5892173,0.55275476,0.37669992,-0.1172555,-0.0475515,-0.069704
33,1.3268244,1.2558287,"('wrong', 'right')",0.82150006,0.77440256,-0.13594763,-0.00686612,0.6707923,0.674455,-0.0036627
57,-1.2616113,-1.3104126,"('unimaginative', 'imaginative')",-0.16086426,-0.10303653,-2.376325,-2.4591665,-1.2662668,-1.2908719,0.0246051
65,-1.2205002,-1.0290735,"('insecure', 'secure')",0.23928246,0.28040493,-0.56946695,-0.6980163,-0.5168949,-0.4822283,-0.0346666
81,-1.1927552,-1.0586854,"('submissive', 'aggressive')",0.24877216,0.3225456,-1.2926123,-1.4706597,-0.7455318,-0.7355998,-0.009932
72,-1.1920877,-1.2202622,"('unambitious', 'ambitious')",-0.1717883,-0.14132684,-1.0336103,-1.031675,-0.7991621,-0.7977546,-0.0014075
71,1.1096625,1.0992477,"('diffident', 'self-confident')",0.6914375,0.8611312,0.56269115,0.74831206,0.7879304,0.902897,-0.1149666
35,1.0996898,0.9546209,"('corrupt', 'incorrupt')",-0.30026954,-0.43230104,0.16179791,0.2774864,0.3204061,0.2666021,0.053804
87,1.0942706,1.0430459,"('unsuccessful', 'successful')",1.5631641,1.4408535,1.2956487,1.2604067,1.3176945,1.248102,0.0695925
26,1.0752085,0.84323615,"('hardhearted', 'benevolent')",1.6088232,1.664657,1.9323988,2.0168598,1.5388101,1.5082509,0.0305592
43,-1.0748855,-0.8639873,"('irresponsible', 'responsible')",0.18786249,0.35983673,0.1812864,0.14629728,-0.2352455,-0.1192845,-0.115961
21,-1.0477134,-1.0676533,"('immoral', 'moral')",0.038470156,-0.0165652,-1.2622385,-1.3529984,-0.7571606,-0.8124056,0.055245
25,1.0466145,1.0749187,"('egoistic', 'altruistic')",0.77540493,0.9130323,1.7505885,1.9885328,1.1908693,1.3254946,-0.1346253
82,-1.0441663,-1.1144922,"('poor', 'rich')",-1.0676717,-1.0552121,5.836373,5.8642564,1.2415117,1.2315173,0.0099944
39,0.9415886,1.0130802,"('exploitative', 'cooperative')",1.0910482,1.0894982,0.22273776,0.22903864,0.7517916,0.7772057,-0.0254141
85,0.91573834,0.713945,"('insignificant', 'prestigious')",-0.6545163,-0.63653064,0.7315873,1.0964906,0.3309365,0.3913016,-0.0603651
76,-0.8769426,-0.6339829,"('anxious', 'daring')",0.6712072,0.7738254,-0.16214122,-0.21443292,-0.1226255,-0.0248635,-0.097762
86,-0.8742751,-1.1488885,"('uninfluential', 'influential')",-0.0155898705,-0.03066019,-0.36792552,-0.49334443,-0.4192635,-0.557631,0.1383675
51,-0.86531526,-0.98843634,"('uneducated', 'educated')",0.68932396,0.47706774,0.42356682,0.16022898,0.0825252,-0.1170466,0.1995718
14,-0.83448654,-0.8452112,"('antisocial', 'social')",1.1749941,0.95161754,-0.72135425,-0.90430695,-0.1269489,-0.2659669,0.139018
68,-0.8298924,-0.87697905,"('dependent', 'independent')",0.05713812,-0.08877674,-0.6808609,-0.6604595,-0.4845384,-0.5420718,0.0575334
13,-0.8204927,-0.6726806,"('impolite', 'polite')",0.7021526,0.7231798,-0.4202669,-0.59415114,-0.1795357,-0.1812173,0.0016816
34,-0.81303734,-0.85867506,"('mean', 'honorable')",0.17562138,0.1275904,5.709296,5.706182,1.6906268,1.6583657,0.0322611
0,-0.8108995,-0.7466507,"('unsociable', 'sociable')",-0.08836607,-0.047328215,-0.8516284,-0.88339984,-0.5836314,-0.5591263,-0.0245051
53,-0.7609823,-0.9508187,"('uncreative', 'creative')",-0.23627704,-0.19623281,0.86927354,0.968747,-0.0426619,-0.0594349,0.016773
55,-0.7189888,-0.6263016,"('incompetent', 'clever')",-0.52945924,-0.4619947,-0.48494124,-0.6110842,-0.5777964,-0.5664602,-0.0113362
63,-0.70873016,-0.64584935,"('unperceptive', 'insightful')",0.94986343,1.0047928,0.761967,0.67997324,0.3343668,0.3463056,-0.0119388
48,-0.6909274,-0.7559908,"('unintelligent', 'intelligent')",-0.267469,-0.20237555,-0.05951369,-0.0066839065,-0.3393034,-0.3216834,-0.01762
7,-0.6716084,-0.5454098,"('insensitive', 'sensitive')",0.20865345,0.2634455,0.92517513,0.95613545,0.1540734,0.2247237,-0.0706503
