,cisco_male,cisco_female,tuple,systems_male,systems_female,inc_male,inc_female,average_male,average_female,male-female
85,3.6042407,3.490646,"('insignificant', 'prestigious')",1.3066331,1.5064578,0.3248666,0.2925712,1.7452469,1.7632249,-0.017978
1,2.9135077,2.690285,"('unfriendly', 'friendly')",0.40870348,0.38943574,1.0655129,1.0263824,1.4625746,1.368701,0.0938736
71,2.8956344,2.768925,"('diffident', 'self-confident')",0.6160982,0.67904276,0.61591303,0.51885825,1.3758818,1.3222753,0.0536065
6,2.8739116,2.944817,"('distant', 'open')",0.049834237,0.2639236,-0.043120377,0.018910415,0.9602085,1.0758837,-0.1156752
70,-2.3969154,-2.4934938,"('lethargic', 'energetic')",-1.6067986,-1.8565644,0.58357954,0.5679274,-1.1400448,-1.2607102,0.1206654
36,2.393299,2.2623017,"('hostile', 'amicable')",-0.09278546,0.18267456,0.107952714,0.041467663,0.8028221,0.8288147,-0.0259926
59,2.3096242,2.3593647,"('foolish', 'wise')",0.056558937,0.30422434,-0.2844766,-0.19043344,0.6939022,0.8243852,-0.130483
5,2.2639594,2.3006902,"('distant', 'outgoing')",-0.13023236,0.034270685,-0.61183155,-0.61803436,0.5072985,0.5723089,-0.0650104
3,-2.242985,-2.287652,"('repellent', 'pleasant')",0.4176374,0.23385638,0.1351212,0.15089786,-0.5634088,-0.6342992,0.0708904
64,-2.242573,-2.2197244,"('shy', 'confident')",-0.6484204,-0.73854953,-5.8884916,-6.05362,-2.9264949,-3.0039647,0.0774698
33,2.234019,2.3358524,"('wrong', 'right')",0.7154917,0.8556906,-0.6556846,-0.71431446,0.7646087,0.8257429,-0.0611342
10,-2.1897793,-2.2646286,"('unsympathetic', 'sympathetic')",-1.3230149,-1.6405072,-0.07139649,-0.089699,-1.1947302,-1.3316116,0.1368814
81,-2.1811094,-2.151321,"('submissive', 'aggressive')",-0.9972515,-1.2547168,-0.19285652,-0.21077943,-1.1237392,-1.2056057,0.0818665
26,2.0969012,2.1664307,"('hardhearted', 'benevolent')",-0.7058735,-0.57364815,0.65487033,0.70788705,0.681966,0.7668899,-0.0849239
69,1.8949121,1.9580104,"('lazy', 'industrious')",0.98111373,1.2142997,-0.53443587,-0.5479822,0.78053,0.874776,-0.094246
84,1.872459,1.7431039,"('inferior', 'superior')",-0.23494175,-0.16728087,0.9771813,0.9188015,0.8715662,0.8315415,0.0400247
45,-1.8651607,-1.9053028,"('incompetent', 'competent')",-1.3531319,-1.6167269,-0.5372644,-0.5971094,-1.2518524,-1.3730464,0.121194
57,-1.8644892,-1.8528459,"('unimaginative', 'imaginative')",-1.6320488,-1.8916413,-2.5721643,-2.7111423,-2.0229009,-2.1518764,0.1289755
52,1.7722342,1.8166258,"('irrational', 'rational')",0.22541179,0.4258289,-0.89459056,-0.8205846,0.3676852,0.4739567,-0.1062715
60,-1.7125657,-1.8786192,"('inefficient', 'efficient')",0.30359197,-0.075217634,0.43298927,0.3558577,-0.3253282,-0.5326597,0.2073315
25,1.69413,1.521915,"('egoistic', 'altruistic')",0.73220026,0.7591665,1.2486048,1.1436763,1.2249783,1.1415859,0.0833924
76,-1.6444315,-1.6195021,"('anxious', 'daring')",-1.3540654,-1.6699759,0.7421054,0.8321074,-0.7521305,-0.8191234,0.0669929
80,-1.6413107,-1.6526015,"('dominated', 'dominating')",-0.077839464,-0.3617015,-0.7706251,-0.8601486,-0.8299251,-0.9581505,0.1282254
9,1.6190014,1.4649402,"('unaffectionate', 'caring')",-0.037433546,-0.060107484,0.6375868,0.6115659,0.7397182,0.6721329,0.0675853
42,-1.5343176,-1.5249375,"('unreliable', 'reliable')",-1.6627173,-1.79462,-3.0171733,-3.0500038,-2.0714027,-2.1231871,0.0517844
31,1.4976971,1.4711224,"('evil', 'good')",-0.005305173,0.20302378,-1.3758937,-1.4000623,0.0388327,0.0913613,-0.0525286
43,-1.4877317,-1.5064007,"('irresponsible', 'responsible')",-2.023836,-2.1070395,-0.2361145,-0.18758453,-1.2492274,-1.2670082,0.0177808
46,-1.4494839,-1.6181827,"('uncompetitive', 'competitive')",1.0288754,0.59683096,0.17493406,-0.077735215,-0.0818915,-0.3663623,0.2844708
44,-1.4294134,-1.3072869,"('prejudiced', 'unprejudiced')",-0.64258516,-0.54159343,-1.2132379,-1.111445,-1.0950788,-0.9867751,-0.1083037
55,-1.4037935,-1.6110678,"('incompetent', 'clever')",-0.9110749,-1.3002894,0.22936815,0.09885169,-0.6951667,-0.9375018,0.2423351
39,1.4029838,1.3808038,"('exploitative', 'cooperative')",1.2763171,1.2754309,0.049688317,0.049783755,0.909663,0.9020061,0.0076569
53,1.3913863,1.1835665,"('uncreative', 'creative')",0.7289833,0.5135674,0.86039877,0.7493869,0.9935894,0.8155069,0.1780825
61,1.2903987,1.2008393,"('illogical', 'logical')",1.0502856,0.926891,0.33713156,0.29448205,0.8926053,0.8074041,0.0852012
73,1.251769,1.2165555,"('helpless', 'self-reliant')",-0.21502396,-0.20807537,-3.3143256,-3.3869874,-0.7591936,-0.7928358,0.0336422
0,-1.2512757,-1.3110508,"('unsociable', 'sociable')",-0.6272478,-0.8058198,-0.16866674,-0.26210478,-0.6823967,-0.7929918,0.1105951
19,1.2460297,1.2970067,"('inhospitable', 'hospitable')",-0.32787925,-0.32380444,-0.17189033,-0.183191,0.2487534,0.2633371,-0.0145837
21,-1.2457767,-1.4630815,"('immoral', 'moral')",-0.2603348,-0.6005591,-0.5496322,-0.6325762,-0.6852479,-0.8987389,0.213491
65,-1.2167325,-1.1764588,"('insecure', 'secure')",-0.18891722,-0.3349739,-0.12131835,-0.034022313,-0.5089893,-0.5151517,0.0061624
72,-1.1684643,-1.1302549,"('unambitious', 'ambitious')",-2.059521,-2.05109,-1.5463538,-1.5093585,-1.5914464,-1.5635678,-0.0278786
79,1.1561717,1.2590919,"('wavering', 'unwavering')",-0.07469118,0.07657387,-0.106216185,-0.087269664,0.3250881,0.416132,-0.0910439
14,-1.1302316,-0.9968586,"('antisocial', 'social')",-1.1221508,-1.212801,-0.8456365,-0.88273925,-1.0326729,-1.0307996,-0.0018733
37,-1.1194954,-1.2222209,"('fake', 'genuine')",-0.81685966,-0.9281947,0.14362608,0.2425956,-0.5975763,-0.63594,0.0383637
62,-1.0919293,-1.0562829,"('incompetent', 'brilliant')",0.09036177,-0.1778116,0.09123864,0.072013244,-0.303443,-0.3873604,0.0839174
56,-1.0766349,-1.0619557,"('impractical', 'practical')",-1.0337988,-1.240926,-0.041547596,-0.14308167,-0.717327,-0.8153211,0.0979941
41,-1.0609095,-1.2550814,"('unforgiving', 'forgiving')",-1.097332,-1.1774727,-0.09976247,-0.23329216,-0.752668,-0.8886154,0.1359474
22,-1.0578372,-1.0805922,"('untrustworthy', 'trustworthy')",-0.40488672,-0.63299924,-0.8926059,-0.9679197,-0.78511,-0.893837,0.108727
13,-1.045674,-1.0546584,"('impolite', 'polite')",-0.4981738,-0.67346716,0.32024875,0.23213111,-0.4078664,-0.4986648,0.0907984
8,0.9872539,0.8344404,"('unaffectionate', 'affectionate')",-1.0199192,-0.8643614,-0.4346609,-0.38622734,-0.1557754,-0.1387161,-0.0170593
77,-0.9750133,-1.1696404,"('unmotivated', 'motivated')",0.021108963,-0.124105774,-0.640909,-0.7703802,-0.5316044,-0.6880422,0.1564378
54,0.9698906,1.0467046,"('incapable', 'capable')",-0.1413686,-0.019092143,0.99898624,1.129952,0.6091694,0.7191881,-0.1100187
12,0.93834823,0.792438,"('unsupportive', 'supportive')",-0.012402821,-0.07235134,-1.6795429,-1.8381099,-0.2511992,-0.3726744,0.1214752
15,0.8898422,0.8894933,"('boring', 'funny')",-1.6005561,-1.5768487,0.07009669,0.031734712,-0.2135391,-0.2185403,0.0050012
75,-0.8879362,-0.7895059,"('meek', 'impulsive')",-0.25232044,-0.10249394,-0.20293556,-0.1483562,-0.4477307,-0.3467853,-0.1009454
47,0.85286283,0.801969,"('stupid', 'smart')",0.5529004,0.48419878,5.186593,5.348863,2.1974521,2.2116769,-0.0142248
17,-0.80709827,-0.811102,"('nasty', 'nice')",-0.5148222,-0.49501774,-0.41339907,-0.47128925,-0.5784398,-0.5924697,0.0140299
51,-0.7715291,-0.89566225,"('uneducated', 'educated')",-0.44243205,-0.6859389,1.1409781,1.0610762,-0.0243277,-0.1735083,0.1491806
35,0.7616962,0.7825645,"('corrupt', 'incorrupt')",0.018021036,0.22220798,-0.42933273,-0.43429968,0.1167948,0.1901576,-0.0733628
82,-0.65600413,-0.70238614,"('poor', 'rich')",-0.46143085,-0.56219566,5.6602583,5.8531747,1.5142744,1.529531,-0.0152566
16,0.64707077,0.45924774,"('unpopular', 'popular')",1.3010036,1.3328104,1.1054646,0.96701294,1.0178463,0.9196904,0.0981559
