,disney_male,disney_female,tuple,walt_male,walt_female,co_male,co_female,average_male,average_female,male-female
9,1.9281397,1.8381783,"('unaffectionate', 'caring')",1.7952496,1.6441998,0.8246628,0.7386363,1.5160173,1.4070048,0.1090125
22,-1.55082,-1.6030725,"('untrustworthy', 'trustworthy')",-1.6511023,-1.8167264,-0.9794392,-0.96333516,-1.3937872,-1.4610446,0.0672574
53,1.4975271,1.6251743,"('uncreative', 'creative')",1.2029428,1.2157288,0.8313458,0.9076851,1.1772719,1.2495294,-0.0722575
15,1.4621968,1.6362875,"('boring', 'funny')",1.5970004,1.7466847,0.60472333,0.84105915,1.2213068,1.4080105,-0.1867037
31,-1.4527797,-1.0629516,"('evil', 'good')",-0.39771414,-0.063659795,-1.4577591,-1.4073529,-1.1027509,-0.8446547,-0.2580962
77,-1.3673154,-1.3652959,"('unmotivated', 'motivated')",-0.8869583,-0.98350275,-0.6766849,-0.7714417,-0.9769862,-1.0400801,0.0630939
23,1.3117095,1.1319637,"('insincere', 'sincere')",0.36619118,0.14731738,6.040186,5.8873954,2.5726956,2.3888922,0.1838034
32,1.2794985,1.116483,"('unkind', 'kind')",0.8737734,0.578173,0.7550994,0.6928028,0.9694571,0.7958196,0.1736375
8,1.2722218,1.3458716,"('unaffectionate', 'affectionate')",1.9275295,1.8936294,0.19105607,0.21869521,1.1302691,1.1527321,-0.022463
3,-1.1826246,-1.3343604,"('repellent', 'pleasant')",-1.2029649,-1.3659185,0.6730199,0.51995426,-0.5708566,-0.7267749,0.1559183
64,-1.1718137,-1.2584207,"('shy', 'confident')",-0.9431108,-1.0845116,-6.022385,-6.0912037,-2.7124367,-2.8113785,0.0989418
81,-1.136756,-1.3461739,"('submissive', 'aggressive')",-1.7848563,-2.1051064,-0.21234822,-0.38463995,-1.0446535,-1.27864,0.2339865
41,-1.1187651,-0.75739735,"('unforgiving', 'forgiving')",-1.1423199,-1.1310426,-0.049337715,-0.118828386,-0.7701409,-0.6690894,-0.1010515
88,1.1077377,1.0022323,"('low', 'eminent')",0.4680832,0.44171247,-0.22824612,-0.096803255,0.4491916,0.4490472,0.0001444
56,1.0997438,0.952782,"('impractical', 'practical')",0.35334894,0.14783832,0.11594559,0.01120206,0.5230128,0.3706075,0.1524053
59,1.086781,1.1006719,"('foolish', 'wise')",1.4183785,1.567103,-0.19199623,-0.15376012,0.7710543,0.8380049,-0.0669506
11,1.0672799,0.86513305,"('unhelpful', 'helpful')",0.069753125,-0.15789188,2.466763,2.341722,1.2012653,1.016321,0.1849443
45,-1.0354567,-0.99932617,"('incompetent', 'competent')",-1.4739,-1.60376,-0.6331412,-0.8439408,-1.0474993,-1.149009,0.1015097
71,1.035303,1.2039458,"('diffident', 'self-confident')",1.8692504,1.9956315,0.17867634,0.21206929,1.0277433,1.1372155,-0.1094722
72,0.99620724,1.018332,"('unambitious', 'ambitious')",1.0100892,0.9799024,-0.8572983,-0.8020431,0.3829993,0.3987304,-0.0157311
37,-0.991169,-1.0009942,"('fake', 'genuine')",-1.8934379,-1.8902048,0.11699001,0.060089372,-0.9225389,-0.9437033,0.0211644
36,-0.98733443,-0.50280845,"('hostile', 'amicable')",0.21079381,0.53096986,-0.65740573,-0.57839924,-0.4779821,-0.1834126,-0.2945695
14,-0.91651,-1.0682852,"('antisocial', 'social')",-0.78137064,-1.1220545,-0.32644463,-0.54184604,-0.6747751,-0.9107285,0.2359534
4,-0.8836947,-0.54197836,"('disliked', 'liked')",0.008259505,0.23296162,-7.374525,-7.3115315,-2.7499866,-2.5401827,-0.2098039
85,0.8749393,1.0955389,"('insignificant', 'prestigious')",1.8467056,2.078572,-0.6299775,-0.48642924,0.6972225,0.8958939,-0.1986714
69,-0.84747505,-0.5391277,"('lazy', 'industrious')",0.0708365,0.26056975,-1.1389453,-1.074895,-0.6385279,-0.451151,-0.1873769
75,-0.81363094,-0.63295656,"('meek', 'impulsive')",-0.49348083,-0.22636163,-0.3341491,-0.24235298,-0.547087,-0.3672237,-0.1798633
1,0.8093732,0.86472166,"('unfriendly', 'friendly')",1.07092,1.0454082,1.388612,1.3322271,1.0896351,1.0807857,0.0088494
68,-0.79519,-0.90414155,"('dependent', 'independent')",-1.2578506,-1.3151768,-1.537411,-1.492033,-1.1968172,-1.2371171,0.0402999
84,0.7783983,0.6466944,"('inferior', 'superior')",0.87627447,0.8933978,0.45311356,0.56670165,0.7025954,0.7022646,0.0003308
52,-0.77132624,-0.7683472,"('irrational', 'rational')",0.5593035,0.6030913,-0.55727863,-0.64306384,-0.2564338,-0.2694399,0.0130061
16,0.76256937,0.8392879,"('unpopular', 'popular')",1.3285259,1.4678155,0.025338955,-0.012659505,0.705478,0.7648146,-0.0593366
12,0.75454885,0.933179,"('unsupportive', 'supportive')",0.9563145,0.9418377,-2.0268373,-2.0160036,-0.1053247,-0.0469956,-0.0583291
48,0.7433622,0.58848614,"('unintelligent', 'intelligent')",0.20184147,-0.09043531,0.044257455,-0.025241252,0.3298204,0.1576032,0.1722172
50,0.7415516,0.76538503,"('clumsy', 'skillful')",-0.15524253,-0.0888942,-0.32111406,-0.26392418,0.0883983,0.1375222,-0.0491239
2,-0.7103419,-0.42010492,"('unlikable', 'likable')",-0.5156407,-0.3990777,0.6535236,0.7927469,-0.1908196,-0.0088119,-0.1820077
46,-0.6672179,-0.9340354,"('uncompetitive', 'competitive')",-1.3978878,-1.7358499,-0.40759507,-0.47271174,-0.8242336,-1.0475323,0.2232987
79,-0.64066416,-0.40147892,"('wavering', 'unwavering')",-0.4083913,-0.10468823,-0.85488546,-0.7624756,-0.634647,-0.4228809,-0.2117661
21,-0.6196521,-0.7278756,"('immoral', 'moral')",-0.9506288,-1.1943635,-0.61285883,-0.69413024,-0.7277133,-0.8721231,0.1444098
80,-0.6052022,-1.0223923,"('dominated', 'dominating')",-1.6684837,-1.9783233,-0.7467224,-0.8714998,-1.0068028,-1.2907385,0.2839357
26,0.5720142,0.44561738,"('hardhearted', 'benevolent')",1.7916526,1.5886766,0.98416364,1.0073559,1.1159434,1.0138833,0.1020601
13,-0.5549018,-0.78732276,"('impolite', 'polite')",-0.77123344,-0.95154744,-0.014133483,-0.13603953,-0.4467562,-0.6249699,0.1782137
66,-0.5516016,-0.6173192,"('inactive', 'active')",-0.2561379,-0.14663374,0.17815302,0.17516533,-0.2098622,-0.1962626,-0.0135996
40,-0.5484806,-0.5893307,"('stingy', 'generous')",-0.43308014,-0.6219942,-2.4049184,-2.6375816,-1.1288264,-1.2829688,0.1541424
62,0.54287493,0.5491016,"('incompetent', 'brilliant')",-0.41106072,-0.48791066,0.29751757,0.30207393,0.1431106,0.1210883,0.0220223
63,0.54054743,0.46371734,"('unperceptive', 'insightful')",0.23201251,0.09587911,0.8168399,0.9021319,0.5297999,0.4872428,0.0425571
35,-0.53376096,-0.162842,"('corrupt', 'incorrupt')",-0.19805863,0.18677023,-1.1603014,-0.9355532,-0.630707,-0.303875,-0.326832
43,0.50748634,0.40343243,"('irresponsible', 'responsible')",-0.8252545,-0.9620437,0.6428182,0.6593134,0.10835,0.0335674,0.0747826
44,-0.50376767,-0.43345374,"('prejudiced', 'unprejudiced')",-1.4171445,-1.2202065,-1.1248558,-1.0141399,-1.015256,-0.8892667,-0.1259893
