,rockwell_male,rockwell_female,tuple,collins_male,collins_female,inc_male,inc_female,average_male,average_female,male-female
81,-2.418795,-1.9767405,"('submissive', 'aggressive')",-0.61543304,-0.47731024,-0.7941258,-0.8329107,-1.276118,-1.0956539,-0.1804641
71,2.1037276,1.8894348,"('diffident', 'self-confident')",1.7995268,1.8344487,0.4968983,0.23819567,1.4667176,1.3206931,0.1460245
10,-1.9681172,-1.6599241,"('unsympathetic', 'sympathetic')",-0.51685673,-0.496263,0.17208382,0.06148673,-0.7709634,-0.6982334,-0.07273
69,1.9393471,1.6002679,"('lazy', 'industrious')",1.4658196,1.3044488,-0.9007382,-1.0417033,0.8348095,0.6210045,0.213805
1,1.8275759,1.7120191,"('unfriendly', 'friendly')",1.0932734,1.3085719,1.7869393,1.3485357,1.5692628,1.4563756,0.1128872
57,-1.6766353,-1.6075433,"('unimaginative', 'imaginative')",-0.38588655,-0.56245774,-2.398693,-2.5878272,-1.4870717,-1.5859427,0.098871
70,-1.6549816,-1.425998,"('lethargic', 'energetic')",-0.6305524,-0.56186426,0.86760277,0.94705063,-0.4726437,-0.3469372,-0.1257065
33,1.5232316,1.4745647,"('wrong', 'right')",0.6078257,0.7517854,-0.80611885,-0.82475895,0.4416461,0.467197,-0.0255509
3,-1.4762245,-1.5019821,"('repellent', 'pleasant')",0.26219064,-0.03280497,0.30710632,0.17174026,-0.3023092,-0.4543489,0.1520397
26,1.4342738,1.406602,"('hardhearted', 'benevolent')",1.38604,1.4405079,1.5251744,1.090075,1.4484962,1.3123949,0.1361013
25,1.3798726,1.3252788,"('egoistic', 'altruistic')",0.64586437,0.7204062,1.2307452,1.1379138,1.085494,1.0611995,0.0242945
77,-1.3627453,-1.5066894,"('unmotivated', 'motivated')",0.47081977,0.03469964,-0.91675234,-0.8612469,-0.6028926,-0.7777456,0.174853
65,-1.337195,-1.2727449,"('insecure', 'secure')",-0.5365226,-0.67882824,-0.22653973,-0.26908875,-0.7000858,-0.7402206,0.0401348
42,-1.304661,-0.8731204,"('unreliable', 'reliable')",-0.5599303,-0.2807251,-3.1317031,-2.9935358,-1.6654315,-1.3824604,-0.2829711
30,-1.2413495,-0.95849985,"('intolerant', 'tolerant')",-1.1948705,-1.2440675,0.7198759,0.80812484,-0.5721147,-0.4648142,-0.1073005
14,-1.1947798,-0.72792846,"('antisocial', 'social')",0.5337138,0.48940527,-0.9599512,-1.2460976,-0.5403391,-0.4948736,-0.0454655
9,1.166301,1.2291346,"('unaffectionate', 'caring')",0.44836318,0.65538526,1.1443169,0.87212944,0.9196604,0.9188831,0.0007773
58,1.1655703,0.93014145,"('undiscriminating', 'discriminating')",1.426042,1.231021,0.3331418,0.14783005,0.974918,0.7696641,0.2052539
85,1.092404,0.97984385,"('insignificant', 'prestigious')",0.26617312,0.39172757,0.40241832,0.17519203,0.5869985,0.5155878,0.0714107
60,-1.0863807,-0.86041534,"('inefficient', 'efficient')",0.869909,0.6909324,0.25862238,0.25281754,0.0140502,0.0277782,-0.013728
13,-1.0523424,-0.74869835,"('impolite', 'polite')",-0.21277638,-0.33731186,-0.28283015,-0.19203168,-0.515983,-0.4260139,-0.0899691
