,bmc_male,bmc_female,tuple,software_male,software_female,inc_male,inc_female,average_male,average_female,male-female
1,-1.7032155,-1.6343977,"('unfriendly', 'friendly')",0.86676294,0.62350875,1.3775151,1.2403505,0.1803542,0.0764871,0.1038671
39,1.6534355,1.4814004,"('exploitative', 'cooperative')",1.0985157,0.9063353,0.16891664,0.109931104,0.9736226,0.8325555,0.1410671
53,-1.5936598,-1.5150075,"('uncreative', 'creative')",0.99606055,0.8676698,0.8153458,0.74296236,0.0725822,0.0318749,0.0407073
6,-1.4170543,-1.0179434,"('distant', 'open')",-0.581407,-0.5141627,0.0034718905,0.062983654,-0.6649965,-0.4897075,-0.175289
78,-1.3453989,-1.5252427,"('nonresilient', 'resilient')",1.2143764,1.0152236,0.28853926,0.096948,0.0525056,-0.1376904,0.190196
36,-1.2067736,-0.81568503,"('hostile', 'amicable')",-0.6614384,-0.49957764,0.012046404,0.07594169,-0.6187218,-0.413107,-0.2056148
31,-1.2021617,-1.035213,"('evil', 'good')",-0.3098403,-0.39250618,-1.2124969,-1.4308989,-0.9081662,-0.9528727,0.0447065
87,1.1850024,1.1701167,"('unsuccessful', 'successful')",0.84315866,0.5437388,0.9051913,0.86188257,0.9777842,0.8585793,0.1192049
57,-1.1743807,-1.5071367,"('unimaginative', 'imaginative')",-0.41851312,-0.46834353,-2.460633,-2.7200532,-1.3511756,-1.5651778,0.2140022
8,-1.1359504,-1.1540996,"('unaffectionate', 'affectionate')",-0.0668734,-0.13577399,0.50299925,0.40081358,-0.2332749,-0.2963533,0.0630784
73,1.1280364,1.4053111,"('helpless', 'self-reliant')",-0.2538579,-0.1350911,-3.1601915,-3.0473344,-0.7620044,-0.5923715,-0.1696329
62,1.1190518,0.8341892,"('incompetent', 'brilliant')",0.5387302,0.45036456,0.34357646,0.10997772,0.6671195,0.4648438,0.2022757
5,-1.0525923,-0.54671085,"('distant', 'outgoing')",-0.18744588,-0.027496425,-0.30153173,-0.17270105,-0.5138566,-0.2489694,-0.2648872
79,-0.9665529,-0.6061265,"('wavering', 'unwavering')",-1.1538339,-1.2424611,-0.105314426,-0.012859324,-0.7419004,-0.6204823,-0.1214181
10,-0.949816,-1.4550725,"('unsympathetic', 'sympathetic')",-1.1876607,-1.2573806,-0.32904705,-0.59952825,-0.8221745,-1.1039938,0.2818193
9,-0.9185192,-1.0163928,"('unaffectionate', 'caring')",0.44411057,0.31061202,1.1347643,0.87214154,0.2201186,0.0554536,0.164665
60,0.90143466,0.6451709,"('inefficient', 'efficient')",1.0419594,0.973171,0.17297772,0.071011186,0.7054573,0.5631177,0.1423396
44,0.89392996,0.8504992,"('prejudiced', 'unprejudiced')",-0.86455095,-0.9627146,-1.2829461,-1.3041977,-0.4178557,-0.4721377,0.054282
26,-0.8662037,-0.75241506,"('hardhearted', 'benevolent')",0.4196625,0.3828022,1.2802194,1.4958612,0.2778927,0.3754161,-0.0975234
25,-0.78624094,-0.48556265,"('egoistic', 'altruistic')",-0.043847322,0.05083891,1.1757805,1.232348,0.1152308,0.2658747,-0.1506439
18,-0.76260865,-0.36024442,"('disagreeable', 'welcoming')",-0.6794775,-0.38689357,-0.45898885,-0.32063988,-0.6336917,-0.355926,-0.2777657
66,-0.72913283,-0.65523094,"('inactive', 'active')",-1.3839409,-1.3923167,0.832317,0.73351544,-0.4269189,-0.4380107,0.0110918
56,0.71986264,0.69243056,"('impractical', 'practical')",0.31149235,0.54455614,0.104884945,0.1904038,0.3787467,0.4757968,-0.0970501
54,-0.71756154,-0.681295,"('incapable', 'capable')",0.68707484,0.607507,1.2451855,1.1896377,0.4048996,0.3719499,0.0329497
27,-0.7079602,-0.93472415,"('hardhearted', 'softhearted')",0.15274565,0.018950049,1.2846818,0.89183587,0.2431558,-0.0079794,0.2511352
0,-0.6969995,-0.82774425,"('unsociable', 'sociable')",-0.03586989,-0.16175267,-0.36616185,-0.47734895,-0.3663437,-0.4889486,0.1226049
55,0.6724158,0.2462368,"('incompetent', 'clever')",0.40796688,0.2629678,0.13743813,-0.109158225,0.4059403,0.1333488,0.2725915
86,-0.6698558,-0.9887083,"('uninfluential', 'influential')",-0.11523407,-0.26251078,-0.03493415,-0.2636491,-0.2733413,-0.504956,0.2316147
80,0.66854405,0.22421342,"('dominated', 'dominating')",-0.61913,-0.8697134,-1.172799,-1.2909079,-0.3744617,-0.6454693,0.2710076
22,0.66632414,0.33725467,"('untrustworthy', 'trustworthy')",-0.17837329,-0.30152726,-0.70950294,-0.93510586,-0.0738507,-0.2997928,0.2259421
42,0.61806697,0.55453753,"('unreliable', 'reliable')",-1.8503982,-1.6648344,-2.6852906,-2.7494924,-1.305874,-1.2865965,-0.0192775
88,-0.60614204,-0.52149945,"('low', 'eminent')",-0.28901792,-0.17206967,0.25439596,0.45052642,-0.213588,-0.0810142,-0.1325738
45,0.542542,0.13558151,"('incompetent', 'competent')",-0.14081103,-0.2487593,-0.21179563,-0.5347433,0.0633118,-0.2159737,0.2792855
21,0.5391557,0.412104,"('immoral', 'moral')",0.34577572,0.37813145,-0.51634616,-0.64371043,0.1228618,0.0488417,0.0740201
67,0.530428,0.7848085,"('doubtful', 'determined')",0.57585126,0.8217285,-0.5505134,-0.276662,0.1852553,0.4432917,-0.2580364
58,-0.5182893,-0.57348603,"('undiscriminating', 'discriminating')",0.5427798,0.49933216,0.0825115,-0.06852016,0.0356673,-0.047558,0.0832253
64,0.5146134,0.33960035,"('shy', 'confident')",-0.6172423,-0.61012304,-5.8064036,-5.8318276,-1.9696774,-2.0341167,0.0644393
29,0.49092853,0.6126874,"('unfair', 'fair')",-0.8813485,-0.91838807,-0.69058275,-0.8536051,-0.3603342,-0.3864353,0.0261011
71,-0.478418,-0.5613657,"('diffident', 'self-confident')",1.062571,0.8633575,0.57992995,0.3804938,0.3880277,0.2274952,0.1605325
50,-0.477657,-0.4367383,"('clumsy', 'skillful')",-0.19051588,-0.22311187,0.32099107,0.14032352,-0.1157273,-0.1731756,0.0574483
35,-0.44083914,0.06532867,"('corrupt', 'incorrupt')",-0.18846858,-0.15875657,-0.5956083,-0.3312658,-0.4083053,-0.1415646,-0.2667407
24,0.43689823,0.27485567,"('dishonest', 'honest')",-1.5039049,-1.4187504,0.66428876,0.771882,-0.1342393,-0.1240042,-0.0102351
30,0.4344303,0.39197278,"('intolerant', 'tolerant')",0.9567227,1.0225611,0.97360784,1.1016123,0.7882536,0.8387154,-0.0504618
32,-0.4233484,-0.5630499,"('unkind', 'kind')",-0.54145676,-0.51829267,1.1511824,1.099623,0.0621258,0.0060935,0.0560323
19,-0.39190197,-0.19204348,"('inhospitable', 'hospitable')",-0.6063174,-0.42151672,-0.055754576,0.12521376,-0.3513246,-0.1627822,-0.1885424
76,0.3460909,0.26955533,"('anxious', 'daring')",-0.8114518,-0.751986,0.17194806,0.3033143,-0.0978043,-0.0597055,-0.0380988
65,0.34522632,0.22874981,"('insecure', 'secure')",0.13326561,0.1087649,-0.20416696,-0.2433956,0.0914417,0.031373,0.0600687
28,-0.3373236,-0.45186877,"('disloyal', 'loyal')",-0.35027832,-0.35666034,0.8958694,1.102759,0.0694225,0.0980766,-0.0286541
2,0.33487833,0.692675,"('unlikable', 'likable')",0.1513125,0.42357302,0.8065887,1.0456299,0.4309265,0.720626,-0.2896995
51,0.32559314,0.08538431,"('uneducated', 'educated')",-0.50904536,-0.524144,0.844061,0.616084,0.2202029,0.0591081,0.1610948
69,-0.32138842,0.053147275,"('lazy', 'industrious')",0.19610924,0.38282627,-0.49252215,-0.3949849,-0.2059338,0.0136629,-0.2195967
40,-0.3142957,-0.35763392,"('stingy', 'generous')",-0.8480598,-0.899646,-1.7628143,-2.0124986,-0.9750566,-1.0899262,0.1148696
82,-0.31065032,-0.10663605,"('poor', 'rich')",0.3142289,0.5161549,6.435903,6.542118,2.1464939,2.3172123,-0.1707184
16,-0.29946414,0.063495815,"('unpopular', 'popular')",0.21340893,0.3009978,0.67372227,0.80968404,0.195889,0.3913925,-0.1955035
77,-0.29010284,-0.35869813,"('unmotivated', 'motivated')",0.6553387,0.63169485,-1.120346,-1.3369898,-0.2517034,-0.3546643,0.1029609
14,0.28396082,0.3257684,"('antisocial', 'social')",-0.0977563,0.08824785,-0.61511075,-0.46643248,-0.1429687,-0.0174721,-0.1254966
34,-0.27697557,-0.28727028,"('mean', 'honorable')",0.21064392,0.14594813,5.9279814,5.9199324,1.9538832,1.9262034,0.0276798
33,0.27506942,0.3697152,"('wrong', 'right')",0.03468991,0.056914866,-0.72811043,-0.8655708,-0.1394504,-0.1463136,0.0068632
38,-0.26834762,-0.39766675,"('untruthful', 'truthful')",-0.7642397,-0.8253712,-0.1923466,-0.18479118,-0.4083113,-0.4692764,0.0609651
20,0.26640323,-0.06126374,"('rough', 'thoughtful')",0.8159658,0.66131014,0.77406543,0.40803254,0.6188114,0.3360263,0.2827851
7,-0.24622953,-0.47508514,"('insensitive', 'sensitive')",0.1577757,-0.01745546,0.6902068,0.38516605,0.2005843,-0.0357915,0.2363758
41,-0.23797737,-0.24196726,"('unforgiving', 'forgiving')",-0.48441786,-0.31240892,0.25052455,0.2061845,-0.1572902,-0.1160639,-0.0412263
84,0.21884705,0.16463906,"('inferior', 'superior')",0.87630093,0.83715785,0.9222546,0.9068685,0.6724675,0.6362218,0.0362457
72,-0.21723354,-0.34092316,"('unambitious', 'ambitious')",-1.0021513,-1.1311315,-1.2278916,-1.4313506,-0.8157588,-0.9678017,0.1520429
46,-0.21696776,-0.71164155,"('uncompetitive', 'competitive')",-0.4126488,-0.45714644,-0.25051022,-0.3144381,-0.2933756,-0.4944087,0.2010331
37,0.21688259,-0.18159321,"('fake', 'genuine')",-0.53210324,-0.7558221,0.5292575,0.20450945,0.0713456,-0.244302,0.3156476
4,-0.19928083,0.03941011,"('disliked', 'liked')",-1.0023253,-0.6861939,-5.955563,-5.6298356,-2.3857231,-2.0922065,-0.2935166
47,-0.15390481,-0.2646408,"('stupid', 'smart')",0.42646873,0.50355905,5.493813,5.34252,1.9221257,1.8604795,0.0616462
49,-0.15063533,-0.23230949,"('unable', 'able')",0.5735767,0.59698117,0.14759845,0.08341435,0.1901799,0.149362,0.0408179
75,-0.14896075,0.13534008,"('meek', 'impulsive')",-0.79394865,-0.67908984,-0.33826438,-0.36615032,-0.4270579,-0.3033,-0.1237579
63,0.13386631,-0.2544223,"('unperceptive', 'insightful')",0.27658227,0.0049854927,1.2515119,0.8754539,0.5539868,0.2086724,0.3453144
52,-0.12511587,0.0469439,"('irrational', 'rational')",0.4678068,0.43517587,-0.22689493,-0.26383507,0.0385987,0.0727616,-0.0341629
83,0.12003522,-0.055450216,"('powerless', 'powerful')",0.23867416,0.10052172,-0.91776794,-1.074265,-0.1863528,-0.3430645,0.1567117
3,0.10821893,-0.103282705,"('repellent', 'pleasant')",-0.19934438,-0.2976805,0.20923245,-0.08551733,0.039369,-0.1621602,0.2015292
70,-0.10771869,-0.4071394,"('lethargic', 'energetic')",-1.1485366,-1.2645423,1.0283709,0.7344468,-0.0759615,-0.3124116,0.2364501
48,-0.10381506,-0.6682081,"('unintelligent', 'intelligent')",0.8214085,0.48317784,0.6906497,0.32819453,0.4694144,0.0477214,0.421693
85,0.07732059,0.57175213,"('insignificant', 'prestigious')",-0.0018000267,0.007376116,0.2483189,0.3932567,0.1079465,0.3241283,-0.2161818
43,-0.07228561,-0.37429935,"('irresponsible', 'responsible')",-0.76482594,-0.79143506,0.45793897,0.45894048,-0.1263909,-0.235598,0.1092071
11,0.07178403,-0.2795835,"('unhelpful', 'helpful')",1.1057194,0.92558897,2.2539518,2.1735303,1.1438184,0.9398452,0.2039732
59,-0.06558563,0.19288602,"('foolish', 'wise')",0.42712405,0.39185005,0.19740488,0.18526454,0.1863144,0.2566669,-0.0703525
61,0.06409514,0.09908872,"('illogical', 'logical')",1.0992794,0.96078104,0.109946154,-0.07039867,0.4244402,0.3298237,0.0946165
81,0.06127036,-0.15753374,"('submissive', 'aggressive')",-0.4934122,-0.5146768,-0.43081433,-0.5161234,-0.2876521,-0.3961113,0.1084592
68,-0.056306228,-0.16241139,"('dependent', 'independent')",-0.6669327,-0.59706223,-0.5178151,-0.7072813,-0.4136847,-0.4889183,0.0752336
23,-0.052932415,-0.34119606,"('insincere', 'sincere')",0.8249469,0.62633073,5.7093887,5.4878016,2.1604678,1.9243121,0.2361557
13,-0.046909098,-0.22283646,"('impolite', 'polite')",-0.058172937,-0.059024565,0.038152486,-0.12833683,-0.0223098,-0.1367326,0.1144228
17,0.04519964,0.009528633,"('nasty', 'nice')",-0.24344862,-0.2936631,-0.49570706,-0.5473507,-0.2313187,-0.2771617,0.045843
12,-0.040908225,-0.40834156,"('unsupportive', 'supportive')",-0.3455371,-0.5100381,-1.5292963,-1.7423882,-0.6385805,-0.8869227,0.2483422
74,0.03977781,0.033687145,"('undedicated', 'dedicated')",-0.3683564,-0.36543143,0.057092324,0.07609624,-0.0904954,-0.085216,-0.0052794
15,0.028045343,0.15916692,"('boring', 'funny')",0.37518737,0.5409174,0.52613515,0.57528305,0.3097893,0.4251225,-0.1153332
