,sysco_male,sysco_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-2.783998,-2.9159498,"('unsympathetic', 'sympathetic')",-0.44381645,-0.710216,-1.6139072,-1.8130829,0.1991757
69,2.1874063,2.1455362,"('lazy', 'industrious')",-0.9985156,-0.81814337,0.5944453,0.6636964,-0.0692511
43,-2.0314293,-2.0550914,"('irresponsible', 'responsible')",0.21984655,-0.04246568,-0.9057914,-1.0487785,0.1429871
57,-2.0278757,-2.173123,"('unimaginative', 'imaginative')",-3.2296374,-3.3379283,-2.6287565,-2.7555256,0.1267691
70,-1.7419981,-1.6739268,"('lethargic', 'energetic')",0.010072138,-0.18120271,-0.865963,-0.9275647,0.0616017
60,-1.7106367,-1.3930513,"('inefficient', 'efficient')",-0.03020743,-0.13887702,-0.8704221,-0.7659642,-0.1044579
55,-1.6748711,-1.7643833,"('incompetent', 'clever')",0.33245316,0.225878,-0.671209,-0.7692527,0.0980437
0,-1.6142123,-2.2180786,"('unsociable', 'sociable')",-0.32788453,-0.580856,-0.9710484,-1.3994673,0.4284189
23,-1.6136125,-1.4072013,"('insincere', 'sincere')",6.0841084,6.0356355,2.2352479,2.3142171,-0.0789692
81,-1.5968541,-2.086958,"('submissive', 'aggressive')",-0.76106906,-1.2383317,-1.1789615,-1.6626449,0.4836834
7,-1.585744,-1.3150599,"('insensitive', 'sensitive')",0.41679418,0.48748982,-0.5844749,-0.413785,-0.1706899
13,-1.43445,-1.7720883,"('impolite', 'polite')",-0.616735,-1.0252569,-1.0255926,-1.3986726,0.37308
85,1.3096023,1.1576419,"('insignificant', 'prestigious')",-0.42832243,-0.20333184,0.4406399,0.477155,-0.0365151
65,-1.3033935,-1.4513785,"('insecure', 'secure')",-0.4835611,-0.62520677,-0.8934773,-1.0382926,0.1448153
56,-1.2784927,-1.470077,"('impractical', 'practical')",-0.62227714,-0.6148251,-0.9503849,-1.0424511,0.0920662
45,-1.2560925,-1.4343262,"('incompetent', 'competent')",-0.17489257,-0.31963342,-0.7154925,-0.8769798,0.1614873
33,1.2330136,1.152327,"('wrong', 'right')",-0.6483638,-0.46274313,0.2923249,0.3447919,-0.052467
72,-1.2312429,-1.3197601,"('unambitious', 'ambitious')",-0.3296799,-0.40789816,-0.7804614,-0.8638291,0.0833677
46,-1.2275002,-1.1147532,"('uncompetitive', 'competitive')",-0.8761449,-1.0484787,-1.0518225,-1.0816159,0.0297934
28,-1.1884348,-1.239009,"('disloyal', 'loyal')",0.7476866,0.83246565,-0.2203741,-0.2032717,-0.0171024
86,-1.1828113,-1.5810599,"('uninfluential', 'influential')",0.18120204,-0.148336,-0.5008046,-0.8646979,0.3638933
3,-1.176554,-0.78926116,"('repellent', 'pleasant')",0.80254847,0.8412886,-0.1870027,0.0260137,-0.2130164
63,-1.170501,-1.2037941,"('unperceptive', 'insightful')",0.84302604,0.85768247,-0.1637375,-0.1730558,0.0093183
26,1.164434,0.83388364,"('hardhearted', 'benevolent')",1.3605387,1.1886337,1.2624863,1.0112586,0.2512277
51,-1.1507117,-1.7003949,"('uneducated', 'educated')",1.169081,0.7112898,0.0091847,-0.4945525,0.5037372
21,-1.1500098,-0.983231,"('immoral', 'moral')",-0.64932895,-0.6843873,-0.8996693,-0.8338091,-0.0658602
32,-1.1129006,-1.014906,"('unkind', 'kind')",0.61584777,0.39904723,-0.2485264,-0.3079294,0.059403
47,-1.1020161,-1.191988,"('stupid', 'smart')",5.301678,5.196389,2.0998311,2.0022006,0.0976305
35,1.0979127,1.0877717,"('corrupt', 'incorrupt')",-0.5564213,-0.26567838,0.2707457,0.4110466,-0.1403009
31,1.0562541,1.2605432,"('evil', 'good')",-0.79410905,-0.5095108,0.1310726,0.3755162,-0.2444436
30,-1.0480546,-1.3693825,"('intolerant', 'tolerant')",0.5669386,0.37881517,-0.240558,-0.4952837,0.2547257
73,1.0430682,1.2740349,"('helpless', 'self-reliant')",-3.420279,-2.9229023,-1.1886054,-0.8244337,-0.3641717
22,-1.027161,-0.7156003,"('untrustworthy', 'trustworthy')",-0.9522934,-0.92051727,-0.9897272,-0.8180588,-0.1716684
11,-1.0242304,-1.1923907,"('unhelpful', 'helpful')",2.0194578,1.8734301,0.4976137,0.3405197,0.157094
5,1.0092471,0.97117007,"('distant', 'outgoing')",-0.49088985,-0.16889584,0.2591786,0.4011371,-0.1419585
14,-0.96247387,-1.3036908,"('antisocial', 'social')",-0.17597283,-0.4344936,-0.5692233,-0.8690922,0.2998689
82,-0.95200086,-0.9744256,"('poor', 'rich')",6.5369515,6.3317556,2.7924752,2.6786649,0.1138103
24,-0.9170126,-0.5936385,"('dishonest', 'honest')",0.61555135,0.8660977,-0.1507306,0.1362296,-0.2869602
38,-0.8974987,-1.010771,"('untruthful', 'truthful')",0.26487702,0.3504173,-0.3163109,-0.3301769,0.013866
77,-0.8777019,-0.3069071,"('unmotivated', 'motivated')",-1.21604,-0.962454,-1.0468709,-0.6346806,-0.4121903
36,0.84424376,0.70824087,"('hostile', 'amicable')",-0.2511793,-0.195441,0.2965322,0.2563999,0.0401323
76,-0.80871737,-0.7155197,"('anxious', 'daring')",-0.58378625,-0.82165897,-0.6962518,-0.7685894,0.0723376
53,-0.7790626,-0.5064732,"('uncreative', 'creative')",0.2845251,0.37734446,-0.2472688,-0.0645644,-0.1827044
42,-0.739967,-0.9906242,"('unreliable', 'reliable')",-3.8221877,-3.997185,-2.2810774,-2.4939046,0.2128272
44,0.73361325,0.9933269,"('prejudiced', 'unprejudiced')",-1.937772,-1.9679234,-0.6020794,-0.4872983,-0.1147811
