,sysco_male,sysco_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-2.4555352,-2.3172977,"('unsympathetic', 'sympathetic')",-0.17963725,0.20636874,-1.3175862,-1.0554645,-0.2621217
69,2.119673,2.0118203,"('lazy', 'industrious')",-1.0569142,-1.0272591,0.5313794,0.4922806,0.0390988
0,-1.9964784,-1.7167063,"('unsociable', 'sociable')",-0.39133424,-0.29559702,-1.1939063,-1.0061517,-0.1877546
57,-1.9222044,-1.748282,"('unimaginative', 'imaginative')",-3.4453416,-2.910144,-2.683773,-2.3292131,-0.3545599
86,-1.5698634,-1.2934663,"('uninfluential', 'influential')",-0.14581317,0.11796163,-0.8578383,-0.5877523,-0.270086
51,-1.5436131,-1.3846748,"('uneducated', 'educated')",0.594305,0.9246197,-0.474654,-0.2300276,-0.2446264
43,-1.4759392,-1.3324606,"('irresponsible', 'responsible')",0.3349763,0.6361631,-0.5704814,-0.3481488,-0.2223326
8,-1.4590511,-1.2283707,"('unaffectionate', 'affectionate')",0.3908586,-0.19124866,-0.5340962,-0.7098097,0.1757135
38,-1.3118416,-0.9597386,"('untruthful', 'truthful')",0.5654431,0.33404812,-0.3731993,-0.3128452,-0.0603541
13,-1.2555798,-1.1948938,"('impolite', 'polite')",-0.5730914,-0.37326753,-0.9143356,-0.7840807,-0.1302549
55,-1.2381535,-1.2799156,"('incompetent', 'clever')",0.3954658,0.639012,-0.4213438,-0.3204518,-0.100892
72,-1.2226304,-1.35724,"('unambitious', 'ambitious')",-0.11323515,-0.33143538,-0.6679327,-0.8443377,0.176405
70,-1.2218136,-1.2558744,"('lethargic', 'energetic')",0.42611718,0.6185364,-0.3978482,-0.318669,-0.0791792
45,-1.1998851,-0.9635459,"('incompetent', 'competent')",-0.10833082,0.21032315,-0.654108,-0.3766114,-0.2774966
44,1.1897455,1.0172107,"('prejudiced', 'unprejudiced')",-1.7854325,-1.4836498,-0.2978435,-0.2332196,-0.0646239
30,-1.1311783,-0.80621415,"('intolerant', 'tolerant')",0.46041697,0.6930843,-0.3353806,-0.0565649,-0.2788157
23,-1.0596128,-1.3834323,"('insincere', 'sincere')",6.573277,5.9340434,2.7568321,2.2753055,0.4815266
