,campbell_male,campbell_female,tuple,soup_male,soup_female,co_male,co_female,average_male,average_female,male-female
73,2.1402235,2.0294755,"('helpless', 'self-reliant')",-0.13526505,-0.18019062,-3.079055,-3.323841,-0.3580322,-0.4915187,0.1334865
65,-2.0692396,-2.0409696,"('insecure', 'secure')",-1.9055146,-1.9421207,-0.9545827,-0.6994342,-1.6431123,-1.5608416,-0.0822707
69,1.8694084,1.8156949,"('lazy', 'industrious')",1.3302878,1.2706066,-0.35595125,-0.5645925,0.9479149,0.8405697,0.1073452
17,-1.8496565,-1.4349159,"('nasty', 'nice')",-0.831909,-0.7026201,-0.9381744,-0.73015285,-1.20658,-0.9558963,-0.2506837
46,-1.8115146,-1.7950673,"('uncompetitive', 'competitive')",-1.126309,-1.0934517,-2.191308,-1.9098978,-1.7097106,-1.5994724,-0.1102382
85,1.6311371,1.3933868,"('insignificant', 'prestigious')",1.3533534,1.1310279,0.9237759,0.46314633,1.3027554,0.9958537,0.3069017
35,1.5718794,1.5952919,"('corrupt', 'incorrupt')",0.77414066,0.7192896,0.43259907,0.10622296,0.9262064,0.8069348,0.1192716
6,1.5679303,1.6612684,"('distant', 'open')",1.7676708,1.7067814,1.1316811,0.9367368,1.4890941,1.4349289,0.0541652
33,1.5600686,1.4032537,"('wrong', 'right')",0.61235124,0.54421985,0.13346696,-0.10940783,0.7686289,0.6126886,0.1559403
11,-1.4636375,-1.4043605,"('unhelpful', 'helpful')",-0.8101666,-0.7417191,0.8930254,1.145277,-0.4602596,-0.3336008,-0.1266588
81,-1.4412887,-1.3096623,"('submissive', 'aggressive')",-1.5805383,-1.3987206,-1.8661858,-1.5038803,-1.6293376,-1.4040877,-0.2252499
5,1.4212589,1.5741215,"('distant', 'outgoing')",1.218078,1.1678777,0.5380765,0.41533923,1.0591378,1.0524461,0.0066917
71,1.3691617,1.222273,"('diffident', 'self-confident')",2.0464718,1.9243337,0.72970337,0.6959652,1.381779,1.2808572,0.1009218
9,1.2969058,1.1930853,"('unaffectionate', 'caring')",0.90048265,0.7906495,1.5321397,1.4055344,1.243176,1.1297565,0.1134195
25,1.237276,1.1160487,"('egoistic', 'altruistic')",1.7964885,1.7898644,2.1954312,2.0449152,1.7430652,1.6502762,0.092789
47,-1.201419,-1.1286509,"('stupid', 'smart')",0.1494831,0.096271425,5.2652617,5.571805,1.4044418,1.5131418,-0.1087
55,-1.1146255,-1.1571229,"('incompetent', 'clever')",-0.532267,-0.5587795,-0.85941,-0.6098478,-0.8354341,-0.77525,-0.0601841
76,-1.057086,-0.9086117,"('anxious', 'daring')",-0.88333726,-0.78955257,-0.5704056,-0.36114383,-0.836943,-0.686436,-0.150507
16,-1.0445243,-1.1546245,"('unpopular', 'popular')",-0.86541325,-0.976468,0.07804002,-0.031667173,-0.6106325,-0.7209199,0.1102874
13,-1.0369653,-0.90025944,"('impolite', 'polite')",-0.1577003,-0.041019738,-1.1509906,-0.8856889,-0.7818854,-0.6089894,-0.172896
14,-1.0317882,-0.94847226,"('antisocial', 'social')",-0.9938923,-0.9131955,-1.4293848,-1.1918135,-1.1516884,-1.017827,-0.1338614
79,1.0225643,1.1463248,"('wavering', 'unwavering')",0.26603076,0.32738364,0.12244464,0.018239548,0.4703466,0.497316,-0.0269694
0,-1.0035007,-1.1199664,"('unsociable', 'sociable')",-0.03649988,-0.10837241,-0.73673433,-0.55951077,-0.5922449,-0.5959499,0.003705
10,-1.0005548,-0.93831885,"('unsympathetic', 'sympathetic')",-1.4381125,-1.3507484,-1.4788492,-1.1941783,-1.3058388,-1.1610819,-0.1447569
60,-0.9798619,-1.0830516,"('inefficient', 'efficient')",-0.5871988,-0.5448469,-1.282223,-0.83699244,-0.9497612,-0.8216303,-0.1281309
57,-0.97545564,-0.7401835,"('unimaginative', 'imaginative')",-1.5419153,-1.4107785,-4.4400263,-4.252634,-2.3191325,-2.134532,-0.1846005
61,-0.960852,-0.85209244,"('illogical', 'logical')",-0.7275157,-0.8176835,-0.0839672,-0.019419106,-0.5907783,-0.563065,-0.0277133
7,-0.9395836,-0.9386578,"('insensitive', 'sensitive')",-1.0687984,-1.0375861,-0.39361736,-0.2395832,-0.8006665,-0.7386091,-0.0620574
77,-0.8979563,-1.1461583,"('unmotivated', 'motivated')",-0.9717749,-0.94920975,-1.6763192,-1.5147218,-1.1820168,-1.2033633,0.0213465
3,-0.8872789,-0.85673225,"('repellent', 'pleasant')",-1.6567625,-1.7444849,0.22880441,0.31971547,-0.7717457,-0.7605006,-0.0112451
82,-0.88489676,-0.89881575,"('poor', 'rich')",-1.0340945,-1.2147837,6.075242,6.080124,1.385417,1.3221749,0.0632421
37,0.8727779,0.87309283,"('fake', 'genuine')",0.44402722,0.4506393,0.22238718,0.1951516,0.5130641,0.5062946,0.0067695
80,-0.8576748,-0.82702875,"('dominated', 'dominating')",-0.8857316,-0.8290507,-1.4011163,-1.2609725,-1.0481742,-0.9723507,-0.0758235
30,-0.84942585,-0.8142804,"('intolerant', 'tolerant')",-1.4667498,-1.4732611,-0.5320943,-0.34249628,-0.9494233,-0.8766793,-0.072744
54,0.84686077,0.702157,"('incapable', 'capable')",1.3837066,1.1969937,1.1986562,1.0576302,1.1430745,0.9855936,0.1574809
34,-0.84348816,-0.8427793,"('mean', 'honorable')",-0.14346465,-0.26206887,5.3492103,5.3997216,1.4540858,1.4316244,0.0224614
87,-0.83985066,-0.7356494,"('unsuccessful', 'successful')",-0.13260342,-0.29483265,-0.13372308,-0.17949675,-0.3687257,-0.4033263,0.0346006
44,-0.8363117,-0.8356743,"('prejudiced', 'unprejudiced')",-1.1056653,-1.0321553,-1.1939361,-1.21103,-1.0453044,-1.0262865,-0.0190179
26,0.8098873,0.86586314,"('hardhearted', 'benevolent')",1.3135011,1.2488399,1.6349005,1.552116,1.252763,1.222273,0.03049
36,0.80813825,0.61902046,"('hostile', 'amicable')",0.5234855,0.39692742,1.0527378,0.65915483,0.7947872,0.5583676,0.2364196
70,-0.78352153,-0.56290394,"('lethargic', 'energetic')",-1.7606028,-1.6452438,-0.67564654,-0.46738455,-1.073257,-0.8918441,-0.1814129
74,0.76063365,0.86396885,"('undedicated', 'dedicated')",-0.039477237,-0.038080916,-0.35490805,-0.47778085,0.1220828,0.1160357,0.0060471
51,-0.7267855,-0.8587074,"('uneducated', 'educated')",-1.0936083,-1.1547793,-0.25130966,-0.3112223,-0.6905678,-0.7749031,0.0843353
18,-0.716676,-0.8849855,"('disagreeable', 'welcoming')",-0.21347989,-0.2584554,-0.4854717,-0.6729108,-0.4718759,-0.6054506,0.1335747
78,-0.7133865,-0.7394019,"('nonresilient', 'resilient')",0.514322,0.5162837,-0.2595019,-0.21090746,-0.1528555,-0.1446752,-0.0081803
39,0.71148413,0.49904498,"('exploitative', 'cooperative')",1.1548469,1.0844136,0.12934291,0.10211034,0.6652247,0.5618563,0.1033684
19,0.7022979,0.82943445,"('inhospitable', 'hospitable')",0.19802046,0.17283545,0.1333475,-0.016529616,0.3445553,0.3285801,0.0159752
1,0.6808809,0.6391076,"('unfriendly', 'friendly')",1.6124357,1.511418,2.8275828,2.6280425,1.7069664,1.5928561,0.1141103
63,0.6529754,0.60244226,"('unperceptive', 'insightful')",0.63031185,0.6044929,-0.5095603,-0.34055337,0.257909,0.2887939,-0.0308849
23,-0.62854844,-0.6954657,"('insincere', 'sincere')",0.25382137,0.1158744,5.962008,6.0815063,1.8624269,1.8339717,0.0284552
62,-0.61839604,-0.42592666,"('incompetent', 'brilliant')",-0.5370108,-0.42596203,-1.2833625,-0.93700486,-0.8129231,-0.5962978,-0.2166253
31,0.5892614,0.8129264,"('evil', 'good')",0.5949763,0.5471107,0.26880345,0.08868489,0.4843471,0.4829073,0.0014398
22,-0.5723373,-0.39399812,"('untrustworthy', 'trustworthy')",-0.5729841,-0.5157372,-1.4198805,-1.269005,-0.8550673,-0.7262468,-0.1288205
21,-0.5366238,-0.56045985,"('immoral', 'moral')",-0.75401706,-0.7122177,-1.5493251,-1.334001,-0.9466553,-0.8688928,-0.0777625
59,0.53245014,0.454629,"('foolish', 'wise')",0.376145,0.28793174,0.12318593,-0.06262721,0.343927,0.2266445,0.1172825
68,0.52388984,0.26972368,"('dependent', 'independent')",-1.0810664,-1.2321799,-1.3802409,-1.5108811,-0.6458058,-0.8244457,0.1786399
43,-0.502696,-0.6940823,"('irresponsible', 'responsible')",-0.623986,-0.67305666,-0.35122237,-0.19305259,-0.4926348,-0.5200639,0.0274291
72,-0.48330787,-0.6120109,"('unambitious', 'ambitious')",-0.8314138,-0.865928,-0.71499974,-0.5862039,-0.6765738,-0.6880476,0.0114738
41,-0.47911426,-0.45566264,"('unforgiving', 'forgiving')",0.5439305,0.57945865,-0.22301069,-0.25327554,-0.0527315,-0.0431598,-0.0095717
84,0.47651508,0.42882168,"('inferior', 'superior')",0.04505171,0.06663558,0.56671983,0.52317053,0.3627622,0.3395426,0.0232196
27,0.43084732,0.4145282,"('hardhearted', 'softhearted')",0.54569083,0.48783234,1.5263209,1.3550699,0.8342864,0.7524769,0.0818095
56,0.41811812,0.478593,"('impractical', 'practical')",-0.016012408,0.13993326,-1.8225815,-1.4863011,-0.4734919,-0.2892583,-0.1842336
64,-0.412444,-0.39340392,"('shy', 'confident')",-1.7317946,-1.6871032,-7.629956,-7.473165,-3.2580649,-3.1845573,-0.0735076
28,-0.38609785,-0.37654,"('disloyal', 'loyal')",-0.18345071,-0.15616655,0.6007116,0.5875328,0.0103877,0.0182754,-0.0078877
49,-0.34050727,-0.35977718,"('unable', 'able')",-0.07997687,-0.21880808,-0.8991013,-0.8537913,-0.4398618,-0.4774589,0.0375971
