,monster_male,monster_female,tuple,worldwide_male,worldwide_female,inc_male,inc_female,average_male,average_female,male-female
31,-2.9925253,-2.5913231,"('evil', 'good')",-1.5851481,-1.4373847,-1.3799696,-1.227834,-1.985881,-1.7521807,-0.2337003
36,-2.7912066,-2.6092703,"('hostile', 'amicable')",-1.490305,-1.4997718,-0.26690304,-0.31294647,-1.5161381,-1.4739962,-0.0421419
48,2.4441195,1.8553599,"('unintelligent', 'intelligent')",0.3733011,0.14804399,0.93364626,0.74774206,1.2503556,0.9170486,0.333307
56,2.4007964,2.2356021,"('impractical', 'practical')",1.748671,1.6893342,-0.055319242,-0.21038629,1.3647161,1.2381833,0.1265328
44,-1.9708524,-1.7410471,"('prejudiced', 'unprejudiced')",-0.4043939,-0.3741009,-1.437785,-1.3899455,-1.2710104,-1.1683645,-0.1026459
17,-1.9254714,-2.206701,"('nasty', 'nice')",-1.8095021,-1.9336686,-0.6014141,-0.6380797,-1.4454625,-1.5928164,0.1473539
81,1.8941402,1.5694591,"('submissive', 'aggressive')",1.2950633,1.1284112,0.03257142,-0.24414644,1.0739249,0.817908,0.2560169
69,-1.8628147,-1.3974749,"('lazy', 'industrious')",0.26452732,0.43301404,-0.47112757,-0.39024535,-0.689805,-0.4515687,-0.2382363
4,-1.8290236,-1.7212744,"('disliked', 'liked')",-0.39523634,-0.45438206,-6.5648656,-6.929258,-2.9297085,-3.0349712,0.1052627
16,-1.6984657,-1.7055708,"('unpopular', 'popular')",-0.18202874,-0.34813505,0.7736507,0.6576545,-0.3689479,-0.4653505,0.0964026
18,-1.5984633,-1.8029315,"('disagreeable', 'welcoming')",0.31390923,0.31739748,-0.52276,-0.46397418,-0.602438,-0.6498361,0.0473981
66,-1.5557638,-1.092535,"('inactive', 'active')",0.35853758,0.3209687,0.70465225,0.889251,-0.1641913,0.0392282,-0.2034195
52,-1.5284431,-1.3921912,"('irrational', 'rational')",-1.0445423,-0.79448986,-0.15514325,0.03005022,-0.9093762,-0.7188769,-0.1904993
6,-1.4129381,-1.1833493,"('distant', 'open')",-0.7206645,-0.3172329,0.6176416,0.8034504,-0.5053203,-0.2323773,-0.272943
72,1.4092453,1.281093,"('unambitious', 'ambitious')",0.86429065,1.0991894,-0.33299014,-0.28794065,0.6468486,0.6974472,-0.0505986
85,-1.3389045,-1.1500571,"('insignificant', 'prestigious')",-1.5943568,-1.3214238,0.39512318,0.6450471,-0.8460461,-0.6088112,-0.2372349
29,-1.3200997,-1.303706,"('unfair', 'fair')",-0.0035638027,0.15230753,-0.63280857,-0.5693902,-0.6521573,-0.5735962,-0.0785611
60,1.2976297,1.0609903,"('inefficient', 'efficient')",1.9660245,1.6964041,0.49211568,0.24208021,1.2519233,0.9998248,0.2520985
40,-1.2405928,-1.313729,"('stingy', 'generous')",-0.6722303,-0.48389187,-2.3852136,-2.3879123,-1.4326789,-1.3951777,-0.0375012
32,1.1741171,1.1737366,"('unkind', 'kind')",0.8265712,0.76195955,1.1859623,1.0807922,1.0622169,1.0054961,0.0567208
62,1.1200585,1.0633374,"('incompetent', 'brilliant')",1.3200818,1.3391422,0.43109775,0.5803839,0.9570793,0.9942878,-0.0372085
27,-1.0711612,-0.7476912,"('hardhearted', 'softhearted')",-1.194174,-0.96696395,0.9764059,1.193426,-0.4296431,-0.173743,-0.2559001
47,-1.0604029,-1.0274211,"('stupid', 'smart')",-0.55407965,-0.43552983,5.3395333,5.535003,1.2416836,1.3573507,-0.1156671
14,-1.0120871,-1.2020146,"('antisocial', 'social')",0.3575199,0.24509817,-1.4997259,-1.523246,-0.7180977,-0.8267208,0.1086231
86,1.010655,0.63063365,"('uninfluential', 'influential')",0.081283055,0.093820706,-0.591092,-0.7476359,0.1669487,-0.0077272,0.1746759
34,-1.0050458,-1.1935267,"('mean', 'honorable')",0.18970352,-0.055039126,5.8031697,5.8045774,1.6626091,1.5186704,0.1439387
