,consolidated_male,consolidated_female,tuple,edison_male,edison_female,inc_male,inc_female,average_male,average_female,male-female
39,1.967304,2.204807,"('exploitative', 'cooperative')",-0.24628891,0.010955434,-0.09830123,0.12389585,0.5409046,0.7798861,-0.2389815
26,1.6149871,1.4082944,"('hardhearted', 'benevolent')",3.7229495,3.5533483,1.175801,1.3794291,2.1712459,2.1136907,0.0575552
71,1.5291481,1.6379017,"('diffident', 'self-confident')",0.9567923,1.1411347,0.31696585,0.5168187,0.9343021,1.0986184,-0.1643163
44,-1.4829438,-1.3524377,"('prejudiced', 'unprejudiced')",-0.85568523,-0.8228523,-1.6391138,-1.48284,-1.3259142,-1.2193767,-0.1065375
67,1.3273818,1.3312478,"('doubtful', 'determined')",-0.25575253,-0.2051071,-0.5367334,-0.5018706,0.1782986,0.20809,-0.0297914
49,-1.2030311,-1.055947,"('unable', 'able')",-0.8557254,-0.68736,-0.59766895,-0.40598634,-0.8854751,-0.7164311,-0.169044
45,-1.1021701,-1.1596457,"('incompetent', 'competent')",-1.1693237,-1.0800232,-0.44470724,-0.40839088,-0.9054004,-0.8826866,-0.0227138
12,1.078944,1.1582696,"('unsupportive', 'supportive')",0.09235734,0.31649452,-1.6881846,-1.4433557,-0.1722944,0.0104695,-0.1827639
82,-1.0498605,-1.1737168,"('poor', 'rich')",-0.35338032,-0.4141678,6.2066913,5.8475275,1.6011502,1.419881,0.1812692
73,1.0266554,0.9989738,"('helpless', 'self-reliant')",0.85053504,0.7927641,-3.1611788,-2.8413708,-0.4279961,-0.3498776,-0.0781185
56,1.0110549,1.0695103,"('impractical', 'practical')",0.3562806,0.6539053,0.19317186,0.21426597,0.5201691,0.6458939,-0.1257248
75,-1.0095632,-1.0716764,"('meek', 'impulsive')",-0.48180827,-0.54850185,-0.42840323,-0.3753029,-0.6399249,-0.6651604,0.0252355
84,0.95547974,1.092205,"('inferior', 'superior')",0.34752062,0.36566,0.5427443,0.57636124,0.6152482,0.6780754,-0.0628272
29,-0.9202878,-1.078519,"('unfair', 'fair')",-1.6673158,-1.7668557,-0.8073346,-0.8892567,-1.1316461,-1.2448771,0.113231
55,-0.90420145,-0.934952,"('incompetent', 'clever')",-0.8722325,-0.73905224,0.010886114,-0.09123167,-0.588516,-0.588412,-0.000104
38,0.8886253,0.91753256,"('untruthful', 'truthful')",0.0873531,0.24705318,0.14269197,0.36826986,0.3728902,0.5109518,-0.1380616
16,-0.87745,-1.0850276,"('unpopular', 'popular')",-0.62216955,-0.7712963,0.3048074,0.18683122,-0.3982707,-0.5564976,0.1582269
30,0.85749316,0.8055921,"('intolerant', 'tolerant')",-0.17241421,-0.00560835,1.3545122,1.3912221,0.6798638,0.730402,-0.0505382
72,0.8193785,0.71961963,"('unambitious', 'ambitious')",0.45718664,0.45112556,-1.1048298,-1.089944,0.0572451,0.0269337,0.0303114
76,-0.8176407,-0.7633471,"('anxious', 'daring')",-1.5124853,-1.3470371,0.29006353,0.22683778,-0.6800208,-0.6278488,-0.052172
68,-0.79815257,-0.6974708,"('dependent', 'independent')",-1.1013998,-0.9497587,-0.34658885,-0.397801,-0.7487137,-0.6816768,-0.0670369
20,-0.79046667,-0.66655797,"('rough', 'thoughtful')",-1.0246361,-1.0167129,1.0316811,0.9650649,-0.2611406,-0.239402,-0.0217386
1,-0.77683663,-0.75772816,"('unfriendly', 'friendly')",1.0528328,1.1014708,1.2390898,1.4167805,0.5050287,0.586841,-0.0818123
35,-0.7737313,-0.8053819,"('corrupt', 'incorrupt')",-0.23408234,-0.48158577,-0.54885805,-0.5605621,-0.5188906,-0.6158432,0.0969526
59,0.77025795,0.81874037,"('foolish', 'wise')",0.49599063,0.4403418,0.074645735,0.2341559,0.4469648,0.497746,-0.0507812
40,0.7647006,0.5739362,"('stingy', 'generous')",0.2348706,0.049285308,-1.6428298,-1.6861488,-0.2144195,-0.3543091,0.1398896
57,-0.7635582,-0.9452194,"('unimaginative', 'imaginative')",-0.2569404,-0.2326471,-2.3689628,-2.5012898,-1.1298205,-1.2263854,0.0965649
27,-0.7507035,-0.58444446,"('hardhearted', 'softhearted')",0.40371084,0.47906566,0.935258,1.1485015,0.1960884,0.3477076,-0.1516192
24,0.7482769,0.9876688,"('dishonest', 'honest')",-0.2654863,0.02894864,0.5573848,0.83037925,0.3467251,0.6156656,-0.2689405
31,-0.7447595,-0.85725194,"('evil', 'good')",0.4143308,0.3264464,-1.7071506,-1.5061995,-0.6791931,-0.6790016,-0.0001915
28,0.73164034,0.7225559,"('disloyal', 'loyal')",-0.5411036,-0.5322245,0.96259034,0.8569996,0.3843757,0.3491103,0.0352654
78,-0.72989136,-0.748266,"('nonresilient', 'resilient')",-0.12805384,-0.11406569,0.5012165,0.42468953,-0.1189096,-0.1458807,0.0269711
3,-0.7252209,-0.60122925,"('repellent', 'pleasant')",-1.4999616,-1.4078332,0.31547862,0.22941351,-0.636568,-0.5932163,-0.0433517
88,0.7177416,0.7367451,"('low', 'eminent')",0.2950698,0.41186726,0.4623587,0.4371461,0.4917234,0.5285861,-0.0368627
83,0.7010134,0.6179334,"('powerless', 'powerful')",0.072579965,0.10907461,-0.92341757,-0.9267292,-0.0499414,-0.0665737,0.0166323
6,-0.68330115,-0.7488151,"('distant', 'open')",0.59679043,0.5304148,0.035272017,0.16682439,-0.0170796,-0.017192,0.0001124
54,-0.67473054,-0.5502427,"('incapable', 'capable')",-1.135963,-0.8948053,0.6033869,0.88709325,-0.4024355,-0.1859849,-0.2164506
74,0.65960264,0.6047579,"('undedicated', 'dedicated')",-0.5329949,-0.3935148,-0.10558039,0.028376348,0.0070091,0.0798731,-0.072864
51,0.6562828,0.3076806,"('uneducated', 'educated')",-1.1439664,-1.1678212,0.91666204,0.6293241,0.1429928,-0.0769388,0.2199316
7,0.6498721,0.833853,"('insensitive', 'sensitive')",0.054907613,0.3018441,0.7538328,0.8930475,0.4862042,0.6762482,-0.190044
43,-0.6111788,-0.40221584,"('irresponsible', 'responsible')",-0.67763567,-0.3249845,0.44700265,0.6384165,-0.280604,-0.0295946,-0.2510094
42,0.598477,0.75518924,"('unreliable', 'reliable')",-0.84637606,-0.5597392,-2.6086962,-2.280971,-0.9521984,-0.6951737,-0.2570247
63,0.59234095,0.6407571,"('unperceptive', 'insightful')",-0.5619392,-0.3076414,1.2073553,1.2989069,0.4125857,0.5440075,-0.1314218
58,0.49191514,0.36929995,"('undiscriminating', 'discriminating')",0.6419422,0.60653895,0.1312914,0.12143036,0.4217163,0.3657564,0.0559599
23,0.48765746,0.58381987,"('insincere', 'sincere')",-1.0077868,-0.71259683,5.8507175,5.78699,1.7768628,1.886071,-0.1092082
61,-0.48503843,-0.55986243,"('illogical', 'logical')",-0.4114198,-0.37287202,-0.111933224,-0.08125119,-0.3361305,-0.3379952,0.0018647
14,0.4774459,0.46794397,"('antisocial', 'social')",-0.44713774,-0.31744152,-0.55662906,-0.49995986,-0.1754403,-0.1164858,-0.0589545
19,0.45128188,0.45837784,"('inhospitable', 'hospitable')",-0.5449575,-0.50085574,-0.23189719,-0.06397528,-0.1085243,-0.0354844,-0.0730399
0,-0.43082488,-0.6629444,"('unsociable', 'sociable')",-0.8752246,-0.8657332,-0.31698543,-0.58619606,-0.5410117,-0.7049579,0.1639462
22,-0.4253802,-0.4550787,"('untrustworthy', 'trustworthy')",-1.3388896,-1.1625655,-1.0040892,-0.86001056,-0.9227864,-0.8258849,-0.0969015
15,0.41979384,0.29398373,"('boring', 'funny')",1.1206228,1.0183823,0.298992,0.29060245,0.6131362,0.5343228,0.0788134
47,-0.41157958,-0.31231833,"('stupid', 'smart')",0.015308902,0.14564362,5.4074087,5.3759627,1.6703793,1.7364294,-0.0660501
53,-0.4060379,-0.45525032,"('uncreative', 'creative')",0.058841635,0.07413632,0.48050088,0.46087092,0.0444349,0.0265856,0.0178493
11,0.40557352,0.5058878,"('unhelpful', 'helpful')",-0.4108806,-0.068501994,2.4415445,2.5070245,0.8120791,0.9814701,-0.169391
9,0.38929495,0.5419426,"('unaffectionate', 'caring')",0.7428421,0.8437283,0.82415426,1.0657061,0.6520971,0.8171256,-0.1650285
36,-0.3782247,-0.47090837,"('hostile', 'amicable')",1.0075926,0.7994475,-0.1809574,-0.0635051,0.1494701,0.0883447,0.0611254
66,-0.3670582,-0.19157955,"('inactive', 'active')",-0.2726614,-0.19636622,0.48994616,0.75030583,-0.0499245,0.1207867,-0.1707112
32,0.3652706,0.59803885,"('unkind', 'kind')",-0.3027512,0.07218801,1.2507173,1.2510046,0.4377456,0.6404105,-0.2026649
34,0.36453265,0.5008835,"('mean', 'honorable')",0.45969868,0.68283767,5.975038,6.0244713,2.2664231,2.4027308,-0.1363077
2,0.362268,0.51306784,"('unlikable', 'likable')",0.2835215,0.5749211,0.5318978,0.86929,0.3925624,0.6524263,-0.2598639
10,-0.34722555,-0.13921061,"('unsympathetic', 'sympathetic')",-1.4600061,-1.106646,-0.036118623,0.00035565346,-0.6144501,-0.415167,-0.1992831
48,-0.34275624,-0.41412368,"('unintelligent', 'intelligent')",0.020286009,0.0091210045,0.5925469,0.32706118,0.0900255,-0.0259805,0.116006
79,0.33542266,0.12637539,"('wavering', 'unwavering')",-0.046652637,-0.22959979,-0.20975226,-0.148209,0.0263393,-0.0838111,0.1101504
41,-0.32974207,-0.35384142,"('unforgiving', 'forgiving')",-0.6582783,-0.5770954,-0.15956807,-0.08058164,-0.3825295,-0.3371728,-0.0453567
8,-0.29938245,-0.17268544,"('unaffectionate', 'affectionate')",0.5644297,0.5802731,0.1658819,0.45626307,0.1436431,0.2879502,-0.1443071
13,-0.28917074,-0.42564175,"('impolite', 'polite')",-0.34917146,-0.17201772,0.095098644,-0.053313326,-0.1810812,-0.2169909,0.0359097
18,-0.279764,-0.21174248,"('disagreeable', 'welcoming')",-0.36928132,-0.15635715,-0.5956446,-0.4015016,-0.4148966,-0.2565337,-0.1583629
4,0.26216197,-0.027012236,"('disliked', 'liked')",0.39968565,0.20262502,-5.939461,-5.7770805,-1.7592045,-1.8671559,0.1079514
25,-0.24542147,-0.32301363,"('egoistic', 'altruistic')",0.7871851,0.72699004,1.0309315,1.0894648,0.5242317,0.4978137,0.026418
70,0.23220614,0.33743396,"('lethargic', 'energetic')",-1.1608194,-0.9395315,1.0396749,1.0289192,0.0370205,0.1422739,-0.1052534
62,0.19502278,0.09961223,"('incompetent', 'brilliant')",-0.29103816,-0.1099333,0.4063191,0.49665436,0.1034346,0.1621111,-0.0586765
52,0.19183941,-0.019137654,"('irrational', 'rational')",-0.19770741,-0.40638828,-0.8503264,-0.7704023,-0.2853981,-0.3986427,0.1132446
80,-0.18849093,-0.23119894,"('dominated', 'dominating')",-0.42523265,-0.45433497,-1.0498104,-1.0795679,-0.5545113,-0.5883673,0.033856
17,0.1330032,0.0021500066,"('nasty', 'nice')",-0.14515379,-0.20405218,-0.4096887,-0.3873402,-0.1406131,-0.1964141,0.055801
46,0.10720371,0.13050765,"('uncompetitive', 'competitive')",-0.9152739,-0.7212446,-0.1454161,-0.2449747,-0.3178288,-0.2785705,-0.0392583
87,-0.105659194,-0.18412177,"('unsuccessful', 'successful')",0.047319233,0.040591262,0.31166875,0.37625515,0.0844429,0.0775749,0.006868
64,-0.10374885,0.09815126,"('shy', 'confident')",-1.156737,-0.98693424,-6.3161573,-6.262776,-2.5255477,-2.383853,-0.1416947
65,-0.098033205,-0.22407627,"('insecure', 'secure')",-0.5644908,-0.45160538,-0.17536138,-0.33893815,-0.2792951,-0.3382066,0.0589115
86,-0.09758462,-0.3297049,"('uninfluential', 'influential')",0.7760292,0.7487335,0.03926906,-0.11303953,0.2392379,0.1019964,0.1372415
