,travelers_male,travelers_female,tuple,companies_male,companies_female,inc_male,inc_female,average_male,average_female,male-female
32,0.63846064,0.9357265,"('unkind', 'kind')",1.238014,1.4436647,1.2849157,1.4670674,1.0537968,1.2821528,-0.228356
41,0.6294282,0.9163778,"('unforgiving', 'forgiving')",0.049641557,0.48306146,0.02867185,0.22420761,0.2359139,0.5412156,-0.3053017
65,0.6033406,0.5248219,"('insecure', 'secure')",0.93686366,1.2031636,0.30271456,0.25062653,0.6143063,0.6595374,-0.0452311
82,-0.5436424,-0.8710137,"('poor', 'rich')",0.35137922,0.12512563,6.555455,6.0185776,2.121064,1.7575631,0.3635009
21,0.5229136,0.6225708,"('immoral', 'moral')",1.6943297,2.0326366,-0.7025113,-0.5001887,0.5049106,0.7183396,-0.213429
55,0.51521814,0.24174324,"('incompetent', 'clever')",1.8972249,1.9400939,0.24797378,0.2673108,0.8868056,0.8163826,0.070423
80,0.5073218,0.30018276,"('dominated', 'dominating')",2.153679,2.2416406,-0.9465234,-0.86094826,0.5714924,0.5602917,0.0112007
62,0.49513042,0.29123867,"('incompetent', 'brilliant')",2.0098403,1.958655,0.17414807,0.061336193,0.8930395,0.77041,0.1226295
53,-0.45122904,-0.3682333,"('uncreative', 'creative')",-0.1708874,-0.047944646,0.9737576,1.0012827,0.1172137,0.1950349,-0.0778212
86,0.4480045,0.43710923,"('uninfluential', 'influential')",0.8478809,0.7824339,0.16265015,0.28327772,0.4861785,0.5009403,-0.0147618
6,-0.44401157,-0.11991276,"('distant', 'open')",-1.7549187,-1.7021066,0.49059525,0.66816,-0.569445,-0.3846198,-0.1848252
46,0.43213016,0.17955934,"('uncompetitive', 'competitive')",2.5739312,2.5375538,-0.23922469,-0.05819149,0.9222789,0.8863072,0.0359717
54,-0.42558205,-0.11545325,"('incapable', 'capable')",-0.8414217,-0.75607026,0.76916724,0.95410585,-0.1659455,0.0275275,-0.193473
18,-0.4186353,-0.20801167,"('disagreeable', 'welcoming')",-0.61707777,-0.37264645,-0.5561066,-0.58119017,-0.5306066,-0.3872828,-0.1433238
70,0.41747093,0.30292112,"('lethargic', 'energetic')",1.3656828,1.5719557,0.57071394,0.5573444,0.7846226,0.8107404,-0.0261178
64,0.40699446,0.557149,"('shy', 'confident')",1.520559,1.8746147,-6.3698344,-5.66711,-1.4807603,-1.0784488,-0.4023115
67,-0.3971838,-0.43479854,"('doubtful', 'determined')",-0.3798653,-0.1277551,-0.82254535,-0.6488835,-0.5331981,-0.4038124,-0.1293857
37,-0.38891107,-0.4887402,"('fake', 'genuine')",-0.055282205,0.031690717,0.14336456,0.06621904,-0.1002762,-0.1302768,0.0300006
76,0.37258852,0.21666586,"('anxious', 'daring')",1.6844494,1.9321107,0.5386901,0.6762279,0.8652426,0.9416682,-0.0764256
20,-0.36533445,-0.32595727,"('rough', 'thoughtful')",0.013181765,0.15356024,1.0187935,1.0646422,0.2222136,0.2974151,-0.0752015
17,-0.332258,-0.3294259,"('nasty', 'nice')",-0.5034114,-0.20701317,-0.49737635,-0.41262123,-0.4443486,-0.3163534,-0.1279952
85,-0.30923644,0.2897952,"('insignificant', 'prestigious')",-0.949127,-0.70630115,0.17616448,0.5718892,-0.360733,0.0517944,-0.4125274
51,-0.28058812,-0.49853092,"('uneducated', 'educated')",0.86247283,0.7481847,0.2840445,0.2728556,0.2886431,0.1741698,0.1144733
8,0.25532126,0.43404233,"('unaffectionate', 'affectionate')",-0.9760719,-0.90172243,0.33064386,0.3348684,-0.1300356,-0.0442706,-0.085765
29,0.23488232,0.23419504,"('unfair', 'fair')",-1.3146799,-1.3808585,-0.45156714,-0.45231357,-0.5104549,-0.5329924,0.0225375
59,-0.23294817,-0.13086352,"('foolish', 'wise')",-0.9755309,-0.9471617,0.02064035,0.17308542,-0.3959462,-0.3016466,-0.0942996
81,0.22912028,0.07754952,"('submissive', 'aggressive')",1.7862611,1.8742627,-0.20804179,-0.0896687,0.6024465,0.6207145,-0.018268
3,-0.21864638,-0.2480217,"('repellent', 'pleasant')",1.2287467,1.2173808,0.46623248,0.4653337,0.4921109,0.4782309,0.01388
22,-0.21492188,-0.24958584,"('untrustworthy', 'trustworthy')",1.02809,1.2427826,-0.65018106,-0.6426328,0.054329,0.1168546,-0.0625256
57,-0.20842421,-0.1786314,"('unimaginative', 'imaginative')",0.049116947,0.059526354,-3.0080948,-2.8355327,-1.0558007,-0.9848793,-0.0709214
88,-0.19348243,0.022256792,"('low', 'eminent')",0.36499813,0.5759405,0.0301507,0.29635715,0.0672221,0.2981848,-0.2309627
69,-0.16589554,-0.03593955,"('lazy', 'industrious')",-0.2892343,-0.24355468,-0.5453934,-0.42963952,-0.3335078,-0.2363779,-0.0971299
5,-0.16016573,0.122917235,"('distant', 'outgoing')",-1.0077753,-0.92288715,-0.035658203,0.16781019,-0.4011998,-0.2107199,-0.1904799
27,0.15794712,0.24357301,"('hardhearted', 'softhearted')",1.1866224,1.0829091,1.0744478,0.7836969,0.8063391,0.703393,0.1029461
87,0.15115677,0.1007516,"('unsuccessful', 'successful')",2.0825639,2.0095165,0.8253496,1.0255651,1.01969,1.0452778,-0.0255878
16,0.13979822,0.23511747,"('unpopular', 'popular')",-0.97280663,-1.0013415,0.7903378,0.67900294,-0.0142235,-0.0290737,0.0148502
34,-0.1185575,-0.044673845,"('mean', 'honorable')",0.973088,1.0072231,6.406185,6.1910357,2.4202385,2.3845283,0.0357102
2,0.08086619,0.47247633,"('unlikable', 'likable')",0.56921655,0.95113873,0.42949003,0.8446722,0.3598576,0.7560957,-0.3962381
4,-0.06165558,0.013412887,"('disliked', 'liked')",0.05888301,0.022133697,-6.2077403,-5.7368693,-2.070171,-1.9004409,-0.1697301
84,-0.060758308,-0.14111279,"('inferior', 'superior')",-0.68176436,-0.7157913,0.43678907,0.613408,-0.1019112,-0.0811654,-0.0207458
45,-0.059123345,-0.29637584,"('incompetent', 'competent')",1.6964563,1.4640235,0.02579308,-0.035053987,0.5543753,0.3775312,0.1768441
47,0.05733446,0.09657981,"('stupid', 'smart')",0.7727616,0.9285798,5.71498,5.4266667,2.1816921,2.1506087,0.0310834
83,-0.055402033,-0.045979187,"('powerless', 'powerful')",0.07005879,0.2910438,-0.8975671,-0.72754806,-0.2943034,-0.1608278,-0.1334756
15,0.03435041,0.07190795,"('boring', 'funny')",-0.8228763,-0.42323622,0.019303875,0.03854713,-0.2564073,-0.1042604,-0.1521469
58,-0.0338738,0.005665483,"('undiscriminating', 'discriminating')",0.8082828,0.7415053,0.028734503,0.0476283,0.2677145,0.264933,0.0027815
61,0.0046038125,0.0060683265,"('illogical', 'logical')",-0.22419637,-0.10759885,0.2095747,0.360998,-0.0033393,0.0864892,-0.0898285
