,molson_male,molson_female,tuple,coors_male,coors_female,beverage_male,beverage_female,co_male,co_female,average_male,average_female,male-female
10,-2.280608,-2.464452,"('unsympathetic', 'sympathetic')",-3.3285892,-3.442887,-1.7837774,-1.9383441,-0.33239388,-0.31214783,-1.9313421,-2.0394578,0.1081157
85,1.9293994,2.0381763,"('insignificant', 'prestigious')",2.2766318,2.4037948,2.4165938,2.3638954,0.3779352,0.23661222,1.7501402,1.7606196,-0.0104794
21,-1.8963284,-1.9622995,"('immoral', 'moral')",-2.477944,-2.4021785,-0.5535574,-0.7004971,-0.77251434,-0.827941,-1.425086,-1.4732291,0.0481431
55,-1.8872921,-2.0518734,"('incompetent', 'clever')",-1.8985956,-2.0239558,-0.6454528,-0.94023615,-0.13066301,-0.104869135,-1.1405009,-1.2802337,0.1397328
81,-1.8322359,-2.158098,"('submissive', 'aggressive')",-3.2962751,-3.4644694,-1.456882,-1.583338,-1.4461381,-1.417345,-2.0078828,-2.1558125,0.1479297
69,1.8233377,2.0067677,"('lazy', 'industrious')",2.7059324,2.843655,1.426566,1.5759972,-0.629103,-0.62121356,1.3316833,1.4513017,-0.1196184
73,1.7536446,1.8018217,"('helpless', 'self-reliant')",2.6345422,2.6878226,1.2560458,1.2077157,-3.096166,-3.330734,0.6370167,0.5916565,0.0453602
11,-1.6147965,-1.4001127,"('unhelpful', 'helpful')",-1.645409,-1.5919462,-0.18567769,-0.14655223,2.305733,2.3047931,-0.2850376,-0.2084545,-0.0765831
46,-1.6047368,-1.589856,"('uncompetitive', 'competitive')",-1.7973815,-1.8526572,-0.5876346,-0.7062476,-0.4754994,-0.47886539,-1.116313,-1.1569066,0.0405936
65,-1.6040534,-1.7675035,"('insecure', 'secure')",-1.7839918,-1.8818082,-0.69508165,-0.8664984,0.1300756,0.09400368,-0.9882628,-1.1054516,0.1171888
57,-1.5406569,-1.5193515,"('unimaginative', 'imaginative')",-1.9296701,-1.9790393,-1.2985992,-1.393426,-3.785592,-3.7480986,-2.1386294,-2.1599789,0.0213495
48,-1.4854655,-1.5709715,"('unintelligent', 'intelligent')",-1.4600704,-1.5000534,-0.071066715,-0.22307259,-0.3235316,-0.29885113,-0.8350335,-0.8982371,0.0632036
71,1.4409629,1.6348498,"('diffident', 'self-confident')",1.206741,1.3113029,2.257129,2.351333,0.71989673,0.6672896,1.4061824,1.4911938,-0.0850114
30,-1.4332072,-1.6147444,"('intolerant', 'tolerant')",-2.113628,-2.147895,-0.16990656,-0.27806124,-0.14119226,-0.08196368,-0.9644834,-1.0306661,0.0661827
3,-1.4227648,-1.6136398,"('repellent', 'pleasant')",-1.3372762,-1.441384,-1.6867372,-1.7073795,0.19032316,0.2964878,-1.0641137,-1.1164788,0.0523651
5,1.4223361,1.6115916,"('distant', 'outgoing')",1.3189325,1.4914584,1.9111164,2.0302336,-0.18476474,-0.17745805,1.116905,1.2389565,-0.1220515
70,-1.3409731,-1.426122,"('lethargic', 'energetic')",-1.8663446,-1.9622086,-0.92069805,-1.051096,0.022175092,0.023428071,-1.0264602,-1.1039996,0.0775394
62,-1.3381827,-1.4472488,"('incompetent', 'brilliant')",-1.9224209,-2.0889564,-0.3434373,-0.51320636,-0.37957966,-0.44555655,-0.995905,-1.1237421,0.1278371
35,1.2805154,1.3344305,"('corrupt', 'incorrupt')",2.8023348,2.8271697,-0.3388753,-0.16282955,-0.43096364,-0.44622007,0.8282529,0.8881376,-0.0598847
