,lauder_male,lauder_female,tuple,estee_male,estee_female,cos_male,cos_female,inc_male,inc_female,average_male,average_female,male-female
69,2.1277132,2.4865203,"('lazy', 'industrious')",3.146231,3.1026845,1.085926,1.1133926,-0.40796664,-0.2522369,1.4879758,1.6125902,-0.1246144
85,2.1149666,2.6761668,"('insignificant', 'prestigious')",2.2431643,2.3461223,-0.43881568,-0.5627419,0.29345575,0.8692948,1.0531927,1.3322105,-0.2790178
73,1.7858813,1.872679,"('helpless', 'self-reliant')",1.5534354,1.3857826,0.6995114,0.6270384,-2.795896,-2.8200853,0.3107331,0.2663537,0.0443794
35,1.7226919,2.1414535,"('corrupt', 'incorrupt')",2.0318882,1.9548681,-0.24589983,-0.49487656,-0.7967711,-0.5378113,0.6779773,0.7659084,-0.0879311
14,-1.6330757,-1.7507493,"('antisocial', 'social')",-1.6817515,-1.5750802,-0.216681,-0.008710641,-0.62848353,-0.90576404,-1.0399979,-1.060076,0.0200781
24,-1.6122166,-1.9066789,"('dishonest', 'honest')",-2.365732,-2.369394,-1.329397,-1.298665,0.8681264,0.67662734,-1.1098047,-1.2245277,0.114723
57,-1.6060976,-1.7883475,"('unimaginative', 'imaginative')",-2.2459602,-2.101162,-0.8789772,-0.79185313,-1.2823261,-1.4297721,-1.5033404,-1.5277836,0.0244432
65,-1.6034858,-1.8983581,"('insecure', 'secure')",-1.7716147,-1.8336588,-0.084247395,0.07626134,-0.10084471,-0.34812078,-0.8900481,-1.0009692,0.1109211
3,-1.3948224,-1.4129931,"('repellent', 'pleasant')",-2.4395125,-2.4710639,0.049367957,0.16264525,-0.053918187,-0.1506908,-0.9597213,-0.9680256,0.0083043
10,-1.3580174,-1.5389433,"('unsympathetic', 'sympathetic')",-2.8359203,-2.7065792,-0.738877,-0.4861164,0.86175084,0.730971,-1.017766,-1.000167,-0.017599
45,-1.3524895,-1.7701924,"('incompetent', 'competent')",-2.2399704,-2.191784,-0.6549536,-0.5337664,0.07803747,-0.13380001,-1.0423441,-1.1573857,0.1150416
72,-1.3482466,-1.2597606,"('unambitious', 'ambitious')",-1.5310079,-1.4017375,-1.0313408,-0.96853596,-0.59134454,-0.6209233,-1.1254849,-1.0627394,-0.0627455
86,-1.2303376,-1.3042797,"('uninfluential', 'influential')",-1.874995,-1.7529294,-0.96584624,-0.6766802,0.41415086,0.35845938,-0.914257,-0.8438574,-0.0703996
22,-1.2182635,-1.5205991,"('untrustworthy', 'trustworthy')",-1.710259,-1.7484753,-0.9328203,-0.90200657,-1.1970011,-1.376394,-1.264586,-1.3868687,0.1222827
55,-1.1890345,-1.5417036,"('incompetent', 'clever')",-2.1290119,-2.0175223,-0.21690398,-0.09794302,0.4756883,0.44778877,-0.7648155,-0.8023451,0.0375296
60,-1.1589499,-1.4017993,"('inefficient', 'efficient')",-1.8389578,-1.649078,0.2159605,0.64642453,0.78896064,0.5543809,-0.4982466,-0.462518,-0.0357286
33,1.107867,1.2651027,"('wrong', 'right')",1.4424939,1.5181189,-0.022645961,-0.018903881,-0.9047454,-0.74405694,0.4057424,0.5050652,-0.0993228
48,-1.1030505,-1.2751322,"('unintelligent', 'intelligent')",-2.0661285,-1.9519017,-0.80797106,-0.75158626,0.7667812,0.7285917,-0.8025922,-0.8125071,0.0099149
82,-1.1012613,-1.2691941,"('poor', 'rich')",-1.280847,-1.2127943,-0.027106045,-0.054653052,5.292822,5.553337,0.7209019,0.7541739,-0.033272
0,-1.0660584,-1.0242376,"('unsociable', 'sociable')",-1.193093,-0.9961468,-0.35465917,-0.091496095,-0.30339018,-0.3834421,-0.7293002,-0.6238306,-0.1054696
43,-1.0237331,-1.0242529,"('irresponsible', 'responsible')",-1.4338276,-1.1057112,-0.5820174,-0.2051306,1.0080014,1.0743543,-0.5078942,-0.3151851,-0.1927091
