,southern_male,southern_female,tuple,co_male,co_female,average_male,average_female,male-female
56,2.186726,1.7202117,"('impractical', 'practical')",0.19142711,0.018089201,1.1890767,0.8691505,0.3199262
62,1.7476144,1.2273872,"('incompetent', 'brilliant')",0.40736914,0.20117414,1.0774918,0.7142807,0.3632111
36,-1.6928802,-1.4041662,"('hostile', 'amicable')",-0.52734333,-0.32222468,-1.1101117,-0.8631954,-0.2469163
14,1.5823663,1.5181134,"('antisocial', 'social')",-0.32871997,-0.241321,0.6268232,0.6383962,-0.011573
7,1.5235708,1.3318489,"('insensitive', 'sensitive')",0.39234254,0.32121083,0.9579567,0.8265299,0.1314268
37,1.4504894,1.4871306,"('fake', 'genuine')",0.5175573,0.5075234,0.9840233,0.997327,-0.0133037
60,1.4222515,1.0206977,"('inefficient', 'efficient')",0.14528687,0.121282406,0.7837692,0.5709901,0.2127791
31,-1.3374996,-0.9126918,"('evil', 'good')",-0.72781223,-0.55890167,-1.032656,-0.7357967,-0.2968593
16,-1.3069754,-1.2650936,"('unpopular', 'popular')",0.009443093,0.16589364,-0.6487662,-0.5495999,-0.0991663
45,1.2393947,0.7381337,"('incompetent', 'competent')",0.17452605,0.06686754,0.7069604,0.4025006,0.3044598
2,1.2212175,1.1827093,"('unlikable', 'likable')",0.88406503,1.0129176,1.0526413,1.0978135,-0.0451722
46,1.2017238,0.68366104,"('uncompetitive', 'competitive')",-0.75734407,-0.9582969,0.2221899,-0.1373179,0.3595078
70,1.1898036,0.67678094,"('lethargic', 'energetic')",0.53371525,0.14914139,0.8617594,0.4129612,0.4487982
10,1.1059824,0.8359759,"('unsympathetic', 'sympathetic')",0.08043575,-0.06278777,0.5932091,0.3865941,0.206615
28,1.1032804,1.0521388,"('disloyal', 'loyal')",1.1488769,1.0656307,1.1260786,1.0588847,0.0671939
76,1.0846133,0.88451886,"('anxious', 'daring')",0.15827227,-9.07816e-05,0.6214428,0.442214,0.1792288
35,-1.0678091,-0.82277256,"('corrupt', 'incorrupt')",-0.58919615,-0.46307775,-0.8285027,-0.6429251,-0.1855776
50,-1.0672423,-0.98590285,"('clumsy', 'skillful')",-0.47104594,-0.38977847,-0.7691441,-0.6878406,-0.0813035
24,0.98105115,1.1140826,"('dishonest', 'honest')",1.0721383,0.9727691,1.0265948,1.0434258,-0.016831
74,0.97471833,0.8882911,"('undedicated', 'dedicated')",-0.06912196,-0.07792564,0.4527982,0.4051827,0.0476155
85,-0.9238481,-0.39673883,"('insignificant', 'prestigious')",-1.0165883,-0.79999834,-0.9702182,-0.5983686,-0.3718496
55,0.9168444,0.6550011,"('incompetent', 'clever')",0.12246678,-0.021511037,0.5196556,0.316745,0.2029106
