,fluor_male,fluor_female,tuple,corp_male,corp_female,average_male,average_female,male-female
86,-1.9951228,-1.8622459,"('uninfluential', 'influential')",0.045878313,-0.019678254,-0.9746222,-0.9409621,-0.0336601
53,-1.803112,-1.6474503,"('uncreative', 'creative')",0.32871124,0.2936083,-0.7372004,-0.676921,-0.0602794
19,-1.5644087,-1.5049844,"('inhospitable', 'hospitable')",-0.38450855,-0.3362709,-0.9744586,-0.9206277,-0.0538309
57,-1.5587333,-1.1732792,"('unimaginative', 'imaginative')",-2.857234,-3.0601337,-2.2079837,-2.1167064,-0.0912773
28,-1.4549092,-1.3398942,"('disloyal', 'loyal')",1.1719073,1.1221306,-0.1415009,-0.1088818,-0.0326191
8,-1.3970612,-1.4773103,"('unaffectionate', 'affectionate')",0.39037332,0.13995041,-0.5033439,-0.66868,0.1653361
18,-1.3436583,-1.2285879,"('disagreeable', 'welcoming')",-0.9069802,-0.904386,-1.1253192,-1.066487,-0.0588322
45,-1.3237915,-1.1546259,"('incompetent', 'competent')",0.5840715,0.40878674,-0.36986,-0.3729196,0.0030596
9,-1.2938328,-1.2609167,"('unaffectionate', 'caring')",1.0360588,0.8889306,-0.128887,-0.185993,0.057106
24,-1.2542388,-1.0390632,"('dishonest', 'honest')",1.023578,1.0699902,-0.1153304,0.0154635,-0.1307939
36,-1.2344952,-1.2352703,"('hostile', 'amicable')",-0.77126443,-0.8425787,-1.0028799,-1.0389245,0.0360446
43,-1.1899095,-0.8612862,"('irresponsible', 'responsible')",0.47646582,0.6975803,-0.3567218,-0.081853,-0.2748688
1,-1.167763,-1.212031,"('unfriendly', 'friendly')",0.99618894,0.72391796,-0.085787,-0.2440565,0.1582695
0,-1.1107183,-0.8960024,"('unsociable', 'sociable')",-0.1406316,-0.094741285,-0.6256749,-0.4953718,-0.1303031
10,-1.0622286,-0.7465471,"('unsympathetic', 'sympathetic')",0.2114541,0.26800585,-0.4253872,-0.2392706,-0.1861166
22,-1.0113809,-0.6502147,"('untrustworthy', 'trustworthy')",-1.0937217,-1.0485737,-1.0525513,-0.8493942,-0.2031571
84,1.0033815,1.018693,"('inferior', 'superior')",1.0964549,1.0530645,1.0499182,1.0358787,0.0140395
54,-0.9791332,-1.047843,"('incapable', 'capable')",0.99798673,0.81134623,0.0094268,-0.1182484,0.1276752
55,-0.9589379,-0.5518142,"('incompetent', 'clever')",0.6575697,0.73712456,-0.1506841,0.0926552,-0.2433393
38,-0.9321104,-0.9747899,"('untruthful', 'truthful')",0.34931985,0.2015049,-0.2913953,-0.3866425,0.0952472
3,-0.8604791,-0.66738117,"('repellent', 'pleasant')",0.60643774,0.699373,-0.1270207,0.0159959,-0.1430166
31,-0.83998656,-0.9282725,"('evil', 'good')",-1.3730983,-1.5401351,-1.1065423,-1.2342038,0.1276615
6,-0.8253251,-0.94781685,"('distant', 'open')",-1.0212269,-1.0974381,-0.9232759,-1.0226275,0.0993516
88,-0.8252221,-0.834591,"('low', 'eminent')",-0.15290432,-0.29309887,-0.4890632,-0.5638449,0.0747817
13,-0.81981015,-0.66152793,"('impolite', 'polite')",-0.5831977,-0.52444494,-0.7015039,-0.5929865,-0.1085174
52,-0.81826496,-1.005503,"('irrational', 'rational')",-0.4358548,-0.6870894,-0.6270599,-0.8462962,0.2192363
51,-0.7982101,-0.9679264,"('uneducated', 'educated')",0.6723901,0.6558588,-0.06291,-0.1560338,0.0931238
14,-0.7400622,-0.3381445,"('antisocial', 'social')",-0.45419627,-0.26511693,-0.5971292,-0.3016307,-0.2954985
73,0.7337598,0.8583203,"('helpless', 'self-reliant')",-2.9511623,-3.2021868,-1.1087012,-1.1719333,0.0632321
26,-0.7054261,-0.49777687,"('hardhearted', 'benevolent')",1.1265447,1.1594511,0.2105593,0.3308371,-0.1202778
23,-0.6993671,-0.7611773,"('insincere', 'sincere')",5.9093156,6.1290507,2.6049743,2.6839366,-0.0789623
61,-0.6949551,-0.5182392,"('illogical', 'logical')",0.10946368,0.3459261,-0.2927457,-0.0861565,-0.2065892
64,-0.6773878,-0.560951,"('shy', 'confident')",-5.9175606,-6.130143,-3.2974741,-3.3455472,0.0480731
67,0.6773561,0.61962897,"('doubtful', 'determined')",-0.54714054,-0.45737475,0.0651078,0.0811271,-0.0160193
70,-0.65820664,-0.4569636,"('lethargic', 'energetic')",0.53226453,0.6435364,-0.0629711,0.0932864,-0.1562575
21,-0.6561441,-0.23509859,"('immoral', 'moral')",-0.15398689,0.087781884,-0.4050655,-0.0736583,-0.3314072
27,0.643128,0.6949367,"('hardhearted', 'softhearted')",0.8565139,0.82389355,0.7498209,0.7594151,-0.0095942
63,-0.6332877,-0.6282992,"('unperceptive', 'insightful')",1.156662,1.0903996,0.2616871,0.2310502,0.0306369
77,-0.63081443,-0.4934579,"('unmotivated', 'motivated')",-0.6676735,-0.5222363,-0.649244,-0.5078471,-0.1413969
32,-0.5769485,-0.59483296,"('unkind', 'kind')",1.1413666,1.0302849,0.282209,0.217726,0.064483
69,0.5761398,0.4276828,"('lazy', 'industrious')",-1.1242245,-1.1263866,-0.2740424,-0.3493519,0.0753095
40,-0.55118036,-0.32090908,"('stingy', 'generous')",-1.9106045,-2.088886,-1.2308924,-1.2048975,-0.0259949
17,-0.5509193,-0.46362475,"('nasty', 'nice')",-0.7767151,-0.6929684,-0.6638172,-0.5782966,-0.0855206
71,-0.54334766,-0.5963207,"('diffident', 'self-confident')",0.233441,0.34381896,-0.1549533,-0.1262509,-0.0287024
25,-0.51418483,-0.4475074,"('egoistic', 'altruistic')",0.3744037,0.4304594,-0.0698906,-0.008524,-0.0613666
41,-0.5085936,-0.35870528,"('unforgiving', 'forgiving')",-0.25834128,-0.3547619,-0.3834674,-0.3567336,-0.0267338
74,-0.5083592,-0.32934487,"('undedicated', 'dedicated')",-0.29596278,-0.32306266,-0.402161,-0.3262038,-0.0759572
7,-0.50202477,-0.3724318,"('insensitive', 'sensitive')",0.40339875,0.40473828,-0.049313,0.0161532,-0.0654662
