,l3_male,l3_female,tuple,technologies_male,technologies_female,inc_male,inc_female,average_male,average_female,male-female
60,1.8936741,1.7210938,"('inefficient', 'efficient')",1.031703,0.86691904,-0.32422504,-0.64968306,0.8670507,0.6461099,0.2209408
1,-1.8766851,-1.8455207,"('unfriendly', 'friendly')",0.17173405,0.1883484,1.7650352,2.0221164,0.020028,0.121648,-0.10162
36,-1.8763138,-1.4654721,"('hostile', 'amicable')",-0.84110737,-0.4817353,0.6232656,1.0061976,-0.6980518,-0.31367,-0.3843818
79,-1.5973,-1.5721189,"('wavering', 'unwavering')",-1.497027,-1.5202045,-0.1008552,0.045502387,-1.0650607,-1.015607,-0.0494537
31,-1.5102348,-1.2993511,"('evil', 'good')",-0.5159324,-0.45080543,-0.6879414,-0.46096066,-0.9047028,-0.7370391,-0.1676637
39,1.4891043,1.6457838,"('exploitative', 'cooperative')",0.61092913,0.7454953,0.10581797,0.22596467,0.7352838,0.8724146,-0.1371308
67,1.4772447,1.3893461,"('doubtful', 'determined')",0.22983915,0.010869686,-0.75581247,-0.7659638,0.3170905,0.2114174,0.1056731
55,1.426139,1.2669175,"('incompetent', 'clever')",0.386271,0.45302787,-0.2738102,-0.3907671,0.5128666,0.4430594,0.0698072
42,1.3568391,1.2202028,"('unreliable', 'reliable')",-0.7521299,-1.1101248,-2.7238479,-2.7977748,-0.7063796,-0.895899,0.1895194
62,1.3521712,1.2204411,"('incompetent', 'brilliant')",0.7009555,0.63035923,-0.24342947,-0.37671214,0.6032325,0.4913627,0.1118698
56,1.3455274,1.106567,"('impractical', 'practical')",0.13510635,-0.19692834,-0.46061352,-0.5194663,0.3400067,0.1300575,0.2099492
19,-1.3388582,-1.232117,"('inhospitable', 'hospitable')",-1.0388268,-1.1582248,-0.07593156,0.0065578297,-0.8178722,-0.7945946,-0.0232776
25,-1.1715728,-0.9948335,"('egoistic', 'altruistic')",0.36521706,0.6118778,1.4904628,1.7758819,0.2280357,0.4643087,-0.236273
5,-1.0742185,-1.0212512,"('distant', 'outgoing')",-0.44954488,-0.592932,0.15109307,0.2801857,-0.4575568,-0.4446658,-0.012891
14,1.0397221,1.0790137,"('antisocial', 'social')",0.41598913,0.42091084,-0.9378381,-0.8605556,0.1726244,0.213123,-0.0404986
26,-1.0245385,-0.9341538,"('hardhearted', 'benevolent')",0.7543098,0.9401442,1.7229726,2.0064845,0.484248,0.670825,-0.186577
85,-1.0177829,-0.8220433,"('insignificant', 'prestigious')",0.52273566,0.63048464,0.95521516,1.2731035,0.1533893,0.360515,-0.2071257
53,-0.96929103,-0.95541286,"('uncreative', 'creative')",0.9619137,1.0469303,1.2430059,1.438092,0.4118762,0.5098698,-0.0979936
78,-0.9666181,-1.1461902,"('nonresilient', 'resilient')",1.4018811,1.2110176,0.3080545,0.20298603,0.2477725,0.0892712,0.1585013
4,-0.9606269,-0.87338066,"('disliked', 'liked')",-0.65834725,-0.5993921,-6.30882,-5.929843,-2.642598,-2.4675385,-0.1750595
80,0.9579288,0.9324871,"('dominated', 'dominating')",0.0675077,-0.095273286,-1.442303,-1.7573266,-0.1389555,-0.3067043,0.1677488
8,-0.94861144,-0.7620093,"('unaffectionate', 'affectionate')",-0.17853379,-0.013142167,0.8215241,0.9490606,-0.1018737,0.0579697,-0.1598434
70,0.9446905,0.6551355,"('lethargic', 'energetic')",0.3491936,0.090115815,0.5666016,0.32262596,0.6201619,0.3559591,0.2642028
35,-0.944502,-0.71077734,"('corrupt', 'incorrupt')",-0.53455573,-0.35081202,-0.07831515,0.17544502,-0.5191243,-0.2953814,-0.2237429
6,-0.9211031,-0.9089972,"('distant', 'open')",-0.6582878,-0.72743666,0.8589596,1.0540627,-0.2401438,-0.1941237,-0.0460201
64,0.89778876,0.7652306,"('shy', 'confident')",-0.20215069,-0.34752145,-6.2276707,-6.2547827,-1.8440108,-1.9456911,0.1016803
