,mcdonalds_male,mcdonalds_female,tuple,corp_male,corp_female,average_male,average_female,male-female
85,1.5212721,1.2133757,"('insignificant', 'prestigious')",0.022435801,-0.23905964,0.7718539,0.487158,0.2846959
51,-1.4165425,-1.1578156,"('uneducated', 'educated')",0.15278107,0.23634878,-0.6318808,-0.4607334,-0.1711474
25,1.289942,1.0819187,"('egoistic', 'altruistic')",1.380621,1.2224145,1.3352815,1.1521666,0.1831149
11,-1.2323726,-1.056395,"('unhelpful', 'helpful')",1.6616753,2.025458,0.2146513,0.4845315,-0.2698802
33,1.228104,1.050598,"('wrong', 'right')",-0.77992123,-0.9553375,0.2240914,0.0476303,0.1764611
65,-1.2178313,-1.1374419,"('insecure', 'secure')",-0.36758572,-0.13683407,-0.7927085,-0.6371379,-0.1555706
15,1.1980896,1.0420527,"('boring', 'funny')",-0.034084305,-0.13148598,0.5820026,0.4552834,0.1267192
72,-1.1840827,-1.2463882,"('unambitious', 'ambitious')",-0.5018754,-0.44292885,-0.8429791,-0.8446585,0.0016794
5,1.0915922,1.114994,"('distant', 'outgoing')",-0.30566865,-0.4319222,0.3929618,0.3415359,0.0514259
30,-1.0272032,-0.7590271,"('intolerant', 'tolerant')",0.25719684,0.47731724,-0.3850032,-0.1408549,-0.2441483
71,1.0150735,1.0645788,"('diffident', 'self-confident')",0.15466788,0.23411725,0.5848707,0.649348,-0.0644773
3,-1.012203,-0.8864246,"('repellent', 'pleasant')",0.6339397,0.6684926,-0.1891316,-0.108966,-0.0801656
68,-0.9463101,-0.8614635,"('dependent', 'independent')",-0.7954698,-0.93319905,-0.87089,-0.8973312,0.0264412
14,-0.9270466,-0.6268622,"('antisocial', 'social')",-0.6686158,-0.6034972,-0.7978312,-0.6151797,-0.1826515
6,0.9191545,0.9366568,"('distant', 'open')",-0.16853726,-0.30729675,0.3753086,0.31468,0.0606286
58,-0.91851896,-1.0242673,"('undiscriminating', 'discriminating')",-0.25173333,-0.36792696,-0.5851262,-0.6960971,0.1109709
18,-0.9095075,-0.7853782,"('disagreeable', 'welcoming')",-0.7552148,-0.8661947,-0.8323612,-0.8257865,-0.0065747
56,0.8897815,1.1551095,"('impractical', 'practical')",-0.6391378,-0.24427201,0.1253218,0.4554188,-0.330097
64,-0.8868347,-0.70776975,"('shy', 'confident')",-7.342731,-7.1131988,-4.1147828,-3.9104843,-0.2042985
10,-0.8835153,-0.82870764,"('unsympathetic', 'sympathetic')",-0.49813673,-0.31273252,-0.690826,-0.5707201,-0.1201059
7,-0.819115,-0.6297834,"('insensitive', 'sensitive')",0.17107326,0.3129111,-0.3240209,-0.1584361,-0.1655848
79,0.81436175,0.7635753,"('wavering', 'unwavering')",0.00048408657,-0.12812576,0.4074229,0.3177248,0.0896981
50,-0.79980916,-0.7173118,"('clumsy', 'skillful')",-0.1603326,-0.11602388,-0.4800709,-0.4166678,-0.0634031
