,mcdonalds_male,mcdonalds_female,tuple,corp_male,corp_female,average_male,average_female,male-female
25,1.2919127,1.309084,"('egoistic', 'altruistic')",1.0201422,1.1956801,1.1560274,1.252382,-0.0963546
72,-1.2634019,-1.2410877,"('unambitious', 'ambitious')",-0.32323834,-0.41478944,-0.7933201,-0.8279386,0.0346185
85,1.242474,1.2000623,"('insignificant', 'prestigious')",-0.5563162,-0.6030718,0.3430789,0.2984952,0.0445837
33,1.2173805,1.1440963,"('wrong', 'right')",-0.62158823,-0.686953,0.2978961,0.2285716,0.0693245
65,-1.2046486,-1.26475,"('insecure', 'secure')",-0.31408006,-0.29011095,-0.7593644,-0.7774305,0.0180661
5,1.1475725,1.0460329,"('distant', 'outgoing')",-0.21801198,-0.16435398,0.4647803,0.4408395,0.0239408
51,-1.0602325,-1.1050873,"('uneducated', 'educated')",0.6532895,0.6522029,-0.2034715,-0.2264422,0.0229707
15,1.0583105,0.99276584,"('boring', 'funny')",-0.11564787,-0.18871726,0.4713313,0.4020243,0.069307
3,-1.045585,-0.97396445,"('repellent', 'pleasant')",0.73831725,0.8637396,-0.1536339,-0.0551124,-0.0985215
11,-1.0244972,-1.0367458,"('unhelpful', 'helpful')",2.293256,2.357559,0.6343794,0.6604066,-0.0260272
10,-0.95859915,-1.01613,"('unsympathetic', 'sympathetic')",-0.31292576,-0.35472524,-0.6357625,-0.6854276,0.0496651
19,0.9530233,0.9114332,"('inhospitable', 'hospitable')",-0.027835488,-0.08702979,0.4625939,0.4122017,0.0503922
56,0.9492609,0.92632055,"('impractical', 'practical')",-0.2849744,-0.25354844,0.3321432,0.3363861,-0.0042429
6,0.9106266,0.9076996,"('distant', 'open')",-0.40773782,-0.3030448,0.2514444,0.3023274,-0.050883
1,0.86330986,0.65612465,"('unfriendly', 'friendly')",1.4424978,1.509088,1.1529038,1.0826063,0.0702975
64,-0.8613174,-1.0050504,"('shy', 'confident')",-6.935571,-7.187056,-3.8984442,-4.0960531,0.1976089
57,-0.84458435,-1.1715603,"('unimaginative', 'imaginative')",-3.1284838,-3.4515707,-1.9865341,-2.3115654,0.3250313
79,0.8431264,0.65341836,"('wavering', 'unwavering')",-0.31985316,-0.46000388,0.2616366,0.0967072,0.1649294
4,0.83199006,0.7280668,"('disliked', 'liked')",-6.987438,-7.2125673,-3.077724,-3.2422502,0.1645262
7,-0.80907077,-0.64841866,"('insensitive', 'sensitive')",0.45551854,0.67568076,-0.1767761,0.013631,-0.1904071
44,-0.7857544,-0.7320459,"('prejudiced', 'unprejudiced')",-1.6083167,-1.6488421,-1.1970356,-1.190444,-0.0065916
68,-0.77713656,-0.77821934,"('dependent', 'independent')",-0.67522603,-0.6017985,-0.7261813,-0.6900089,-0.0361724
18,-0.7744995,-0.6564924,"('disagreeable', 'welcoming')",-0.90537965,-0.5100626,-0.8399396,-0.5832775,-0.2566621
73,0.77218115,0.80475056,"('helpless', 'self-reliant')",-3.386265,-3.3523932,-1.3070419,-1.2738214,-0.0332205
71,0.75914514,0.92867076,"('diffident', 'self-confident')",0.10631981,0.15661259,0.4327325,0.5426417,-0.1099092
30,-0.7515471,-0.8087167,"('intolerant', 'tolerant')",0.7339824,0.75274146,-0.0087824,-0.0279876,0.0192052
70,-0.7452524,-0.8780625,"('lethargic', 'energetic')",0.28768238,0.25857386,-0.228785,-0.3097443,0.0809593
2,0.7306939,0.60564226,"('unlikable', 'likable')",0.34070495,0.38379565,0.5356994,0.494719,0.0409804
54,0.7302155,0.7127334,"('incapable', 'capable')",0.7283659,0.8354316,0.7292907,0.7740825,-0.0447918
58,-0.71417814,-0.9375628,"('undiscriminating', 'discriminating')",0.06334056,0.0002592709,-0.3254188,-0.4686518,0.143233
74,0.6963059,0.59617794,"('undedicated', 'dedicated')",-0.30434883,-0.21513917,0.1959785,0.1905194,0.0054591
88,-0.68838066,-0.88475853,"('low', 'eminent')",-0.40742677,-0.4429321,-0.5479037,-0.6638453,0.1159416
50,-0.6857218,-0.77004796,"('clumsy', 'skillful')",-0.23144346,-0.24452783,-0.4585826,-0.5072879,0.0487053
14,-0.6538691,-0.82501125,"('antisocial', 'social')",-0.4596991,-0.51039577,-0.5567841,-0.6677035,0.1109194
69,0.6365845,0.63966,"('lazy', 'industrious')",-1.1634207,-1.150421,-0.2634181,-0.2553805,-0.0080376
55,-0.61626023,-0.7755856,"('incompetent', 'clever')",0.120653816,0.16219817,-0.2478032,-0.3066937,0.0588905
9,0.6126868,0.59650105,"('unaffectionate', 'caring')",1.3101361,1.4632227,0.9614115,1.0298619,-0.0684504
86,-0.59984267,-0.795602,"('uninfluential', 'influential')",0.005065568,-0.16670495,-0.2973886,-0.4811535,0.1837649
41,0.59298974,0.5659403,"('unforgiving', 'forgiving')",-0.20955092,-0.24303357,0.1917194,0.1614534,0.030266
82,-0.57059103,-0.4823189,"('poor', 'rich')",6.676357,6.803332,3.0528829,3.1605065,-0.1076236
