,hartford_male,hartford_female,tuple,financial_male,financial_female,svcs_male,svcs_female,grp_male,grp_female,inc_male,inc_female,average_male,average_female,male-female
39,2.9333723,2.6686165,"('exploitative', 'cooperative')",1.2923027,1.2165451,1.8867037,1.8633893,1.3933825,1.2930233,0.14370954,0.18219897,1.5298943,1.4447547,0.0851396
71,2.2992923,2.2265503,"('diffident', 'self-confident')",1.7398144,1.7332542,-0.58952403,-0.60579056,-0.55873156,-0.52469504,0.4151726,0.36532354,0.6612048,0.6389285,0.0222763
7,2.057612,1.8933508,"('insensitive', 'sensitive')",1.163179,1.2144192,0.6219641,0.69524014,0.8700878,0.85111403,0.8884776,0.9891157,1.1202641,1.128648,-0.0083839
26,1.8568941,1.718532,"('hardhearted', 'benevolent')",0.3541531,0.20750636,-0.75548655,-0.93165463,-0.5065086,-0.5835493,1.1411014,1.0257044,0.4180307,0.2873077,0.130723
74,1.8521041,1.8847624,"('undedicated', 'dedicated')",0.9148307,0.9296899,1.2030648,1.17753,0.86138976,0.82242376,0.9698629,0.91169524,1.1602505,1.1452202,0.0150303
40,1.7508177,1.7151303,"('stingy', 'generous')",0.9516151,0.93202686,0.3652322,0.22300471,-0.14606082,-0.21373081,-1.145822,-1.2420311,0.3551564,0.28288,0.0722764
24,1.6806897,1.7359729,"('dishonest', 'honest')",0.91449594,0.9752094,0.22962464,0.24779078,0.45757753,0.4051116,1.030605,0.9832999,0.8625986,0.8694769,-0.0068783
31,-1.612122,-1.469338,"('evil', 'good')",-1.4628025,-1.6148094,-1.5254674,-1.6632683,-2.1131582,-1.9941156,-1.7169191,-1.8262775,-1.6860939,-1.7135618,0.0274679
20,1.5531021,1.4915352,"('rough', 'thoughtful')",0.08683194,0.10304743,0.32012457,0.269105,0.19631784,0.09574578,0.797348,0.7968785,0.5907449,0.5512624,0.0394825
65,1.5435538,1.49976,"('insecure', 'secure')",0.47616538,0.54428285,0.6707027,0.83928,1.220011,1.2242239,0.039501015,0.15404741,0.7899868,0.8523189,-0.0623321
70,1.4746062,1.5348608,"('lethargic', 'energetic')",0.87425977,1.0758696,1.5373434,1.7226727,1.788477,1.9124491,1.6847404,1.8015364,1.4718854,1.6094778,-0.1375924
10,1.4602083,1.4206195,"('unsympathetic', 'sympathetic')",0.5414946,0.5565898,-0.056216393,-0.0743977,0.48087952,0.31992602,0.9049644,0.84246767,0.6662661,0.6130411,0.053225
12,1.3941935,1.4111214,"('unsupportive', 'supportive')",1.8577006,1.9408278,-0.112170756,-0.08171876,-0.3768362,-0.34721804,-1.092069,-1.1612856,0.3341636,0.3523454,-0.0181818
43,1.3888353,1.3965926,"('irresponsible', 'responsible')",1.788898,1.9559157,-0.03520339,0.17068306,0.74624985,0.86076343,1.5230207,1.579486,1.0823601,1.1926882,-0.1103281
42,1.3827142,1.4344562,"('unreliable', 'reliable')",1.3323982,1.3114773,1.0189898,1.1384993,1.6748694,1.7886317,-1.9917812,-1.9815844,0.683438,0.7382959,-0.0548579
60,1.3736229,1.4574261,"('inefficient', 'efficient')",1.5169367,1.7709451,1.2296788,1.5453441,1.9871289,2.104971,0.49089262,0.738256,1.3196519,1.5233884,-0.2037365
16,-1.3229338,-1.3153389,"('unpopular', 'popular')",-0.8563338,-0.9367323,-1.1439384,-1.0900987,-0.90491205,-0.86234957,0.22647108,0.28391227,-0.8003294,-0.7841214,-0.016208
30,1.2423112,1.2606624,"('intolerant', 'tolerant')",1.3551285,1.4009277,1.1578494,1.2409889,1.1228973,1.1299347,1.1239262,1.2052574,1.2004225,1.2475542,-0.0471317
23,1.2394426,1.2209837,"('insincere', 'sincere')",1.9802543,2.0127244,0.6939795,0.7841691,0.7024826,0.71531844,5.479485,5.5792646,2.0191288,2.062492,-0.0433632
13,1.2227827,1.2030016,"('impolite', 'polite')",1.7210013,1.8739978,0.97923887,1.1466435,1.2123126,1.2837386,0.4071203,0.5315307,1.1084911,1.2077825,-0.0992914
32,1.2170395,1.1092242,"('unkind', 'kind')",1.0541321,1.0720292,0.55499023,0.64839363,1.4324579,1.4270737,1.5303463,1.5534108,1.1577932,1.1620262,-0.004233
6,-1.2150915,-1.0699675,"('distant', 'open')",-1.195239,-1.2414272,-1.6686468,-1.7647948,-1.6301311,-1.4687784,-0.023364626,-0.07565472,-1.1464946,-1.1241244,-0.0223702
72,1.1623813,1.1910878,"('unambitious', 'ambitious')",0.77622133,0.90671384,-0.79620814,-0.71085674,-0.5539647,-0.6026054,-0.77638876,-0.88365394,-0.0375918,-0.0198629,-0.0177289
83,1.1507998,0.96356356,"('powerless', 'powerful')",1.6631321,1.613855,0.043172136,0.04800835,0.01223436,-0.012582406,-0.38368583,-0.466484,0.4971305,0.4292721,0.0678584
51,1.1228681,1.109367,"('uneducated', 'educated')",0.94847107,1.068546,0.59654295,0.6316874,0.75854224,0.7420592,1.184981,1.1574917,0.9222811,0.9418303,-0.0195492
22,1.0795023,1.2093167,"('untrustworthy', 'trustworthy')",0.39209533,0.46272674,0.81591827,0.9349827,1.2693226,1.3088477,-0.365369,-0.31874287,0.6382939,0.7194262,-0.0811323
4,-1.0420653,-0.85367966,"('disliked', 'liked')",-0.8001409,-0.79394525,-0.88792455,-0.8632672,-0.560843,-0.39452213,-5.378189,-5.4626374,-1.7338326,-1.6736103,-0.0602223
75,-1.0206817,-0.797494,"('meek', 'impulsive')",-0.28948912,-0.2135765,0.4994915,0.52769285,0.08613404,0.18587717,-0.55525357,-0.56558967,-0.2559598,-0.172618,-0.0833418
14,0.9993673,0.933051,"('antisocial', 'social')",1.8806876,1.9808387,0.67469054,0.78738624,1.2683033,1.2683223,-0.53158355,-0.50616735,0.858293,0.8926862,-0.0343932
80,0.9986543,1.0018971,"('dominated', 'dominating')",0.10038109,0.23158853,1.4228343,1.5679492,1.3232303,1.3483092,-0.9432622,-0.9539242,0.5803676,0.639164,-0.0587964
21,0.9912281,0.9496542,"('immoral', 'moral')",1.7671189,1.8677576,1.4707506,1.5819615,1.8989781,1.9074643,-0.24529907,-0.11939952,1.1765553,1.2374877,-0.0609324
27,0.9386711,0.8748767,"('hardhearted', 'softhearted')",-0.93681544,-0.97609186,-0.45416316,-0.56447136,-0.087468304,-0.16186494,1.1925819,1.0865505,0.1305612,0.0517998,0.0787614
86,0.91514176,0.82600844,"('uninfluential', 'influential')",0.14630193,0.16386811,-0.90916884,-0.9521681,-0.7728468,-0.8179296,0.5120418,0.4659675,-0.021706,-0.0628507,0.0411447
41,0.90953493,1.0443614,"('unforgiving', 'forgiving')",1.2810323,1.3014852,0.093028806,0.15132181,0.23161739,0.31796056,-0.1549744,-0.067076646,0.4720478,0.5496105,-0.0775627
9,0.8593668,0.78837055,"('unaffectionate', 'caring')",1.2383163,1.198113,-1.4341831,-1.5456082,-0.9901752,-1.0460967,1.1061032,1.0584065,0.1558856,0.090637,0.0652486
63,0.84506875,0.98977906,"('unperceptive', 'insightful')",1.8955988,1.9829003,0.6012381,0.7563537,0.89714485,1.0418702,1.9586112,2.09876,1.2395323,1.3739326,-0.1344003
47,0.7775047,0.79585326,"('stupid', 'smart')",1.5765412,1.6288635,0.45482284,0.5882617,1.0421072,1.1056105,4.529841,4.6538124,1.6761635,1.7544804,-0.0783169
18,0.75368273,0.7849494,"('disagreeable', 'welcoming')",-0.3404562,-0.36749783,-0.2522257,-0.29341274,-1.2242699,-1.1434503,-0.4300408,-0.37298045,-0.298662,-0.2784784,-0.0201836
73,0.7336485,0.93709934,"('helpless', 'self-reliant')",0.3073547,0.3585409,0.26053846,0.2984296,-0.060618676,0.011810888,-3.509435,-3.433183,-0.4537024,-0.3654604,-0.088242
79,-0.71686125,-0.6951119,"('wavering', 'unwavering')",-0.25104684,-0.3519927,-0.74383146,-0.82148993,-1.2922419,-1.1553108,-0.3739358,-0.39466465,-0.6755835,-0.683714,0.0081305
87,0.70594466,0.6414964,"('unsuccessful', 'successful')",1.3889465,1.5202172,0.58747387,0.7353534,0.90221536,0.9885949,0.5796865,0.6657452,0.8328534,0.9102815,-0.0774281
55,0.7012675,0.73245066,"('incompetent', 'clever')",0.19948286,0.31850365,0.54720825,0.62752366,0.25707477,0.22130182,0.7120741,0.68568677,0.4834215,0.5170933,-0.0336718
58,0.67508996,0.6313555,"('undiscriminating', 'discriminating')",1.5835863,1.4884267,0.0025299732,-0.08694193,0.6249028,0.52907723,0.2304303,0.16512433,0.6233078,0.5454084,0.0778994
76,0.67107785,0.681305,"('anxious', 'daring')",0.7234839,0.84733295,1.311681,1.3475202,1.3237076,1.3675313,0.8473494,0.9653378,0.9754599,1.0418055,-0.0663456
61,0.66696465,0.6816207,"('illogical', 'logical')",1.8318849,1.872081,0.601182,0.58891225,0.67608356,0.6606968,0.6613363,0.64329517,0.8874903,0.8893212,-0.0018309
44,-0.6404294,-0.5584023,"('prejudiced', 'unprejudiced')",-0.3443969,-0.29369298,1.1250663,1.1702371,0.67563486,0.71138036,-1.5688124,-1.6012387,-0.1505875,-0.1143433,-0.0362442
54,0.59962356,0.55234754,"('incapable', 'capable')",0.7247641,0.68881655,-0.053750627,-0.05447655,0.1777274,0.19359452,0.62445796,0.62319994,0.4145645,0.4006964,0.0138681
56,0.59374255,0.7019245,"('impractical', 'practical')",1.5392314,1.7521963,0.91792685,1.2218584,1.907223,2.1080456,0.37090597,0.49898803,1.0658059,1.2566026,-0.1907967
8,-0.587644,-0.5516161,"('unaffectionate', 'affectionate')",-0.30856377,-0.37918866,-2.3815796,-2.5260024,-1.856214,-1.9395069,0.056948237,-0.06080315,-1.0154107,-1.0914234,0.0760127
66,0.5814814,0.43468067,"('inactive', 'active')",1.148266,1.1016468,0.48853496,0.39460778,0.13623711,0.12993716,0.85056376,0.7179175,0.6410166,0.555758,0.0852586
81,0.57643336,0.49007374,"('submissive', 'aggressive')",1.4207219,1.5262489,0.43971014,0.62221915,1.4822927,1.4489077,-0.2997507,-0.28090292,0.7238814,0.7613093,-0.0374279
59,0.5728951,0.6360821,"('foolish', 'wise')",0.7025829,0.6443205,-0.25011888,-0.22627784,-0.17801872,-0.099033564,0.14451681,0.09872752,0.1983715,0.2107637,-0.0123922
57,0.55603474,0.54978347,"('unimaginative', 'imaginative')",-0.079889275,-0.07583817,-0.51010287,-0.5173093,-0.0025418326,0.017543543,-1.4755979,-1.5867101,-0.3024194,-0.3225061,0.0200867
64,0.55495834,0.48298383,"('shy', 'confident')",0.7164085,0.8376552,0.68086165,0.77979547,0.79821914,0.8878994,-5.4947414,-5.4468427,-0.5488587,-0.4917017,-0.057157
11,0.5513406,0.57833534,"('unhelpful', 'helpful')",1.8540719,1.9270928,0.6007279,0.74308735,0.3799029,0.44403172,2.591668,2.6982315,1.1955421,1.2781557,-0.0826136
5,-0.5477871,-0.48634085,"('distant', 'outgoing')",-0.41458362,-0.3986571,-1.0974147,-1.1597677,-1.5414865,-1.3843362,-0.8142848,-0.82991326,-0.8831114,-0.851803,-0.0313084
45,0.51211977,0.63143945,"('incompetent', 'competent')",0.2926786,0.4248033,0.1699379,0.3486175,0.5930807,0.67309594,0.18483885,0.19151677,0.3505312,0.4538946,-0.1033634
