,applied_male,applied_female,tuple,materials_male,materials_female,inc_male,inc_female,average_male,average_female,male-female
31,-2.157913,-2.3487294,"('evil', 'good')",-1.2456706,-1.3325937,-1.019946,-1.1776884,-1.4745099,-1.6196706,0.1451607
82,-1.8993547,-1.8674469,"('poor', 'rich')",-0.15814607,-0.15575501,6.304271,6.568761,1.4155901,1.5151863,-0.0995962
67,1.8122625,2.0393572,"('doubtful', 'determined')",1.0766708,1.2448304,-0.36462608,-0.18458997,0.8414357,1.0331992,-0.1917635
19,-1.6600667,-1.522807,"('inhospitable', 'hospitable')",-1.7789981,-1.6860495,-0.2137422,-0.07934043,-1.2176024,-1.0960657,-0.1215367
29,-1.6174319,-1.6090589,"('unfair', 'fair')",-0.9528295,-1.0193255,-0.67383325,-0.8411208,-1.0813649,-1.1565017,0.0751368
69,1.5280492,1.3028929,"('lazy', 'industrious')",0.980934,0.9221072,-0.25071394,-0.38626906,0.7527564,0.6129104,0.139846
32,-1.4924785,-1.2937016,"('unkind', 'kind')",0.3143832,0.2726755,0.8914989,1.0573756,-0.0955321,0.0121165,-0.1076486
22,-1.4173735,-1.4667342,"('untrustworthy', 'trustworthy')",-0.24342643,-0.2544305,-0.7149295,-0.92570317,-0.7919099,-0.8822893,0.0903794
65,-1.3435755,-1.1134982,"('insecure', 'secure')",0.15315536,0.20046343,-0.2581971,-0.19358118,-0.4828724,-0.368872,-0.1140004
73,1.3038092,1.4503732,"('helpless', 'self-reliant')",-0.21931371,-0.054213516,-3.3586586,-3.3629093,-0.7580544,-0.6555832,-0.1024712
70,1.2454672,1.0832896,"('lethargic', 'energetic')",0.6887862,0.6745001,0.71735525,0.7609526,0.8838696,0.8395808,0.0442888
16,-1.1752558,-1.455829,"('unpopular', 'popular')",-0.98838055,-1.1079051,0.47347307,0.33933234,-0.5633877,-0.7414672,0.1780795
5,-1.1093165,-0.9958894,"('distant', 'outgoing')",-1.3031254,-1.2631588,-0.43781772,-0.36089024,-0.9500865,-0.8733128,-0.0767737
6,-1.108307,-1.0904106,"('distant', 'open')",-1.6287321,-1.6390976,-0.018157773,0.021461487,-0.9183989,-0.9026822,-0.0157167
36,-1.1039872,-1.3136116,"('hostile', 'amicable')",-2.186698,-2.2271676,-0.2858559,-0.43991894,-1.1921803,-1.3268994,0.1347191
84,1.0880097,1.0783938,"('inferior', 'superior')",0.23499776,0.23595077,0.89775795,0.8852732,0.7402551,0.733206,0.0070491
1,-1.0695399,-1.3147006,"('unfriendly', 'friendly')",0.042233106,-0.25572374,1.4670454,1.3945826,0.1465795,-0.0586139,0.2051934
8,-1.0267437,-1.1941642,"('unaffectionate', 'affectionate')",-0.8762081,-1.0660747,0.36390007,0.34133086,-0.5130172,-0.639636,0.1266188
72,0.9931027,1.0268878,"('unambitious', 'ambitious')",0.065628864,0.060181532,-0.81520003,-0.6935408,0.0811772,0.1311762,-0.049999
77,0.95013493,0.7870901,"('unmotivated', 'motivated')",1.065856,0.8931851,-0.7662511,-0.9293322,0.41658,0.2503143,0.1662657
79,-0.93645704,-0.8410749,"('wavering', 'unwavering')",-1.6776145,-1.6180476,-0.073947094,-0.03817375,-0.8960062,-0.832432,-0.0635742
39,0.8983998,1.1847286,"('exploitative', 'cooperative')",0.51510525,0.5594919,0.22779967,0.29013976,0.5471016,0.6781201,-0.1310185
40,0.86018175,0.46137425,"('stingy', 'generous')",1.381365,1.0898852,-1.424042,-1.7496395,0.2725015,-0.0661267,0.3386282
54,-0.81169915,-0.8558252,"('incapable', 'capable')",-0.94633865,-1.0403845,0.9002707,1.0897439,-0.2859224,-0.268822,-0.0171004
18,-0.79923946,-0.7918075,"('disagreeable', 'welcoming')",-0.48600656,-0.5292168,-0.3305201,-0.33044732,-0.5385887,-0.5504905,0.0119018
52,-0.79825157,-0.8083625,"('irrational', 'rational')",-0.53697777,-0.7536435,-0.42097723,-0.46130455,-0.5854022,-0.6744369,0.0890347
7,0.79674107,0.5908068,"('insensitive', 'sensitive')",0.32617003,0.2112759,0.90686387,0.77213454,0.6765916,0.5247391,0.1518525
12,0.7915101,0.72867537,"('unsupportive', 'supportive')",0.8519996,0.6563856,-1.5519121,-1.5715872,0.0305325,-0.0621754,0.0927079
59,-0.7883417,-0.6040018,"('foolish', 'wise')",-0.7910844,-0.7116191,0.010335936,0.19393918,-0.52303,-0.3738939,-0.1491361
62,0.7880522,1.0178999,"('incompetent', 'brilliant')",0.9890648,1.0973012,0.3458265,0.5574946,0.7076478,0.8908985,-0.1832507
68,-0.75251555,-0.8085316,"('dependent', 'independent')",-0.61662734,-0.70195866,-0.17874734,-0.35203055,-0.5159634,-0.6208402,0.1048768
81,0.72083133,0.87251437,"('submissive', 'aggressive')",1.3040577,1.4588567,-0.23231035,-0.06920094,0.5975262,0.7540567,-0.1565305
53,-0.7127389,-1.0371716,"('uncreative', 'creative')",0.26630157,-0.07247464,0.68033856,0.682974,0.0779671,-0.1422241,0.2201912
56,0.6824562,1.1932652,"('impractical', 'practical')",1.9134651,2.2575023,-0.15102133,0.15467879,0.8149667,1.2018154,-0.3868487
44,-0.6767907,-0.39955807,"('prejudiced', 'unprejudiced')",-0.4068617,-0.27142355,-1.5282186,-1.3900015,-0.8706237,-0.6869944,-0.1836293
80,0.6740755,0.7169291,"('dominated', 'dominating')",0.115330204,0.26945063,-0.7843074,-0.83809316,0.0016994,0.0494289,-0.0477295
38,-0.6509044,-0.5059862,"('untruthful', 'truthful')",-0.034182098,0.11143588,0.13597083,0.32049808,-0.1830386,-0.0246841,-0.1583545
33,0.6073548,0.39648664,"('wrong', 'right')",1.0966848,0.92848146,-0.5444077,-0.7074708,0.3865439,0.2058324,0.1807115
48,0.6055619,0.40729505,"('unintelligent', 'intelligent')",0.65474826,0.513171,0.83423036,0.6813604,0.6981802,0.5339421,0.1642381
60,0.60132647,0.8336329,"('inefficient', 'efficient')",1.88783,2.0731778,0.34732863,0.49017543,0.945495,1.1323287,-0.1868337
78,-0.5779186,-0.8651974,"('nonresilient', 'resilient')",0.34691346,0.05679208,0.344311,0.0076108873,0.0377686,-0.2669315,0.3047001
20,0.5641566,0.5081018,"('rough', 'thoughtful')",0.48951828,0.45375174,1.1303313,0.8173996,0.7280021,0.5930844,0.1349177
87,0.55442154,0.6310374,"('unsuccessful', 'successful')",0.61298347,0.5669872,1.0592269,0.85889894,0.7422106,0.6856412,0.0565694
49,-0.5489759,-0.28872347,"('unable', 'able')",-0.73723143,-0.5518355,0.14269122,0.22309296,-0.381172,-0.205822,-0.17535
64,-0.5400106,-0.28931215,"('shy', 'confident')",0.25062668,0.338577,-6.591557,-6.7557683,-2.293647,-2.2355011,-0.0581459
37,0.52014077,0.48049307,"('fake', 'genuine')",0.092623964,0.062370643,0.37685737,0.32607824,0.329874,0.2896473,0.0402267
74,0.51761454,0.6326298,"('undedicated', 'dedicated')",0.20535463,0.34888616,-0.079111375,0.029077865,0.2146193,0.3368646,-0.1222453
11,0.5036818,0.7045535,"('unhelpful', 'helpful')",0.62463754,0.70936704,2.157788,2.4298973,1.0953691,1.2812726,-0.1859035
61,-0.4983678,-0.505045,"('illogical', 'logical')",0.36192468,0.32446057,0.3898257,0.2968576,0.0844609,0.0387577,0.0457032
71,0.492355,0.34878325,"('diffident', 'self-confident')",0.958627,0.83046526,0.3944793,0.32456914,0.6151537,0.5012726,0.1138811
27,-0.44154057,-0.7832042,"('hardhearted', 'softhearted')",-0.09233131,-0.38150436,1.702136,1.5232817,0.3894214,0.1195244,0.269897
63,-0.4332996,-0.3553765,"('unperceptive', 'insightful')",0.5088417,0.52711266,1.1843066,1.196713,0.4199496,0.4561497,-0.0362001
3,-0.42253956,-0.5938491,"('repellent', 'pleasant')",0.41747394,0.21141994,0.4683963,0.30462778,0.1544436,-0.0259338,0.1803774
76,0.4005761,0.5094871,"('anxious', 'daring')",1.002224,0.93125993,0.5478143,0.6016108,0.6502048,0.680786,-0.0305812
0,-0.39517203,-0.46424708,"('unsociable', 'sociable')",0.5915758,0.5128488,-0.24025124,-0.3153155,-0.0146158,-0.0889046,0.0742888
83,0.38740534,0.5589516,"('powerless', 'powerful')",-0.20675652,-0.0756083,-0.94688964,-1.0165007,-0.2554136,-0.1777191,-0.0776945
4,-0.38491306,-0.46916205,"('disliked', 'liked')",-0.706349,-0.6537687,-6.5747924,-6.7733808,-2.5553516,-2.6321039,0.0767523
24,0.3742082,0.37763092,"('dishonest', 'honest')",0.33379877,0.31329063,1.003028,1.1809082,0.570345,0.6239432,-0.0535982
41,-0.35491368,-0.35734475,"('unforgiving', 'forgiving')",0.25326076,0.2793971,0.19841935,0.06625382,0.0322555,-0.0038979,0.0361534
34,0.34606668,0.2738637,"('mean', 'honorable')",0.12356435,0.17629534,6.236985,6.356877,2.2355388,2.269012,-0.0334732
51,-0.34254783,-0.529519,"('uneducated', 'educated')",-0.31266776,-0.32765976,0.5001486,0.45700854,-0.051689,-0.1333901,0.0817011
47,-0.3276158,-0.27202427,"('stupid', 'smart')",0.9125735,1.0161364,5.853391,6.061357,2.1461163,2.2684897,-0.1223734
50,-0.3191614,-0.37892532,"('clumsy', 'skillful')",-0.3629189,-0.42227167,0.08959367,0.029285576,-0.1974955,-0.2573038,0.0598083
25,0.31660816,-0.029697567,"('egoistic', 'altruistic')",1.1680217,0.9738844,1.0891314,1.0180488,0.8579204,0.6540785,0.2038419
23,0.25369567,0.34089205,"('insincere', 'sincere')",0.96906275,0.93686295,6.2016444,6.5075088,2.4748009,2.595088,-0.1202871
88,-0.24681567,-0.29454613,"('low', 'eminent')",-0.42351216,-0.38060528,0.17811354,0.2145938,-0.1640714,-0.1535192,-0.0105522
55,-0.24460016,-0.30416545,"('incompetent', 'clever')",0.51138246,0.48689443,0.3825876,0.15122184,0.2164566,0.1113169,0.1051397
30,0.2100624,0.38690016,"('intolerant', 'tolerant')",1.1244292,1.256533,1.1734346,1.3044095,0.8359754,0.9826142,-0.1466388
2,0.20945932,0.3677737,"('unlikable', 'likable')",0.46352932,0.51041365,0.27943373,0.33215946,0.3174741,0.4034489,-0.0859748
10,-0.20919956,-0.23858753,"('unsympathetic', 'sympathetic')",0.5340666,0.38342035,0.16587444,0.24772543,0.1635805,0.1308527,0.0327278
15,0.20559174,0.14531538,"('boring', 'funny')",-0.7789,-0.6542296,0.28223386,0.2708569,-0.0970248,-0.0793524,-0.0176724
75,-0.20446625,-0.19130985,"('meek', 'impulsive')",-1.2015417,-1.1286683,-0.39983395,-0.45376208,-0.6019473,-0.5912467,-0.0107006
66,0.18894675,-0.031056806,"('inactive', 'active')",-1.3640342,-1.5019937,1.0022545,0.8242607,-0.057611,-0.2362632,0.1786522
86,0.1789189,-0.034129996,"('uninfluential', 'influential')",-0.14242813,-0.20903087,0.1754305,-0.034134306,0.0706404,-0.0924317,0.1630721
42,-0.1753802,0.04684022,"('unreliable', 'reliable')",0.27818292,0.3518299,-3.090487,-3.0126703,-0.9958947,-0.8713334,-0.1245613
58,-0.17054383,-0.4374162,"('undiscriminating', 'discriminating')",0.9920984,0.7696295,0.18139759,-0.010626759,0.3343174,0.1071955,0.2271219
35,-0.16684641,-0.17370677,"('corrupt', 'incorrupt')",-1.1392341,-1.0432551,-0.6465027,-0.64317256,-0.650861,-0.6200448,-0.0308162
45,-0.16580346,-0.2554058,"('incompetent', 'competent')",0.4574498,0.5016968,0.15281981,0.008862186,0.1481554,0.0850511,0.0631043
46,0.14535138,0.05467017,"('uncompetitive', 'competitive')",1.4186065,1.239051,-0.3163075,-0.5087646,0.4158835,0.2616522,0.1542313
9,-0.10696159,-0.26451918,"('unaffectionate', 'caring')",-0.246224,-0.50097674,1.0392418,1.070866,0.2286854,0.10179,0.1268954
28,0.08867374,0.032843016,"('disloyal', 'loyal')",-0.028091446,-0.015645228,0.8552924,0.93307614,0.3052916,0.316758,-0.0114664
21,-0.080946594,0.10506135,"('immoral', 'moral')",1.1393241,1.1641239,-0.26969713,-0.3707681,0.2628935,0.2994724,-0.0365789
17,0.0791383,-0.033870548,"('nasty', 'nice')",-0.22422206,-0.35090217,-0.24857283,-0.30807203,-0.1312189,-0.2309482,0.0997293
14,-0.072463945,0.0051194364,"('antisocial', 'social')",1.3559132,1.4323357,-0.4043302,-0.44971198,0.2930397,0.3292477,-0.036208
26,0.06742987,-0.06543747,"('hardhearted', 'benevolent')",0.07514586,-0.017429098,1.3608798,1.2846547,0.5011518,0.4005961,0.1005557
13,0.06228555,0.25075823,"('impolite', 'polite')",0.884423,0.9764257,0.053886473,0.161351,0.3335317,0.462845,-0.1293133
43,0.042132292,0.33865786,"('irresponsible', 'responsible')",0.3762955,0.53076434,0.64143145,0.8417892,0.3532864,0.5704038,-0.2171174
85,-0.024178065,-0.25955743,"('insignificant', 'prestigious')",-0.7253758,-0.89761925,0.12954259,-0.03474342,-0.2066704,-0.3973067,0.1906363
57,0.014385611,-0.32220805,"('unimaginative', 'imaginative')",0.3347122,0.106245786,-2.468527,-2.7552166,-0.7064764,-0.9903929,0.2839165
