,ca_male,ca_female,tuple,technologies_male,technologies_female,inc_male,inc_female,average_male,average_female,male-female
39,3.023452,3.488536,"('exploitative', 'cooperative')",0.2984704,0.57522666,0.2829687,0.365875,1.2016304,1.476546,-0.2749156
62,2.0591273,1.8524188,"('incompetent', 'brilliant')",0.7357543,0.55870163,0.14190227,-0.13758582,0.9789279,0.7578448,0.2210831
60,1.8030539,1.9508059,"('inefficient', 'efficient')",0.92757547,0.927642,-0.0030699763,-0.034077868,0.9091865,0.9481234,-0.0389369
5,-1.7911557,-1.5144807,"('distant', 'outgoing')",-0.2066533,-0.22460425,-0.41289765,-0.26844347,-0.8035688,-0.6691761,-0.1343927
6,-1.6725545,-1.2332188,"('distant', 'open')",-0.5438999,-0.4506009,0.22028065,0.40053472,-0.6653913,-0.4277616,-0.2376297
79,-1.6554188,-1.7048382,"('wavering', 'unwavering')",-1.2959447,-1.3028846,-0.2812967,-0.23566976,-1.0775534,-1.0811309,0.0035775
88,-1.549395,-1.4422928,"('low', 'eminent')",0.20721419,0.28318113,-0.24715234,-0.15038039,-0.5297777,-0.4364974,-0.0932803
4,-1.4221523,-1.6993562,"('disliked', 'liked')",-0.396405,-0.52551657,-6.1562576,-6.3867455,-2.6582716,-2.8705393,0.2122677
35,-1.3865778,-1.2958114,"('corrupt', 'incorrupt')",-0.29498136,-0.21284449,-0.5811577,-0.48882607,-0.7542389,-0.6658273,-0.0884116
72,1.357437,1.4604481,"('unambitious', 'ambitious')",-1.1908484,-1.202898,-1.0936661,-1.1971322,-0.3090258,-0.313194,0.0041682
12,1.3330399,1.355911,"('unsupportive', 'supportive')",0.48584506,0.40871373,-1.4288775,-1.6262758,0.1300025,0.0461163,0.0838862
30,1.326133,1.5592216,"('intolerant', 'tolerant')",1.276187,1.3338846,0.9565877,1.087685,1.1863025,1.3269304,-0.1406279
66,-1.2684593,-1.2808073,"('inactive', 'active')",-0.7304238,-0.70082086,0.7721616,1.0482633,-0.4089072,-0.3111216,-0.0977856
22,1.2599936,1.1393906,"('untrustworthy', 'trustworthy')",-0.23423687,-0.26701897,-0.6211448,-0.7646745,0.1348706,0.035899,0.0989716
20,1.250999,1.24995,"('rough', 'thoughtful')",0.69359565,0.65026516,0.67617226,0.6906218,0.873589,0.8636123,0.0099767
73,1.1585205,1.184767,"('helpless', 'self-reliant')",0.6159496,0.5815606,-2.892874,-3.122412,-0.3728013,-0.4520281,0.0792268
55,1.1403713,0.98026454,"('incompetent', 'clever')",0.44446868,0.36433357,0.27160916,0.21262135,0.6188164,0.5190731,0.0997433
2,1.0843823,1.3309716,"('unlikable', 'likable')",0.27271044,0.1330964,0.6119957,0.57759434,0.6563628,0.6805541,-0.0241913
48,1.0817978,0.93260574,"('unintelligent', 'intelligent')",0.847564,0.6938082,0.5763295,0.46011376,0.8352304,0.6955093,0.1397211
31,-1.0743558,-0.83396477,"('evil', 'good')",-0.2590452,-0.08550715,-1.013539,-0.8643029,-0.7823133,-0.5945916,-0.1877217
41,1.061198,0.9160713,"('unforgiving', 'forgiving')",-0.8004958,-0.93342286,0.41670433,0.29532853,0.2258022,0.092659,0.1331432
61,1.048191,1.1327592,"('illogical', 'logical')",0.5515009,0.56210387,0.21076763,0.22060707,0.6034865,0.63849,-0.0350035
82,-1.0311918,-1.1118388,"('poor', 'rich')",0.48548,0.28724146,6.3331532,6.276893,1.9291471,1.8174319,0.1117152
34,0.9868506,0.92780983,"('mean', 'honorable')",0.14889894,0.17974183,6.211177,6.3751664,2.4489756,2.4942393,-0.0452637
11,0.96144396,0.9971806,"('unhelpful', 'helpful')",1.0151869,0.85438555,2.2710915,2.0438685,1.4159075,1.2984782,0.1174293
7,0.9501411,0.85045516,"('insensitive', 'sensitive')",0.31578764,0.16025326,1.1593479,1.004926,0.8084256,0.6718782,0.1365474
23,0.9386263,0.98955584,"('insincere', 'sincere')",-0.17614758,-0.3553286,5.9558463,5.877888,2.2394417,2.1707052,0.0687365
3,0.9373765,1.0125294,"('repellent', 'pleasant')",0.367988,0.33869633,0.4069955,0.3561803,0.5707867,0.5691353,0.0016514
36,-0.91197103,-0.8068548,"('hostile', 'amicable')",-0.40626147,-0.32543948,0.052157335,0.18431519,-0.4220251,-0.315993,-0.1060321
84,0.8954517,0.9952319,"('inferior', 'superior')",0.00831666,0.15109384,0.6651558,0.7799087,0.5229747,0.6420782,-0.1191035
21,0.8670205,1.0704621,"('immoral', 'moral')",0.038761828,0.18535793,-0.732682,-0.54010445,0.0577001,0.2385719,-0.1808718
19,-0.846395,-0.5610752,"('inhospitable', 'hospitable')",-0.52972287,-0.6115706,-0.07504601,-0.0025870278,-0.4837213,-0.3917443,-0.091977
50,-0.8338064,-1.2046474,"('clumsy', 'skillful')",0.22899535,-0.09758152,0.18764791,-0.15993816,-0.1390544,-0.487389,0.3483346
59,-0.8186076,-0.8824043,"('foolish', 'wise')",0.13599779,0.117399335,0.31211075,0.22296058,-0.1234997,-0.1806815,0.0571818
58,0.79775155,0.7889526,"('undiscriminating', 'discriminating')",0.1592423,0.08231871,0.027416587,-0.016994793,0.3281368,0.2847588,0.043378
74,0.7926148,0.8572849,"('undedicated', 'dedicated')",0.010513103,-0.05252295,0.12385184,0.12180142,0.3089933,0.3088545,0.0001388
16,-0.7820946,-0.87996453,"('unpopular', 'popular')",-0.05950536,-0.27077323,0.51904607,0.44140688,-0.107518,-0.2364436,0.1289256
65,0.7005799,0.7565116,"('insecure', 'secure')",-0.60351527,-0.45121077,-0.20978174,-0.2187225,-0.0375724,0.0288595,-0.0664319
56,0.686316,0.87008995,"('impractical', 'practical')",-0.23751271,-0.14855416,-0.4202168,-0.45545402,0.0095288,0.0886939,-0.0791651
29,0.63240623,0.799828,"('unfair', 'fair')",-0.84976745,-0.8279195,-0.71125287,-0.45986587,-0.309538,-0.1626525,-0.1468855
80,0.6144556,0.43865854,"('dominated', 'dominating')",0.08469057,0.050156802,-0.85371584,-0.87214255,-0.0515232,-0.1277757,0.0762525
9,0.60122955,0.6579903,"('unaffectionate', 'caring')",0.28142005,0.016383834,1.5778593,1.376013,0.8201696,0.6834624,0.1367072
64,-0.59156185,-0.52297163,"('shy', 'confident')",-0.781591,-0.63246846,-6.3765607,-6.3386765,-2.5832378,-2.4980389,-0.0851989
