,kohls_male,kohls_female,tuple,corp_male,corp_female,average_male,average_female,male-female
1,-1.735923,-1.8211633,"('unfriendly', 'friendly')",1.1675951,0.9588944,-0.284164,-0.4311345,0.1469705
86,-1.7273415,-1.4260389,"('uninfluential', 'influential')",-0.52291614,-0.25023124,-1.1251289,-0.8381351,-0.2869938
28,-1.7031677,-1.7123632,"('disloyal', 'loyal')",1.1620798,0.95820636,-0.2705439,-0.3770784,0.1065345
57,-1.4421967,-1.1783038,"('unimaginative', 'imaginative')",-2.9195993,-2.8640907,-2.180898,-2.0211973,-0.1597007
48,-1.3106567,-0.9829679,"('unintelligent', 'intelligent')",0.88513166,0.9132114,-0.2127625,-0.0348783,-0.1778842
39,1.2851846,1.0474317,"('exploitative', 'cooperative')",0.21387325,0.3597402,0.7495289,0.703586,0.0459429
88,-1.212273,-1.6726755,"('low', 'eminent')",-0.21289678,-0.45545128,-0.7125849,-1.0640634,0.3514785
10,-1.1963111,-1.0823427,"('unsympathetic', 'sympathetic')",-0.24874218,-0.1816651,-0.7225267,-0.6320039,-0.0905228
79,-1.0852965,-0.93453205,"('wavering', 'unwavering')",-0.5339623,-0.5697518,-0.8096294,-0.752142,-0.0574874
6,-1.0526352,-1.1478418,"('distant', 'open')",-0.99372095,-1.0113112,-1.0231781,-1.0795765,0.0563984
11,-1.0495614,-0.9363534,"('unhelpful', 'helpful')",1.9592425,1.9917666,0.4548405,0.5277066,-0.0728661
29,-0.9867601,-1.0731523,"('unfair', 'fair')",-0.501065,-0.5414395,-0.7439126,-0.8072959,0.0633833
9,-0.9778782,-1.0773262,"('unaffectionate', 'caring')",0.94171876,0.94478726,-0.0180797,-0.0662695,0.0481898
53,-0.95637006,-1.0463377,"('uncreative', 'creative')",0.22350207,0.093866795,-0.366434,-0.4762354,0.1098014
72,-0.9299302,-0.83119315,"('unambitious', 'ambitious')",-0.7568336,-0.70416164,-0.8433819,-0.7676774,-0.0757045
12,-0.8669723,-0.42193264,"('unsupportive', 'supportive')",-2.2370973,-1.9523174,-1.5520349,-1.187125,-0.3649099
78,-0.8635022,-0.5771863,"('nonresilient', 'resilient')",0.38266832,0.41648924,-0.2404169,-0.0803485,-0.1600684
38,-0.8478974,-0.6712524,"('untruthful', 'truthful')",-0.15854259,-0.21713434,-0.50322,-0.4441934,-0.0590266
17,-0.82543427,-0.7692211,"('nasty', 'nice')",-0.65719336,-0.7769405,-0.7413138,-0.7730808,0.031767
67,0.7946242,0.59407043,"('doubtful', 'determined')",-0.3525943,-0.31052768,0.221015,0.1417714,0.0792436
49,-0.787828,-0.70373,"('unable', 'able')",-0.27659237,-0.3088228,-0.5322102,-0.5062764,-0.0259338
31,-0.7840646,-0.7263176,"('evil', 'good')",-1.0754042,-1.2602466,-0.9297343,-0.9932821,0.0635478
36,-0.77168155,-1.0587217,"('hostile', 'amicable')",-0.15867665,-0.6391697,-0.4651791,-0.8489457,0.3837666
73,0.76863587,0.9468026,"('helpless', 'self-reliant')",-3.3812258,-3.2177317,-1.3062949,-1.1354645,-0.1708304
56,0.76553184,0.7575055,"('impractical', 'practical')",-0.26160437,-0.24535337,0.2519637,0.256076,-0.0041123
27,-0.746236,-0.5891896,"('hardhearted', 'softhearted')",0.74326855,0.76426595,-0.0014837,0.0875382,-0.0890219
54,-0.7289776,-0.8945593,"('incapable', 'capable')",0.52757305,0.42222592,-0.1007023,-0.2361667,0.1354644
26,-0.72849137,-0.49895385,"('hardhearted', 'benevolent')",1.7518674,1.7335216,0.511688,0.6172839,-0.1055959
5,-0.6929912,-0.83131593,"('distant', 'outgoing')",-0.92433184,-0.9699401,-0.8086615,-0.900628,0.0919665
8,-0.6872595,-0.7662601,"('unaffectionate', 'affectionate')",0.4001411,0.3939077,-0.1435592,-0.1861762,0.042617
24,-0.65862274,-0.7542571,"('dishonest', 'honest')",0.4835223,0.4377221,-0.0875502,-0.1582675,0.0707173
18,-0.6151402,-0.56873715,"('disagreeable', 'welcoming')",-0.9316543,-1.0041786,-0.7733972,-0.7864579,0.0130607
45,-0.6075437,-0.2422066,"('incompetent', 'competent')",0.15061338,0.25155425,-0.2284652,0.0046738,-0.233139
7,-0.53825426,-0.44975597,"('insensitive', 'sensitive')",0.28749868,0.45920926,-0.1253778,0.0047266,-0.1301044
0,-0.53006667,-0.63406044,"('unsociable', 'sociable')",0.12140038,-0.008903522,-0.2043331,-0.321482,0.1171489
23,-0.46976402,-0.4184138,"('insincere', 'sincere')",5.912977,5.7529554,2.7216065,2.6672709,0.0543356
2,0.46580425,0.17992517,"('unlikable', 'likable')",0.5359801,0.3495742,0.5008922,0.2647497,0.2361425
42,0.46126136,0.7780415,"('unreliable', 'reliable')",-3.449334,-3.1508162,-1.4940363,-1.1863873,-0.307649
40,-0.45605323,0.0018831957,"('stingy', 'generous')",-1.8437026,-1.7179288,-1.1498779,-0.8580228,-0.2918551
