,reynolds_male,reynolds_female,tuple,american_male,american_female,inc_male,inc_female,average_male,average_female,male-female
1,2.2416134,2.025561,"('unfriendly', 'friendly')",-0.36771402,-0.30698845,2.224813,2.0692146,1.3662375,1.2625957,0.1036418
68,-2.0091188,-2.1167142,"('dependent', 'independent')",-0.2962181,-0.49852642,-0.8373222,-1.0112923,-1.0475531,-1.2088443,0.1612912
85,1.9529335,2.1546237,"('insignificant', 'prestigious')",-0.18803199,-0.036038287,1.1830789,1.0796481,0.9826601,1.0660779,-0.0834178
73,1.9515879,2.0788388,"('helpless', 'self-reliant')",1.1808751,1.1538827,-2.4130974,-2.4525814,0.2397885,0.2600467,-0.0202582
26,1.9349124,1.8847015,"('hardhearted', 'benevolent')",0.94615763,0.837134,1.9738904,2.0236423,1.6183201,1.5818259,0.0364942
82,-1.8957834,-1.927263,"('poor', 'rich')",-0.8178114,-0.8960015,5.582589,5.3932104,0.9563314,0.8566486,0.0996828
74,1.8550603,1.3907243,"('undedicated', 'dedicated')",0.7344343,0.6243971,0.44973108,0.22694492,1.0130753,0.7473555,0.2657198
9,1.8203639,1.6605858,"('unaffectionate', 'caring')",-0.21550371,-0.039129037,1.272792,1.1285328,0.9592174,0.9166632,0.0425542
33,1.766147,1.8196443,"('wrong', 'right')",0.9128391,0.97979105,-0.10438856,-0.067587495,0.8581992,0.9106159,-0.0524167
29,-1.6488624,-1.7495404,"('unfair', 'fair')",-1.6627167,-1.7255641,-0.64805335,-0.89191455,-1.3198775,-1.4556731,0.1357956
22,-1.577809,-1.8740586,"('untrustworthy', 'trustworthy')",-0.6726742,-0.8388164,-1.3928065,-1.4330206,-1.2144299,-1.3819652,0.1675353
55,-1.5766575,-1.9241724,"('incompetent', 'clever')",-0.7779884,-0.9298966,-0.2903185,-0.42045853,-0.8816548,-1.0915092,0.2098544
71,1.5671693,1.5994079,"('diffident', 'self-confident')",0.76893485,0.84993744,0.5228781,0.447674,0.9529941,0.9656731,-0.012679
14,-1.5533142,-1.8188758,"('antisocial', 'social')",-0.3989253,-0.47573903,-1.1372263,-1.1280714,-1.029822,-1.1408954,0.1110734
80,-1.5327138,-1.6700873,"('dominated', 'dominating')",-0.21548091,-0.335019,-1.1703781,-1.2030447,-0.9728576,-1.0693837,0.0965261
81,-1.4767826,-1.6209599,"('submissive', 'aggressive')",0.22000204,0.15042426,-1.1813494,-1.0932469,-0.81271,-0.8545942,0.0418842
45,-1.421954,-1.9233873,"('incompetent', 'competent')",-0.4722594,-0.6745516,-0.28882018,-0.46374944,-0.7276779,-1.0205628,0.2928849
44,-1.3790153,-1.0543703,"('prejudiced', 'unprejudiced')",-0.41526192,-0.2521386,-1.5571376,-1.3832248,-1.1171382,-0.8965779,-0.2205603
65,-1.3771086,-1.5563084,"('insecure', 'secure')",-0.24732202,-0.39908075,-0.9990134,-1.0283465,-0.8744814,-0.9945785,0.1200971
