,lockheed_male,lockheed_female,tuple,martin_male,martin_female,corp_male,corp_female,average_male,average_female,male-female
42,-2.3071074,-2.18735,"('unreliable', 'reliable')",-1.8707347,-1.7789924,-3.2906024,-3.2352743,-2.4894816,-2.4005389,-0.0889427
45,-2.153866,-2.6687,"('incompetent', 'competent')",-2.114877,-2.4619365,-0.7574143,-0.60205793,-1.6753858,-1.910898,0.2355122
10,-2.0777302,-2.1822894,"('unsympathetic', 'sympathetic')",-1.9490324,-1.9750146,-0.5873685,-0.43626785,-1.5380437,-1.5311906,-0.0068531
33,1.9481077,1.4906112,"('wrong', 'right')",1.4599742,0.8878164,-0.36364275,-0.6846239,1.0148131,0.5646012,0.4502119
43,-1.9130857,-1.700395,"('irresponsible', 'responsible')",-2.2882795,-2.1349816,-0.4216791,0.17351335,-1.5410148,-1.2206211,-0.3203937
60,-1.8281672,-1.4923937,"('inefficient', 'efficient')",-1.8904866,-1.549726,-0.5742374,-0.02250837,-1.4309637,-1.0215427,-0.409421
76,-1.7974527,-1.0406075,"('anxious', 'daring')",-1.4848703,-0.7749754,-0.5330582,0.10479404,-1.2717937,-0.5702629,-0.7015308
14,-1.772115,-1.3884556,"('antisocial', 'social')",-0.9386054,-0.26623827,-0.23904873,0.11759108,-0.9832564,-0.5123676,-0.4708888
70,-1.634329,-1.73182,"('lethargic', 'energetic')",-1.2866622,-1.140756,0.15902455,0.3368104,-0.9206556,-0.8452552,-0.0754004
65,-1.6058003,-0.9608303,"('insecure', 'secure')",-1.9632975,-1.412821,-0.35433948,0.2932917,-1.3078124,-0.6934532,-0.6143592
71,1.6003382,1.3620725,"('diffident', 'self-confident')",0.8560848,0.6804982,0.1280739,-0.006249748,0.861499,0.6787736,0.1827254
0,-1.5942701,-1.522881,"('unsociable', 'sociable')",-1.0386523,-0.89705086,-0.62038255,-0.36289635,-1.084435,-0.9276094,-0.1568256
46,-1.4342244,-1.7570596,"('uncompetitive', 'competitive')",-0.8290492,-0.85822606,-0.66041785,-0.66763103,-0.9745638,-1.0943055,0.1197417
13,-1.3978077,-1.3018962,"('impolite', 'polite')",-1.5790681,-1.389506,-1.0545952,-0.7245018,-1.3438238,-1.1386347,-0.2051891
81,-1.3393933,-0.7877324,"('submissive', 'aggressive')",-0.21800743,0.32535827,-0.8916857,-0.3268624,-0.8163621,-0.2630788,-0.5532833
44,-1.3181341,-0.6213923,"('prejudiced', 'unprejudiced')",-1.1269184,-0.73015934,-1.6517107,-1.4039098,-1.3655879,-0.9184872,-0.4471007
25,1.2808238,1.3814343,"('egoistic', 'altruistic')",1.0669255,1.198545,0.9436391,1.0834792,1.0971294,1.2211529,-0.1240235
3,-1.2679104,-1.3820293,"('repellent', 'pleasant')",-0.58693194,-0.57199156,0.8159945,0.85486424,-0.3462826,-0.3663855,0.0201029
82,-1.1765696,-0.9898916,"('poor', 'rich')",-1.36742,-1.0178609,5.5686646,6.3985662,1.008225,1.4636046,-0.4553796
21,-1.1370066,-1.0462081,"('immoral', 'moral')",-0.9497847,-0.6349008,-0.9356356,-0.28239167,-1.0074756,-0.6545002,-0.3529754
30,-1.1120336,-0.70446384,"('intolerant', 'tolerant')",-1.043293,-0.82786673,0.09889841,0.47807038,-0.6854761,-0.35142,-0.3340561
52,1.0132297,0.57816327,"('irrational', 'rational')",0.033351935,-0.6536697,-0.38992745,-0.4555274,0.2188847,-0.1770113,0.395896
69,1.0013409,0.83448136,"('lazy', 'industrious')",1.465237,1.2369119,-0.8217365,-1.3075178,0.5482805,0.2546252,0.2936553
55,-0.9761683,-0.7561804,"('incompetent', 'clever')",-1.6860782,-1.2249658,0.30811742,0.5993024,-0.7847097,-0.4606146,-0.3240951
87,-0.9721849,-0.34182513,"('unsuccessful', 'successful')",0.2030303,0.90937203,1.1588926,1.2023367,0.1299127,0.5899612,-0.4600485
1,0.9514836,-0.10111032,"('unfriendly', 'friendly')",0.29063052,-0.5022083,0.7974804,0.47726342,0.6798648,-0.0420184,0.7218832
24,-0.91165245,-0.88611394,"('dishonest', 'honest')",-1.4514768,-1.2811793,0.24240132,0.5278234,-0.7069093,-0.54649,-0.1604193
26,0.9105114,0.4360833,"('hardhearted', 'benevolent')",0.03485598,-0.33656085,1.4963642,1.0440853,0.8139105,0.3812026,0.4327079
31,0.9092878,0.097567566,"('evil', 'good')",0.77733076,-0.09075114,-1.0271289,-1.5677977,0.2198299,-0.5203271,0.740157
84,0.9034428,0.9008334,"('inferior', 'superior')",0.48346516,0.5267024,1.1866119,1.0557303,0.8578399,0.8277554,0.0300845
37,-0.8922172,-1.2054285,"('fake', 'genuine')",-1.9367747,-2.1261322,-0.51265025,-0.42871803,-1.1138807,-1.2534262,0.1395455
50,-0.87282854,-1.1890385,"('clumsy', 'skillful')",-0.0981656,-0.39608848,0.1985175,-0.01694068,-0.2574922,-0.5340226,0.2765304
53,0.8630068,0.18160373,"('uncreative', 'creative')",0.04811392,-0.40641567,0.3417947,-0.0682648,0.4176385,-0.0976923,0.5153308
15,0.8602744,0.75079125,"('boring', 'funny')",-0.6165303,-0.6858606,-0.3168156,-0.17501651,-0.0243572,-0.0366953,0.0123381
85,0.84558463,0.2419662,"('insignificant', 'prestigious')",1.5781093,1.0018231,-0.6748697,-1.070996,0.5829414,0.0575978,0.5253436
5,0.8400841,0.18930128,"('distant', 'outgoing')",0.6720808,0.06802386,-0.83145416,-1.0655767,0.2269036,-0.2694172,0.4963208
9,0.83218104,0.50281775,"('unaffectionate', 'caring')",0.59492844,0.36426926,0.8264651,0.71234083,0.7511915,0.5264759,0.2247156
8,0.8193889,0.44543725,"('unaffectionate', 'affectionate')",0.16995813,-0.122963786,0.33450192,-0.0206202,0.441283,0.1006178,0.3406652
63,-0.7959289,-1.2051868,"('unperceptive', 'insightful')",-0.8883175,-1.037388,0.19583276,0.26158124,-0.4961379,-0.6603312,0.1641933
64,-0.75777173,-0.9803716,"('shy', 'confident')",-0.8262361,-0.9890114,-5.7971187,-6.3169894,-2.4603755,-2.7621241,0.3017486
