,black_male,black_female,tuple,&_male,&_female,decker_male,decker_female,corp_male,corp_female,average_male,average_female,male-female
57,-1.9653162,-1.9392183,"('unimaginative', 'imaginative')",-2.1655505,-2.216914,-3.3684936,-3.3918796,-3.5078754,-3.5354908,-2.7518089,-2.7708757,0.0190668
10,-1.9589761,-1.9580822,"('unsympathetic', 'sympathetic')",-3.2932892,-3.250843,-3.8419032,-3.7863832,-1.1951535,-1.2664512,-2.5723305,-2.5654397,-0.0068908
45,-1.7992629,-1.802157,"('incompetent', 'competent')",-2.1702657,-2.1138425,-2.1618986,-2.138236,-0.5206245,-0.49000445,-1.663013,-1.63606,-0.026953
73,1.6872077,1.628127,"('helpless', 'self-reliant')",1.6893438,1.6645604,0.43163574,0.5752179,-2.7228193,-2.6003964,0.271342,0.3168772,-0.0455352
30,-1.6329226,-1.4671171,"('intolerant', 'tolerant')",-1.8217229,-1.7578537,-2.2391853,-2.109244,0.39004612,0.35996234,-1.3259462,-1.2435632,-0.082383
48,-1.6069205,-1.5471263,"('unintelligent', 'intelligent')",-1.5390383,-1.6101618,-2.2580621,-2.3525386,0.3566772,0.24481119,-1.2618361,-1.3162539,0.0544178
55,-1.5997665,-1.53531,"('incompetent', 'clever')",-1.8467798,-1.7816538,-3.7116609,-3.7337835,-0.3009799,-0.508188,-1.8647968,-1.8897338,0.024937
34,-1.575645,-1.5099114,"('mean', 'honorable')",-0.8715293,-0.79358983,0.14036402,0.21263596,4.986131,4.763229,0.6698302,0.6680909,0.0017393
22,-1.558793,-1.4622612,"('untrustworthy', 'trustworthy')",-0.7329783,-0.64406455,-1.6678723,-1.6668441,-1.4134846,-1.4296837,-1.343282,-1.3007133,-0.0425687
0,-1.5481622,-1.551906,"('unsociable', 'sociable')",-1.9692826,-1.7944841,-1.8253648,-1.7661846,-0.47757888,-0.5642131,-1.4550972,-1.419197,-0.0359002
41,-1.5302962,-1.5332203,"('unforgiving', 'forgiving')",-0.90961975,-0.7619795,-0.34631187,-0.31751662,-0.15571119,-0.09478681,-0.7354847,-0.6768758,-0.0586089
86,-1.4805545,-1.4425272,"('uninfluential', 'influential')",-2.2512875,-2.3301628,-1.8282869,-1.7865055,-0.88868225,-1.0398216,-1.6122029,-1.6497543,0.0375514
50,1.4563222,1.3028225,"('clumsy', 'skillful')",2.146619,2.1589315,0.58300614,0.62015593,0.17402685,0.14958635,1.0899936,1.057874,0.0321196
6,1.4015704,1.239488,"('distant', 'open')",1.4514855,1.2853934,2.3920257,2.4765892,-0.28180522,-0.33865094,1.2408192,1.165705,0.0751142
85,1.38891,1.1856779,"('insignificant', 'prestigious')",1.7768608,1.7407466,2.861147,2.9734862,0.3392786,0.5139676,1.5915492,1.6034696,-0.0119204
81,-1.3261379,-1.0589138,"('submissive', 'aggressive')",-1.9289469,-1.8074514,-3.270158,-3.288765,-0.9508613,-1.0133736,-1.8690261,-1.7921259,-0.0769002
49,-1.2803034,-1.1243579,"('unable', 'able')",-0.8005009,-0.513772,-0.32780403,-0.23080312,-0.50889885,-0.3072518,-0.7293768,-0.5440462,-0.1853306
35,1.2732807,1.2580777,"('corrupt', 'incorrupt')",2.2097456,2.1191247,3.4172783,3.4117076,0.10824509,0.32431096,1.7521374,1.7783052,-0.0261678
20,-1.2625693,-1.242495,"('rough', 'thoughtful')",0.1355378,0.1839907,-0.32706785,-0.38289347,0.8602211,0.8059468,-0.1484696,-0.1588627,0.0103931
69,1.2608688,1.2686498,"('lazy', 'industrious')",2.2591426,2.3876865,2.6265523,2.7004304,-0.12689312,0.34138218,1.5049176,1.6745372,-0.1696196
82,-1.2538571,-1.4363348,"('poor', 'rich')",-0.7400858,-0.9821329,-1.9189351,-2.0189793,5.720576,5.1633434,0.4519244,0.1814741,0.2704503
13,-1.2286077,-1.1890434,"('impolite', 'polite')",-1.8569546,-1.7431797,-2.114356,-2.102846,-1.2489091,-1.2464148,-1.6122068,-1.5703709,-0.0418359
11,-1.1832948,-1.0327982,"('unhelpful', 'helpful')",-2.630049,-2.4734266,-2.4015012,-2.3114264,1.3275548,1.337873,-1.2218225,-1.1199445,-0.101878
33,1.1093903,1.1388439,"('wrong', 'right')",1.51731,1.4461886,1.185586,1.2046888,-0.28676176,-0.13401236,0.8813812,0.9139272,-0.032546
77,-1.0654393,-0.95518005,"('unmotivated', 'motivated')",-1.2973306,-1.1012226,-0.8405594,-0.72939837,-1.1457084,-1.0154388,-1.0872595,-0.9503099,-0.1369496
