,first_male,first_female,tuple,horizon_male,horizon_female,corp_male,corp_female,average_male,average_female,male-female
36,-1.9209139,-2.4585094,"('hostile', 'amicable')",-0.44162136,-0.8851012,0.3170468,-0.4676329,-0.6818295,-1.2704145,0.588585
5,-1.7702304,-1.8191756,"('distant', 'outgoing')",-1.2642057,-1.2648273,-0.4568037,-0.7502668,-1.1637467,-1.2780899,0.1143432
35,-1.7633207,-2.04168,"('corrupt', 'incorrupt')",-0.45177573,-0.7406697,-0.45412266,-0.93494546,-0.8897397,-1.2390984,0.3493587
16,-1.7440315,-1.7430032,"('unpopular', 'popular')",-0.38412902,-0.38244823,0.10824852,-0.08363684,-0.673304,-0.7363628,0.0630588
31,-1.6721332,-1.9629799,"('evil', 'good')",-0.906349,-1.0900583,-0.7248688,-1.4071219,-1.101117,-1.4867201,0.3856031
39,1.636739,1.6033927,"('exploitative', 'cooperative')",1.262236,1.1697657,0.19105473,0.15885957,1.0300099,0.9773393,0.0526706
6,-1.5099072,-1.6312973,"('distant', 'open')",-1.5843201,-1.7354687,-0.12831318,-0.5654689,-1.0741801,-1.3107449,0.2365648
85,-1.5040166,-1.9887882,"('insignificant', 'prestigious')",0.857779,0.43107688,0.126985,-0.9141635,-0.1730842,-0.8239582,0.650874
21,1.3811818,1.7019434,"('immoral', 'moral')",0.16521266,0.31270194,-0.68901545,-0.18670323,0.285793,0.609314,-0.323521
82,-1.305209,-1.0808879,"('poor', 'rich')",-0.89869833,-0.78378284,6.523494,6.868926,1.4398621,1.6680851,-0.228223
80,1.3037946,1.4574867,"('dominated', 'dominating')",0.9204952,1.0292115,-1.1104345,-0.6133534,0.3712851,0.6244483,-0.2531632
19,-1.2686213,-1.3581278,"('inhospitable', 'hospitable')",-0.82361555,-0.9655366,-0.40466633,-0.5980272,-0.8323011,-0.9738972,0.1415961
37,1.267444,1.1016915,"('fake', 'genuine')",0.27163792,0.009222239,0.39529932,0.2201109,0.6447937,0.4436749,0.2011188
7,1.2662075,1.2768639,"('insensitive', 'sensitive')",1.0788445,0.9641405,0.79668415,0.8364159,1.0472453,1.0258067,0.0214386
79,-1.2172298,-1.1145111,"('wavering', 'unwavering')",-0.6552362,-0.6308377,-0.39928907,-0.47763744,-0.7572517,-0.7409954,-0.0162563
