,yum_male,yum_female,tuple,brands_male,brands_female,inc_male,inc_female,average_male,average_female,male-female
10,-1.5713134,-1.5653524,"('unsympathetic', 'sympathetic')",0.0571326,-0.010335866,-0.3717794,-0.44343236,-0.6286534,-0.6730402,0.0443868
86,-1.5349871,-1.774715,"('uninfluential', 'influential')",0.019567207,-0.03125316,0.16312528,-0.07876418,-0.4507649,-0.6282441,0.1774792
73,1.5018814,1.717498,"('helpless', 'self-reliant')",1.22862,1.3685668,-2.6446202,-2.57254,0.0286271,0.1711749,-0.1425478
57,-1.3442967,-1.5674763,"('unimaginative', 'imaginative')",-0.59753555,-0.59049,-2.0816672,-2.4135046,-1.3411665,-1.5238236,0.1826571
66,-1.2895958,-1.2389828,"('inactive', 'active')",-0.6595792,-0.5978112,0.81713706,0.7403507,-0.377346,-0.3654811,-0.0118649
3,-1.1689922,-1.1816468,"('repellent', 'pleasant')",-0.46786866,-0.3534105,0.019681053,0.21203895,-0.5390599,-0.4410061,-0.0980538
59,1.133475,1.0789233,"('foolish', 'wise')",-0.16618349,-0.04215844,0.24015416,0.36496282,0.4024819,0.4672426,-0.0647607
50,1.0772988,1.1024374,"('clumsy', 'skillful')",0.2013299,0.3723044,0.51047903,0.56948376,0.5963693,0.6814086,-0.0850393
53,-1.0583212,-0.9881111,"('uncreative', 'creative')",0.7158268,0.9445451,0.98057705,0.8646813,0.2126942,0.2737051,-0.0610109
33,1.0508314,0.85863894,"('wrong', 'right')",0.456699,0.44875804,-0.4738319,-0.61116624,0.3445662,0.2320769,0.1124893
14,-1.0409324,-1.010783,"('antisocial', 'social')",0.55929005,0.52157474,-0.97779894,-0.94928044,-0.4864804,-0.4794962,-0.0069842
9,-1.0393722,-1.0805993,"('unaffectionate', 'caring')",0.28304845,0.34146178,0.99241257,1.0200546,0.0786963,0.093639,-0.0149427
88,-1.0317011,-1.0192653,"('low', 'eminent')",0.101218954,0.23095782,-0.0033847615,-0.03919805,-0.311289,-0.2758352,-0.0354538
81,-1.0260179,-1.1720699,"('submissive', 'aggressive')",-0.014338382,-0.25013334,-0.8704209,-0.9760822,-0.6369257,-0.7994285,0.1625028
40,-0.995872,-1.1914673,"('stingy', 'generous')",-0.76566166,-0.80748993,-1.5790267,-1.7300366,-1.1135201,-1.242998,0.1294779
8,-0.9861671,-0.99371195,"('unaffectionate', 'affectionate')",-0.4503696,-0.3688533,0.5594391,0.5864398,-0.2923658,-0.2587085,-0.0336573
26,-0.9616092,-0.8268154,"('hardhearted', 'benevolent')",0.64842254,0.6612976,1.4971904,1.4652882,0.3946679,0.4332568,-0.0385889
48,-0.95009923,-1.1412345,"('unintelligent', 'intelligent')",-0.67877376,-0.8605125,0.36893132,0.20463654,-0.4199806,-0.5990369,0.1790563
46,-0.9397242,-0.88468885,"('uncompetitive', 'competitive')",1.42301,1.3470484,-0.21316962,-0.3810386,0.0900387,0.027107,0.0629317
0,-0.9359051,-1.0641259,"('unsociable', 'sociable')",0.9308344,0.71027493,-0.303568,-0.45900556,-0.1028796,-0.2709522,0.1680726
42,0.93409336,0.99905646,"('unreliable', 'reliable')",0.9260901,1.056581,-2.0413911,-2.014223,-0.0604026,0.0138048,-0.0742074
1,-0.89698637,-0.8589872,"('unfriendly', 'friendly')",0.34471294,0.36405626,1.4901408,1.320939,0.3126225,0.275336,0.0372865
72,-0.83526427,-0.7288843,"('unambitious', 'ambitious')",-0.9133936,-0.6546186,-1.0984315,-0.847569,-0.9490298,-0.7436906,-0.2053392
15,0.80664337,0.5716356,"('boring', 'funny')",0.14781147,0.061818697,0.31589398,0.14293846,0.4234496,0.2587976,0.164652
77,-0.7702441,-0.78774023,"('unmotivated', 'motivated')",0.2490578,0.17981765,-1.188574,-1.2925249,-0.5699201,-0.6334825,0.0635624
83,-0.7691481,-0.6453555,"('powerless', 'powerful')",0.5803559,0.78700185,-0.7362099,-0.7090051,-0.3083341,-0.1891196,-0.1192145
69,0.75757813,0.8834598,"('lazy', 'industrious')",0.34868398,0.38195157,-0.39275968,-0.41203585,0.2378341,0.2844585,-0.0466244
6,-0.754032,-0.57469624,"('distant', 'open')",-0.7097488,-0.4724926,0.40642223,0.5571225,-0.3524529,-0.1633554,-0.1890975
64,-0.7278235,-0.7491987,"('shy', 'confident')",-0.26123086,-0.35440528,-5.9325967,-6.072501,-2.307217,-2.392035,0.084818
28,-0.70319164,-0.8529171,"('disloyal', 'loyal')",-0.4422595,-0.47288436,0.8811871,0.862149,-0.088088,-0.1545508,0.0664628
11,-0.6920856,-0.766372,"('unhelpful', 'helpful')",0.36146572,0.39160827,1.8303897,1.8541298,0.4999233,0.493122,0.0068013
56,0.682715,0.7879828,"('impractical', 'practical')",1.8363527,1.839625,0.22488391,0.2798638,0.9146506,0.9691572,-0.0545066
34,-0.6691067,-0.5152344,"('mean', 'honorable')",0.02503657,-0.045470905,5.835726,5.9336314,1.7305519,1.7909754,-0.0604235
82,-0.6368938,-0.6758333,"('poor', 'rich')",0.5858805,0.7355787,5.887252,6.184619,1.9454128,2.0814548,-0.136042
4,0.62184966,0.3750113,"('disliked', 'liked')",-0.25474498,-0.20439616,-5.796259,-6.11983,-1.8097181,-1.9830716,0.1733535
78,-0.6125623,-0.61909616,"('nonresilient', 'resilient')",0.94259423,1.0015999,0.6302696,0.56429595,0.3201005,0.3155999,0.0045006
39,0.5951387,0.5319853,"('exploitative', 'cooperative')",1.3321185,1.0486394,0.07966618,0.06638209,0.6689745,0.5490023,0.1199722
58,-0.59105825,-0.40455583,"('undiscriminating', 'discriminating')",0.35871997,0.44670367,0.05857095,-0.106652565,-0.0579224,-0.0215016,-0.0364208
21,-0.58466476,-0.55801785,"('immoral', 'moral')",0.6203621,0.50768715,-0.71358263,-0.77666616,-0.2259618,-0.2756656,0.0497038
31,-0.58386064,-0.5728683,"('evil', 'good')",-1.7831432,-1.8041366,-1.0878282,-1.1709667,-1.1516107,-1.1826572,0.0310465
65,-0.55427176,-0.78880525,"('insecure', 'secure')",0.28447187,0.023091575,-0.3235342,-0.3106219,-0.197778,-0.3587785,0.1610005
70,-0.54881895,-0.52629936,"('lethargic', 'energetic')",0.54683834,0.61610085,0.9197634,1.0256478,0.3059276,0.3718164,-0.0658888
67,0.53090054,0.6185739,"('doubtful', 'determined')",0.17192689,0.2149254,-0.3075678,-0.27563393,0.1317532,0.1859551,-0.0542019
51,-0.5091478,-0.69017166,"('uneducated', 'educated')",-0.2346441,-0.37598938,0.3155045,0.14552563,-0.1427625,-0.3068785,0.164116
