,apollo_male,apollo_female,tuple,education_male,education_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
48,1.9000742,2.0120883,"('unintelligent', 'intelligent')",0.5408579,0.44539165,-0.34313953,-0.3064025,0.13225435,0.30757234,0.5575117,0.6146625,-0.0571508
6,-1.6106628,-1.5563265,"('distant', 'open')",-0.08194743,0.016855646,-1.8425671,-1.909187,0.38084632,0.34109524,-0.7885827,-0.7768907,-0.011692
19,-1.5822833,-1.4196151,"('inhospitable', 'hospitable')",0.3063475,0.38134944,-1.2503312,-1.1384165,-0.19006139,-0.19262147,-0.6790821,-0.5923259,-0.0867562
16,-1.4896231,-1.3320556,"('unpopular', 'popular')",-0.32977238,-0.33214593,-0.26834327,-0.22456858,0.5034783,0.44987476,-0.3960651,-0.3597238,-0.0363413
5,-1.4433216,-1.2892089,"('distant', 'outgoing')",-0.071790636,0.14304069,-1.5919746,-1.5529202,-0.3409153,-0.25891587,-0.8620005,-0.7395011,-0.1224994
72,1.4102168,1.601562,"('unambitious', 'ambitious')",0.4957505,0.5365086,0.39429328,0.34888816,-0.97265285,-0.8853274,0.3319019,0.4004079,-0.068506
17,-1.3821919,-1.2558583,"('nasty', 'nice')",-0.3408443,-0.20338404,-0.9305158,-1.0239449,-0.71804136,-0.715839,-0.8428984,-0.7997565,-0.0431419
36,-1.2901471,-1.3657151,"('hostile', 'amicable')",-1.426466,-1.6242822,-1.5830414,-1.6032978,0.52880543,0.36752784,-0.9427122,-1.0564418,0.1137296
39,1.2827553,1.0275409,"('exploitative', 'cooperative')",0.26389176,0.17305167,2.0458264,1.9742467,0.10210994,0.022744939,0.9236459,0.7993961,0.1242498
4,-1.2063265,-1.0131832,"('disliked', 'liked')",1.2654684,1.152927,-0.2892429,-0.5015115,-6.3548756,-6.379466,-1.6462442,-1.6853085,0.0390643
26,1.1740025,1.3241187,"('hardhearted', 'benevolent')",1.2621602,1.0637226,0.9749606,0.930248,1.8321142,1.7916812,1.3108094,1.2774426,0.0333668
12,1.1524993,1.2574879,"('unsupportive', 'supportive')",1.7665324,1.8769232,1.4306571,1.3423041,-1.5234829,-1.5868195,0.7065514,0.7224739,-0.0159225
47,-1.1435432,-0.99377745,"('stupid', 'smart')",1.2724553,1.54503,1.1597651,1.3027292,5.330465,5.4543695,1.6547855,1.8270879,-0.1723024
38,-1.0388849,-0.83164173,"('untruthful', 'truthful')",0.07075896,0.10461597,-1.063979,-0.9997737,-0.39241594,-0.18613727,-0.6061302,-0.4782342,-0.127896
69,-1.0303476,-1.2069104,"('lazy', 'industrious')",0.33769432,0.37524867,0.32108593,0.2887881,-0.51113653,-0.5159981,-0.220676,-0.2647179,0.0440419
56,1.000303,1.1240491,"('impractical', 'practical')",1.4621814,1.723419,0.65487885,0.7758367,-0.22997797,-0.00082330126,0.7218463,0.9056203,-0.183774
73,0.99291843,1.0508628,"('helpless', 'self-reliant')",0.98926675,0.8510618,-0.40831393,-0.4695512,-3.3304172,-3.454298,-0.4391365,-0.5054811,0.0663446
66,-0.9923563,-0.8050471,"('inactive', 'active')",0.40807882,0.36868522,1.0685071,0.8347126,1.2416139,1.0276597,0.4314609,0.3565026,0.0749583
62,0.985287,1.1524879,"('incompetent', 'brilliant')",1.9356881,2.1249173,0.36264354,0.38621047,-0.39596313,-0.20017917,0.7219139,0.8658592,-0.1439453
41,-0.952677,-0.5760454,"('unforgiving', 'forgiving')",-0.64073575,-0.67511797,0.9017467,0.95213366,0.25277725,0.22857831,-0.1097222,-0.0176128,-0.0921094
31,-0.9353654,-0.8935688,"('evil', 'good')",-1.5309068,-1.6732488,-1.3256778,-1.3868244,-0.8520685,-1.1320771,-1.1610045,-1.2714298,0.1104253
7,0.9207732,0.9850218,"('insensitive', 'sensitive')",1.1397043,1.1797358,0.5866026,0.61027247,0.88771194,0.75642496,0.883698,0.8828638,0.0008342
45,-0.87072986,-0.7635601,"('incompetent', 'competent')",0.9864042,1.0332355,0.36132962,0.23951307,-0.4747413,-0.54054976,0.0005657,-0.0078403,0.008406
27,0.8700313,0.67715394,"('hardhearted', 'softhearted')",1.0746346,1.0717694,0.29982653,0.13130681,1.677999,1.3402244,0.9806229,0.8051136,0.1755093
44,-0.833129,-1.1205504,"('prejudiced', 'unprejudiced')",-0.23832539,-0.31556842,-0.6812443,-0.67998165,-1.3299152,-1.37671,-0.7706535,-0.8732027,0.1025492
58,-0.8316836,-0.91781384,"('undiscriminating', 'discriminating')",0.30575755,-0.038896203,0.95817345,0.63373727,0.14485398,-0.03433188,0.1442754,-0.0893262,0.2336016
65,0.79134274,0.7794729,"('insecure', 'secure')",-0.021383181,-0.008371537,1.2044262,1.1895744,-0.18231721,-0.14899185,0.4480171,0.452921,-0.0049039
84,0.7902703,0.76415706,"('inferior', 'superior')",-0.27353543,-0.4136252,0.54209864,0.4750749,0.6078689,0.59459627,0.4166756,0.3550507,0.0616249
50,-0.7647784,-0.6770368,"('clumsy', 'skillful')",0.37807733,0.59613556,-0.011106033,0.09627111,0.16256943,0.2395013,-0.0588094,0.0637178,-0.1225272
86,0.7461437,0.8864223,"('uninfluential', 'influential')",1.031425,0.92166835,0.44013232,0.35341248,-0.052627668,-0.2010637,0.5412683,0.4901099,0.0511584
35,-0.71822554,-0.62398,"('corrupt', 'incorrupt')",-2.0603626,-2.1883686,-1.7656254,-1.7618685,-0.038685575,-0.12543051,-1.1457248,-1.1749119,0.0291871
79,-0.67890096,-0.39440477,"('wavering', 'unwavering')",0.15602848,0.22746862,-1.7082869,-1.6872336,-0.19621763,-0.14590149,-0.6068442,-0.5000178,-0.1068264
74,0.678583,0.9041526,"('undedicated', 'dedicated')",0.20235221,0.31150112,1.3459647,1.3439009,0.34235823,0.42149115,0.6423146,0.7452614,-0.1029468
55,0.6650527,0.62010825,"('incompetent', 'clever')",0.07376416,0.14160633,0.93309045,0.9676889,-0.1603823,-0.067312606,0.3778813,0.4155227,-0.0376414
53,-0.6522494,-0.4309326,"('uncreative', 'creative')",0.11276104,0.095274135,0.10096648,0.0874403,1.3581145,1.3663622,0.2298982,0.279536,-0.0496378
83,-0.64445204,-0.6634156,"('powerless', 'powerful')",0.98776615,1.0758386,-0.58750683,-0.52852976,-1.1834328,-1.1111395,-0.3569064,-0.3068116,-0.0500948
2,-0.6386012,-0.2933981,"('unlikable', 'likable')",0.18279696,0.338066,1.090171,1.3231695,0.4206821,0.5694902,0.2637622,0.4843319,-0.2205697
29,-0.58034486,-0.5213337,"('unfair', 'fair')",-1.4946532,-1.4941475,-0.27902982,-0.3197555,-0.3328951,-0.5488687,-0.6717308,-0.7210264,0.0492956
