,micron_male,micron_female,tuple,technology_male,technology_female,inc_male,inc_female,average_male,average_female,male-female
6,-1.9925739,-2.0189936,"('distant', 'open')",-1.9191294,-1.8927132,0.38435504,0.21472563,-1.1757827,-1.2323271,0.0565444
5,-1.8466043,-1.7483121,"('distant', 'outgoing')",-1.8111655,-1.7419018,-0.21904758,-0.42639413,-1.2922724,-1.305536,0.0132636
86,-1.6869946,-2.0682473,"('uninfluential', 'influential')",-0.03912228,-0.29252166,-0.36057687,-0.38553715,-0.6955646,-0.9154354,0.2198708
10,-1.671867,-1.4695017,"('unsympathetic', 'sympathetic')",-0.13912521,-0.15441364,-0.8867986,-0.5146847,-0.8992636,-0.7128667,-0.1863969
53,-1.5497059,-1.779336,"('uncreative', 'creative')",0.44652176,0.2804351,0.96601033,0.8213815,-0.0457246,-0.2258398,0.1801152
19,-1.5294923,-1.3964802,"('inhospitable', 'hospitable')",-1.4462694,-1.4954313,0.19136815,-0.011679674,-0.9281312,-0.9678637,0.0397325
24,-1.460398,-1.5346601,"('dishonest', 'honest')",-1.6262069,-1.784449,0.098957226,0.33904552,-0.9958825,-0.9933545,-0.002528
0,-1.3803461,-1.5353768,"('unsociable', 'sociable')",-0.20836258,-0.27075818,-0.7235432,-0.67672646,-0.7707506,-0.8276205,0.0568699
1,-1.3695427,-2.1224766,"('unfriendly', 'friendly')",-0.4853163,-1.0832074,1.8883796,1.4560438,0.0111735,-0.5832134,0.5943869
23,-1.3174697,-1.3051468,"('insincere', 'sincere')",-0.6143909,-0.6174152,4.609134,5.0043807,0.8924245,1.0272729,-0.1348484
73,1.3171942,1.498878,"('helpless', 'self-reliant')",0.803255,0.8481272,-2.6059666,-2.6492481,-0.1618391,-0.1007477,-0.0610914
66,-1.3001772,-1.0568823,"('inactive', 'active')",-1.0051183,-0.85724455,1.1709771,0.98290926,-0.3781061,-0.3104059,-0.0677002
82,-1.2779253,-1.0886239,"('poor', 'rich')",0.077087656,0.13023561,5.4638042,5.9559665,1.4209889,1.6658594,-0.2448705
63,-1.2189558,-0.977763,"('unperceptive', 'insightful')",0.0060475133,0.16778453,0.5746822,0.83807075,-0.212742,0.0093641,-0.2221061
38,-1.205373,-0.99079937,"('untruthful', 'truthful')",-1.0535716,-0.9272239,-0.5942517,-0.35986316,-0.9510654,-0.7592955,-0.1917699
