,franklin_male,franklin_female,tuple,resources_male,resources_female,inc_male,inc_female,average_male,average_female,male-female
0,-1.5099835,-1.4540647,"('unsociable', 'sociable')",-0.2796347,-0.08820176,-0.52723354,-0.7270343,-0.772284,-0.7564336,-0.0158504
6,-1.4276823,-1.4800215,"('distant', 'open')",-1.1667128,-1.441847,0.11865742,-0.17506707,-0.8252459,-1.0323118,0.2070659
36,-1.4273096,-1.5430459,"('hostile', 'amicable')",-1.9239749,-2.103983,-0.2760283,-0.3775025,-1.2091043,-1.3415105,0.1324062
62,1.3842813,1.6126522,"('incompetent', 'brilliant')",0.3858232,0.5313035,0.45016164,0.3051685,0.7400887,0.8163748,-0.0762861
16,-1.3369007,-1.4055661,"('unpopular', 'popular')",0.15507759,-0.01799621,0.31504083,0.11268667,-0.2889274,-0.4369586,0.1480312
44,-1.2852337,-1.2329773,"('prejudiced', 'unprejudiced')",-0.90907365,-0.88381475,-1.7597222,-1.4694813,-1.3180099,-1.1954244,-0.1225855
73,1.2261863,1.4433653,"('helpless', 'self-reliant')",0.965547,0.9111842,-2.613429,-2.4587119,-0.1405652,-0.0347208,-0.1058444
9,1.1400043,1.1831205,"('unaffectionate', 'caring')",0.6322866,0.68958503,1.2627568,1.1190275,1.0116826,0.9972444,0.0144382
33,1.0182725,1.0325075,"('wrong', 'right')",0.9370323,0.89353746,-0.41210756,-0.6023301,0.5143991,0.4412383,0.0731608
24,1.0073649,0.90745974,"('dishonest', 'honest')",0.0029483847,0.19200572,0.8681038,0.7138764,0.626139,0.6044473,0.0216917
5,-0.96789026,-0.9614694,"('distant', 'outgoing')",-0.6569203,-0.89167196,-0.15870166,-0.37353075,-0.5945041,-0.7422241,0.14772
80,0.95849425,0.7045293,"('dominated', 'dominating')",0.37699273,0.5057017,-0.5731772,-0.72712505,0.2541033,0.1610353,0.093068
53,0.9373483,1.0659809,"('uncreative', 'creative')",0.29958755,0.41588068,0.6503495,0.8170368,0.6290951,0.7662995,-0.1372044
4,-0.9326543,-0.9353594,"('disliked', 'liked')",-0.12348106,-0.12085031,-5.928417,-5.52165,-2.3281841,-2.1926198,-0.1355643
56,0.9314918,1.4323441,"('impractical', 'practical')",0.43354502,0.6941951,-0.30249295,0.010853123,0.3541813,0.7124641,-0.3582828
41,-0.9041233,-0.88404703,"('unforgiving', 'forgiving')",-0.312315,-0.21585491,0.16981944,0.042165652,-0.3488729,-0.3525788,0.0037059
72,0.90089226,0.6619674,"('unambitious', 'ambitious')",0.77840674,0.49541095,-0.41728058,-0.902252,0.4206728,0.0850421,0.3356307
12,0.8747158,1.1672071,"('unsupportive', 'supportive')",0.82235277,0.9105713,-1.2170855,-1.1692995,0.1599944,0.3028263,-0.1428319
74,0.84844655,0.73938245,"('undedicated', 'dedicated')",0.69998807,0.6653334,0.020252028,0.034334797,0.5228955,0.4796835,0.043212
19,-0.8415581,-0.7560059,"('inhospitable', 'hospitable')",-1.626018,-1.4758854,-0.24592948,-0.067646146,-0.9045018,-0.7665124,-0.1379894
67,-0.83983505,-0.7027286,"('doubtful', 'determined')",-0.22165957,-0.13898368,-0.9980697,-0.7849841,-0.6865215,-0.5422321,-0.1442894
61,0.8240594,0.8068792,"('illogical', 'logical')",0.29381135,0.46809876,0.30174154,0.033412732,0.4732041,0.4361302,0.0370739
13,-0.7821156,-0.17377354,"('impolite', 'polite')",-0.62585276,-0.1819745,-0.34920728,-0.016725264,-0.5857252,-0.1241578,-0.4615674
17,-0.7696413,-0.58031875,"('nasty', 'nice')",0.12903714,0.09671101,-0.7135921,-0.638429,-0.4513988,-0.3740122,-0.0773866
