,general_male,general_female,tuple,mills_male,mills_female,inc_male,inc_female,average_male,average_female,male-female
26,1.7501657,2.0772429,"('hardhearted', 'benevolent')",2.9276602,2.911884,1.5760647,1.5589044,2.0846302,2.1826773,-0.0980471
39,1.4950618,1.5824183,"('exploitative', 'cooperative')",0.6578028,0.6297944,0.40423813,0.45474425,0.8523676,0.8889857,-0.0366181
6,-1.4439423,-1.4416574,"('distant', 'open')",-0.46024245,-0.46876118,0.50762725,0.5358546,-0.4655192,-0.458188,-0.0073312
49,-1.4308296,-0.84717095,"('unable', 'able')",-1.049254,-0.5105276,-0.4195622,-0.22104944,-0.9665485,-0.5262493,-0.4402992
68,-1.3769251,-1.6056097,"('dependent', 'independent')",-1.2419517,-1.4595246,-0.53614974,-0.82298344,-1.0516756,-1.2960393,0.2443637
27,-1.2381595,-1.5154449,"('hardhearted', 'softhearted')",-0.038998097,-0.2909651,1.8838465,1.5967528,0.2022296,-0.0698857,0.2721153
12,1.2368153,1.0910412,"('unsupportive', 'supportive')",0.5030619,0.36987945,-1.7985082,-2.023092,-0.0195436,-0.1873904,0.1678468
67,1.2216976,1.1371803,"('doubtful', 'determined')",0.19299099,0.20933728,-0.66236275,-0.62474114,0.2507753,0.2405921,0.0101832
73,1.2207501,1.1121135,"('helpless', 'self-reliant')",0.8835127,0.6916419,-3.1251972,-3.3376586,-0.3403114,-0.5113011,0.1709897
44,-1.075879,-0.76108056,"('prejudiced', 'unprejudiced')",-1.7818464,-1.5534674,-1.4549303,-1.2966938,-1.4375518,-1.2037473,-0.2338045
3,-1.0459995,-1.2012715,"('repellent', 'pleasant')",-0.15748525,-0.23829073,0.47846562,0.65553665,-0.2416731,-0.2613419,0.0196688
17,-1.043929,-0.77207994,"('nasty', 'nice')",-0.73354316,-0.3665852,-0.32798788,-0.09710284,-0.70182,-0.4119227,-0.2898973
84,1.0414933,0.92251027,"('inferior', 'superior')",-0.1318453,-0.22451872,0.375219,0.34130177,0.428289,0.3464311,0.0818579
5,-1.0259767,-0.95859575,"('distant', 'outgoing')",0.1823482,0.23769113,-0.19435114,-0.14025778,-0.3459932,-0.2870541,-0.0589391
31,-1.0082409,-1.0247755,"('evil', 'good')",0.22065721,0.18924856,-0.5700467,-0.6842741,-0.4525435,-0.5066003,0.0540568
