,home_male,home_female,tuple,depot_male,depot_female,inc_male,inc_female,average_male,average_female,male-female
73,1.5725654,1.4440616,"('helpless', 'self-reliant')",0.55631703,0.32393837,-3.421288,-3.2614481,-0.4308019,-0.497816,0.0670141
49,-1.3942477,-1.174588,"('unable', 'able')",-1.2421646,-1.0108839,-0.4041452,-0.38785467,-1.0135191,-0.8577755,-0.1557436
77,-1.2929415,-0.8728912,"('unmotivated', 'motivated')",0.38912907,0.6956168,-1.33178,-1.1641493,-0.7451975,-0.4471412,-0.2980563
68,-1.2577896,-1.0059042,"('dependent', 'independent')",-1.0040414,-0.8042935,-0.9421484,-0.6441697,-1.0679932,-0.8181225,-0.2498707
67,1.2310565,1.0436755,"('doubtful', 'determined')",0.7950776,0.5832571,-0.6657148,-0.6030777,0.4534731,0.341285,0.1121881
59,1.1975088,0.970837,"('foolish', 'wise')",0.12937015,-0.21433085,0.17963043,0.52395314,0.5021698,0.4268198,0.07535
53,-1.1971608,-1.0995646,"('uncreative', 'creative')",-1.1044959,-0.90935993,0.9701975,1.1242266,-0.4438198,-0.2948993,-0.1489205
33,1.0769958,0.77632856,"('wrong', 'right')",0.405344,0.13334535,-0.7720203,-0.42815205,0.2367732,0.1605073,0.0762659
37,1.0302955,0.785376,"('fake', 'genuine')",0.3958541,0.47161305,0.66339797,0.57856584,0.6965159,0.6118516,0.0846643
36,-0.9605191,-1.5690955,"('hostile', 'amicable')",-1.2473409,-1.6763456,-0.0064827204,0.08644618,-0.7381142,-1.0529982,0.314884
3,-0.95272595,-0.4886688,"('repellent', 'pleasant')",-0.3023673,0.27810833,0.47353545,0.44170883,-0.2605193,0.0770495,-0.3375688
20,-0.875568,-0.41299462,"('rough', 'thoughtful')",-0.3172833,0.003533911,1.166463,1.3290948,-0.0087961,0.3065447,-0.3153408
34,-0.8203641,-0.6225016,"('mean', 'honorable')",0.29804054,0.46614563,5.7413344,5.8952107,1.7396703,1.9129516,-0.1732813
12,0.80594337,1.0947887,"('unsupportive', 'supportive')",0.14863187,0.3668009,-1.7862216,-1.6746893,-0.2772155,-0.0710332,-0.2061823
86,-0.798579,-0.4281409,"('uninfluential', 'influential')",-0.62444395,-0.35405296,0.045340635,0.10941667,-0.4592274,-0.2242591,-0.2349683
0,-0.78431904,-0.33910564,"('unsociable', 'sociable')",0.2867538,0.6739475,-0.3817535,-0.3227185,-0.2931062,0.0040411,-0.2971473
10,-0.77855486,-0.14943683,"('unsympathetic', 'sympathetic')",-0.5336733,-0.07980131,-0.03819255,-0.25040546,-0.4501402,-0.1598812,-0.290259
42,0.7596545,0.766937,"('unreliable', 'reliable')",0.08409822,0.1183165,-2.6421568,-2.7059283,-0.599468,-0.6068916,0.0074236
74,0.71546674,1.0658151,"('undedicated', 'dedicated')",0.38486817,0.42811218,0.18603942,0.2548341,0.4287914,0.5829204,-0.154129
58,-0.6937756,-0.65368074,"('undiscriminating', 'discriminating')",0.028774874,5.034171e-05,0.043167096,0.12566036,-0.2072779,-0.17599,-0.0312879
39,0.67672336,1.304825,"('exploitative', 'cooperative')",0.8451691,1.4593011,0.23483413,0.48100072,0.5855756,1.0817089,-0.4961333
65,-0.65377927,-0.15616372,"('insecure', 'secure')",0.085666366,0.53429484,-0.036665075,-0.12776361,-0.2015927,0.0834558,-0.2850485
2,0.65080726,0.7014951,"('unlikable', 'likable')",0.6549655,0.8898893,0.49333945,0.54985154,0.5997041,0.7137453,-0.1140412
57,-0.6419212,-0.69838434,"('unimaginative', 'imaginative')",-1.0442742,-0.945968,-2.7898726,-2.8027463,-1.4920227,-1.4823662,-0.0096565
88,-0.6341278,-0.28672427,"('low', 'eminent')",-0.65437776,-0.35936812,0.21659926,0.19556378,-0.3573021,-0.1501762,-0.2071259
5,-0.6264124,-1.0842079,"('distant', 'outgoing')",-0.4997468,-0.9992402,-0.38282952,-0.15891488,-0.5029962,-0.7474543,0.2444581
38,0.6168193,0.37724617,"('untruthful', 'truthful')",0.6382028,0.49142748,-0.2645339,-0.2669727,0.3301627,0.200567,0.1295957
32,0.6097477,0.9700787,"('unkind', 'kind')",0.36248204,0.6301362,1.4128765,1.2347505,0.7950354,0.9449885,-0.1499531
15,0.6080607,0.17768867,"('boring', 'funny')",0.10292347,-0.11412713,0.078854084,0.108153574,0.2632794,0.0572384,0.206041
9,0.6032189,0.48719525,"('unaffectionate', 'caring')",0.24058425,0.14565018,1.4220686,1.4740219,0.7552906,0.7022891,0.0530015
35,0.5837856,0.06424403,"('corrupt', 'incorrupt')",-0.7015357,-1.0721596,-0.37197453,-0.102056146,-0.1632415,-0.3699906,0.2067491
51,-0.5803076,-0.51255906,"('uneducated', 'educated')",-0.75403124,-0.39575014,0.047738604,0.22294983,-0.4288668,-0.2284531,-0.2004137
26,0.58001256,0.5976773,"('hardhearted', 'benevolent')",1.0292708,0.848887,1.5492073,1.8193933,1.0528302,1.0886525,-0.0358223
11,0.5797393,0.68456376,"('unhelpful', 'helpful')",0.6728506,0.9345526,1.6689411,1.6744359,0.9738437,1.0978507,-0.124007
70,0.5766962,0.88798934,"('lethargic', 'energetic')",0.23223773,0.6439822,0.99143696,0.8038352,0.6001236,0.7786022,-0.1784786
45,0.5751024,0.4413899,"('incompetent', 'competent')",0.9025675,1.0397233,0.006374021,-0.118903555,0.4946813,0.4540699,0.0406114
28,0.5634829,0.8891004,"('disloyal', 'loyal')",0.10767175,0.43276894,0.99006397,1.092634,0.5537395,0.8048344,-0.2510949
56,0.5626752,0.5079458,"('impractical', 'practical')",1.0059224,1.0860587,-0.035698712,-0.12457434,0.5109663,0.4898101,0.0211562
60,-0.54979336,0.33266443,"('inefficient', 'efficient')",1.4494493,2.1944525,0.2652677,0.17652455,0.3883079,0.9012139,-0.512906
24,0.53770316,0.922817,"('dishonest', 'honest')",0.5100141,0.91744596,0.9888234,0.9306292,0.6788469,0.9236307,-0.2447838
43,0.5126686,1.05145,"('irresponsible', 'responsible')",0.8370607,1.332626,0.85976225,0.89839065,0.7364972,1.0941556,-0.3576584
83,-0.5085024,-0.39750502,"('powerless', 'powerful')",-0.28697127,-0.49030578,-1.1405239,-1.2309002,-0.6453325,-0.706237,0.0609045
18,-0.49907947,0.04482936,"('disagreeable', 'welcoming')",-0.35499504,0.07288695,-0.4105019,-0.10059889,-0.4215255,0.0057058,-0.4272313
71,0.49330416,0.3622228,"('diffident', 'self-confident')",0.8128426,0.7241959,0.7754271,0.63511294,0.693858,0.5738439,0.1200141
16,-0.49055612,-0.36445045,"('unpopular', 'popular')",-1.0282869,-0.82727355,0.17214249,0.4137516,-0.4489002,-0.2593242,-0.189576
87,0.45660454,0.29761547,"('unsuccessful', 'successful')",0.25129676,0.22933485,0.19478439,0.29390123,0.3008952,0.2736172,0.027278
13,0.44802815,0.8910206,"('impolite', 'polite')",1.147187,1.567554,-0.52455586,-0.57436126,0.3568864,0.6280711,-0.2711847
78,-0.43662238,-0.11854364,"('nonresilient', 'resilient')",-0.15543315,0.12748237,-0.09870825,0.043537386,-0.2302546,0.017492,-0.2477466
50,0.40976936,0.808227,"('clumsy', 'skillful')",-0.5574525,-0.28398085,0.023698062,0.09235854,-0.0413284,0.2055349,-0.2468633
55,-0.4078435,0.21994384,"('incompetent', 'clever')",0.21775055,0.7616464,0.04923926,0.12803459,-0.0469512,0.369875,-0.4168262
25,-0.39882874,-0.19849792,"('egoistic', 'altruistic')",0.17271157,0.24654832,1.3799495,1.7627931,0.3846108,0.6036145,-0.2190037
52,0.38846445,0.320302,"('irrational', 'rational')",-0.2621113,-0.5663105,-0.33145124,-0.10517744,-0.068366,-0.117062,0.048696
72,-0.38799512,-0.34907496,"('unambitious', 'ambitious')",-0.1101308,-0.1653099,-0.099596456,-0.3220269,-0.1992408,-0.2788039,0.0795631
48,-0.37320596,0.10996209,"('unintelligent', 'intelligent')",-0.28644395,0.14196591,0.46453622,0.5982625,-0.0650379,0.2833968,-0.3484347
40,0.35999948,0.5480633,"('stingy', 'generous')",0.0268627,0.19224444,-1.8792273,-1.634277,-0.497455,-0.2979898,-0.1994652
61,-0.33557174,0.05525148,"('illogical', 'logical')",0.15874022,0.51745665,0.25022757,0.43890148,0.0244654,0.3372032,-0.3127378
