,halliburton_male,halliburton_female,tuple,company_male,company_female,average_male,average_female,male-female
10,-3.2929306,-3.0779493,"('unsympathetic', 'sympathetic')",1.0065798,0.9509927,-1.1431754,-1.0634782,-0.0796972
86,-3.0241632,-2.8610704,"('uninfluential', 'influential')",0.1259183,0.23645729,-1.4491224,-1.3123065,-0.1368159
69,2.94966,2.7193067,"('lazy', 'industrious')",-1.3102305,-1.3124638,0.8197148,0.7034215,0.1162933
35,2.5611653,2.7376473,"('corrupt', 'incorrupt')",-1.7414438,-1.5571957,0.4098608,0.5902258,-0.180365
46,-2.4694974,-2.4958541,"('uncompetitive', 'competitive')",0.83271074,0.93331313,-0.8183933,-0.7812705,-0.0371228
60,-2.2456315,-2.3941205,"('inefficient', 'efficient')",1.312697,1.2438337,-0.4664672,-0.5751434,0.1086762
57,-2.1528473,-1.6791768,"('unimaginative', 'imaginative')",-2.401817,-1.8735659,-2.2773323,-1.7763714,-0.5009609
55,-2.077036,-2.043717,"('incompetent', 'clever')",1.3930508,1.3524102,-0.3419926,-0.3456534,0.0036608
43,-1.992767,-1.9796019,"('irresponsible', 'responsible')",1.3082013,1.3510278,-0.3422828,-0.314287,-0.0279958
0,-1.9784931,-1.9186971,"('unsociable', 'sociable')",0.47532108,0.5233449,-0.751586,-0.6976761,-0.0539099
81,-1.9530785,-2.1728685,"('submissive', 'aggressive')",0.500993,0.41316372,-0.7260427,-0.8798524,0.1538097
48,-1.911874,-2.058208,"('unintelligent', 'intelligent')",0.9246336,0.73794216,-0.4936202,-0.6601329,0.1665127
11,-1.9111627,-2.054527,"('unhelpful', 'helpful')",2.578177,2.326269,0.3335071,0.1358709,0.1976362
62,-1.8863972,-1.8001518,"('incompetent', 'brilliant')",1.0507898,1.1320776,-0.4178037,-0.3340371,-0.0837666
70,-1.8109226,-1.7704923,"('lethargic', 'energetic')",0.7254721,0.7788908,-0.5427253,-0.4958008,-0.0469245
21,-1.7497841,-2.0985036,"('immoral', 'moral')",0.55050147,0.35715154,-0.5996413,-0.870676,0.2710347
23,-1.6684005,-1.6707113,"('insincere', 'sincere')",6.0366907,5.6967187,2.184145,2.0130038,0.1711412
85,1.6318735,1.7907399,"('insignificant', 'prestigious')",-1.0561103,-1.118909,0.2878816,0.3359154,-0.0480338
28,-1.5528919,-1.2967573,"('disloyal', 'loyal')",1.2569083,1.3436543,-0.1479918,0.0234485,-0.1714403
77,-1.5330592,-1.6465895,"('unmotivated', 'motivated')",-0.82048476,-0.73801374,-1.176772,-1.1923016,0.0155296
73,1.5223763,1.429039,"('helpless', 'self-reliant')",-3.1513584,-2.908359,-0.814491,-0.73966,-0.074831
45,-1.4983405,-1.0234025,"('incompetent', 'competent')",0.44696662,0.81496054,-0.5256869,-0.104221,-0.4214659
65,-1.4863572,-1.5947566,"('insecure', 'secure')",0.31417924,0.489722,-0.586089,-0.5525173,-0.0335717
24,-1.4463543,-1.3520772,"('dishonest', 'honest')",0.7706181,0.71982706,-0.3378681,-0.3161251,-0.021743
12,-1.3915101,-1.264544,"('unsupportive', 'supportive')",-1.1261394,-1.037272,-1.2588248,-1.150908,-0.1079168
76,-1.3877336,-1.5333989,"('anxious', 'daring')",0.22056305,0.18737772,-0.5835853,-0.6730106,0.0894253
