,sandisk_male,sandisk_female,tuple,corp_male,corp_female,average_male,average_female,male-female
57,-1.4683408,-1.4168503,"('unimaginative', 'imaginative')",-3.4874055,-3.4672525,-2.4778731,-2.4420514,-0.0358217
19,-1.4078329,-1.324551,"('inhospitable', 'hospitable')",-0.44259194,-0.3303492,-0.9252124,-0.8274501,-0.0977623
1,-1.3797323,-1.7225657,"('unfriendly', 'friendly')",1.1324126,0.9243987,-0.1236598,-0.3990835,0.2754237
86,-1.377498,-1.4846797,"('uninfluential', 'influential')",-0.7739571,-0.9474759,-1.0757276,-1.2160778,0.1403502
43,-1.3105152,-0.97831494,"('irresponsible', 'responsible')",0.025415685,-0.009063322,-0.6425498,-0.4936891,-0.1488607
32,-1.259473,-1.0068668,"('unkind', 'kind')",0.2600916,0.21566018,-0.4996907,-0.3956033,-0.1040874
69,1.1939806,0.8532165,"('lazy', 'industrious')",-0.37077466,-0.21634224,0.411603,0.3184372,0.0931658
6,-1.0926312,-1.2583224,"('distant', 'open')",-0.44541436,-0.5219118,-0.7690228,-0.890117,0.1210942
10,-1.0901536,-0.8576125,"('unsympathetic', 'sympathetic')",-0.72940516,-0.78170377,-0.9097794,-0.8196582,-0.0901212
13,-1.0760323,-0.63734347,"('impolite', 'polite')",-0.4255911,-0.5076929,-0.7508117,-0.5725182,-0.1782935
67,1.0347191,1.156694,"('doubtful', 'determined')",-0.35293365,-0.20555307,0.3408927,0.4755705,-0.1346778
8,-1.033578,-1.0490613,"('unaffectionate', 'affectionate')",0.4536808,0.3502533,-0.2899486,-0.349404,0.0594554
79,-1.031487,-1.2115821,"('wavering', 'unwavering')",-0.23303731,-0.45391107,-0.6322622,-0.8327466,0.2004844
53,-1.030542,-1.1650736,"('uncreative', 'creative')",0.3607422,0.079858065,-0.3348999,-0.5426078,0.2077079
72,-0.9833968,-0.5782601,"('unambitious', 'ambitious')",-0.71892273,-0.72095466,-0.8511598,-0.6496074,-0.2015524
31,-0.96782774,-1.1186783,"('evil', 'good')",-0.965298,-0.8799084,-0.9665629,-0.9992933,0.0327304
0,-0.9622347,-1.0193441,"('unsociable', 'sociable')",-0.4537378,-0.4920543,-0.7079862,-0.7556992,0.047713
33,0.9442287,0.8367989,"('wrong', 'right')",-0.48252055,-0.45336348,0.2308541,0.1917177,0.0391364
45,-0.92903286,-0.71486765,"('incompetent', 'competent')",-0.34007472,-0.23142795,-0.6345538,-0.4731478,-0.161406
9,-0.9242035,-1.0031977,"('unaffectionate', 'caring')",1.025721,0.8652322,0.0507587,-0.0689827,0.1197414
17,-0.89197624,-0.80125475,"('nasty', 'nice')",-0.76432943,-0.54823077,-0.8281528,-0.6747428,-0.15341
28,-0.89129764,-0.9444862,"('disloyal', 'loyal')",0.8285528,0.5734451,-0.0313724,-0.1855206,0.1541482
