,nyse_male,nyse_female,tuple,euronext_male,euronext_female,average_male,average_female,male-female
36,3.0137262,2.7988572,"('hostile', 'amicable')",1.8538593,1.6493611,2.4337928,2.2241092,0.2096836
69,2.5741928,2.4595258,"('lazy', 'industrious')",1.8722668,1.7723513,2.2232299,2.1159387,0.1072912
45,-2.5089166,-2.5458086,"('incompetent', 'competent')",-2.1265671,-1.9897678,-2.3177419,-2.2677882,-0.0499537
10,-2.3881326,-2.6295967,"('unsympathetic', 'sympathetic')",-2.628744,-2.5635667,-2.5084381,-2.5965817,0.0881436
28,-2.342027,-2.1132364,"('disloyal', 'loyal')",-1.3562468,-1.1575179,-1.8491368,-1.6353772,-0.2137596
55,-2.2302234,-2.2499833,"('incompetent', 'clever')",-1.8479356,-1.7791657,-2.0390794,-2.0145745,-0.0245049
66,2.1442196,2.1042416,"('inactive', 'active')",1.6927214,1.5551242,1.9184705,1.8296828,0.0887877
30,-2.1109138,-1.9556558,"('intolerant', 'tolerant')",-1.6270998,-1.6448258,-1.8690068,-1.8002408,-0.068766
48,-2.0925279,-2.0606663,"('unintelligent', 'intelligent')",-1.7553523,-1.6802312,-1.9239401,-1.8704488,-0.0534913
24,-1.9597491,-1.7445368,"('dishonest', 'honest')",-1.0318068,-0.8107258,-1.495778,-1.2776313,-0.2181467
11,-1.8744556,-1.8745124,"('unhelpful', 'helpful')",-0.74604636,-0.71421856,-1.310251,-1.2943655,-0.0158855
6,1.8059812,2.2706084,"('distant', 'open')",1.3962203,1.7002121,1.6011007,1.9854102,-0.3843095
62,-1.7532697,-1.8987048,"('incompetent', 'brilliant')",-1.0551565,-0.9742309,-1.4042131,-1.4364679,0.0322548
23,-1.7493967,-1.875472,"('insincere', 'sincere')",0.1308788,0.054064333,-0.8092589,-0.9107038,0.1014449
37,-1.7214344,-1.6713302,"('fake', 'genuine')",-0.8736959,-0.92044693,-1.2975651,-1.2958885,-0.0016766
86,-1.6615463,-1.883052,"('uninfluential', 'influential')",-2.1260636,-2.0243149,-1.893805,-1.9536834,0.0598784
70,-1.6580452,-1.6114208,"('lethargic', 'energetic')",-0.8683708,-0.84836787,-1.2632079,-1.2298943,-0.0333136
81,-1.6215842,-1.9500782,"('submissive', 'aggressive')",-1.5004314,-1.5545292,-1.5610077,-1.7523037,0.191296
5,1.617833,1.9993595,"('distant', 'outgoing')",0.9757617,1.2071362,1.2967974,1.6032479,-0.3064505
2,1.5493641,1.4367825,"('unlikable', 'likable')",0.8429542,0.8264819,1.1961591,1.1316322,0.0645269
38,-1.5386493,-1.1319252,"('untruthful', 'truthful')",-0.7942544,-0.51901484,-1.1664519,-0.82547,-0.3409819
88,-1.5067171,-1.4598088,"('low', 'eminent')",-1.0759218,-0.991544,-1.2913194,-1.2256764,-0.065643
60,-1.501334,-1.5393089,"('inefficient', 'efficient')",-1.6449564,-1.5412377,-1.5731452,-1.5402733,-0.0328719
13,-1.4738406,-1.5694566,"('impolite', 'polite')",-1.3887076,-1.2994905,-1.4312742,-1.4344735,0.0031993
40,1.4460504,1.4204527,"('stingy', 'generous')",0.24257714,0.3216135,0.8443137,0.8710331,-0.0267194
43,-1.3878651,-1.3086956,"('irresponsible', 'responsible')",-1.3249378,-1.2438364,-1.3564014,-1.276266,-0.0801354
