,marriott_male,marriott_female,tuple,international_male,international_female,inc_male,inc_female,average_male,average_female,male-female
26,3.098689,2.8994558,"('hardhearted', 'benevolent')",1.5033216,1.3676617,1.437794,1.2683235,2.0132682,1.845147,0.1681212
81,-3.082007,-2.9523098,"('submissive', 'aggressive')",0.088879116,0.123692825,-0.2938957,-0.29044223,-1.0956745,-1.0396864,-0.0559881
1,2.833729,2.7863376,"('unfriendly', 'friendly')",0.46187744,0.46926397,1.5834812,1.5762681,1.6263625,1.6106232,0.0157393
85,2.7954853,2.9284616,"('insignificant', 'prestigious')",0.3048972,0.61818695,-0.06488682,0.10879966,1.0118318,1.2184827,-0.2066509
71,2.6432066,2.7359858,"('diffident', 'self-confident')",1.1181868,1.3254215,0.7481129,0.73269916,1.5031687,1.5980355,-0.0948668
80,-2.5689013,-2.5559037,"('dominated', 'dominating')",0.037231486,-0.10876119,-0.79979336,-0.86738837,-1.1104878,-1.177351,0.0668632
44,-2.4094446,-2.219326,"('prejudiced', 'unprejudiced')",0.07622924,0.10168237,-1.4302559,-1.2944301,-1.2544904,-1.1373579,-0.1171325
36,2.3107054,2.158832,"('hostile', 'amicable')",1.0383596,1.0300858,0.005711712,-0.0052798726,1.118259,1.0612127,0.0570463
45,-2.2880177,-2.0776987,"('incompetent', 'competent')",-0.5964568,-0.4835062,-0.40816492,-0.3986989,-1.0975465,-0.9866346,-0.1109119
62,-2.230688,-1.8489727,"('incompetent', 'brilliant')",0.17926435,0.355313,0.13540074,0.26372394,-0.6386743,-0.4099786,-0.2286957
21,-2.1590173,-1.9983202,"('immoral', 'moral')",-0.20891657,-0.20709555,-1.0051049,-0.8874905,-1.1243463,-1.0309687,-0.0933776
77,-2.1353738,-2.0330825,"('unmotivated', 'motivated')",-0.65314585,-0.6925789,-1.0268865,-1.0668001,-1.271802,-1.2641538,-0.0076482
60,-2.117329,-1.9375861,"('inefficient', 'efficient')",-0.23225082,-0.27506006,0.07778631,0.16817977,-0.7572645,-0.6814888,-0.0757757
6,2.0951936,2.0302799,"('distant', 'open')",0.09032109,0.20328286,0.35334283,0.37825117,0.8462858,0.8706046,-0.0243188
3,-2.0707607,-1.8820726,"('repellent', 'pleasant')",-0.711898,-0.63559127,0.05745664,0.11174296,-0.9084007,-0.8019737,-0.106427
55,-2.0361667,-1.881265,"('incompetent', 'clever')",-0.8993222,-0.88035476,-0.034753107,0.04012593,-0.9900807,-0.9071647,-0.082916
59,2.0105872,2.0312533,"('foolish', 'wise')",0.6431744,0.71680975,0.39835572,0.4709786,1.0173724,1.0730139,-0.0556415
64,-1.9936322,-1.9992415,"('shy', 'confident')",0.62000144,0.5218601,-5.2612824,-5.473057,-2.2116378,-2.3168127,0.1051749
5,1.9699858,1.810037,"('distant', 'outgoing')",0.20671064,0.23400931,-0.2954339,-0.29254818,0.6270876,0.5838327,0.0432549
46,-1.9318857,-1.8087878,"('uncompetitive', 'competitive')",0.25076395,0.34807152,0.2912951,0.26329148,-0.4632756,-0.3991416,-0.064134
69,1.8905928,1.912922,"('lazy', 'industrious')",2.1116302,2.1529143,-0.47340435,-0.42882872,1.1762729,1.2123359,-0.036063
11,-1.7649579,-1.6499598,"('unhelpful', 'helpful')",-0.12896594,-0.05703977,2.0617423,2.0609841,0.0559395,0.1179949,-0.0620554
70,-1.713449,-1.640128,"('lethargic', 'energetic')",-0.31420034,-0.2486332,0.907212,0.844589,-0.3734791,-0.3480574,-0.0254217
10,-1.6668304,-1.597488,"('unsympathetic', 'sympathetic')",-1.168676,-1.0843074,0.1987024,0.110020846,-0.8789347,-0.8572582,-0.0216765
33,1.609478,1.3105785,"('wrong', 'right')",1.1990019,0.8920814,-0.46212077,-0.5760703,0.7821197,0.5421965,0.2399232
22,-1.5266476,-1.5414689,"('untrustworthy', 'trustworthy')",-0.2706845,-0.4432674,-0.9706891,-1.1100585,-0.9226737,-1.0315983,0.1089246
84,1.4860923,1.3663126,"('inferior', 'superior')",0.914469,0.76887184,0.93456465,0.9616078,1.1117086,1.0322641,0.0794445
57,-1.4762427,-1.6205345,"('unimaginative', 'imaginative')",-0.44715214,-0.41544098,-2.0836332,-2.3140607,-1.335676,-1.450012,0.114336
75,-1.4439309,-1.437571,"('meek', 'impulsive')",-0.13369992,-0.055356592,-0.6194706,-0.6959489,-0.7323671,-0.7296255,-0.0027416
53,1.4383702,1.4535166,"('uncreative', 'creative')",-0.07557471,0.16786805,1.176035,1.2780113,0.8462768,0.9664653,-0.1201885
18,1.431375,1.5777166,"('disagreeable', 'welcoming')",1.3269691,1.4564186,-0.21961565,-0.15288937,0.8462428,0.9604154,-0.1141726
52,1.4056402,1.4650046,"('irrational', 'rational')",-0.27698484,-0.37003082,-0.2694636,-0.31239,0.2863973,0.2608613,0.025536
