,moodys_male,moodys_female,tuple,corp_male,corp_female,average_male,average_female,male-female
56,1.533195,1.3969947,"('impractical', 'practical')",-0.05021218,-0.07324098,0.7414914,0.6618769,0.0796145
26,1.4557993,2.0018897,"('hardhearted', 'benevolent')",1.8310149,2.162978,1.6434071,2.0824337,-0.4390266
39,1.4002676,1.4531252,"('exploitative', 'cooperative')",0.45766908,0.54287004,0.9289683,0.9979976,-0.0690293
44,-1.217271,-1.4587582,"('prejudiced', 'unprejudiced')",-1.4616314,-1.6075351,-1.3394512,-1.5331466,0.1936954
88,-1.1337131,-1.049305,"('low', 'eminent')",-0.466319,-0.44603744,-0.800016,-0.7476712,-0.0523448
16,-1.1259463,-1.0826774,"('unpopular', 'popular')",0.23383819,0.3746589,-0.446054,-0.3540092,-0.0920448
2,1.0693629,1.3014588,"('unlikable', 'likable')",0.30807042,0.56486607,0.6887167,0.9331625,-0.2444458
82,-1.0468127,-1.0837606,"('poor', 'rich')",6.5218606,6.2207265,2.737524,2.5684829,0.1690411
29,-0.99239874,-1.0556616,"('unfair', 'fair')",-0.65702933,-0.74535894,-0.8247141,-0.9005103,0.0757962
31,-0.95607466,-0.7842953,"('evil', 'good')",-1.3007563,-1.1982204,-1.1284155,-0.9912578,-0.1371577
41,0.93970275,1.289027,"('unforgiving', 'forgiving')",-0.2045162,0.069653735,0.3675933,0.6793404,-0.3117471
12,0.91826636,0.8127303,"('unsupportive', 'supportive')",-2.0883412,-2.1048598,-0.5850375,-0.6460648,0.0610273
14,0.87350756,1.1360859,"('antisocial', 'social')",-0.15167348,0.18482192,0.360917,0.6604539,-0.2995369
57,-0.8409666,-0.6564249,"('unimaginative', 'imaginative')",-3.2227614,-2.9028172,-2.0318639,-1.7796211,-0.2522428
45,-0.81716573,-0.91581076,"('incompetent', 'competent')",0.09161295,0.06227863,-0.3627764,-0.4267661,0.0639897
63,0.8055322,0.70839,"('unperceptive', 'insightful')",0.83219296,0.6376317,0.8188626,0.6730108,0.1458518
77,0.7924062,0.8910826,"('unmotivated', 'motivated')",-0.84239346,-0.72144794,-0.0249936,0.0848173,-0.1098109
36,-0.7894671,-0.29237056,"('hostile', 'amicable')",-0.71039313,-0.603528,-0.7499301,-0.4479493,-0.3019808
68,-0.7886777,-1.0099258,"('dependent', 'independent')",-0.8848038,-0.9962347,-0.8367407,-1.0030802,0.1663395
81,0.7556158,0.5305161,"('submissive', 'aggressive')",-0.26737076,-0.11392222,0.2441225,0.2082969,0.0358256
75,-0.7420079,-0.9907796,"('meek', 'impulsive')",-0.76552606,-0.7328946,-0.753767,-0.8618371,0.1080701
60,0.7249544,0.6937752,"('inefficient', 'efficient')",0.5262322,0.50456595,0.6255933,0.5991706,0.0264227
30,0.71366924,0.7615065,"('intolerant', 'tolerant')",0.7257045,0.86696684,0.7196869,0.8142366,-0.0945497
33,0.70927703,0.579578,"('wrong', 'right')",-0.6837498,-0.8519321,0.0127636,-0.1361771,0.1489407
23,0.6940111,0.7536926,"('insincere', 'sincere')",6.4791894,6.228893,3.5866003,3.4912927,0.0953076
53,-0.69183373,-0.29772592,"('uncreative', 'creative')",0.24166341,0.31169826,-0.2250852,0.0069862,-0.2320714
74,0.6633679,0.7513901,"('undedicated', 'dedicated')",-0.484077,-0.2252684,0.0896455,0.2630609,-0.1734154
4,-0.6608445,-0.6966219,"('disliked', 'liked')",-7.2692065,-6.8187604,-3.9650254,-3.7576911,-0.2073343
73,0.6462846,0.5167343,"('helpless', 'self-reliant')",-3.5216005,-3.5844069,-1.437658,-1.5338362,0.0961782
9,0.6395106,0.7278313,"('unaffectionate', 'caring')",1.4397485,1.1199894,1.0396296,0.9239104,0.1157192
48,-0.5909544,-0.64235413,"('unintelligent', 'intelligent')",0.9498274,0.9494272,0.1794365,0.1535365,0.0259
52,-0.58176947,-0.29651105,"('irrational', 'rational')",-0.30994892,-0.35154614,-0.4458592,-0.3240286,-0.1218306
80,0.57154024,0.36531648,"('dominated', 'dominating')",-0.40936524,-0.3880512,0.0810875,-0.0113674,0.0924549
43,0.54315555,0.568776,"('irresponsible', 'responsible')",0.45204383,0.4284413,0.4975997,0.4986086,-0.0010089
15,-0.53984314,-0.41750556,"('boring', 'funny')",-0.32195392,-0.13158756,-0.4308985,-0.2745466,-0.1563519
42,0.48380458,0.44911414,"('unreliable', 'reliable')",-3.2447932,-3.1085997,-1.3804944,-1.3297428,-0.0507516
20,0.47708517,0.6098586,"('rough', 'thoughtful')",0.8534891,0.9538822,0.6652871,0.7818704,-0.1165833
35,-0.47530574,-0.37409553,"('corrupt', 'incorrupt')",-0.9263056,-0.79257286,-0.7008057,-0.5833342,-0.1174715
83,0.4639049,0.78006697,"('powerless', 'powerful')",-0.8701146,-0.63217944,-0.2031049,0.0739438,-0.2770487
6,-0.4634119,-0.26307428,"('distant', 'open')",-0.69390833,-0.8738649,-0.5786601,-0.5684696,-0.0101905
51,-0.44929004,-0.4867239,"('uneducated', 'educated')",0.39944386,0.4563634,-0.0249231,-0.0151802,-0.0097429
18,-0.4453615,-0.26878476,"('disagreeable', 'welcoming')",-0.853019,-0.806459,-0.6491902,-0.5376219,-0.1115683
61,0.44433126,0.6143871,"('illogical', 'logical')",0.68397677,0.7052234,0.564154,0.6598052,-0.0956512
10,-0.4374475,-0.30138826,"('unsympathetic', 'sympathetic')",-0.08538474,-0.035431378,-0.2614161,-0.1684098,-0.0930063
78,0.409234,0.41449013,"('nonresilient', 'resilient')",0.021953449,0.022985034,0.2155937,0.2187376,-0.0031439
22,-0.38510638,-0.5095073,"('untrustworthy', 'trustworthy')",-1.2351166,-1.321889,-0.8101115,-0.9156982,0.1055867
76,-0.37008813,-0.45767975,"('anxious', 'daring')",-0.30614334,-0.33700275,-0.3381158,-0.3973413,0.0592255
40,0.36799082,0.44463181,"('stingy', 'generous')",-1.9946444,-1.7831061,-0.8133268,-0.6692371,-0.1440897
71,0.3677585,0.3785398,"('diffident', 'self-confident')",0.5270275,0.3087451,0.447393,0.3436424,0.1037506
79,-0.3633223,-0.2924825,"('wavering', 'unwavering')",-0.6588546,-0.8460638,-0.5110884,-0.5692731,0.0581847
50,-0.35276845,-0.40068543,"('clumsy', 'skillful')",-0.041501723,-0.16554633,-0.1971351,-0.2831159,0.0859808
7,0.34886163,0.3356099,"('insensitive', 'sensitive')",0.51388997,0.49623656,0.4313758,0.4159232,0.0154526
54,0.34206975,0.40538716,"('incapable', 'capable')",0.7797423,0.69083023,0.5609061,0.5481087,0.0127974
86,-0.33467975,-0.16636266,"('uninfluential', 'influential')",-0.17026207,-0.17526397,-0.2524709,-0.1708133,-0.0816576
8,-0.3330696,-0.14609988,"('unaffectionate', 'affectionate')",0.5586944,0.21448469,0.1128124,0.0341924,0.07862
28,-0.31646943,-0.094352186,"('disloyal', 'loyal')",1.202851,1.2923332,0.4431908,0.5989906,-0.1557998
67,0.30795872,0.29271165,"('doubtful', 'determined')",-0.48564383,-0.42496958,-0.0888426,-0.066129,-0.0227136
69,0.30090344,0.26145148,"('lazy', 'industrious')",-1.0671861,-1.0240147,-0.3831413,-0.3812816,-0.0018597
62,0.29565686,-0.03859477,"('incompetent', 'brilliant')",1.1290091,0.88351697,0.712333,0.4224611,0.2898719
38,0.28286225,0.2566178,"('untruthful', 'truthful')",0.11473327,0.008034989,0.1987978,0.1323264,0.0664714
32,0.27681336,0.48578364,"('unkind', 'kind')",1.0110371,1.0115476,0.6439252,0.7486656,-0.1047404
24,-0.27046055,-0.2620257,"('dishonest', 'honest')",0.7406581,0.63157165,0.2350988,0.184773,0.0503258
72,0.26410282,0.033758704,"('unambitious', 'ambitious')",-0.22192949,-0.4909964,0.0210867,-0.2286188,0.2497055
21,0.25749943,0.31560323,"('immoral', 'moral')",-0.5587155,-0.42028025,-0.150608,-0.0523385,-0.0982695
25,0.23594077,0.46174404,"('egoistic', 'altruistic')",0.80028105,1.0617695,0.5181109,0.7617568,-0.2436459
49,-0.23461744,-0.38268286,"('unable', 'able')",-0.058625177,-0.22167975,-0.1466213,-0.3021813,0.15556
46,0.21368596,0.16267686,"('uncompetitive', 'competitive')",-0.76957965,-0.5489191,-0.2779468,-0.1931211,-0.0848257
37,-0.19234434,-0.36499044,"('fake', 'genuine')",-0.038329337,-0.2724325,-0.1153368,-0.3187115,0.2033747
87,0.1893589,0.034247745,"('unsuccessful', 'successful')",0.9880272,0.9881221,0.5886931,0.5111849,0.0775082
19,-0.18589148,-0.18170689,"('inhospitable', 'hospitable')",-0.8180571,-0.879095,-0.5019743,-0.5304009,0.0284266
13,0.17543885,0.087101094,"('impolite', 'polite')",-0.4136221,-0.48655975,-0.1190916,-0.1997293,0.0806377
3,-0.17406912,-0.12739447,"('repellent', 'pleasant')",0.9934451,1.2063636,0.409688,0.5394846,-0.1297966
47,0.15292734,0.19258113,"('stupid', 'smart')",5.54512,5.083704,2.8490236,2.6381426,0.210881
85,0.14782038,0.4616164,"('insignificant', 'prestigious')",-0.4212214,-0.28175497,-0.1367005,0.0899307,-0.2266312
11,-0.12641291,-0.3937137,"('unhelpful', 'helpful')",2.4514492,2.2906141,1.1625181,0.9484502,0.2140679
