,walgreens_male,walgreens_female,tuple,boots_male,boots_female,alliance_male,alliance_female,inc_male,inc_female,average_male,average_female,male-female
10,-2.511893,-2.5387852,"('unsympathetic', 'sympathetic')",-0.20455617,-0.24796912,1.4518124,1.2856563,0.43763733,0.34449258,-0.2067499,-0.2891514,0.0824015
81,-2.0727174,-1.9039948,"('submissive', 'aggressive')",-0.024648301,0.04988376,1.6616222,1.5621048,-0.88655186,-1.0281639,-0.3305738,-0.3300425,-0.0005313
57,-2.0505412,-2.1042168,"('unimaginative', 'imaginative')",-1.1717728,-1.0931282,-0.41214156,-0.5337975,-2.5054975,-2.6865482,-1.5349882,-1.6044227,0.0694345
69,1.9610586,2.050984,"('lazy', 'industrious')",-0.034604456,0.20777604,-0.26100022,-0.1829377,-1.2035424,-1.13981,0.1154779,0.2340031,-0.1185252
48,-1.9382713,-2.027135,"('unintelligent', 'intelligent')",-0.43013084,-0.66850924,0.5711372,0.38319784,0.6582354,0.5434114,-0.2847574,-0.4422587,0.1575013
86,-1.7272525,-1.7708623,"('uninfluential', 'influential')",0.37075728,0.406967,0.69191796,0.5142016,0.12385982,0.04769385,-0.1351793,-0.2005,0.0653207
24,-1.6038818,-1.2940269,"('dishonest', 'honest')",0.6334752,0.85651875,2.106144,2.1653507,1.3858402,1.5040016,0.6303943,0.807961,-0.1775667
41,-1.5041883,-1.1955029,"('unforgiving', 'forgiving')",-0.037526064,0.19938989,0.12076291,0.22300807,-0.0970148,0.0537815,-0.3794915,-0.1798308,-0.1996607
85,1.4717554,1.4526553,"('insignificant', 'prestigious')",-0.18733363,-0.024694258,-2.5418572,-2.2932217,-0.0037151538,0.110539354,-0.3152876,-0.1886803,-0.1266073
87,1.4440305,1.2132134,"('unsuccessful', 'successful')",0.6920908,0.44494152,0.55572236,0.46118054,0.4952735,0.35621732,0.7967793,0.6188882,0.1778911
21,-1.4379164,-1.4795187,"('immoral', 'moral')",0.108256854,0.08305186,1.8128736,1.6058753,-0.6055145,-0.68638164,-0.0305751,-0.1192433,0.0886682
50,1.4161121,1.3279026,"('clumsy', 'skillful')",-0.1990086,-0.4189496,0.027646469,-0.047753252,0.64877194,0.64074886,0.4733804,0.3754871,0.0978933
3,-1.3944805,-1.4693178,"('repellent', 'pleasant')",-1.4730501,-1.4499687,0.46814337,0.3953425,0.1775644,0.09997646,-0.5554557,-0.6059918,0.0505361
72,-1.3731502,-1.2386903,"('unambitious', 'ambitious')",-0.7816845,-0.69948304,-0.004532665,0.12915874,-0.72597694,-0.5395958,-0.7213361,-0.5871526,-0.1341835
70,-1.3692447,-1.4834094,"('lethargic', 'energetic')",0.16097903,-0.051005732,2.3399498,2.2463872,0.9658489,0.84850824,0.5243833,0.3901201,0.1342632
55,-1.3445463,-1.4397687,"('incompetent', 'clever')",0.30820048,0.096676864,1.805931,1.5857084,0.31584942,0.26258022,0.2713586,0.1262992,0.1450594
65,-1.3319191,-1.2487903,"('insecure', 'secure')",-0.43581268,-0.5785945,1.8309488,1.640294,-0.12171181,-0.20022601,-0.0146237,-0.0968292,0.0822055
30,-1.3312951,-1.057892,"('intolerant', 'tolerant')",0.3970072,0.5903127,0.82575303,0.7892684,0.8929551,0.96508944,0.1961051,0.3216946,-0.1255895
68,-1.2574587,-1.1366861,"('dependent', 'independent')",-1.5685763,-1.6443614,0.40607134,0.32356933,-0.41668892,-0.3818698,-0.7091631,-0.709837,0.0006739
77,-1.174262,-1.3637488,"('unmotivated', 'motivated')",-1.0197997,-1.2204795,0.33488733,0.08449204,-1.32359,-1.4575583,-0.7956911,-0.9893236,0.1936325
14,-1.0856489,-1.004859,"('antisocial', 'social')",0.80414104,0.96393096,1.707733,1.7572949,-0.6931822,-0.6953995,0.1832608,0.2552418,-0.071981
73,1.0757912,1.0897481,"('helpless', 'self-reliant')",0.35103062,0.40311706,-0.6895166,-0.807241,-3.2868757,-3.3923936,-0.6373926,-0.6766924,0.0392998
43,-1.0670297,-1.0255673,"('irresponsible', 'responsible')",1.0367097,0.9403382,1.3809022,1.2794194,1.4305844,1.4132845,0.6952916,0.6518687,0.0434229
22,-1.0641804,-0.93075293,"('untrustworthy', 'trustworthy')",-0.689368,-0.5791756,1.9394937,1.929344,-0.9903494,-0.751577,-0.201101,-0.0830404,-0.1180606
88,-1.0440578,-1.0024911,"('low', 'eminent')",0.022711694,0.0028864779,0.2040304,0.43378615,0.7920589,0.8633192,-0.0063142,0.0743752,-0.0806894
23,-1.0404342,-1.1248447,"('insincere', 'sincere')",0.7048661,0.36786878,1.3592205,1.3418232,6.538269,6.365837,1.8904803,1.7376711,0.1528092
58,-0.9986246,-1.0148273,"('undiscriminating', 'discriminating')",-0.8391695,-0.7601719,0.07890001,0.016615126,0.40056178,0.3423242,-0.3395831,-0.3540149,0.0144318
71,0.9889024,0.89112693,"('diffident', 'self-confident')",2.153997,2.192259,1.127402,1.1276561,0.40185672,0.37937212,1.1680396,1.1476035,0.0204361
45,-0.9773977,-1.1161265,"('incompetent', 'competent')",0.70347613,0.34417182,1.5048461,1.3283751,-0.15575406,-0.13235745,0.2687926,0.1060157,0.1627769
18,-0.9741257,-0.7575574,"('disagreeable', 'welcoming')",-1.4590067,-1.2567173,-0.57625234,-0.57501245,-0.2142792,-0.12425676,-0.805916,-0.678386,-0.12753
35,0.8870965,1.1678599,"('corrupt', 'incorrupt')",-0.7754535,-0.4065779,-1.5497385,-1.4624358,-0.28300035,-0.15680401,-0.430274,-0.2144895,-0.2157845
28,-0.8714615,-0.9822364,"('disloyal', 'loyal')",1.2437588,1.0695752,1.218945,1.018351,1.5966849,1.3309482,0.7969818,0.6091595,0.1878223
0,-0.8646586,-0.8079595,"('unsociable', 'sociable')",0.76291114,0.82629704,1.8513429,1.8118562,-0.27249262,-0.2579618,0.3692757,0.393058,-0.0237823
27,-0.85804915,-0.96766454,"('hardhearted', 'softhearted')",-0.08983765,-0.13760206,1.0288832,0.8688539,1.5962778,1.5728679,0.4193186,0.3341138,0.0852048
13,-0.8556928,-0.6530428,"('impolite', 'polite')",0.64669335,0.5522258,1.576722,1.5637485,0.16215762,0.1256633,0.38247,0.3971487,-0.0146787
4,0.8315884,0.7408056,"('disliked', 'liked')",0.04494156,0.14396344,-1.0229067,-0.9930276,-6.1963015,-6.26675,-1.5856695,-1.5937521,0.0080826
59,0.83109164,1.028258,"('foolish', 'wise')",-0.060861856,0.031878643,-0.83713186,-0.69442415,0.21635047,0.25470713,0.0373621,0.1551049,-0.1177428
16,0.8014731,0.75737125,"('unpopular', 'popular')",-1.0266849,-1.0126687,-2.0240822,-1.8197302,-0.024586592,-0.052986722,-0.5684702,-0.5320036,-0.0364666
53,-0.8004024,-0.9026933,"('uncreative', 'creative')",-0.2281132,-0.282756,-1.489947,-1.6159407,1.2692537,1.0940107,-0.3123022,-0.4268448,0.1145426
36,0.7744742,0.98791975,"('hostile', 'amicable')",-0.3560423,0.041704655,-1.3960323,-1.0916451,-0.5461667,-0.30320674,-0.3809418,-0.0913069,-0.2896349
7,-0.7741563,-0.84796846,"('insensitive', 'sensitive')",0.41464257,0.30114812,1.6236315,1.5321031,1.0668782,0.88286716,0.582749,0.4670375,0.1157115
1,-0.7740358,-0.7254017,"('unfriendly', 'friendly')",1.1363007,1.1407923,0.010571249,-0.0051308945,2.2169178,2.1486468,0.6474385,0.6397266,0.0077119
63,-0.744589,-0.8559041,"('unperceptive', 'insightful')",0.72935045,0.42271763,1.5788233,1.5478357,1.4641851,1.3313692,0.7569425,0.6115046,0.1454379
64,-0.7261156,-0.44579676,"('shy', 'confident')",-1.195152,-0.84685,0.8590942,0.8839227,-6.549127,-6.46216,-1.9028251,-1.717721,-0.1851041
