,embarq_male,embarq_female,tuple,corp_male,corp_female,average_male,average_female,male-female
1,-1.8262144,-1.8175452,"('unfriendly', 'friendly')",1.2470063,1.2474964,-0.2896041,-0.2850244,-0.0045797
53,-1.6851733,-1.6958302,"('uncreative', 'creative')",0.20339654,0.2525378,-0.7408884,-0.7216462,-0.0192422
19,-1.5575689,-1.5908686,"('inhospitable', 'hospitable')",-0.3399899,-0.5962765,-0.9487794,-1.0935726,0.1447932
57,-1.2493742,-1.4681567,"('unimaginative', 'imaginative')",-2.8194516,-2.892635,-2.0344129,-2.1803958,0.1459829
28,-1.1807249,-1.1607333,"('disloyal', 'loyal')",0.819841,0.9287823,-0.1804419,-0.1159755,-0.0644664
23,-1.1198305,-1.2637444,"('insincere', 'sincere')",5.219363,5.5917687,2.0497663,2.1640122,-0.1142459
86,-1.1123905,-1.6407505,"('uninfluential', 'influential')",-0.0069711134,-0.36461177,-0.5596808,-1.0026811,0.4430003
38,-1.0597116,-0.8600987,"('untruthful', 'truthful')",-0.67286783,-0.42649567,-0.8662897,-0.6432972,-0.2229925
10,-1.0278888,-1.4581745,"('unsympathetic', 'sympathetic')",-0.51422733,-0.5103927,-0.7710581,-0.9842836,0.2132255
8,-1.0274905,-0.89299244,"('unaffectionate', 'affectionate')",0.78928506,0.7353537,-0.1191027,-0.0788194,-0.0402833
31,-1.020589,-1.0668299,"('evil', 'good')",-0.701312,-0.90622836,-0.8609505,-0.9865291,0.1255786
0,-1.0107589,-1.1941996,"('unsociable', 'sociable')",-0.20960203,-0.26937932,-0.6101804,-0.7317895,0.1216091
69,0.95228547,1.0411196,"('lazy', 'industrious')",-0.45365804,-0.40579677,0.2493137,0.3176614,-0.0683477
9,-0.9297349,-0.8129062,"('unaffectionate', 'caring')",1.1544163,1.2319626,0.1123407,0.2095282,-0.0971875
32,-0.9291,-0.9292706,"('unkind', 'kind')",0.69775134,0.8116607,-0.1156743,-0.058805,-0.0568693
82,-0.89659154,-0.7718443,"('poor', 'rich')",5.9153733,6.4230113,2.5093908,2.8255835,-0.3161927
2,0.8596721,0.96281826,"('unlikable', 'likable')",0.65835327,0.72799104,0.7590127,0.8454046,-0.0863919
41,-0.8171682,-0.8642771,"('unforgiving', 'forgiving')",-0.17910974,-0.264113,-0.498139,-0.564195,0.066056
84,0.76591855,0.62476325,"('inferior', 'superior')",0.8072055,0.8429007,0.786562,0.733832,0.05273
80,0.76590884,0.5551044,"('dominated', 'dominating')",-0.76745385,-0.7791166,-0.0007725,-0.1120061,0.1112336
73,0.72665083,0.9504248,"('helpless', 'self-reliant')",-3.102954,-2.9976835,-1.1881516,-1.0236294,-0.1645222
44,0.72290367,0.92751586,"('prejudiced', 'unprejudiced')",-1.4593633,-1.3644993,-0.3682298,-0.2184917,-0.1497381
11,-0.7107507,-0.7266009,"('unhelpful', 'helpful')",1.1625619,1.3209873,0.2259056,0.2971932,-0.0712876
72,-0.70758665,-0.6424626,"('unambitious', 'ambitious')",-0.76510894,-0.32328016,-0.7363478,-0.4828714,-0.2534764
30,0.70634466,0.55942947,"('intolerant', 'tolerant')",0.6653887,0.7401913,0.6858667,0.6498104,0.0360563
5,-0.6777881,-0.6012945,"('distant', 'outgoing')",-0.651464,-0.62853485,-0.664626,-0.6149147,-0.0497113
45,-0.6745681,-0.7261815,"('incompetent', 'competent')",-0.08101089,-0.024371533,-0.3777895,-0.3752765,-0.002513
79,-0.6558927,-0.61222583,"('wavering', 'unwavering')",-0.40252152,-0.5405069,-0.5292071,-0.5763664,0.0471593
6,-0.6347231,-0.6118994,"('distant', 'open')",-0.4216765,-0.4914916,-0.5281998,-0.5516955,0.0234957
13,-0.62900597,-0.66194695,"('impolite', 'polite')",-1.1347544,-0.93311775,-0.8818802,-0.7975323,-0.0843479
24,-0.6232072,-0.7441837,"('dishonest', 'honest')",0.24369887,0.32349765,-0.1897542,-0.210343,0.0205888
76,0.6219613,0.72003436,"('anxious', 'daring')",-0.39023468,-0.3008036,0.1158633,0.2096154,-0.0937521
43,-0.6168109,-0.70896566,"('irresponsible', 'responsible')",0.12429309,0.24256395,-0.2462589,-0.2332008,-0.0130581
63,-0.61261904,-0.7441318,"('unperceptive', 'insightful')",0.7305383,0.6976508,0.0589596,-0.0232405,0.0822001
87,0.60525775,0.6835125,"('unsuccessful', 'successful')",1.2773354,1.3342661,0.9412966,1.0088893,-0.0675927
48,-0.6038553,-0.6143811,"('unintelligent', 'intelligent')",0.48555037,0.60942113,-0.0591525,-0.00248,-0.0566725
62,0.5635049,0.681297,"('incompetent', 'brilliant')",0.17834851,0.49558118,0.3709267,0.5884391,-0.2175124
37,-0.56149906,-0.64354163,"('fake', 'genuine')",0.074846014,0.03429161,-0.2433265,-0.304625,0.0612985
12,-0.5497002,-0.6738349,"('unsupportive', 'supportive')",-1.9852369,-2.0468006,-1.2674686,-1.3603177,0.0928491
4,-0.54794323,-0.39850277,"('disliked', 'liked')",-6.6092753,-6.8666353,-3.5786092,-3.6325691,0.0539599
16,-0.537832,-0.33045587,"('unpopular', 'popular')",0.1734903,0.20243368,-0.1821709,-0.0640111,-0.1181598
54,-0.51164615,-0.57522154,"('incapable', 'capable')",0.77276886,0.85288954,0.1305614,0.138834,-0.0082726
18,-0.49919796,-0.60032713,"('disagreeable', 'welcoming')",-0.6475903,-0.8467308,-0.5733941,-0.723529,0.1501349
51,-0.49090958,-0.8484865,"('uneducated', 'educated')",0.6397848,0.36517835,0.0744376,-0.2416541,0.3160917
27,-0.48191223,-0.8176072,"('hardhearted', 'softhearted')",1.2732013,0.85745806,0.3956445,0.0199254,0.3757191
56,-0.48128396,-0.45652792,"('impractical', 'practical')",-1.1852449,-0.9019909,-0.8332645,-0.6792594,-0.1540051
36,-0.4572929,-0.4009252,"('hostile', 'amicable')",-0.014794711,-0.20467746,-0.2360438,-0.3028013,0.0667575
22,-0.4475604,-0.6170713,"('untrustworthy', 'trustworthy')",-0.8417248,-0.90005064,-0.6446426,-0.758561,0.1139184
21,-0.43657702,-0.74437344,"('immoral', 'moral')",-0.7433199,-0.747334,-0.5899485,-0.7458537,0.1559052
49,-0.39910084,-0.36281323,"('unable', 'able')",-0.60189426,-0.44875503,-0.5004976,-0.4057841,-0.0947135
64,0.3954636,0.27464214,"('shy', 'confident')",-6.2112675,-6.2370462,-2.907902,-2.9812021,0.0733001
39,0.38649446,0.2673418,"('exploitative', 'cooperative')",0.16722974,0.1800105,0.2768621,0.2236761,0.053186
25,0.37692243,0.41080302,"('egoistic', 'altruistic')",1.4924029,1.4643458,0.9346627,0.9375744,-0.0029117
7,-0.3713628,-0.72816485,"('insensitive', 'sensitive')",0.7560228,0.6298729,0.19233,-0.049146,0.241476
46,-0.34450427,-0.60718006,"('uncompetitive', 'competitive')",-1.0784532,-1.046591,-0.7114787,-0.8268856,0.1154069
61,-0.33775404,-0.5322528,"('illogical', 'logical')",0.6318691,0.502584,0.1470575,-0.0148344,0.1618919
17,-0.33456644,-0.29555872,"('nasty', 'nice')",-0.5796058,-0.603432,-0.4570861,-0.4494954,-0.0075907
81,0.31521192,0.25475985,"('submissive', 'aggressive')",-0.71244,-0.66725886,-0.198614,-0.2062495,0.0076355
58,-0.31142023,-0.66179514,"('undiscriminating', 'discriminating')",0.28589806,0.17248233,-0.0127611,-0.2446564,0.2318953
67,0.28500926,0.3058025,"('doubtful', 'determined')",-0.66036904,-0.73849624,-0.1876799,-0.2163469,0.028667
70,-0.2746607,-0.49623227,"('lethargic', 'energetic')",0.44653687,0.43634522,0.0859381,-0.0299435,0.1158816
42,0.27299452,0.1428834,"('unreliable', 'reliable')",-3.112549,-3.2332718,-1.4197773,-1.5451943,0.125417
88,-0.260752,-0.41050053,"('low', 'eminent')",-0.17015585,-0.274571,-0.2154539,-0.3425358,0.1270819
47,-0.2504903,-0.28328705,"('stupid', 'smart')",4.827764,5.0622005,2.2886369,2.3894567,-0.1008198
50,-0.24443041,0.022052675,"('clumsy', 'skillful')",0.11500998,0.25391853,-0.0647102,0.1379856,-0.2026958
40,-0.23503816,-0.19028616,"('stingy', 'generous')",-1.7978936,-1.9747998,-1.0164659,-1.0825429,0.066077
77,-0.23285142,-0.42576107,"('unmotivated', 'motivated')",-1.1223545,-0.99828035,-0.6776029,-0.7120207,0.0344178
52,-0.22819366,-0.029389909,"('irrational', 'rational')",-0.079316,-0.12572837,-0.1537548,-0.0775591,-0.0761957
85,0.21841618,0.28925693,"('insignificant', 'prestigious')",0.122882955,-0.14991978,0.1706496,0.0696686,0.100981
74,-0.21271515,-0.271965,"('undedicated', 'dedicated')",-0.27573723,-0.33703458,-0.2442262,-0.3044998,0.0602736
75,-0.21066412,0.06553669,"('meek', 'impulsive')",-0.65908957,-0.51297235,-0.4348769,-0.2237178,-0.2111591
78,-0.19815414,-0.15959097,"('nonresilient', 'resilient')",-0.07065927,-0.1116917,-0.1344067,-0.1356413,0.0012346
3,-0.15866283,-0.6088889,"('repellent', 'pleasant')",0.74815476,0.67073774,0.294746,0.0309244,0.2638216
59,0.14502978,0.21114838,"('foolish', 'wise')",-0.007823706,0.15286618,0.068603,0.1820073,-0.1134043
65,-0.14287311,-0.15809517,"('insecure', 'secure')",-0.4204938,-0.20858742,-0.2816834,-0.1833413,-0.0983421
29,-0.1278545,-0.3857458,"('unfair', 'fair')",-0.21457481,-0.5222906,-0.1712147,-0.4540182,0.2828035
55,0.12408432,-0.114163004,"('incompetent', 'clever')",0.24437954,0.22136983,0.1842319,0.0536034,0.1306285
34,0.10712843,-0.07908161,"('mean', 'honorable')",5.2297616,5.3421087,2.6684451,2.6315136,0.0369315
33,0.096791856,0.06583303,"('wrong', 'right')",-0.402772,-0.42249018,-0.1529901,-0.1783286,0.0253385
71,-0.09193362,-0.1444414,"('diffident', 'self-confident')",0.42302203,0.2713475,0.1655442,0.063453,0.1020912
66,-0.07417177,-0.32925674,"('inactive', 'active')",0.7791904,0.41039482,0.3525093,0.040569,0.3119403
35,0.0644914,0.31054717,"('corrupt', 'incorrupt')",-0.3890336,-0.3363019,-0.1622711,-0.0128774,-0.1493937
14,-0.054976214,-0.14766839,"('antisocial', 'social')",0.12578505,0.20409518,0.0354044,0.0282134,0.007191
