,lexmark_male,lexmark_female,tuple,international_male,international_female,inc_male,inc_female,average_male,average_female,male-female
73,1.547615,1.3731833,"('helpless', 'self-reliant')",0.21118443,0.15662889,-3.1878977,-3.1409976,-0.4763661,-0.5370619,0.0606958
31,-1.4595548,-1.5774764,"('evil', 'good')",-1.1070416,-1.0068012,-1.5174319,-1.3888488,-1.3613427,-1.3243755,-0.0369672
86,-1.429705,-1.1143378,"('uninfluential', 'influential')",-0.25009918,-0.12171196,-0.4208343,-0.34280932,-0.7002128,-0.5262864,-0.1739264
57,-1.3765026,-1.3280678,"('unimaginative', 'imaginative')",-0.50194246,-0.34620926,-2.59658,-2.474089,-1.4916751,-1.3827887,-0.1088864
39,1.3597696,1.3154471,"('exploitative', 'cooperative')",0.71314436,0.71919036,-0.022619069,-0.08332533,0.6834316,0.6504374,0.0329942
53,-1.2778383,-1.0070629,"('uncreative', 'creative')",-0.47048116,-0.2508112,0.98570865,1.1660728,-0.2542036,-0.0306004,-0.2236032
67,1.2297566,1.1127633,"('doubtful', 'determined')",0.77976274,0.57779187,-0.12144078,-0.22171059,0.6293595,0.4896148,0.1397447
6,-1.1456021,-1.4329009,"('distant', 'open')",-0.7141347,-0.8044713,0.05521611,0.13111645,-0.6015069,-0.7020853,0.1005784
84,1.0601524,0.95333385,"('inferior', 'superior')",0.85073847,0.7196192,0.96346134,0.87802154,0.9581174,0.8503249,0.1077925
56,1.0488485,1.002171,"('impractical', 'practical')",1.5368997,1.5344648,0.30381984,0.19247589,0.9631894,0.9097039,0.0534855
25,-0.94195515,-1.1032841,"('egoistic', 'altruistic')",-0.057051636,0.07853286,1.1141524,1.3796028,0.0383819,0.1182838,-0.0799019
83,0.9014803,0.8098749,"('powerless', 'powerful')",0.08668931,-0.017397754,-0.93054914,-1.0247618,0.0192068,-0.0774282,0.096635
51,-0.8918898,-0.7525149,"('uneducated', 'educated')",0.58448076,0.6241621,0.40875816,0.4459116,0.033783,0.1058529,-0.0720699
18,-0.88675535,-0.5731715,"('disagreeable', 'welcoming')",0.46698093,0.7915284,-0.6444827,-0.3973675,-0.3547524,-0.0596702,-0.2950822
36,-0.8842391,-1.113305,"('hostile', 'amicable')",-0.4275736,-0.38898367,-0.2681671,0.14904532,-0.5266599,-0.4510811,-0.0755788
30,0.8815148,1.1353409,"('intolerant', 'tolerant')",0.7776936,0.9541746,1.184628,1.2121092,0.9479454,1.1005416,-0.1525962
33,0.8288245,0.45893228,"('wrong', 'right')",0.6392399,0.2115764,-0.73001885,-0.7881772,0.2460152,-0.0392228,0.285238
62,0.82759106,1.2064344,"('incompetent', 'brilliant')",1.1668807,1.0908912,0.6180327,0.28065413,0.8708348,0.8593266,0.0115082
82,-0.8243203,-0.564662,"('poor', 'rich')",-0.261903,-0.13482586,6.550256,6.387057,1.8213441,1.8958564,-0.0745123
27,-0.7888972,-0.6774585,"('hardhearted', 'softhearted')",-0.6152328,-0.6014908,0.9174777,0.86043215,-0.1622174,-0.1395057,-0.0227117
87,0.785406,0.8367308,"('unsuccessful', 'successful')",1.564828,1.3991008,1.0663642,1.0659199,1.1388661,1.1005838,0.0382823
79,-0.7811283,-1.1479732,"('wavering', 'unwavering')",-0.91490173,-1.0683157,0.014708115,-0.07512678,-0.5604406,-0.7638053,0.2033647
10,-0.76842296,-0.34340087,"('unsympathetic', 'sympathetic')",-0.7542829,-0.5884133,-0.23452026,-0.4239876,-0.585742,-0.4519339,-0.1338081
2,0.7561672,1.1055449,"('unlikable', 'likable')",1.2486246,1.3704901,0.7025575,0.8952693,0.9024498,1.1237682,-0.2213184
35,-0.7547792,-1.1623961,"('corrupt', 'incorrupt')",-0.7998468,-0.99428535,-0.5358474,-0.3890493,-0.6968245,-0.8485769,0.1517524
60,0.7445281,1.2911026,"('inefficient', 'efficient')",1.2991487,1.403305,0.38974538,0.33531705,0.8111408,1.0099083,-0.1987675
42,0.7389419,1.1150355,"('unreliable', 'reliable')",0.5285346,0.7541442,-2.914467,-2.6421838,-0.5489968,-0.257668,-0.2913288
19,-0.7381408,-0.7088782,"('inhospitable', 'hospitable')",-1.0841098,-1.0352983,-0.15168689,-0.14372267,-0.6579792,-0.6292998,-0.0286794
