,sovereign_male,sovereign_female,tuple,bancorp_male,bancorp_female,inc_male,inc_female,average_male,average_female,male-female
73,1.8457679,1.9059179,"('helpless', 'self-reliant')",0.8043835,0.820876,-3.2009535,-3.2873769,-0.1836007,-0.186861,0.0032603
12,1.7467475,1.8377535,"('unsupportive', 'supportive')",-0.438672,-0.6072513,-1.5751173,-1.7488334,-0.089014,-0.1727771,0.0837631
23,1.7029874,1.6108836,"('insincere', 'sincere')",0.052798256,0.0055168876,6.27236,6.0673285,2.6760486,2.5612431,0.1148055
74,1.6566118,1.7744168,"('undedicated', 'dedicated')",0.25079653,0.28124738,0.33051822,0.32950824,0.7459755,0.7950575,-0.049082
84,1.5092899,1.3160559,"('inferior', 'superior')",-0.3198895,-0.35869187,0.61844575,0.5926287,0.6026154,0.5166643,0.0859511
63,1.4749672,1.3899662,"('unperceptive', 'insightful')",0.28657782,0.14908239,1.728005,1.3926069,1.1631834,0.9772185,0.1859649
26,1.4616835,1.929918,"('hardhearted', 'benevolent')",0.39004448,0.6229828,1.0607331,1.621559,0.9708203,1.3914866,-0.4206663
9,1.4445343,1.7357441,"('unaffectionate', 'caring')",0.45999122,0.52103347,1.4598267,1.5550698,1.1214507,1.2706157,-0.149165
44,-1.4338566,-1.5575848,"('prejudiced', 'unprejudiced')",-0.30970848,-0.3972656,-1.540758,-1.4577308,-1.0947744,-1.1375271,0.0427527
75,-1.4247125,-1.5552161,"('meek', 'impulsive')",0.069331884,0.09731527,-0.29950273,-0.51772094,-0.5516278,-0.6585406,0.1069128
56,1.4223131,1.1115645,"('impractical', 'practical')",0.2192134,0.019697472,0.28447875,-0.0735508,0.6420017,0.3525704,0.2894313
39,1.4057492,1.6782341,"('exploitative', 'cooperative')",0.5662194,0.59774524,-0.18574181,-0.031141765,0.595409,0.7482792,-0.1528702
16,-1.3684603,-1.3473744,"('unpopular', 'popular')",0.29731607,0.32596493,0.4531275,0.50641197,-0.2060056,-0.1716658,-0.0343398
30,1.363258,1.3643088,"('intolerant', 'tolerant')",-0.73993015,-0.76249427,0.9791058,1.0425315,0.5341446,0.5481153,-0.0139707
71,1.2735823,1.3749547,"('diffident', 'self-confident')",0.7426915,0.68160415,0.7505011,0.84251404,0.9222584,0.9663576,-0.0440992
72,1.2355764,1.1438117,"('unambitious', 'ambitious')",-0.99849284,-1.1238065,-0.40609658,-0.8683058,-0.0563377,-0.2827669,0.2264292
31,-1.1667701,-0.98005086,"('evil', 'good')",0.34047467,0.5800374,-1.2398977,-1.0517396,-0.688731,-0.4839177,-0.2048133
25,-1.1558859,-1.0629891,"('egoistic', 'altruistic')",0.83290625,0.7862992,1.235361,1.4555752,0.3041271,0.3929618,-0.0888347
43,1.1486654,1.178456,"('irresponsible', 'responsible')",-1.2299049,-1.304314,0.7810981,0.671477,0.2332862,0.181873,0.0514132
52,-1.1458824,-0.97428983,"('irrational', 'rational')",-0.26299682,-0.12303724,-0.6138371,-0.34329367,-0.6742388,-0.4802069,-0.1940319
82,-1.1211623,-1.5010223,"('poor', 'rich')",-0.8332087,-0.92540765,6.880973,6.477242,1.6422006,1.3502706,0.29193
54,1.0570164,1.3035449,"('incapable', 'capable')",1.0205164,1.1459783,1.3723661,1.3487082,1.1499662,1.2660771,-0.1161109
83,1.0262765,0.9232053,"('powerless', 'powerful')",0.70330197,0.5957539,-0.67782885,-0.8053317,0.3505832,0.2378759,0.1127073
7,0.9733363,0.98252416,"('insensitive', 'sensitive')",-0.14494051,-0.20315702,1.045013,0.9645025,0.6244696,0.5812899,0.0431797
13,0.9732753,0.6641604,"('impolite', 'polite')",-0.13556737,-0.28204718,-0.034168087,-0.18211906,0.2678466,0.0666647,0.2011819
79,0.96693647,1.1338522,"('wavering', 'unwavering')",0.5772054,0.8068841,0.035330452,0.09518686,0.5264908,0.6786411,-0.1521503
80,0.9437061,0.89678884,"('dominated', 'dominating')",-0.024052635,-0.18381679,-0.66682786,-0.8269506,0.0842752,-0.0379929,0.1222681
57,-0.9065546,-0.48533085,"('unimaginative', 'imaginative')",-0.47744602,-0.41546547,-2.6411414,-2.6400487,-1.3417139,-1.1802816,-0.1614323
42,0.8890637,1.0197806,"('unreliable', 'reliable')",0.5818888,0.6772487,-2.4070578,-2.5299158,-0.3120351,-0.2776288,-0.0344063
67,0.8691017,0.69970214,"('doubtful', 'determined')",-0.026558712,0.025581837,-0.76837856,-0.79083127,0.0247215,-0.0218491,0.0465706
70,0.85946393,0.88217527,"('lethargic', 'energetic')",-0.7868238,-0.95934486,1.2742263,1.0002514,0.4489555,0.3076939,0.1412616
22,-0.8332945,-0.71073145,"('untrustworthy', 'trustworthy')",-1.0862297,-1.0441903,-0.71107095,-0.92031914,-0.8768651,-0.8917469,0.0148818
24,0.82291085,1.0635128,"('dishonest', 'honest')",-1.7311339,-1.6576192,0.71187234,0.6650809,-0.0654503,0.0236582,-0.0891085
62,0.81394774,0.55002475,"('incompetent', 'brilliant')",-0.05849018,-0.33592588,0.95676816,0.3613929,0.5707419,0.1918306,0.3789113
81,-0.80654913,-0.96091485,"('submissive', 'aggressive')",-1.3819247,-1.5434586,-0.38759187,-0.7536272,-0.8586886,-1.0860003,0.2273117
38,0.80291283,0.78072727,"('untruthful', 'truthful')",-0.056966476,-0.14285836,-0.044237133,-0.05893012,0.2339031,0.1929796,0.0409235
18,-0.7579239,-0.54409045,"('disagreeable', 'welcoming')",-0.40039882,-0.28698897,-0.87906283,-0.6812638,-0.6791285,-0.5041144,-0.1750141
76,0.7071824,0.5352256,"('anxious', 'daring')",0.31391165,0.23960197,0.62755644,0.39637673,0.5495502,0.3904014,0.1591488
28,0.7040516,0.93818694,"('disloyal', 'loyal')",-1.1728027,-1.0899711,0.71730834,0.8523551,0.0828524,0.2335237,-0.1506713
66,0.703645,0.8054664,"('inactive', 'active')",1.2340791,1.285431,0.842237,1.209787,0.9266537,1.1002282,-0.1735745
68,-0.6740686,-0.78934324,"('dependent', 'independent')",-1.4251807,-1.5793718,-0.4804476,-0.5693077,-0.859899,-0.9793409,0.1194419
3,-0.63938034,-0.7470294,"('repellent', 'pleasant')",-0.18828163,-0.3525419,0.34022126,0.17000061,-0.1624802,-0.3098569,0.1473767
27,0.587602,0.74948364,"('hardhearted', 'softhearted')",-0.00737777,-0.004006436,1.3741244,1.6297632,0.6514496,0.7917468,-0.1402972
36,-0.5836812,-0.26024437,"('hostile', 'amicable')",1.5753249,1.8337421,-0.28083357,0.046157226,0.2369367,0.539885,-0.3029483
51,0.5698156,0.46281916,"('uneducated', 'educated')",-1.1146712,-1.2458355,0.6228425,0.5022391,0.0259956,-0.0935924,0.119588
