,simon_male,simon_female,tuple,property_male,property_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
56,2.0060027,2.175104,"('impractical', 'practical')",0.30680567,0.34047344,0.45687097,0.3320973,-0.29113567,-0.20412916,0.6196359,0.6608863,-0.0412504
12,1.9320476,2.02928,"('unsupportive', 'supportive')",0.94105357,1.1263151,0.9121049,1.2738024,-1.7073183,-1.349714,0.5194719,0.7699209,-0.250449
69,-1.8978888,-1.911271,"('lazy', 'industrious')",0.8474976,0.9396787,0.23072335,0.42894766,-0.7616294,-0.71134377,-0.3953243,-0.3134971,-0.0818272
36,-1.8077877,-2.3927321,"('hostile', 'amicable')",0.19640766,0.085693315,-0.81865287,-0.8082463,0.79797244,0.4832182,-0.4080151,-0.6580167,0.2500016
62,1.7864623,2.0133107,"('incompetent', 'brilliant')",-0.53418756,-0.46245313,0.5732641,0.4549365,-0.21096021,-0.09001464,0.4036447,0.4789448,-0.0753001
30,1.7542272,1.8037082,"('intolerant', 'tolerant')",0.797782,0.7054741,0.48698416,0.24757402,0.9622597,0.85055494,1.0003133,0.9018278,0.0984855
43,1.6564293,1.7273248,"('irresponsible', 'responsible')",0.72905993,0.72000635,0.8626812,0.82807577,0.66693056,0.7150556,0.9787753,0.9976156,-0.0188403
39,1.6202514,1.6369652,"('exploitative', 'cooperative')",0.11313985,0.020971285,1.1726286,1.1940471,0.045812156,0.05831606,0.737958,0.7275749,0.0103831
14,1.539795,1.794446,"('antisocial', 'social')",1.0347096,0.8349608,1.4101237,1.0621296,-0.7162994,-0.88541365,0.8170822,0.7015307,0.1155515
60,1.5072069,1.7778014,"('inefficient', 'efficient')",-0.39160284,-0.41477206,1.1312014,0.94280565,-0.33819237,-0.22699249,0.4771533,0.5197107,-0.0425574
31,-1.4635626,-1.5924311,"('evil', 'good')",-1.2804996,-1.150058,-1.6706874,-1.3899053,-1.0115552,-1.0528928,-1.3565762,-1.2963217,-0.0602545
2,1.447833,1.4307437,"('unlikable', 'likable')",0.9834546,1.0449339,1.9004239,1.7138437,0.96649414,0.8723657,1.3245513,1.2654717,0.0590796
35,-1.4258901,-1.8660975,"('corrupt', 'incorrupt')",-0.49189514,-0.54236156,-1.2465972,-1.2638255,0.1929198,-0.014193667,-0.7428657,-0.9216196,0.1787539
16,-1.3905469,-1.45559,"('unpopular', 'popular')",-0.5843087,-0.6447055,-0.17502502,-0.26087135,0.44921088,0.2813039,-0.4251674,-0.5199658,0.0947984
76,1.3869424,1.3972896,"('anxious', 'daring')",0.6332493,0.5870305,1.3415035,1.170248,0.38348374,0.2784834,0.9362947,0.8582629,0.0780318
