,expedia_male,expedia_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
86,-1.9589806,-2.2509673,"('uninfluential', 'influential')",0.32475415,0.15269645,-0.18415059,-0.24484396,-0.6061257,-0.7810383,0.1749126
53,-1.9431185,-1.9873552,"('uncreative', 'creative')",0.045016676,-0.15823604,1.0627469,0.8973617,-0.2784516,-0.4160765,0.1376249
10,-1.876941,-2.1205728,"('unsympathetic', 'sympathetic')",0.34704775,0.16406187,-0.36316982,-0.2701405,-0.631021,-0.7422171,0.1111961
8,-1.6853608,-1.816522,"('unaffectionate', 'affectionate')",-0.36281735,-0.4896698,1.2436807,0.9173401,-0.2681658,-0.4629506,0.1947848
73,1.6740056,1.9820604,"('helpless', 'self-reliant')",-0.10243572,0.15186325,-3.1465235,-2.87224,-0.5249845,-0.2461054,-0.2788791
57,-1.6149453,-1.6703612,"('unimaginative', 'imaginative')",-0.1986554,-0.2557487,-2.7955878,-2.688939,-1.5363962,-1.5383496,0.0019534
46,-1.6012181,-1.6559829,"('uncompetitive', 'competitive')",1.4835727,1.292462,-0.98491687,-0.83667845,-0.3675207,-0.4000665,0.0325458
1,-1.5878026,-1.5529242,"('unfriendly', 'friendly')",-0.09041959,-0.110771425,2.2375295,1.9823614,0.1864358,0.106222,0.0802138
9,-1.4777912,-1.5113337,"('unaffectionate', 'caring')",-0.054330364,-0.046530243,1.7323328,1.6121932,0.0667371,0.0181098,0.0486273
69,1.3917285,1.54599,"('lazy', 'industrious')",-0.110799804,0.15225677,-0.7168657,-0.80110687,0.188021,0.2990466,-0.1110256
67,1.2499678,1.0636697,"('doubtful', 'determined')",0.26215386,0.33426547,-0.9016048,-1.0031524,0.2035056,0.1315943,0.0719113
78,-1.1532277,-1.1238983,"('nonresilient', 'resilient')",1.2309467,1.3240781,0.12008719,0.2948171,0.0659354,0.164999,-0.0990636
28,-1.149152,-1.2609681,"('disloyal', 'loyal')",-0.17251189,-0.34393722,0.7946056,0.7390586,-0.1756861,-0.2886156,0.1129295
82,-1.1338881,-1.1869208,"('poor', 'rich')",0.09033298,-0.12088632,6.457854,6.348263,1.8047662,1.6801519,0.1246143
0,-1.1025531,-1.5478079,"('unsociable', 'sociable')",0.6381295,0.2586033,-0.7457546,-0.8442427,-0.4033928,-0.7111491,0.3077563
55,-1.0822371,-1.4614389,"('incompetent', 'clever')",1.5433722,1.2568765,-0.22760342,-0.15560296,0.0778439,-0.1200551,0.197899
