,s&p_male,s&p_female,tuple,global_male,global_female,inc_male,inc_female,average_male,average_female,male-female
2,1.7936084,1.8054194,"('unlikable', 'likable')",1.4915879,1.6388745,1.6313487,1.6966758,1.6388483,1.7136566,-0.0748083
73,1.6376783,1.5181707,"('helpless', 'self-reliant')",1.0184962,0.81489015,1.4997556,1.3350621,1.38531,1.2227076,0.1626024
28,-1.6182426,-1.4178691,"('disloyal', 'loyal')",-1.5537037,-1.2506385,-1.8487512,-1.7335835,-1.6735659,-1.4673637,-0.2062022
57,-1.5075078,-1.1894808,"('unimaginative', 'imaginative')",-2.2313373,-2.0655,-1.9409894,-1.8474088,-1.8932781,-1.7007964,-0.1924817
1,-1.4079126,-1.6644629,"('unfriendly', 'friendly')",-0.5611491,-0.6649714,-1.3314304,-1.5076851,-1.1001641,-1.2790399,0.1788758
42,1.2819912,1.1701393,"('unreliable', 'reliable')",0.94521165,0.8262024,0.8742769,0.8615355,1.0338266,0.9526258,0.0812008
86,-1.1807157,-0.93120444,"('uninfluential', 'influential')",-2.4516363,-2.2130756,-1.6787877,-1.6080729,-1.7703799,-1.5841176,-0.1862623
44,1.1063722,0.57680047,"('prejudiced', 'unprejudiced')",0.6883895,0.36396793,0.81592417,0.61500275,0.8702286,0.5185904,0.3516382
6,1.0511205,0.61692303,"('distant', 'open')",1.9254521,1.6929145,0.5281457,0.17621046,1.1682394,0.8286827,0.3395567
85,1.0438316,0.67056626,"('insignificant', 'prestigious')",3.2951689,3.2047973,1.5577748,1.3395631,1.9655917,1.7383089,0.2272828
23,-1.0217977,-0.9328285,"('insincere', 'sincere')",-2.5604846,-2.488808,-0.7985174,-0.90543747,-1.4602666,-1.442358,-0.0179086
15,1.0156348,1.1311615,"('boring', 'funny')",1.013279,0.9549843,-0.21217602,-0.009664394,0.6055792,0.6921605,-0.0865813
0,-1.0140069,-0.78908694,"('unsociable', 'sociable')",-3.0434778,-2.6881604,-0.434474,-0.33278802,-1.4973195,-1.2700117,-0.2273078
26,-1.0096024,-0.8264405,"('hardhearted', 'benevolent')",1.1045289,1.1977017,-1.0361699,-0.8766375,-0.3137478,-0.1684588,-0.145289
10,-1.0029068,-0.90397745,"('unsympathetic', 'sympathetic')",-2.8301408,-2.7073827,-1.4941497,-1.4823109,-1.7757324,-1.6978903,-0.0778421
64,0.9977657,1.0153077,"('shy', 'confident')",-0.44450828,-0.23254377,0.3300355,0.3536579,0.294431,0.3788073,-0.0843763
62,0.9685877,1.2564965,"('incompetent', 'brilliant')",-1.8768728,-1.5922935,0.83111984,0.96036434,-0.0257217,0.2081891,-0.2339108
87,0.9255554,0.9752249,"('unsuccessful', 'successful')",1.4519172,1.4666375,1.7700298,1.9136446,1.3825008,1.4518356,-0.0693348
53,-0.9180733,-1.0280589,"('uncreative', 'creative')",-0.15736476,-0.1382682,-1.4058894,-1.5468162,-0.8271092,-0.9043811,0.0772719
22,-0.87669927,-0.56869453,"('untrustworthy', 'trustworthy')",-0.69119704,-0.39671242,-1.1561677,-0.9036849,-0.9080214,-0.6230306,-0.2849908
78,-0.86168385,-0.90815425,"('nonresilient', 'resilient')",-1.4337456,-1.4516847,-0.7431754,-1.0067581,-1.0128682,-1.1221991,0.1093309
31,-0.8375056,-1.0549942,"('evil', 'good')",1.5110533,1.546217,0.2182739,0.24515694,0.2972739,0.2454599,0.051814
52,0.82525796,0.28656298,"('irrational', 'rational')",1.4021024,1.2433366,0.15063047,-0.16057971,0.7926636,0.45644,0.3362236
76,0.8225947,0.9403882,"('anxious', 'daring')",0.17885473,0.32005578,0.5518079,0.59597677,0.5177524,0.6188069,-0.1010545
