,pfizer_male,pfizer_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-3.5352437,-3.440174,"('unsympathetic', 'sympathetic')",-0.44791356,-0.33258006,-1.9915787,-1.8863771,-0.1052016
46,-2.7681336,-2.7628922,"('uncompetitive', 'competitive')",-1.1559795,-1.1883391,-1.9620566,-1.9756157,0.0135591
85,2.765008,2.5866628,"('insignificant', 'prestigious')",1.5144935,1.4333644,2.1397507,2.0100136,0.1297371
35,2.664608,2.6899822,"('corrupt', 'incorrupt')",0.18270324,0.157745,1.4236556,1.4238636,-0.000208
69,2.6532545,2.6245425,"('lazy', 'industrious')",-0.061467677,-0.07068393,1.2958934,1.2769293,0.0189641
11,-2.4575305,-2.5732973,"('unhelpful', 'helpful')",1.5075188,1.5978338,-0.4750059,-0.4877318,0.0127259
23,-2.3196023,-2.2792938,"('insincere', 'sincere')",5.444951,5.5087166,1.5626744,1.6147114,-0.052037
57,-2.2809103,-2.3397002,"('unimaginative', 'imaginative')",-2.471469,-2.5692363,-2.3761897,-2.4544683,0.0782786
45,-2.204192,-2.0858903,"('incompetent', 'competent')",-0.37133843,-0.2897237,-1.2877651,-1.187807,-0.0999581
70,-2.0701597,-2.022991,"('lethargic', 'energetic')",0.32701012,0.26657575,-0.8715748,-0.8782076,0.0066328
43,-2.0442681,-2.0579462,"('irresponsible', 'responsible')",0.6159175,0.7062874,-0.7141753,-0.6758294,-0.0383459
0,-2.016095,-1.9541149,"('unsociable', 'sociable')",-0.43011427,-0.5199912,-1.2231046,-1.237053,0.0139484
65,-2.0149133,-2.0239327,"('insecure', 'secure')",-0.67313045,-0.7315572,-1.3440219,-1.3777449,0.033723
13,-1.9640476,-1.8667895,"('impolite', 'polite')",-0.6119196,-0.49857923,-1.2879835,-1.1826843,-0.1052992
86,-1.9194779,-2.0076492,"('uninfluential', 'influential')",-0.035680793,-0.080155544,-0.9775794,-1.0439024,0.066323
3,-1.8468874,-1.7828133,"('repellent', 'pleasant')",-0.20465247,-0.32710114,-1.0257699,-1.0549573,0.0291874
21,-1.7756994,-1.6884745,"('immoral', 'moral')",-0.93953085,-0.99418217,-1.3576151,-1.3413284,-0.0162867
55,-1.7635125,-1.7903049,"('incompetent', 'clever')",0.14267895,-0.007939465,-0.8104168,-0.8991222,0.0887054
22,-1.749013,-1.7578887,"('untrustworthy', 'trustworthy')",-1.3682061,-1.381237,-1.5586095,-1.5695629,0.0109534
60,-1.7371944,-1.7094766,"('inefficient', 'efficient')",0.011368386,0.0132917445,-0.862913,-0.8480924,-0.0148206
63,-1.733938,-1.7075404,"('unperceptive', 'insightful')",0.9542529,1.1229514,-0.3898425,-0.2922945,-0.097548
24,-1.7207829,-1.6504151,"('dishonest', 'honest')",0.6679667,0.7356568,-0.5264081,-0.4573791,-0.069029
14,-1.7197044,-1.6107258,"('antisocial', 'social')",-0.90148616,-0.99239,-1.3105953,-1.3015579,-0.0090374
59,1.7082883,1.6839398,"('foolish', 'wise')",0.67720515,0.6825233,1.1927468,1.1832316,0.0095152
6,1.6547216,1.5442016,"('distant', 'open')",0.8698189,0.92355597,1.2622702,1.2338789,0.0283913
81,-1.6218592,-1.611594,"('submissive', 'aggressive')",-0.88209677,-0.9121495,-1.2519779,-1.2618717,0.0098938
30,-1.6167794,-1.6141229,"('intolerant', 'tolerant')",1.2414649,1.1205518,-0.1876573,-0.2467855,0.0591282
7,-1.6058953,-1.5456609,"('insensitive', 'sensitive')",0.6155931,0.750582,-0.4951511,-0.3975394,-0.0976117
82,-1.5209758,-1.5588953,"('poor', 'rich')",5.8211927,5.7224307,2.1501083,2.0817676,0.0683407
73,1.4642143,1.388132,"('helpless', 'self-reliant')",-2.6271708,-2.6661751,-0.5814782,-0.6390216,0.0575434
51,-1.4450223,-1.289535,"('uneducated', 'educated')",0.83299136,0.7707247,-0.3060155,-0.2594052,-0.0466103
56,-1.4328812,-1.3818234,"('impractical', 'practical')",-0.39093813,-0.3385207,-0.9119097,-0.860172,-0.0517377
36,1.4238049,1.3554947,"('hostile', 'amicable')",0.5308401,0.51394266,0.9773225,0.9347187,0.0426038
62,-1.4008527,-1.3072956,"('incompetent', 'brilliant')",0.20227833,0.2809655,-0.5992872,-0.513165,-0.0861222
5,1.3637375,1.2260743,"('distant', 'outgoing')",0.16251782,0.21484107,0.7631276,0.7204577,0.0426699
41,-1.3078953,-1.2593542,"('unforgiving', 'forgiving')",-0.19011122,-0.10068196,-0.7490033,-0.6800181,-0.0689852
25,1.2959274,1.2465773,"('egoistic', 'altruistic')",1.8320715,1.708815,1.5639994,1.4776962,0.0863032
38,-1.2925252,-1.2300652,"('untruthful', 'truthful')",-0.026475685,0.15608117,-0.6595004,-0.536992,-0.1225084
48,-1.282498,-1.2776352,"('unintelligent', 'intelligent')",0.84803724,0.9051027,-0.2172304,-0.1862662,-0.0309642
