,teradyne_male,teradyne_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-1.9437841,-2.0041845,"('unsympathetic', 'sympathetic')",-0.34715128,-0.3112629,-1.1454678,-1.1577237,0.0122559
24,-1.64006,-1.6392677,"('dishonest', 'honest')",0.67329615,0.7176814,-0.4833819,-0.4607931,-0.0225888
13,-1.580063,-1.6060227,"('impolite', 'polite')",-0.59992415,-0.61023766,-1.0899936,-1.1081302,0.0181366
28,-1.4684633,-1.7784894,"('disloyal', 'loyal')",0.6629628,0.66600734,-0.4027503,-0.556241,0.1534907
86,-1.4502074,-1.8638965,"('uninfluential', 'influential')",-0.01692599,-0.3530713,-0.7335666,-1.1084839,0.3749173
7,-1.3713757,-1.3811115,"('insensitive', 'sensitive')",1.0602825,1.0444287,-0.1555466,-0.1683414,0.0127948
23,-1.3206135,-1.3424556,"('insincere', 'sincere')",5.5545425,5.881115,2.1169646,2.2693295,-0.1523649
38,-1.2990526,-1.2218986,"('untruthful', 'truthful')",-0.5740763,-0.3215152,-0.9365644,-0.7717069,-0.1648575
45,-1.2295573,-1.3074701,"('incompetent', 'competent')",-0.19699413,-0.27534434,-0.7132757,-0.7914072,0.0781315
53,-1.2284178,-1.1874182,"('uncreative', 'creative')",0.7420779,0.74952096,-0.2431699,-0.2189486,-0.0242213
21,-1.1332687,-1.1307263,"('immoral', 'moral')",-0.9198275,-0.8015154,-1.0265481,-0.9661208,-0.0604273
61,-1.1063206,-1.2599679,"('illogical', 'logical')",0.38283038,0.29850522,-0.3617451,-0.4807314,0.1189863
70,-1.0836563,-1.0519236,"('lethargic', 'energetic')",0.7260227,0.788592,-0.1788168,-0.1316658,-0.047151
1,-1.0211974,-1.1809503,"('unfriendly', 'friendly')",1.8002994,1.7500671,0.389551,0.2845584,0.1049926
30,-1.0002118,-0.9278979,"('intolerant', 'tolerant')",0.7791853,0.8583406,-0.1105133,-0.0347786,-0.0757347
3,-0.9478773,-0.80843306,"('repellent', 'pleasant')",0.33878344,0.4267781,-0.3045469,-0.1908275,-0.1137194
19,-0.9315232,-0.78934544,"('inhospitable', 'hospitable')",0.21818027,0.08477895,-0.3566715,-0.3522832,-0.0043883
