,international_male,international_female,tuple,business_male,business_female,machs_male,machs_female,cor_male,cor_female,average_male,average_female,male-female
14,1.8141361,1.7449414,"('antisocial', 'social')",2.906039,2.7724254,1.7252785,1.7242862,1.0292245,1.220305,1.8686695,1.8654895,0.00318
87,1.6841184,1.8865374,"('unsuccessful', 'successful')",2.524544,2.5676434,0.6967552,0.42972854,0.8452558,0.80235803,1.4376683,1.4215668,0.0161015
2,1.5904882,1.995688,"('unlikable', 'likable')",1.9224387,1.9789206,0.46855178,0.63140094,1.0097942,1.0939381,1.2478182,1.4249868,-0.1771686
26,1.5586274,1.2420446,"('hardhearted', 'benevolent')",0.85489416,0.618949,0.09969706,-0.018961284,1.3597661,0.87335503,0.9682462,0.6788468,0.2893994
62,1.5316578,2.0355582,"('incompetent', 'brilliant')",2.5690095,2.7609942,1.2114848,1.2243804,0.22163801,0.64999104,1.3834476,1.667731,-0.2842834
51,1.5315863,1.8145925,"('uneducated', 'educated')",1.2241079,1.1546566,0.61127365,0.85593784,0.062087968,0.46621987,0.8572639,1.0728518,-0.2155879
56,1.4955071,2.0988746,"('impractical', 'practical')",2.2165277,2.613051,1.4926409,1.9066471,0.013089882,0.72631633,1.3044413,1.8362223,-0.531781
63,1.475323,1.8178046,"('unperceptive', 'insightful')",0.967366,1.2112057,0.7980512,0.95112103,0.16373573,0.3659022,0.8511189,1.0865084,-0.2353895
74,1.433552,1.6831003,"('undedicated', 'dedicated')",1.5233725,1.5114208,0.8435799,1.1263244,-0.105599664,0.09089995,0.9237261,1.1029364,-0.1792103
39,1.4137616,1.3466468,"('exploitative', 'cooperative')",1.6186163,1.551876,1.1176577,0.9391047,1.2821921,1.369379,1.358057,1.3017516,0.0563054
58,1.3927372,1.4131702,"('undiscriminating', 'discriminating')",1.0266984,0.8573774,0.15984195,0.230416,0.4602368,0.3048684,0.7598786,0.701458,0.0584206
80,1.336621,1.147784,"('dominated', 'dominating')",2.058783,2.0050209,1.3945875,1.2605208,0.2966238,0.4879745,1.2716538,1.2253251,0.0463287
31,-1.2731643,-1.577402,"('evil', 'good')",-2.848765,-2.8112571,-1.887447,-1.8675278,-1.796955,-2.295531,-1.9515828,-2.1379294,0.1863466
66,1.2512609,1.0413442,"('inactive', 'active')",0.07018199,0.007733159,-1.1485835,-1.3400683,-0.33676657,-0.85746515,-0.0409768,-0.2871141,0.2461373
76,1.2342265,1.4473004,"('anxious', 'daring')",1.8563393,2.0023134,0.9955777,1.193497,0.27339685,0.9501379,1.0898851,1.3983122,-0.3084271
81,1.1757854,1.5124868,"('submissive', 'aggressive')",3.1086907,3.1202483,1.4180429,1.2667022,0.34442383,0.7558224,1.5117358,1.663815,-0.1520792
6,-1.1475332,-1.0467142,"('distant', 'open')",-1.8121996,-1.744637,-2.8453026,-2.6627665,-2.4923482,-2.915541,-2.0743461,-2.0924146,0.0180685
33,1.1249737,1.0343525,"('wrong', 'right')",0.24941888,0.086652674,-0.030714454,-0.19094099,-0.33370897,-0.6233022,0.2524922,0.0766905,0.1758017
29,-1.1225597,-0.90124327,"('unfair', 'fair')",-1.424092,-1.3820938,-1.0902636,-1.0000128,-1.3026948,-1.4331844,-1.2349026,-1.1791337,-0.0557689
5,-1.1174568,-1.0011559,"('distant', 'outgoing')",-1.0770999,-0.9006906,-2.0349305,-1.947136,-2.4498396,-2.789353,-1.6698318,-1.6595838,-0.010248
69,1.1051502,1.1253968,"('lazy', 'industrious')",-0.64981794,-0.662779,-0.4353612,-0.7628955,-0.17794217,-0.8120187,-0.0394928,-0.2780741,0.2385813
13,1.0607009,1.2020093,"('impolite', 'polite')",2.2358398,2.2744749,1.5221813,1.7494326,0.60267365,1.0014087,1.3553488,1.5568314,-0.2014826
27,-1.0426236,-1.246542,"('hardhearted', 'softhearted')",-1.7253039,-1.7860168,-1.1776061,-1.221552,0.11924988,-0.25113052,-0.956571,-1.1263103,0.1697393
