,pfizer_male,pfizer_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-4.3021536,-4.1457615,"('unsympathetic', 'sympathetic')",-0.4525692,-0.5418829,-2.3773613,-2.3438222,-0.0335391
46,-3.1471214,-3.2136438,"('uncompetitive', 'competitive')",-0.71923107,-0.90334886,-1.9331763,-2.0584962,0.1253199
85,3.0436563,3.2114298,"('insignificant', 'prestigious')",0.63585865,1.0819335,1.8397574,2.1466818,-0.3069244
35,3.0414956,3.0649247,"('corrupt', 'incorrupt')",-0.20552702,-0.022299893,1.4179842,1.5213124,-0.1033282
69,2.7483702,2.8054929,"('lazy', 'industrious')",-0.99241585,-0.787229,0.8779771,1.0091319,-0.1311548
70,-2.6705623,-2.491683,"('lethargic', 'energetic')",0.410765,0.42232683,-1.1298987,-1.0346781,-0.0952206
11,-2.643258,-2.7977428,"('unhelpful', 'helpful')",2.100046,1.8822635,-0.2716061,-0.4577397,0.1861336
57,-2.5308414,-2.4309762,"('unimaginative', 'imaginative')",-3.0744731,-2.8216815,-2.8026571,-2.6263289,-0.1763282
13,-2.5257556,-2.2923708,"('impolite', 'polite')",-0.45809585,-0.29211754,-1.4919257,-1.2922442,-0.1996815
43,-2.499888,-2.5033784,"('irresponsible', 'responsible')",0.68203694,0.63104975,-0.9089255,-0.9361643,0.0272388
45,-2.4939787,-2.6164863,"('incompetent', 'competent')",-0.4465613,-0.5728752,-1.47027,-1.5946808,0.1244108
81,-2.4254231,-2.157295,"('submissive', 'aggressive')",-1.0869458,-1.0161358,-1.7561845,-1.5867155,-0.169469
0,-2.3686876,-2.168567,"('unsociable', 'sociable')",-0.73136634,-0.6697705,-1.550027,-1.4191687,-0.1308583
60,-2.3420358,-2.2471147,"('inefficient', 'efficient')",0.43200654,0.15831277,-0.9550146,-1.0444009,0.0893863
65,-2.3213274,-2.2938619,"('insecure', 'secure')",-0.20904757,-0.26642445,-1.2651875,-1.2801431,0.0149556
23,-2.2151232,-2.3802307,"('insincere', 'sincere')",6.939503,6.1462526,2.36219,1.883011,0.479179
55,-2.156902,-2.1373117,"('incompetent', 'clever')",0.018422391,0.05156769,-1.0692399,-1.042872,-0.0263679
6,2.1531885,2.3023338,"('distant', 'open')",0.7100937,0.87818116,1.4316411,1.5902575,-0.1586164
14,-1.9717165,-1.8980349,"('antisocial', 'social')",-1.2194141,-1.0746598,-1.5955653,-1.4863474,-0.1092179
21,-1.9647756,-1.9647938,"('immoral', 'moral')",-0.9537208,-1.0727731,-1.4592482,-1.5187835,0.0595353
3,-1.9641984,-1.9609864,"('repellent', 'pleasant')",0.14026819,-0.11309378,-0.9119651,-1.0370401,0.125075
59,1.9635148,1.8401201,"('foolish', 'wise')",0.388278,0.57286906,1.1758964,1.2064946,-0.0305982
31,1.9180248,1.8157729,"('evil', 'good')",-1.1475728,-0.860492,0.385226,0.4776405,-0.0924145
5,1.8977945,2.064182,"('distant', 'outgoing')",0.19839038,0.4099665,1.0480925,1.2370743,-0.1889818
63,-1.8715001,-1.956016,"('unperceptive', 'insightful')",1.3710227,1.2939088,-0.2502387,-0.3310536,0.0808149
36,1.8710164,1.9431573,"('hostile', 'amicable')",-0.09343408,0.21899174,0.8887911,1.0810745,-0.1922834
30,-1.8473377,-1.9079502,"('intolerant', 'tolerant')",0.95467114,1.0657411,-0.4463333,-0.4211046,-0.0252287
7,-1.8329881,-1.7752631,"('insensitive', 'sensitive')",1.2373413,0.90037566,-0.2978234,-0.4374437,0.1396203
22,-1.8324277,-1.8269774,"('untrustworthy', 'trustworthy')",-1.1703144,-0.89163566,-1.5013711,-1.3593066,-0.1420645
62,-1.7694775,-1.7199905,"('incompetent', 'brilliant')",0.7953036,0.4215001,-0.487087,-0.6492452,0.1621582
86,-1.7219623,-1.7567018,"('uninfluential', 'influential')",-0.21193698,0.028573677,-0.9669496,-0.8640641,-0.1028855
25,1.7012007,1.6698772,"('egoistic', 'altruistic')",1.5745856,1.7269408,1.6378932,1.698409,-0.0605158
73,1.6006919,1.5252595,"('helpless', 'self-reliant')",-2.9154315,-2.7137094,-0.6573698,-0.5942249,-0.0631449
24,-1.5796181,-1.7048174,"('dishonest', 'honest')",1.0942351,1.0425795,-0.2426915,-0.3311189,0.0884274
76,-1.5612252,-1.3379899,"('anxious', 'daring')",-0.04233954,0.073119156,-0.8017824,-0.6324354,-0.169347
80,-1.5044191,-1.4216592,"('dominated', 'dominating')",-1.2734524,-1.3886882,-1.3889358,-1.4051738,0.016238
52,1.4333302,1.4000126,"('irrational', 'rational')",-0.20663436,-0.06744057,0.6133479,0.666286,-0.0529381
