,keycorp_male,keycorp_female,tuple,average_male,average_female,male-female
4,-3.4343326,-3.6738026,"('disliked', 'liked')",-3.4343326,-3.6738026,0.23947
64,-3.348974,-3.490565,"('shy', 'confident')",-3.348974,-3.4905651,0.1415911
23,3.3258424,3.321412,"('insincere', 'sincere')",3.3258424,3.3214121,0.0044303
47,3.019425,2.9959147,"('stupid', 'smart')",3.0194249,2.9959147,0.0235102
82,2.903675,2.542224,"('poor', 'rich')",2.9036751,2.5422239,0.3614512
34,2.5753078,2.6184835,"('mean', 'honorable')",2.5753078,2.6184835,-0.0431757
11,1.8139881,1.728825,"('unhelpful', 'helpful')",1.8139881,1.728825,0.0851631
31,-1.5150639,-1.1632695,"('evil', 'good')",-1.5150639,-1.1632695,-0.3517944
40,-1.4324548,-1.1881222,"('stingy', 'generous')",-1.4324548,-1.1881222,-0.2443326
57,-1.3670154,-1.4414457,"('unimaginative', 'imaginative')",-1.3670154,-1.4414457,0.0744303
62,1.2182268,0.8928151,"('incompetent', 'brilliant')",1.2182268,0.8928151,0.3254117
42,-1.1504261,-1.2441843,"('unreliable', 'reliable')",-1.1504261,-1.2441843,0.0937582
73,-1.1086904,-1.1866089,"('helpless', 'self-reliant')",-1.1086904,-1.1866089,0.0779185
2,1.0980675,1.181546,"('unlikable', 'likable')",1.0980675,1.181546,-0.0834785
35,-1.0533247,-0.90608627,"('corrupt', 'incorrupt')",-1.0533247,-0.9060863,-0.1472384
9,0.96648204,1.2076423,"('unaffectionate', 'caring')",0.966482,1.2076423,-0.2411603
1,0.9224892,1.2316469,"('unfriendly', 'friendly')",0.9224892,1.2316469,-0.3091577
52,-0.9191288,-0.80372435,"('irrational', 'rational')",-0.9191288,-0.8037243,-0.1154045
36,-0.9107713,-0.78242743,"('hostile', 'amicable')",-0.9107713,-0.7824274,-0.1283439
68,-0.8837017,-0.94127965,"('dependent', 'independent')",-0.8837017,-0.9412796,0.0575779
51,-0.86373234,-0.9263079,"('uneducated', 'educated')",-0.8637323,-0.9263079,0.0625756
17,-0.8597157,-0.6989443,"('nasty', 'nice')",-0.8597157,-0.6989443,-0.1607714
60,0.8072068,0.7141535,"('inefficient', 'efficient')",0.8072068,0.7141535,0.0930533
71,0.80251473,1.0964712,"('diffident', 'self-confident')",0.8025147,1.0964712,-0.2939565
56,0.79619616,0.37897164,"('impractical', 'practical')",0.7961962,0.3789716,0.4172246
7,0.7686048,0.8995042,"('insensitive', 'sensitive')",0.7686048,0.8995042,-0.1308994
19,-0.64825684,-0.6199727,"('inhospitable', 'hospitable')",-0.6482568,-0.6199727,-0.0282841
70,0.6415506,0.4223949,"('lethargic', 'energetic')",0.6415506,0.4223949,0.2191557
43,0.6320119,0.50922227,"('irresponsible', 'responsible')",0.6320119,0.5092223,0.1227896
32,0.60690564,0.7129253,"('unkind', 'kind')",0.6069056,0.7129253,-0.1060197
24,0.5998278,0.7820974,"('dishonest', 'honest')",0.5998278,0.7820974,-0.1822696
54,0.551575,0.53923887,"('incapable', 'capable')",0.551575,0.5392389,0.0123361
76,0.54992014,0.4833158,"('anxious', 'daring')",0.5499201,0.4833158,0.0666043
15,0.5481392,0.5400966,"('boring', 'funny')",0.5481392,0.5400966,0.0080426
86,-0.5472459,-0.49630013,"('uninfluential', 'influential')",-0.5472459,-0.4963001,-0.0509458
18,-0.5285437,-0.23966281,"('disagreeable', 'welcoming')",-0.5285437,-0.2396628,-0.2888809
84,0.52013934,0.5525382,"('inferior', 'superior')",0.5201393,0.5525382,-0.0323989
87,0.5151248,0.32601532,"('unsuccessful', 'successful')",0.5151248,0.3260153,0.1891095
26,0.50669557,0.95144665,"('hardhearted', 'benevolent')",0.5066956,0.9514467,-0.4447511
27,0.48190433,0.6172984,"('hardhearted', 'softhearted')",0.4819043,0.6172984,-0.1353941
10,-0.45662162,-0.30112347,"('unsympathetic', 'sympathetic')",-0.4566216,-0.3011235,-0.1554981
69,-0.4295685,-0.30646166,"('lazy', 'industrious')",-0.4295685,-0.3064617,-0.1231068
77,-0.4148847,-0.30396822,"('unmotivated', 'motivated')",-0.4148847,-0.3039682,-0.1109165
38,0.41479447,0.20467214,"('untruthful', 'truthful')",0.4147945,0.2046721,0.2101224
12,-0.38373378,-0.47092754,"('unsupportive', 'supportive')",-0.3837338,-0.4709275,0.0871937
28,0.37877643,0.67467237,"('disloyal', 'loyal')",0.3787764,0.6746724,-0.295896
0,-0.3727122,-0.4748465,"('unsociable', 'sociable')",-0.3727122,-0.4748465,0.1021343
21,-0.36688715,-0.3142083,"('immoral', 'moral')",-0.3668872,-0.3142083,-0.0526789
22,-0.3619568,-0.44251883,"('untrustworthy', 'trustworthy')",-0.3619568,-0.4425188,0.080562
