,nisource_male,nisource_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-2.4302735,-2.6616745,"('unfriendly', 'friendly')",1.5914073,1.631935,-0.4194331,-0.5148697,0.0954366
9,-2.427186,-2.477925,"('unaffectionate', 'caring')",0.5780993,0.78938884,-0.9245434,-0.8442681,-0.0802753
86,-2.1012793,-2.2737012,"('uninfluential', 'influential')",-0.39932466,-0.58638334,-1.250302,-1.4300423,0.1797403
8,-2.0816884,-2.1898391,"('unaffectionate', 'affectionate')",0.57694423,0.7059855,-0.7523721,-0.7419268,-0.0104453
38,-1.6256962,-1.597623,"('untruthful', 'truthful')",-0.46087286,-0.19990873,-1.0432845,-0.8987659,-0.1445186
44,1.5111305,1.5611074,"('prejudiced', 'unprejudiced')",-0.93717825,-1.1232888,0.2869761,0.2189093,0.0680668
53,-1.4779272,-1.5900655,"('uncreative', 'creative')",0.64716786,0.6939409,-0.4153797,-0.4480623,0.0326826
23,-1.4594105,-1.390774,"('insincere', 'sincere')",4.7842016,5.155066,1.6623955,1.882146,-0.2197505
6,-1.4153543,-1.5019255,"('distant', 'open')",-0.035770103,0.12640512,-0.7255622,-0.6877602,-0.037802
19,-1.3659664,-1.4323962,"('inhospitable', 'hospitable')",-0.3785211,-0.33974048,-0.8722438,-0.8860683,0.0138245
0,-1.3105673,-1.4318556,"('unsociable', 'sociable')",-0.17178503,-0.4326699,-0.7411761,-0.9322627,0.1910866
31,-1.2851645,-1.4535741,"('evil', 'good')",-0.9648546,-1.0156742,-1.1250095,-1.2346241,0.1096146
73,1.2767639,1.1639339,"('helpless', 'self-reliant')",-2.5470188,-2.5185928,-0.6351274,-0.6773295,0.0422021
5,-1.241062,-1.2632631,"('distant', 'outgoing')",-0.5846296,-0.35249186,-0.9128458,-0.8078775,-0.1049683
12,-1.1978387,-1.3241656,"('unsupportive', 'supportive')",-1.6632891,-1.8170578,-1.4305639,-1.5706117,0.1400478
69,1.1850594,0.7913926,"('lazy', 'industrious')",-0.11632162,-0.35512653,0.5343689,0.218133,0.3162359
80,1.1132162,1.0634323,"('dominated', 'dominating')",-1.2521552,-1.567851,-0.0694695,-0.2522093,0.1827398
10,-1.1116886,-1.0667423,"('unsympathetic', 'sympathetic')",-0.38195917,-0.5041727,-0.7468239,-0.7854575,0.0386336
76,1.0657636,1.2978588,"('anxious', 'daring')",0.3034835,0.38112772,0.6846235,0.8394933,-0.1548698
81,1.0372682,1.2179816,"('submissive', 'aggressive')",-0.55232143,-0.53924406,0.2424734,0.3393688,-0.0968954
42,0.99798214,1.0242702,"('unreliable', 'reliable')",-2.7332346,-2.894001,-0.8676262,-0.9348654,0.0672392
28,-0.9339342,-0.8379416,"('disloyal', 'loyal')",0.5926049,0.73946023,-0.1706647,-0.0492407,-0.121424
72,-0.9041037,-0.76169634,"('unambitious', 'ambitious')",-1.0029827,-0.7021987,-0.9535432,-0.7319475,-0.2215957
78,-0.86938775,-0.9769035,"('nonresilient', 'resilient')",0.3529744,0.1516484,-0.2582067,-0.4126275,0.1544208
63,-0.86617285,-0.9820559,"('unperceptive', 'insightful')",0.87249947,0.88100827,0.0031633,-0.0505238,0.0536871
36,-0.861348,-1.1766511,"('hostile', 'amicable')",0.19631842,0.12673613,-0.3325148,-0.5249575,0.1924427
71,-0.85629517,-1.0777373,"('diffident', 'self-confident')",0.50843394,0.4457779,-0.1739306,-0.3159797,0.1420491
58,-0.84116995,-0.8119844,"('undiscriminating', 'discriminating')",0.13744187,0.078010485,-0.351864,-0.366987,0.015123
85,-0.80254173,-1.2381328,"('insignificant', 'prestigious')",0.84249735,0.56579316,0.0199778,-0.3361698,0.3561476
11,-0.8024511,-0.6975213,"('unhelpful', 'helpful')",1.3009201,1.4439194,0.2492345,0.373199,-0.1239645
51,-0.7962849,-0.77176434,"('uneducated', 'educated')",0.29020655,0.13153084,-0.2530392,-0.3201168,0.0670776
43,-0.79387355,-0.929724,"('irresponsible', 'responsible')",0.58541113,0.35346076,-0.1042312,-0.2881316,0.1839004
2,0.7540822,0.38518354,"('unlikable', 'likable')",0.57727796,0.19551536,0.6656801,0.2903495,0.3753306
32,-0.75308543,-0.8868548,"('unkind', 'kind')",0.6143267,0.5468504,-0.0693794,-0.1700022,0.1006228
87,0.7464049,0.4789383,"('unsuccessful', 'successful')",0.97539085,0.643169,0.8608979,0.5610536,0.2998443
20,0.73536086,0.68711966,"('rough', 'thoughtful')",1.3564992,1.2139636,1.04593,0.9505416,0.0953884
45,-0.71248513,-0.549821,"('incompetent', 'competent')",-0.092840716,-0.24957822,-0.4026629,-0.3996996,-0.0029633
79,-0.698674,-0.97023636,"('wavering', 'unwavering')",-0.35826835,-0.21652816,-0.5284712,-0.5933822,0.064911
39,0.6844963,0.63127756,"('exploitative', 'cooperative')",0.23362039,0.26573947,0.4590583,0.4485085,0.0105498
82,-0.6807511,-0.4686675,"('poor', 'rich')",5.507138,5.8383665,2.4131932,2.6848495,-0.2716563
26,-0.65450436,-0.79882544,"('hardhearted', 'benevolent')",1.9037813,1.7777451,0.6246384,0.4894598,0.1351786
41,-0.62523174,-0.69547385,"('unforgiving', 'forgiving')",-0.10547522,-0.34016678,-0.3653535,-0.5178203,0.1524668
