,national_male,national_female,tuple,city_male,city_female,corp_male,corp_female,average_male,average_female,male-female
36,-2.706452,-2.5157163,"('hostile', 'amicable')",-2.7811303,-2.4527013,-0.6374954,-0.6345308,-2.0416926,-1.8676494,-0.1740432
12,1.9379023,1.7656072,"('unsupportive', 'supportive')",0.9881858,0.96562153,-1.988174,-2.168734,0.312638,0.1874983,0.1251397
56,1.8139504,2.009106,"('impractical', 'practical')",2.3070443,2.4549606,-0.048392117,0.091938496,1.3575341,1.5186683,-0.1611342
39,1.6741606,1.9226419,"('exploitative', 'cooperative')",1.3494028,1.5166854,0.3219703,0.37347054,1.1151779,1.2709326,-0.1557547
14,1.5510243,1.6548356,"('antisocial', 'social')",2.440784,2.6188293,-0.11212429,0.11355246,1.2932281,1.4624058,-0.1691777
52,-1.5279534,-1.1641886,"('irrational', 'rational')",-1.3664231,-1.0246857,-0.19211385,-0.061562635,-1.0288301,-0.7501456,-0.2786845
35,-1.5275382,-1.3960704,"('corrupt', 'incorrupt')",-2.5266185,-2.4948921,-0.6646195,-0.7378008,-1.5729254,-1.5429211,-0.0300043
75,-1.467746,-1.3172727,"('meek', 'impulsive')",-1.0566531,-0.86131245,-1.0228107,-0.92900056,-1.1824033,-1.0358619,-0.1465414
42,1.3664814,1.3597088,"('unreliable', 'reliable')",0.83075035,0.91389024,-3.1021612,-3.0911913,-0.3016431,-0.2725307,-0.0291124
32,1.3324648,1.4551735,"('unkind', 'kind')",0.6262436,0.6677989,1.2730039,1.4011279,1.0772374,1.1747001,-0.0974627
21,1.2494572,1.7806746,"('immoral', 'moral')",1.5761019,1.9520591,-0.38288465,-0.10982246,0.8142248,1.2076371,-0.3934123
67,1.2477555,1.2598532,"('doubtful', 'determined')",1.3908875,1.466122,-0.3911089,-0.16909435,0.749178,0.8522937,-0.1031157
63,1.2109791,0.9534904,"('unperceptive', 'insightful')",1.3386725,1.1926006,0.27598572,0.12889957,0.9418791,0.7583302,0.1835489
62,1.1686629,1.1053071,"('incompetent', 'brilliant')",1.6422892,1.7061862,0.46171665,0.5094731,1.0908896,1.1069888,-0.0160992
50,-1.1117306,-1.2966738,"('clumsy', 'skillful')",-0.8948161,-0.8173336,-0.11370547,-0.17556506,-0.7067507,-0.7631908,0.0564401
28,1.09017,1.0539606,"('disloyal', 'loyal')",-0.3085124,-0.066831455,1.4073133,1.4332533,0.729657,0.8067942,-0.0771372
71,1.0810336,0.9631648,"('diffident', 'self-confident')",0.95337206,0.96465886,0.6313618,0.25010604,0.8885891,0.7259765,0.1626126
16,-1.079046,-0.92729634,"('unpopular', 'popular')",-1.2935557,-0.9488815,-0.20288998,-0.0075457245,-0.8584972,-0.6279078,-0.2305894
24,1.0780908,1.1241801,"('dishonest', 'honest')",0.33285123,0.40643188,0.81907684,0.7743201,0.7433396,0.7683107,-0.0249711
8,-1.0641723,-1.0780234,"('unaffectionate', 'affectionate')",-1.3257939,-1.2090113,0.93378896,0.49281764,-0.4853923,-0.5980724,0.1126801
43,1.0621731,1.0640391,"('irresponsible', 'responsible')",1.4285948,1.2807163,0.36976796,0.41337627,0.953512,0.9193772,0.0341348
80,1.0303491,0.9995863,"('dominated', 'dominating')",0.75416267,0.89763063,-0.7065903,-0.6256077,0.3593072,0.4238697,-0.0645625
60,1.0088997,1.0489486,"('inefficient', 'efficient')",2.081792,2.036125,0.20444988,0.16525836,1.0983806,1.083444,0.0149366
38,1.0046417,1.1618612,"('untruthful', 'truthful')",0.10146424,0.28686056,-0.112215035,-0.1343237,0.331297,0.4381327,-0.1068357
26,0.9904842,1.0502789,"('hardhearted', 'benevolent')",-0.019566402,0.14264306,1.6172754,1.7874975,0.8627311,0.9934732,-0.1307421
53,-0.9834083,-1.0442411,"('uncreative', 'creative')",-0.35464638,-0.520208,0.43933535,0.2862238,-0.2995731,-0.4260751,0.126502
74,0.9831295,1.0273138,"('undedicated', 'dedicated')",0.8693472,0.8001197,-0.45397028,-0.443885,0.4661688,0.4611829,0.0049859
23,0.9823841,1.0981088,"('insincere', 'sincere')",0.984187,1.0726668,6.945971,6.724125,2.9708474,2.9649668,0.0058806
25,-0.97362435,-0.5994301,"('egoistic', 'altruistic')",-1.006962,-0.7872781,1.6857377,1.6723665,-0.0982829,0.0952194,-0.1935023
31,-0.9596153,-0.99765116,"('evil', 'good')",-1.3494395,-1.3917636,-0.89379865,-1.0607177,-1.0676178,-1.1500441,0.0824263
11,0.95525646,0.9769344,"('unhelpful', 'helpful')",1.3611921,1.5780945,1.9750688,2.0108016,1.4305058,1.5219434,-0.0914376
78,-0.950861,-1.247846,"('nonresilient', 'resilient')",-0.30771974,-0.38562536,-0.32363322,-0.46399358,-0.5274046,-0.699155,0.1717504
19,-0.9457759,-0.8084656,"('inhospitable', 'hospitable')",-1.0799,-0.953168,-0.67373824,-0.66786784,-0.8998048,-0.8098338,-0.089971
13,0.9340412,1.0491817,"('impolite', 'polite')",1.1597712,1.24863,-0.6237521,-0.5857075,0.4900201,0.5707014,-0.0806813
70,0.91624904,0.7401636,"('lethargic', 'energetic')",1.1864332,1.0651826,0.40457687,0.18905479,0.835753,0.6648003,0.1709527
5,-0.86920285,-0.8041502,"('distant', 'outgoing')",-1.3846381,-1.4653772,-0.6101301,-0.74560535,-0.954657,-1.0050443,0.0503873
85,-0.85945743,-0.45844004,"('insignificant', 'prestigious')",-1.7729981,-1.2192287,-0.5100157,-0.45569304,-1.0474904,-0.7111206,-0.3363698
6,-0.85177803,-0.8164982,"('distant', 'open')",-1.8853507,-2.0878406,-0.35573316,-0.65436196,-1.030954,-1.1862336,0.1552796
7,0.8431259,0.76205254,"('insensitive', 'sensitive')",1.1034374,0.93026435,0.8477271,0.5513335,0.9314301,0.7478835,0.1835466
82,-0.8425046,-0.8511839,"('poor', 'rich')",-0.6555419,-0.6693865,6.699482,6.583308,1.7338119,1.6875793,0.0462326
65,0.838786,0.89542884,"('insecure', 'secure')",0.6933331,0.79088736,0.13648763,0.24014616,0.5562022,0.6421541,-0.0859519
1,-0.7877553,-0.9246149,"('unfriendly', 'friendly')",-1.3462399,-1.432452,1.7978048,1.4611593,-0.1120635,-0.2986358,0.1865723
30,0.75505805,1.029428,"('intolerant', 'tolerant')",1.4569176,1.6825686,0.7700622,1.0390553,0.9940126,1.2503506,-0.256338
