,capital_male,capital_female,tuple,one_male,one_female,financial_male,financial_female,corp_male,corp_female,average_male,average_female,male-female
12,2.2969656,2.2164738,"('unsupportive', 'supportive')",0.9683933,0.8422202,1.3185723,1.39693,-1.5531888,-1.5825723,0.7576855,0.7182628,0.0394227
42,2.0205128,2.0913308,"('unreliable', 'reliable')",1.2658366,1.1129425,1.0405644,1.1559689,-1.6411461,-1.7442737,0.6714419,0.6539921,0.0174498
2,2.0182176,1.9667872,"('unlikable', 'likable')",0.94729424,0.79377216,2.2421947,2.2501152,0.94268817,0.8108845,1.5375986,1.4553897,0.0822089
56,1.9188958,2.052579,"('impractical', 'practical')",1.5861795,1.7018734,0.88222593,1.013641,0.27362064,0.38623938,1.1652305,1.2885832,-0.1233527
62,1.7178555,1.8718913,"('incompetent', 'brilliant')",1.1811996,1.3223491,0.82173294,1.0178282,1.1798935,1.362896,1.2251704,1.3937411,-0.1685707
70,1.5855668,1.7062951,"('lethargic', 'energetic')",0.27572152,0.39812827,0.07546836,0.36354312,0.8634215,1.2724712,0.7000445,0.9351094,-0.2350649
63,1.5759646,1.8292589,"('unperceptive', 'insightful')",0.67498183,0.85217947,1.0238191,1.2959665,1.0315242,1.328661,1.0765724,1.3265165,-0.2499441
83,1.5236982,1.6337202,"('powerless', 'powerful')",-0.053864658,-0.04068204,0.83298105,0.8779181,-0.41363582,-0.35608783,0.4722947,0.5287171,-0.0564224
74,1.4599591,1.5525956,"('undedicated', 'dedicated')",0.20466651,0.20125401,0.5826639,0.69732815,-0.27062708,-0.19442926,0.4941657,0.5641872,-0.0700215
36,-1.433895,-1.6022966,"('hostile', 'amicable')",-0.6155556,-1.0509368,0.014642768,-0.07438349,-1.0544267,-1.2572573,-0.7723086,-0.9962186,0.22391
72,1.4305545,1.4076741,"('unambitious', 'ambitious')",-0.18204576,-0.20742655,-0.13562211,-0.08085267,-0.61566937,-0.39665037,0.1243043,0.1806861,-0.0563818
31,-1.3340442,-1.0383686,"('evil', 'good')",-0.49879497,-0.48786652,-0.5492072,-0.55502003,-1.9569446,-2.1465013,-1.0847478,-1.0569391,-0.0278087
76,1.3297638,1.4312527,"('anxious', 'daring')",0.10594012,0.19984813,-0.36194754,-0.3313036,0.2892887,0.40628985,0.3407612,0.4265218,-0.0857606
11,1.3091661,1.3507429,"('unhelpful', 'helpful')",0.7755579,0.8607852,0.18955183,0.37573135,2.453576,2.7528315,1.181963,1.3350227,-0.1530597
60,1.2981615,1.3460869,"('inefficient', 'efficient')",0.38066405,0.45173162,0.12045817,0.2607065,0.78303605,0.93455774,0.6455799,0.7482706,-0.1026907
61,1.2680748,1.1867356,"('illogical', 'logical')",-0.09091857,-0.32812238,1.1233299,1.1212177,0.48286137,0.5588914,0.6958368,0.6346806,0.0611562
39,1.2327486,1.4574953,"('exploitative', 'cooperative')",1.0709362,1.2356198,0.79378545,0.9513557,0.1915777,0.44656324,0.822262,1.0227585,-0.2004965
23,1.1920242,1.1000609,"('insincere', 'sincere')",0.44778928,0.34946567,0.7486746,0.8761223,5.370035,5.933824,1.9396307,2.0648682,-0.1252375
32,1.1857368,1.167874,"('unkind', 'kind')",0.88802177,0.71623886,0.3683154,0.33472404,0.97319305,1.0412031,0.8538167,0.81501,0.0388067
51,1.1774739,0.94315124,"('uneducated', 'educated')",0.62331486,0.39246505,-0.26377955,-0.29389536,0.73115,0.6634208,0.5670398,0.4262854,0.1407544
43,1.175942,1.2308301,"('irresponsible', 'responsible')",0.5407894,0.5366361,0.54032797,0.7896851,0.7335671,0.97474444,0.7476566,0.8829739,-0.1353173
