,prologis_male,prologis_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-2.0107694,-1.9217111,"('unfriendly', 'friendly')",1.7870053,2.08014,-0.111882,0.0792145,-0.1910965
53,-1.7158252,-1.948191,"('uncreative', 'creative')",0.89710104,0.73468536,-0.4093621,-0.6067529,0.1973908
9,-1.5314746,-1.519019,"('unaffectionate', 'caring')",1.067204,1.380323,-0.2321353,-0.069348,-0.1627873
8,-1.491767,-1.4589576,"('unaffectionate', 'affectionate')",0.80759984,1.0538114,-0.3420836,-0.2025731,-0.1395105
36,-1.4745784,-1.613935,"('hostile', 'amicable')",0.5735771,0.48897612,-0.4505006,-0.5624794,0.1119788
6,-1.4142953,-1.2996511,"('distant', 'open')",0.338369,0.4800373,-0.5379632,-0.4098069,-0.1281563
19,-1.3250284,-1.2073944,"('inhospitable', 'hospitable')",0.38936514,0.5334282,-0.4678316,-0.3369831,-0.1308485
86,-1.2887101,-1.3817838,"('uninfluential', 'influential')",-0.25521678,-0.17853934,-0.7719635,-0.7801616,0.0081981
66,-1.1871893,-1.3303744,"('inactive', 'active')",0.3281865,0.46563253,-0.4295014,-0.4323709,0.0028695
60,1.1525189,1.1189914,"('inefficient', 'efficient')",-0.3143681,-0.2902494,0.4190754,0.414371,0.0047044
31,-1.137309,-1.083192,"('evil', 'good')",-0.5929499,-0.4578485,-0.8651295,-0.7705202,-0.0946093
56,1.1333361,0.7912236,"('impractical', 'practical')",-0.014423303,-0.45064762,0.5594564,0.170288,0.3891684
28,-1.1285697,-1.1658869,"('disloyal', 'loyal')",0.5628395,0.6647617,-0.2828651,-0.2505626,-0.0323025
81,1.1199183,0.53310573,"('submissive', 'aggressive')",-0.6341544,-1.0180244,0.242882,-0.2424594,0.4853414
44,1.0372088,1.1345071,"('prejudiced', 'unprejudiced')",-1.4264078,-1.363691,-0.1945995,-0.114592,-0.0800075
76,1.0280519,0.42024037,"('anxious', 'daring')",0.07962734,-0.11848843,0.5538396,0.150876,0.4029636
5,-1.0171939,-0.92029476,"('distant', 'outgoing')",-0.10432043,-0.036333755,-0.5607572,-0.4783143,-0.0824429
16,-1.0104346,-1.1008315,"('unpopular', 'popular')",0.47777432,0.42421132,-0.2663302,-0.3383101,0.0719799
54,-1.0053889,-1.3259972,"('incapable', 'capable')",1.4563403,1.43971,0.2254757,0.0568564,0.1686193
21,0.93581676,0.39795187,"('immoral', 'moral')",-0.5062968,-0.76492536,0.21476,-0.1834867,0.3982467
80,0.8617999,0.7171169,"('dominated', 'dominating')",-1.618305,-1.6534979,-0.3782525,-0.4681905,0.089938
